Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q86YD5	LDLRAD3	-2.04094322445345	7.85785320333615e-05	No	No
Q8TE58	ADAMTS15	-2.48251718907188	8.5120054545128e-23	No	No
Q8WWX9	SELENOM	-2.0900390986314	2.80962511786268e-26	No	No
Q92478	CLEC2B	-2.68381857502476	9.45723993599616e-06	No	No
Q92535	PIGC	-3.01793660110969	0.003252891005989	No	No
Q92870	APBB2	-2.10314559675789	8.08144462652863e-35	No	No
Q96FL8	SLC47A1	-2.2754805922499	3.41159488032853e-11	No	No
Q96PD5	PGLYRP2	-3.28536486922866	5.64747193653789e-21	No	No
Q99704	DOK1	-2.15688398143643	0.0008508895502455	No	No
Q9C0D0	PHACTR1	-2.47248425356119	3.2549006373285503e-44	No	No
Q9H3G5	CPVL	-2.69273909742688	3.73156755252815e-31	No	No
Q9H9K5	ERVMER34-1	-2.39519976133229	4.5604561278514e-09	No	No
Q9HBL0	TNS1	-2.43841443929267	1.11932632762419e-18	No	No
Q9HCK4	ROBO2	-3.29882974881482	2.18143222031557e-41	No	No
Q9NP59	SLC40A1	-2.29754453634956	2.3738093319436903e-25	No	No
Q9NY57	STK32B	-2.91257942538911	2.1787910713382e-32	No	No
Q9P273	TENM3	-3.50596170272042	1.4292058256529701e-52	No	No
Q9P291	ARMCX1	-2.03659051999627	1.6487046680804502e-17	No	No
Q9UJY1	HSPB8	-2.42720400359117	2.48170668737009e-27	No	No
Q9UPQ7	PDZRN3	-2.22540439992534	3.77693006330157e-20	No	No
Q9Y2J2	EPB41L3	-2.63866201846903	3.41655126018168e-16	No	No
Q9Y342	PLLP	-3.28209243710935	6.40295428992329e-17	No	No
Q9Y3L5	RAP2C	-2.14321808179341	1.35077638291598e-24	No	No
Q9Y6U3	SCIN	-2.64905614951151	1.2840071449127e-38	No	No
