Protein_Group	Genes	T47D_B_250nM Palbo_vs_T47D_B_Non Treated_logFC	T47D_B_250nM Palbo_vs_T47D_B_Non Treated_pval	Removed?	Contaminant?
P63316	TNNC1	2.72549189599814	0.0021269650463747	No	No
Q86WV1	SKAP1	2.68150671055034	0.0001253315822287	No	No
Q96CX6	LRRC58	2.46786377215582	2.3631036817627698e-11	No	No
Q96FL8	SLC47A1	3.21970903693895	4.98751708229675e-16	No	No
Q9H5J4	ELOVL6	2.10658843922736	1.40191380388238e-05	No	No
Q9HB63	NTN4	2.09046013899467	1.62558860776781e-05	No	No
Q9NY57	STK32B	3.75850028622487	2.9702271395742e-37	No	No
O00458	IFRD1	-2.05569795401913	2.05184484741965e-08	No	No
Q6PCB8	EMB	-3.16002894128054	3.61452128951736e-13	No	No
Q9H2E6	SEMA6A	-2.3696685216061	1.4245362568491e-06	No	No
