Protein_Group	Genes	T47D_C_250nM Palbo_vs_T47D_C_Non Treated_logFC	T47D_C_250nM Palbo_vs_T47D_C_Non Treated_pval	Removed?	Contaminant?
A8MUP2	CSKMT	2.49525210314805	2.5050714343088e-05	No	No
Q96QA5	GSDMA	2.0378557308149	0.0014918069043426	No	No
Q99990	VGLL1	2.88402168791888	3.65338879587827e-08	No	No
P08913	ADRA2A	-2.17814531002546	5.9238765733772e-06	No	No
Q96GM1	PLPPR2	-2.29549529450549	7.55853690144364e-07	No	No
