Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
O00458	IFRD1	2.06885518546341	1.7673131772596e-08	No	No
O14967	CLGN	2.45564651567137	1.95889129015947e-25	No	No
P01591	JCHAIN	2.31758102168781	4.94489627176601e-09	No	No
P01834	IGKC	2.10193057260801	0.0067551844084662	No	No
P01876	IGHA1	2.46198423998982	1.12795058535037e-08	No	No
P10589	NR2F1	4.0346992955595	5.07721968255532e-14	No	No
P22676	CALB2	2.10688633974491	2.50484826728456e-05	No	No
P35638	DDIT3	3.51746136792828	4.58459287353394e-22	No	No
P51884	LUM	3.30353525891171	1.06954934670396e-17	No	No
Q13268	DHRS2	2.08061671400351	5.76802484260623e-14	No	No
Q53GG5	PDLIM3	2.23568540609484	3.50715145798551e-08	No	No
Q5T9A4	ATAD3B	2.34674189167387	1.38655393646968e-14	No	No
Q6NZY7	CDC42EP5	2.0615144566456	3.88682388140969e-08	No	No
Q6UWH6	TEX261	2.42532542936994	0.00018902422825	No	No
Q7Z7K6	CENPV	3.77755892630979	2.2540196052082603e-19	No	No
Q8TD30	GPT2	2.1431584563645	1.65502884810126e-36	No	No
Q96AV8	E2F7	2.07967393492461	0.0066663325717154	No	No
Q96RU7	TRIB3	3.37993214797002	7.44814609733531e-15	No	No
Q9H568	ACTL8	4.98658084243741	2.34754020973677e-26	No	No
Q9H5J4	ELOVL6	2.47030614032265	8.20685974568324e-07	No	No
Q9NUK0	MBNL3	2.47694656789046	5.48469361354029e-07	No	No
Q9NX09	DDIT4	2.20373594031854	2.30064487837806e-08	No	No
Q9UN76	SLC6A14	6.01349088959724	1.90717019016665e-16	No	No
Q9UPY5	SLC7A11	3.78616507048135	6.30543859496493e-11	No	No
Q9Y3M9	ZNF337	2.16814329473275	5.74661364077079e-13	No	No
O00526	UPK2	-2.10912659167012	3.94110305823661e-08	No	No
