Protein_Group	Genes	cMyc_OE_5_250nM Palbo_vs_cMyc_OE_5_Non Treated_logFC	cMyc_OE_5_250nM Palbo_vs_cMyc_OE_5_Non Treated_pval	Removed?	Contaminant?
A6NCQ9	RNF222	2.73169881082781	2.10583353843606e-06	No	No
O15050	TRANK1	3.16398634202371	3.1211224065073003e-10	No	No
O15232	MATN3	2.0885406839922	2.8510767752570297e-18	No	No
O96024	B3GALT4	2.35850664002112	2.24197028675053e-05	No	No
P01033	TIMP1	2.09606967687731	9.23541152839905e-12	No	No
P07476	IVL	2.18331390815741	4.991895491397799e-35	No	No
P12273	PIP	2.44079189421978	6.04229669880176e-28	No	No
Q02413	DSG1	2.04889874095772	0.0020155130579936	No	No
Q15517	CDSN	2.12151793405725	0.008926757669587	No	No
Q30154	HLA-DRB5	2.66160295355345	6.90869680142585e-13	No	No
Q5H9U9	DDX60L	2.57125457958175	3.48304712332774e-05	No	No
Q92478	CLEC2B	4.87919520356902	9.3424705883919e-12	No	No
Q96CX6	LRRC58	3.04406187969154	3.49405465414365e-14	No	No
Q9BPU9	B9D2	2.10000381775345	9.2193981770456e-07	No	No
O00458	IFRD1	-2.4294257944833	3.0577600750474e-10	No	No
P01591	JCHAIN	-2.05191714540107	8.4279309628518e-08	No	No
P35638	DDIT3	-2.3813710270188	1.0544804037510402e-15	No	No
Q4VNC1	ATP13A4	-2.91152849016424	0.0001046919861464	No	No
Q5JYT7	KIAA1755	-3.95731627124925	0.0012082073947011	No	No
Q5SXH7	PLEKHS1	-3.51170724010447	3.4243572352069097e-12	No	No
Q6PI25	CNIH2	-2.15820526862718	2.88639863861529e-08	No	No
Q96AV8	E2F7	-2.54016990033117	0.0011410511353578	No	No
Q9UN76	SLC6A14	-2.80344391957674	4.60323325025055e-07	No	No
