Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q9H3M7	TXNIP	-2.07817584916634	4.3934503814544005e-18	No	No
Q9HBL0	TNS1	-2.62753770773457	6.5238574900914e-20	No	No
Q9HCY8	S100A14	-2.36105847409486	1.392234770082e-06	No	No
Q9NQ36	SCUBE2	-3.11587723243235	1.77074243807833e-30	No	No
Q9NY57	STK32B	-2.93399892865515	1.58372846713109e-32	No	No
Q9P291	ARMCX1	-2.29046756653629	2.03944870738874e-19	No	No
Q9UDV7	ZNF282	-3.93206629800785	2.5514811497163802e-23	No	No
Q9UGT4	SUSD2	-2.53942584350594	8.86317155550568e-28	No	No
Q9UJY1	HSPB8	-2.60636981757865	1.2109704379155e-28	No	No
Q9ULW8	PADI3	-2.4806635051198	2.20526176397698e-41	No	No
Q9ULX9	MAFF	-2.80568582232524	1.64304432821376e-07	No	No
Q9UNN8	PROCR	-2.2377535323432	2.4240742506732802e-23	No	No
Q9Y342	PLLP	-2.19273345165974	3.27542886177834e-11	No	No
Q9Y6U3	SCIN	-2.4867898676358	2.12279432752166e-37	No	No
