Protein_Group	Genes	PTEN_sg_1.1_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	PTEN_sg_1.1_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
A0A0J9YWL9	TEX13C	2.55496791285377	2.00903856722468e-11	No	No
O14879	IFIT3	2.16957560654782	9.520974253923649e-11	No	No
O14967	CLGN	2.47002018571098	1.5373555720845301e-25	No	No
O15481	MAGEB4	3.29184382384523	2.4007776474224996e-31	No	No
P01859	IGHG2	2.69310710611669	1.85660940165325e-05	No	No
P05161	ISG15	2.50708080784885	9.03085920466129e-29	No	No
P07195	LDHB	3.18941925716508	3.30735946036617e-16	No	No
P09913	IFIT2	2.46073729777354	1.05510001797515e-09	No	No
P09914	IFIT1	2.18095025856069	3.0775019940279803e-19	No	No
P0DTW1	GAGE1	3.55459192993199	1.63140253825369e-07	No	No
P13688	CEACAM1	2.24820801821824	5.668860030258671e-09	No	No
P20591	MX1	3.71911298677156	4.58617725023625e-30	No	No
P29728	OAS2	2.76242462038229	3.2666036760207702e-15	No	No
P43355	MAGEA1	3.48708339592206	2.0238933586240199e-16	No	No
P43357	MAGEA3	3.63562671044778	2.7468332072819396e-30	No	No
P43360	MAGEA6	2.19061845562611	4.1480668106237895e-11	No	No
P43365	MAGEA12	5.6551685386048	3.23745454894733e-34	No	No
P57087	JAM2	2.0285279976636	3.92794219976757e-09	No	No
Q00978	IRF9	2.90501298882818	1.32829842493579e-22	No	No
Q6ZN17	LIN28B	3.4211727582771	6.33208841648413e-45	No	No
Q86TG7	PEG10	3.60413154220573	7.439301056034991e-44	No	No
Q86X51	EZHIP	2.25841679138835	1.92340475636638e-15	No	No
Q8NAB2	KBTBD3	2.58930878495029	1.97852792253025e-05	No	No
Q96E17	RAB3C	5.98052389776188	9.516111150984399e-12	No	No
Q96GY0	ZC2HC1A	2.64661953046966	4.7608531018134e-27	No	No
Q99608	NDN	4.40239704573886	8.63782373509663e-19	No	No
Q9BUX1	CHAC1	3.24805509150983	0.0007952807458739	No	No
Q9H898	ZMAT4	2.23031591383324	5.06632069863464e-08	No	No
Q9HD64	XAGE1B	4.69467102100206	6.94380336430809e-16	No	No
Q9UHE8	STEAP1	2.44330353533458	5.18204728559644e-16	No	No
Q9UPY5	SLC7A11	2.490874978393	1.2603313748507e-06	No	No
Q9UQV4	LAMP3	2.32268367457766	9.60231358252591e-16	No	No
A4D0S4	LAMB4	-2.09606360727575	2.24455446526833e-13	No	No
A6NKN8	PCP4L1	-2.45845950010206	4.18029555599861e-05	No	No
O60879	DIAPH2	-2.97038723758944	3.81021394583714e-12	No	No
P05114	HMGN1	-2.31634735559792	0.002370700984228	No	No
P14543	NID1	-2.11562034338826	8.98889240817213e-07	No	No
P17302	GJA1	-4.38208628192414	1.40384442072243e-38	No	No
P23378	GLDC	-3.51155346381558	6.22294222502497e-49	No	No
P24311	COX7B	-3.27706394196645	0.0063447626863365	No	No
P47712	PLA2G4A	-2.9345420552322	3.19733260458699e-24	No	No
P60484	PTEN	-3.82915025806889	4.19393351843982e-06	No	No
P61925	PKIA	-4.35812839631001	5.58710854931721e-05	No	No
P63316	TNNC1	-3.39074737704629	0.0001953863374619	No	No
P98082	DAB2	-2.71367320974554	4.58115777533907e-16	No	No
Q01826	SATB1	-2.07565766646946	3.60510115085914e-50	No	No
Q14393	GAS6	-2.2995169713762	1.2696699782304e-17	No	No
Q15389	ANGPT1	-2.56818854789563	5.29788724031277e-06	No	No
Q15847	ADIRF	-2.36809813221136	1.18596384838254e-09	No	No
Q16270	IGFBP7	-2.73062951408582	9.98907204542427e-13	No	No
Q5VX52	SPATA1	-3.79972509988432	2.6535460985110604e-15	No	No
Q6AZY7	SCARA3	-2.12049742561204	6.47723190401786e-07	No	No
Q6NZI2	CAVIN1	-2.13488096417732	1.79283002748793e-13	No	No
Q6X9E4	FBXW12	-2.42648328142262	1.57378665606741e-06	No	No
Q6ZNL6	FGD5	-2.16832540458872	6.346849529042321e-15	No	No
Q86Y38	XYLT1	-2.0943334189634	1.78645996101909e-08	No	No
Q8TF21	ANKRD24	-3.6677227687622	0.0002756017631296	No	No
Q92478	CLEC2B	-2.66343984113025	1.07308197876881e-05	No	No
Q96PD5	PGLYRP2	-2.36247382684037	1.17842777332727e-15	No	No
Q9BT76	UPK3B	-2.04071619553212	2.95054427543325e-05	No	No
Q9BV90	SNRNP25	-2.28399134152083	0.0008923026299846	No	No
Q9BXI9	C1QTNF6	-2.15636915592455	2.0161109804828502e-14	No	No
Q9H3G5	CPVL	-2.49522877356579	9.939701899348769e-30	No	No
Q9NY57	STK32B	-2.93301299307154	1.60707867161863e-32	No	No
Q9NZU0	FLRT3	-2.15060278870457	2.4820234749828003e-10	No	No
Q9Y2A9	B3GNT3	-2.26939541862474	5.1174432872321e-07	No	No
Q9Y572	RIPK3	-3.23513072914329	5.67088617530962e-07	No	No
Q9Y5X0	SNX10	-2.10767034862006	2.88783148148191e-05	No	No
