term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__CARFILZOMIB,0.5970213943755129,2.1765267485249256,0.0009291295948912,25.56%,PSMA6;PSMB3;PSMB4;PSMA7;PSMB8;PSMB7;PSMB10;PSMC2;PSMD2;PSME1;PSMD11;PSMB5;PSMA1;PSMB9;PSMC6;PSMA5;PSMC3;PSMD13;PSMC5;PSMC1;PSMB2;PSMD5;PSMB1;PSMA2;PSMA4;PSMD1;PSMD7;PSMD14;PSMA3;PSMB6;PSMC4,DGIdb_Drug_Targets_2024__CARFILZOMIB
DGIdb_Drug_Targets_2024__BORTEZOMIB,0.5361700619546629,2.01566739799438,0.0151996072189907,25.56%,PSMA6;PSMB3;PSMB4;PSMA7;PSMB8;HSPA4;PSMB7;PSMB10;PSMC2;PSMD2;PSME1;PSMD11;PSMB5;PSMA1;PSMB9;PSMC6;PSMA5;PSMC3;PSMD13;FGFR3;PSMC5;PSMC1;PSMB2;PSMD5;PSMB1;PSMA2;PSMA4;PSMD1;PSMD7;PSMD14;PSMA3;PSMB6;PSMC4,DGIdb_Drug_Targets_2024__BORTEZOMIB
DGIdb_Drug_Targets_2024__HYDROCHLOROTHIAZIDE,0.7283751014099928,1.999589747578631,0.0167183767491015,26.04%,USP5;PTGS1;LRRC15;NUCB2;PDE3A;CSK;VASP;SERPINE1,DGIdb_Drug_Targets_2024__HYDROCHLOROTHIAZIDE
DGIdb_Drug_Targets_2024__VINBLASTINE,0.7973423899493524,1.9764554452868568,0.0222826168526295,12.99%,TUBB1;TUBB;TUBA4A;TUBB4B;TUBB4A,DGIdb_Drug_Targets_2024__VINBLASTINE
DGIdb_Drug_Targets_2024__DOCETAXEL,0.6069600537238244,1.9762745591174444,0.0215314533471388,13.37%,TUBB1;TUBB;TUBA4A;CHST3;PRDX4;TUBB4B;FGFR1;GAS6;TUBB4A;FGFR3,DGIdb_Drug_Targets_2024__DOCETAXEL
DGIdb_Drug_Targets_2024__CURCUMIN,0.6607037387345724,1.9641761122515025,0.0235658811309031,12.99%,TUBB1;TUBB;APP;TUBA4A;PTGS1;TUBB4B;TUBB4A,DGIdb_Drug_Targets_2024__CURCUMIN
DGIdb_Drug_Targets_2024__IXABEPILONE,0.8715244487056567,1.944062282674305,0.0245937218275272,12.99%,TUBB1;TUBB;TUBA4A;TUBB4B;TUBB4A,DGIdb_Drug_Targets_2024__IXABEPILONE
DGIdb_Drug_Targets_2024__ABT 751,0.8715244487056567,1.944062282674305,0.0245937218275272,12.99%,TUBB1;TUBB;TUBA4A;TUBB4B;TUBB4A,DGIdb_Drug_Targets_2024__ABT 751
DGIdb_Drug_Targets_2024__EPOTHILONE D,0.8715244487056567,1.944062282674305,0.0245937218275272,12.99%,TUBB1;TUBB;TUBA4A;TUBB4B;TUBB4A,DGIdb_Drug_Targets_2024__EPOTHILONE D
DGIdb_Drug_Targets_2024__ENFORTUMAB VEDOTIN,0.8715244487056567,1.944062282674305,0.0245937218275272,12.99%,TUBB1;TUBB;TUBA4A;TUBB4B;TUBB4A,DGIdb_Drug_Targets_2024__ENFORTUMAB VEDOTIN
DGIdb_Drug_Targets_2024__TRASTUZUMAB EMTANSINE,0.8715244487056567,1.944062282674305,0.0245937218275272,12.99%,TUBB1;TUBB;TUBA4A;TUBB4B;TUBB4A,DGIdb_Drug_Targets_2024__TRASTUZUMAB EMTANSINE
DGIdb_Drug_Targets_2024__PF 06263507,0.8715244487056567,1.944062282674305,0.0245937218275272,12.99%,TUBB1;TUBB;TUBA4A;TUBB4B;TUBB4A,DGIdb_Drug_Targets_2024__PF 06263507
