term,ES,NES,fdr,Gene %,Genes,description
GO:0051491,0.3632350606340515,0.9985090492418144,0.8045169527085125,39.50%,CDC42;ARAP1;NLGN1;NRP1;RALA;FNBP1L,GO_Biological_Process_2025__Positive Regulation of Filopodium Assembly (GO:0051491)
GO:0001938,0.2873303978363902,0.9984163681304687,0.8041304549672854,30.25%,FGFR1;MIA3;ITGB3;NRP2;EGF;ITGA4;FLT4;CLSTN1;GDF2;NRP1,GO_Biological_Process_2025__Positive Regulation of Endothelial Cell Proliferation (GO:0001938)
GO:0051044,0.449998416500276,0.99708607117876,0.8067971762100716,22.37%,APP;SNX9,GO_Biological_Process_2025__Positive Regulation of Membrane Protein Ectodomain Proteolysis (GO:0051044)
GO:0006163,0.3168283903358606,0.9970798277892308,0.8061798557115742,20.93%,VCP;IDH2;AMPD2;PROC;HPRT1,GO_Biological_Process_2025__Purine Nucleotide Metabolic Process (GO:0006163)
GO:2000561,0.4490252476829659,0.9967594947574387,0.8062901438457888,55.17%,TWSG1;LGALS9;VSIR;CD81;CD55,"GO_Biological_Process_2025__Regulation of CD4-positive, Alpha-Beta T Cell Proliferation (GO:2000561)"
GO:0051348,0.4463500585604107,0.9961492717227104,0.8071551952618833,42.31%,PRDX3;BANF1;HNRNPU;EIF4A2,GO_Biological_Process_2025__Negative Regulation of Transferase Activity (GO:0051348)
GO:0019377,0.4429902790057015,0.9960991686090048,0.8066582687751295,27.06%,GLB1;M6PR,GO_Biological_Process_2025__Glycolipid Catabolic Process (GO:0019377)
GO:0097581,0.3199785112011569,0.9948065567851296,0.8091218704147572,8.93%,CTTN;PARVB;DMTN;CYFIP1,GO_Biological_Process_2025__Lamellipodium Organization (GO:0097581)
GO:1901342,0.3694883907615028,0.9938098518628412,0.8110214285109507,5.49%,TGFB1;PDCD10,GO_Biological_Process_2025__Regulation of Vasculature Development (GO:1901342)
GO:0008210,0.4429530201342281,0.9937490864095536,0.8099081289381168,55.78%,HSD17B4;HSD17B10;CHST10;HSD17B11;UGT2B7,GO_Biological_Process_2025__Estrogen Metabolic Process (GO:0008210)
GO:0008209,0.4429530201342281,0.9937490864095536,0.8099081289381168,55.78%,HSD17B4;HSD17B10;CHST10;HSD17B11;UGT2B7,GO_Biological_Process_2025__Androgen Metabolic Process (GO:0008209)
GO:0032984,0.296710516763801,0.9926399156438406,0.8120394158189155,42.63%,VCP;APEH;ETF1;TSG101;VAMP7;SNAP29;VAMP8;HSPA8;GSPT2;GSPT1;CHMP4B;VPS4B,GO_Biological_Process_2025__Protein-Containing Complex Disassembly (GO:0032984)
GO:0007093,-0.4042825183764781,-0.9915854352535004,0.8855670399130608,59.67%,BRCC3;BABAM1;CDK5RAP3;VPS4A;BABAM2,GO_Biological_Process_2025__Mitotic Cell Cycle Checkpoint Signaling (GO:0007093)
GO:1904062,0.3773779073010171,0.9908008847248806,0.8158645419538473,49.20%,BPIFA1;CD63;YWHAE;SLMAP;HRC;WNK1,GO_Biological_Process_2025__Regulation of Monoatomic Cation Transmembrane Transport (GO:1904062)
GO:0007006,0.3465013895221905,0.9906943789882712,0.8154991989927316,59.54%,HSPA9;IMMT;PPIF;SAMM50;SLC25A5;LETM1;CHCHD3;BCL2L1;TIMM50;MTX1,GO_Biological_Process_2025__Mitochondrial Membrane Organization (GO:0007006)
GO:0061718,0.41491800650673,0.9906617335028384,0.814318274102277,40.36%,PFKP;ENO2;PGK1;HOOK3,GO_Biological_Process_2025__Glucose Catabolic Process to Pyruvate (GO:0061718)
GO:0061621,0.41491800650673,0.9906617335028384,0.814318274102277,40.36%,PFKP;ENO2;PGK1;HOOK3,GO_Biological_Process_2025__Canonical Glycolysis (GO:0061621)
GO:0006090,0.2994304543702419,0.9891073367152526,0.8169625976681907,40.52%,VDAC1;PROC;ENO2;PDHB;PGM1;DLAT;PDHA1;PGK1;GAPDH;HOOK3;PKM,GO_Biological_Process_2025__Pyruvate Metabolic Process (GO:0006090)
GO:0008631,0.4190504744042173,0.9889176992918152,0.8167460541443526,47.93%,PDCD10;STK24;PRKCD;MAP3K5;DIABLO,GO_Biological_Process_2025__Intrinsic Apoptotic Signaling Pathway in Response to Oxidative Stress (GO:0008631)
GO:0051260,0.2707244885283913,0.98883176441905,0.8163184608017386,47.32%,APP;EHD3;EHD1;PDCD6IP;ALAD;ATL3;APPL2;HSD17B10;HPRT1;ITPR1;COMP;SHMT2;DNM1;SSBP1;G3BP2;SOD2;SLC1A5;LETM1;TGM2,GO_Biological_Process_2025__Protein Homooligomerization (GO:0051260)
GO:0042058,0.3297880507547567,0.9888055105878664,0.8157566224620536,20.10%,TGFB1;PTPN12;RALB;DUSP3;TSG101,GO_Biological_Process_2025__Regulation of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058)
GO:0007158,0.4204881644126362,0.9881522284600128,0.8167901405182223,21.95%,NRXN1;NLGN1,GO_Biological_Process_2025__Neuron Cell-Cell Adhesion (GO:0007158)
GO:0048259,0.3050001125245279,0.987567652542242,0.8176458088139954,26.04%,FLOT1;ARAP1;HNRNPK;RAB21;ARF6;SERPINE1,GO_Biological_Process_2025__Regulation of Receptor-Mediated Endocytosis (GO:0048259)
GO:0043066,0.2353966645280681,0.9872017377338964,0.8178810349699879,48.34%,SNCA;HSPD1;PRDX3;SRC;HSPA9;PDCD10;NOL3;PRDX5;GAS6;ALOX12;VDAC1;COPS5;NOTCH2;PHB2;HSPB1;HCLS1;FASN;PPIF;ARF4;YWHAZ;PROC;ANXA5;ARHGDIA;FLNA;HNRNPK;NTRK2;HSP90B1;SERPINB9;SERPINE1;FLT4;PA2G4;THBS1;PTK2;PRKCD;COMP;CIB1;LAMTOR5;NCKAP1L;ANXA1;PTPRZ1;GLO1;NOTCH1;MYO18A;TXNDC5;API5;RELA;AXL;ANP32B;MTDH;CX3CL1;HSPA5;ITGA5;BABAM2;UFM1;CD44;UBE2Z;SOD2;ANGPT1;QARS1;SNX6;BNIP2;MMP9;DDX3X;HCK;GCG;TMBIM1;DSG2,GO_Biological_Process_2025__Negative Regulation of Apoptotic Process (GO:0043066)
GO:1990869,0.3429915430238032,0.9870565909642108,0.8175986920060982,49.20%,RHOA;DOCK8;CX3CL1;STK39;CCL5;OXSR1;WNK1,GO_Biological_Process_2025__Cellular Response to Chemokine (GO:1990869)
GO:0030279,0.4088472236301977,0.9870431168399102,0.8170057743987249,1.53%,SRGN,GO_Biological_Process_2025__Negative Regulation of Ossification (GO:0030279)
GO:0050852,0.2862274005702916,0.9865040797335096,0.8176499382413852,50.64%,FYB1;LCP2;PTPRC;CSK;FYN;CLSTN1;BTK;STOML2;PLCG2;IKBKB;TEC;IKBKG;CD247;WNK1;PTPRJ,GO_Biological_Process_2025__T Cell Receptor Signaling Pathway (GO:0050852)
GO:1903432,0.2995389194585373,0.9856870098136488,0.8190276557455116,65.57%,SRC;YWHAG;YWHAZ;PRKACB;LAMTOR1;LAMTOR3;SAR1A;RHEB;LAMTOR5;LAMTOR2;OTUB1;SYK;USP4;LONP1;PRMT1;CUL3;LAMTOR4;PRKAA1,GO_Biological_Process_2025__Regulation of TORC1 Signaling (GO:1903432)
GO:0016579,0.3151291682772403,0.9851266203778924,0.8197819100575362,60.78%,USP5;USP15;PSMD14;USP47;SHMT2;BABAM2;USP14;UCHL3;OTUB1;USP9X;USP4;YOD1;STAMBP;USP24,GO_Biological_Process_2025__Protein Deubiquitination (GO:0016579)
GO:0030003,0.2599344670698292,0.9851072015498468,0.8192044480541582,32.64%,APP;ATP2A3;STIM1;ATP2A2;GLRX3;ATP6V1A;ATP6AP1;ATP1B3;CALR;YWHAE;RMDN3;VAPB;ATP2C1;GDF2;SLC9A1;STOML2,GO_Biological_Process_2025__Intracellular Monoatomic Cation Homeostasis (GO:0030003)
GO:0046456,0.3801455073916697,0.9845988266997184,0.8198258363948451,9.92%,TBXAS1;PLA2G4A,GO_Biological_Process_2025__Icosanoid Biosynthetic Process (GO:0046456)
GO:0098883,-0.3825503355704698,-0.9843018155317486,0.8985840151008573,61.84%,C1QC;C1QB;C3;ITGAM;CX3CL1,GO_Biological_Process_2025__Synapse Pruning (GO:0098883)
GO:0051092,0.2896547035142984,0.983537156193481,0.8217916213460549,43.36%,PSMA6;PRDX3;MTPN;LGALS9;BTK;CIB1;RELA;MTDH;PPIA;UBE2V1;IKBKB;IKBKG;TRIM25,GO_Biological_Process_2025__Positive Regulation of NF-kappaB Transcription Factor Activity (GO:0051092)
GO:0007032,0.2964425575914022,0.983483781138546,0.821304841942587,33.50%,CORO1C;ATP6V1A;ATP6AP1;ATP6V0C;LAMTOR1;UBR4;ATP6AP2;PLEKHF1;DNM1;ATP6V0A1,GO_Biological_Process_2025__Endosome Organization (GO:0007032)
GO:0006139,0.362236475138089,0.9833877637850996,0.8209287109887929,58.10%,TK2;DPYSL2;NUDT5;ATIC;PRPSAP2;SLC29A1;MTAP;PRPS2,GO_Biological_Process_2025__Nucleobase-Containing Compound Metabolic Process (GO:0006139)
GO:0061024,0.2505157666724653,0.9831729554116512,0.8208048289874611,67.96%,DBNL;ESYT1;VAPA;SNAP23;STX11;LMNB2;NSFL1C;SPTBN1;EMD;PDCD6IP;CORO1C;TOR1A;TSG101;DNM2;SNAP29;VAPB;SAR1A;VAMP3;ATP2C1;HSPA8;AP3D1;LPCAT3;VPS28;TMEM43;SH3GLB1;USO1;HUWE1;NAPG;FNBP1L;CHMP4B;VPS4B;BIN1;LMNB1;VPS37B;SH3GLB2;CERT1;EXOC7;IST1;EXOC2;REEP5;VPS4A;SNX3;CHMP6;TIMM50;VPS25;EXOC8;TOR1AIP2;EXOC3;CHMP2A;PICALM;RABEP1;GCA;MFN2;EXOC4;HGS,GO_Biological_Process_2025__Membrane Organization (GO:0061024)
GO:0031116,0.3608809295747656,0.98274738105057,0.8211680999703658,8.23%,MAPRE1;DCTN1;CKAP5,GO_Biological_Process_2025__Positive Regulation of Microtubule Polymerization (GO:0031116)
GO:0002224,0.3535335267725863,0.9821232299256462,0.8220250266407559,52.49%,HSPD1;BTK;RELA;PLCG2;IKBKB;LY96;CTSS;IRAK4,GO_Biological_Process_2025__Toll-Like Receptor Signaling Pathway (GO:0002224)
GO:0035458,-0.3654092071611253,-0.9817018621094428,0.8986983898723211,63.56%,IFNAR1;UBE2K;CAMK2A;PNPT1;STAT1;NDUFA13,GO_Biological_Process_2025__Cellular Response to Interferon-Beta (GO:0035458)
GO:0050996,-0.3019833653230966,-0.9815240149904528,0.8921944321385223,69.91%,APOA4;APOA2;APOC2;CLSTN3;ANGPTL3;AKT2;APOA5;PRKCD,GO_Biological_Process_2025__Positive Regulation of Lipid Catabolic Process (GO:0050996)
GO:0009966,0.2587960170560348,0.9814553056537514,0.8230587037328735,62.48%,APP;SRC;CD47;YWHAG;CD63;MPIG6B;FGFR2;PTPN1;ILK;CSK;MGLL;FYN;NCK2;UBASH3B;NCAM1;STRN;GIT1;NRP1;STRN4;CX3CL1;PPIA;PPP6R1;IGFBP1;CD36;GNAS;PPP6R3;WDR11;MFNG;PLCB1;CD55;SNX3;RFNG;ACVR1;LFNG;TSPAN15;GAS1;CD46,GO_Biological_Process_2025__Regulation of Signal Transduction (GO:0009966)
GO:2001242,0.3193979219768069,0.9791191881452544,0.8279578746331653,22.27%,SRC;NOL3;BCAP31;PPIF;P4HB,GO_Biological_Process_2025__Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
GO:0070102,0.4112926821341834,0.978792169258754,0.8280920019163591,13.08%,SRC;STAT3,GO_Biological_Process_2025__Interleukin-6-Mediated Signaling Pathway (GO:0070102)
GO:0030148,0.3297117412641523,0.9785650011174252,0.8280232242307735,59.67%,VAPA;B3GALNT1;ASAH1;CERS2;HACD3;HACD4;TM9SF2;PPM1L;SPTLC1;OSBP;ST8SIA5,GO_Biological_Process_2025__Sphingolipid Biosynthetic Process (GO:0030148)
GO:0051281,0.3637778537965723,0.978513466241848,0.8275221455043407,54.88%,SNCA;ASPH;SRI;CX3CL1;GSTM2;CEMIP;F2RL3,GO_Biological_Process_2025__Positive Regulation of Release of Sequestered Calcium Ion Into Cytosol (GO:0051281)
GO:0022604,0.4100112383252224,0.9777990780530464,0.8285871602881174,22.40%,CAPZB;SPARC;MACF1,GO_Biological_Process_2025__Regulation of Cell Morphogenesis (GO:0022604)
GO:0042590,0.4055243301392018,0.9772698310590512,0.8291726070741272,45.25%,FCER1G;IKBKB;MFSD6;LNPEP,GO_Biological_Process_2025__Antigen Processing and Presentation of Exogenous Peptide Antigen via MHC Class I (GO:0042590)
GO:0034379,-0.344309462915601,-0.9764184192104212,0.899365693252503,65.67%,APOC1;APOB;APOC3;CIDEB;MTTP;LPCAT3,GO_Biological_Process_2025__Very-Low-Density Lipoprotein Particle Assembly (GO:0034379)
GO:0019730,0.2812512196595511,0.9751693777103142,0.833437896724268,45.18%,APP;BPIFA1;NTS;PF4;CTSG;COLEC11;PRSS2;S100A7;GAPDH;CX3CL1;HLA-E;CCL5;PRTN3,GO_Biological_Process_2025__Antimicrobial Humoral Response (GO:0019730)
GO:0006974,0.2637876727515578,0.9749143692039242,0.8334296247736077,62.99%,VCP;LYN;DDB1;GRB2;UBA1;MAPK14;NRBP1;PPP1CA;PROC;UBA7;LDLR;USP47;PRKCD;BID;CIB1;BABAM2;TAOK1;IKBKG;OTUB1;BAX;TAOK3;PKN1;WNK1;RPS3;PARK7;BCL2L1;UFL1;PRMT1;UPF1;BABAM1,GO_Biological_Process_2025__DNA Damage Response (GO:0006974)
GO:0099601,0.4268709705264994,0.9739888701821544,0.8350053984831382,22.08%,NLGN1;RELN,GO_Biological_Process_2025__Regulation of Neurotransmitter Receptor Activity (GO:0099601)
GO:0071300,0.4050738542213371,0.9736326446113792,0.8351938107067544,48.63%,LYN;TWF2;NDUFA13;TESC,GO_Biological_Process_2025__Cellular Response to Retinoic Acid (GO:0071300)
GO:0015711,0.3560374252098815,0.973198242940919,0.835632466325152,34.08%,RHAG;SLC2A3;CYB5R1;ABCC4;SLC4A1;CA4,GO_Biological_Process_2025__Organic Anion Transport (GO:0015711)
GO:0007005,0.2740604229293089,0.9729350563963648,0.8350159356070919,62.38%,HSPD1;PRDX3;DNM1L;RAB32;PHB2;HSD17B10;AIFM1;BID;STOML2;SSBP1;SAMM50;CLPP;VPS13C;MFF;COX7A2;BAX;LETM1;CHCHD3;PARK7;BCL2L1;TIMM50;MTX1;LONP1;RAB38,GO_Biological_Process_2025__Mitochondrion Organization (GO:0007005)
GO:0008286,-0.2204266649787172,-0.9723932409638744,0.90379998938695,48.88%,RARRES2;INSR;IGF2;GPLD1;IGF1;PIK3R1;IDE;NAMPT;FER;APPL1;AP3S1;AKT2;SLC39A14,GO_Biological_Process_2025__Insulin Receptor Signaling Pathway (GO:0008286)
GO:0009306,0.2842233731173067,0.9723919262409256,0.8350437503507934,57.95%,CANX;MIA3;PDIA4;PCSK5;STEAP3;AP1B1;LTBP3;AP1S1;MTTP;CAMK2G;GNAS;AP1G1;COPG2;COPG1;RCN3;PARK7;SCG2;TANGO2,GO_Biological_Process_2025__Protein Secretion (GO:0009306)
GO:0030217,0.3294638449365178,0.9719571620456754,0.8354207295560345,10.08%,TGFB1;PTPRC;FCER1G,GO_Biological_Process_2025__T Cell Differentiation (GO:0030217)
GO:0048675,0.4076272280670462,0.9718933799840338,0.834924997171145,30.25%,CYFIP1;NRP2;NRP1,GO_Biological_Process_2025__Axon Extension (GO:0048675)
