term,fdr,Odds Ratio,Combined Score,Genes,description
INSULIN,0.9999079,2.224405,6.595742,YWHAE;PCSK1;PTPN1;INSR;NOP2;LPL;SLC2A3;ENO2;IBSP;GHRL;CCN2;SHBG;ARF6;EIF4G1,INSULIN
NINTEDANIB,0.9999079,3.387192,9.903187,PDGFRB;PDGFRA;FLT4;KIT;FGFR4;FGFR3;FGFR2;FGFR1,NINTEDANIB
RISPERIDONE,0.9999079,3.387192,9.903187,TJP1;RABEP1;PPA2;PSMD14;FASN;GHRL;NTS;LRP1B,RISPERIDONE
DIPYRIDAMOLE,0.9999079,3.387192,9.903187,HSP90AA1;HSP90AB1;TSG101;PDE3A;PDE5A;SLC29A1;HSD17B10;ADA,DIPYRIDAMOLE
INFIGRATINIB,0.9999079,6.347915,17.53042,KIT;FGFR4;FGFR3;FGFR2;FGFR1,INFIGRATINIB
AST 487,0.9999079,1.97672,5.008578,PDGFRB;CSF1R;NTRK2;PDGFRA;ROCK2;MAPK14;HCK;LCK;TAOK1;KIT;TYRO3;FYN;MAP4K4;FGFR1,AST 487
IRINOTECAN,0.9999079,1.97672,5.008578,PDGFRB;RALBP1;UBE2I;TGFB1;SHMT1;ISG15;KLC1;KRAS;CSPG4;TOP1;PLCB1;FGFR3;CES2;CES1,IRINOTECAN
ROSIGLITAZONE,0.9999079,3.809023,9.614009,MAP2K3;RBP4;TG;CD40LG;SLC2A1;HSD17B10,ROSIGLITAZONE
LENVATINIB,0.9999079,3.809023,9.614009,PDGFRB;PDGFRA;FLT4;KIT;FGFR2;FGFR1,LENVATINIB
IUPHAR.LIGAND:707,0.9999079,1.906261,4.795318,MYRF;C1S;C1R;ARG1;ITPR1;C4BPA;C4BPB;C8A;C4B;C4A;ATP5F1A;C8G;C1QBP;ARF5;ARF6,IUPHAR.LIGAND:707
CEDIRANIB,0.9999079,1.725213,4.292059,CAMK2B;PDGFRB;LYN;CSF1R;PDGFRA;MAP2K2;SYK;SRC;FLT4;SLK;AXL;LCK;TAOK1;KIT;FYN;FGFR3;FGFR2;MAP4K4;FGFR1,CEDIRANIB
