term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0045621,0.003940931,21.67109,251.1987,SMARCE1;SMARCD2;SMARCC1;XRCC6;SMARCB1;SMARCC2;SYK;PRKDC;ARID1A;ARID1B;SMARCA2;SMARCA4;MMP14;AXL;BTK;NCKAP1L;GAS6,Positive Regulation of Lymphocyte Differentiation (GO:0045621)
GO:0000377,0.005686893,2.778142,30.94199,EIF4A3;HNRNPU;HNRNPR;PRPF19;EFTUD2;PNN;SYNCRIP;SNRPD2;SNRNP70;SNRPD3;SRRM2;DDX39B;SNRPE;SNRPA1;SNRPF;HNRNPH3;PABPC1;SNRNP200;SF3B4;DDX5;SF3B2;SF3B3;RBM8A;SRSF1;SNU13;HTATSF1;PRPF8;U2AF2;TRA2B;RALY;SNRPB2;KCNN4;SF3B1;RBM10;HSPA8;HNRNPA3;SF3A1;SF3A2;CDC5L;CWC15;LSM4;LSM3;LSM2;HNRNPM;LSM8;LSM7;HNRNPK;LSM6;HNRNPF;HNRNPA2B1;HNRNPC;RBMX,"RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377)"
GO:0002183,0.006072145,5.533584,60.41545,EIF4A2;EIF4A1;EIF4H;EIF2B1;EIF4B;EIF2B5;EIF2B4;EIF2B3;EIF2B2;EIF2S2;EIF3M;EIF2S3;EIF5;EIF3K;EIF3L;EIF3I;EIF3J;EIF3G;EIF3H;EIF3E;DHX29;EIF3F;EIF3D;EIF3A;EIF3B;EIF4G1,Cytoplasmic Translational Initiation (GO:0002183)
GO:0045739,0.006072145,5.533584,60.41545,H2AX;SMARCD2;MRE11;SMARCB1;PCNA;DHX9;HMGB1;BRCC3;BABAM1;BABAM2;TRIM28;RUVBL2;RUVBL1;DPF2;RPS3;SMARCE1;SMARCC1;SMARCC2;PARP1;ACTL6A;ARID1A;ARID1B;SMARCA2;UCHL5;SMARCA4;UBE2N,Positive Regulation of DNA Repair (GO:0045739)
GO:1903541,0.007083899,inf,inf,PDCD6IP;TSG101;SDC4;VPS4B;VPS4A;SNF8;STAM;SDCBP;HGS;CHMP2A;SDC1;CHMP6;RAB7A,Regulation of Exosomal Secretion (GO:1903541)
GO:0035987,0.007083899,11.47377,121.5755,ITGB5;ITGA4;COL11A1;LAMA4;COL12A1;ITGB2;FN1;LAMB1;INHBA;MMP9;VTN;MMP14;COL6A1;LEO1;ITGA7;PAF1;ITGAV;ITGA5,Endodermal Cell Differentiation (GO:0035987)
GO:0048522,0.007083899,1.679946,17.69654,APP;SMARCB1;CSF1;CIB1;CCAR1;CRKL;CAPNS1;IBSP;AKT2;NAMPT;CCN2;CAPN1;PRSS2;IL6R;TGM2;TPD52;PDGFRB;PDGFRA;RPS9;SMARCC1;SMARCC2;RPL23;CLEC11A;SERPINF2;RPS6;TPM1;ADAM10;ACSL4;HCFC1;CLDN5;ADAM17;PRTN3;S100A9;HDGFL2;PSMD10;CSF1R;NOTCH1;CUL3;HPN;NOP2;PDGFB;CHRD;PDGFA;LPL;NID1;PRDX3;SDCBP;ADGRG1;PDCD10;BLOC1S2;PDGFD;PDGFC;SSR1;RPRD1B;LYN;TGFB2;TGFB1;INSR;NRDC;TNFSF13;FN1;AZU1;PA2G4;IGF1;SMARCA2;NFKB1;PTK2;SMARCA4;BMP5;BMP4;CALR;FGFR4;IL7R;FGFR3;EIF4G2;FGFR2;EIF4G1;FGFR1;HSP90AB1;DDX3X;NUMA1;FLT4;PTPRJ;LAMC2;LAMC1;DNPH1;CX3CL1;LMNB2;RPS4X;PPP3CA;UFL1;ESM1;C1QBP;CTSH;ITGAV;PRMT1;ACTL6A;RHOG;RAD23A;REXO2;ARID1A;ARID1B;SIRT2;HCK;MMP14;KIT;HCLS1;DSG2;MVD;CD47;CDH15;SLC25A5;MTPN;SMARCD2;TNXB;MYRF;LAMA2;LAMA1;LRP5;THBS1;RELA;LRP6;GNAI2;CDC42;RPS15A;EPCAM;STX4;SMARCE1;CHGA;NTRK2;DYNC1H1;NPM1;CAVIN1;EGF;VEGFC;LAMB1;NAP1L1;S100B;TJP1;KITLG;DNAJA2;CCM2;PTPN6;HDGF;PKN1;P4HB;FAM98A;ZPR1,Positive Regulation of Cellular Process (GO:0048522)
GO:0030199,0.007083899,4.925863,51.7833,COL14A1;COL11A1;COL11A2;COL12A1;LOXL3;DPT;PLOD3;PLOD2;LOXL1;LOXL2;ADAMTS2;SERPINH1;CRTAP;TGFB2;LUM;SERPINF2;COL1A1;COL3A1;BMP1;COL5A1;LOX;P4HA1;COL5A3;COL5A2;TLL2;TLL1;DDR2,Collagen Fibril Organization (GO:0030199)
GO:0051130,0.008736324,3.086529,31.61536,CAMK2B;VCP;CD151;AHNAK;DCTN1;FAF1;NRXN1;BRK1;TREM2;ASAP1;PARK7;CLU;ADD1;CDH5;LGALS3;LMAN1;RELN;FLOT1;RACK1;RPS3;APOE;BID;SNCA;SH3GLB1;TGFB2;TMED9;TGFB1;GPX1;TMEM30A;ANXA2;SYK;INSR;SURF4;MMP3;BMP7;APOA5;MPP7;WARS1;TFR2;APOC2;CAMK1,Positive Regulation of Cellular Component Organization (GO:0051130)
GO:0031032,0.008736324,3.96117,40.16416,ITGB1;BMP10;ITGB5;WDR1;ROCK1;EPB41;ROCK2;SRC;CUL3;FLII;ARRB1;F11R;PDLIM1;TTR;CSRP1;PDCD10;EPB41L2;EPB41L3;MYO18A;FLNC;TMOD1;TMOD3;TPM1;RHOA;DNM2;TJP1;TNNT1;ZYX;MYH9;TCAP;MYL9,Actomyosin Structure Organization (GO:0031032)
GO:0070374,0.008736324,2.614123,26.46831,APP;NRP1;FLT4;CIB1;ARRB1;TREM2;HMGB1;PHB2;CX3CL1;CRKL;PYCARD;GLIPR2;NAMPT;CCN2;LGALS9;CD36;PDGFRB;FGB;PDGFRA;FGA;SERPINF2;FGG;NPNT;MTURN;GAS6;S100A9;CD44;S100A7;NOTCH2;CSF1R;NOTCH1;NRXN1;PDGFB;PDGFA;RAP1A;GPNMB;PDGFD;PDGFC;APOE;CD74;TGFB1;ANGPT1;PTPN11;IGF1;MARCO;PTPRC;FGFR4;FGFR3;FERMT2;FGFR2;HLA-DRB1,Positive Regulation of ERK1 and ERK2 Cascade (GO:0070374)
GO:0030335,0.008736324,1.793121,18.10021,SPARC;CSF1;CLSTN1;EMC10;CIB1;CLDN1;CCAR1;CRKL;MYLK;CDH5;AKT2;BSG;CPNE3;PDGFRB;PDGFRA;SEMA6D;ADAM10;ACTN4;SHTN1;ADAM17;CLDN3;MYADM;ADAM9;PFN1;GPLD1;IGSF8;CSF1R;CEMIP;CD151;NOTCH1;PDGFB;PDGFA;FBLN1;FUT1;RTN4;SDCBP;VTN;RRAS;PDCD10;PODXL;PDGFD;PDGFC;PLCG2;NCKAP1L;S100A11;CARMIL1;HSPA8;TGFB2;TGFB1;UBE2I;HSPA5;INSR;RDX;FN1;IGF1;PTK2;COL1A1;PROC;PTPRC;CASS4;CALR;FERMT2;FERMT3;ITGB1;NRP1;NRP2;FLT4;ITGB3;MIA3;LAMC2;CX3CL1;PPP3CA;GLIPR2;C1QBP;RACK1;CTSH;MADCAM1;GFUS;MMP7;ANXA3;FGR;PTP4A1;F7;MMP14;KIT;ANGPTL3;NUMB;PECAM1;CDH13;ITGA6;ARHGEF7;DDR2;LRRC15;ROCK2;SRC;SEMA3B;SEMA3F;THBS1;HDAC6;PPM1F;CDC42;GPNMB;MGAT5;STX4;MAP4K4;CHGA;SPAG9;DMTN;ANGPT1;EGF;STAT3;LAMB1;TJP1;PKN1,Positive Regulation of Cell Migration (GO:0030335)
GO:0006397,0.008736324,2.281584,22.94759,EIF4A3;HNRNPU;HNRNPR;PRPF19;EFTUD2;PNN;SYNCRIP;SNRPD2;SNRNP70;SNRPD3;SRRM2;AQR;NSUN2;SFPQ;DDX39B;SNRPE;SNRPA1;HNRNPH3;PABPC1;SNRPF;SNRNP200;SRSF7;SF3B4;SF3B2;DDX5;SF3B3;RBM8A;SRSF1;SNU13;HTATSF1;PRPF8;MYG1;U2AF2;TRA2B;LEO1;RPRD1B;RALY;SNRPB2;KCNN4;SF3B1;RBM10;HNRNPA0;HSPA8;SF3A1;CPSF7;HNRNPA3;SF3A2;CPSF6;CDC5L;CWC15;LSM4;LSM3;LSM2;HNRNPM;NUDT21;LSM8;LSM7;HNRNPK;LSM6;HNRNPF;HNRNPA2B1;PAF1;HNRNPC;RBMX,mRNA Processing (GO:0006397)
GO:0098742,0.008798638,2.399439,24.01377,ITGB1;CD84;ITGAM;PTPRS;ITGB2;LRRC4;PTPRM;ITGAL;CELSR2;CLDN1;PKD1;CDH8;CDH6;CDH5;ALCAM;CDH2;BSG;HMCN2;CLDN5;CDH10;SELENOP;CDH11;PECAM1;CDH13;DSG2;CDH15;CDH17;CDH19;NLGN1;NRXN1;NEXN;UMOD;ATP2C1;SLITRK1;CDH23;GPC4;LRRC4B;LGALS7B;TGFB2;CADM4;VCAM1;CADM1;CADM2;CRTAM;PCDHGC3;PCDHB14;L1CAM;SDK1;SELL;FAT2;PLXNB2;DCHS1;ESAM;FAT4;NECTIN3;SDK2;NECTIN2;CBLN1,Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742)
GO:0001732,0.009626277,inf,inf,EIF3M;EIF5;EIF3K;EIF3L;EIF3I;EIF3J;EIF3G;EIF3H;EIF3E;EIF3F;EIF3D;EIF3B,Formation of Cytoplasmic Translation Initiation Complex (GO:0001732)
GO:1903543,0.009626277,inf,inf,SDCBP;PDCD6IP;TSG101;SDC4;HGS;VPS4B;VPS4A;CHMP2A;SDC1;SNF8;STAM;RAB7A,Positive Regulation of Exosomal Secretion (GO:1903543)
