Protein_Group	Genes	AURKA_dox+_vs_AURKA_dox-_logFC	AURKA_dox+_vs_AURKA_dox-_pval	Removed?	Contaminant?
Q9HC78	ZBTB20	5.69388283942769	4.38214208529883e-10	No	No
Q9NQ11	ATP13A2	4.98228480440309	9.8430886060144e-13	No	No
Q9NQS7	INCENP	5.2866147589674	8.87750162292852e-07	No	No
Q9NRH3	TUBG2	7.05621479560432	1.88881921517409e-11	No	No
Q9NVS2	MRPS18A	6.31558884936904	2.97615960516134e-12	No	No
Q9NZE8	MRPL35	6.15257402207691	1.8078440948402102e-19	No	No
Q9P2D0	IBTK	4.59887190795912	6.48859554673847e-05	No	No
Q9UDW3	ZMAT5	10.1068956185544	1.84196298203096e-23	No	No
Q9UHK0	NUFIP1	4.4970057582145	7.38387277236972e-06	No	No
Q9UKS7	IKZF2	6.68120230236111	4.68594276272459e-17	No	No
Q9ULW0	TPX2	5.43011913100386	4.97909718059352e-16	No	No
Q9UN81	L1RE1	6.55169418099001	2.0935245654125299e-22	No	No
Q9UNX3	RPL26L1	5.04518285132604	6.96813871701509e-10	No	No
Q9Y291	MRPS33	7.54827831072548	1.9012913631336601e-10	No	No
Q9Y2F5	ICE1	4.70625832575316	4.27021628644394e-10	No	No
Q9Y2V0	CDIN1	9.3005405973947	3.5781609495342e-24	No	No
Q9Y448	KNSTRN	9.86965403101744	4.5122335059763996e-17	No	No
Q9Y5A6	ZSCAN21	10.7629219733213	3.52261343968867e-27	No	No
Q9Y6A5	TACC3	5.67342047428127	1.06387559415375e-14	No	No
Q9Y6G3	MRPL42	10.3996080407515	1.7648210772095e-27	No	No
