term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__DEXAMETHASONE,0.6598685874781798,2.1344443167372824,0.1258502595217216,0.49%,VEGFA;DPEP1;S100A10;CTNNB1,DGIdb_Drug_Targets_2024__DEXAMETHASONE
DGIdb_Drug_Targets_2024__PEMETREXED,0.7023182235264274,1.7954214113696376,0.4649199010408215,1.33%,VEGFA;RRM1,DGIdb_Drug_Targets_2024__PEMETREXED
DGIdb_Drug_Targets_2024__WARFARIN,0.7017888318266292,1.763907084350529,0.3735055916519666,5.31%,VEGFA;VWF,DGIdb_Drug_Targets_2024__WARFARIN
DGIdb_Drug_Targets_2024__THALIDOMIDE,0.5850217601085657,1.7018335669585607,0.4475549854241225,5.31%,VEGFA;CTNNB1;VWF,DGIdb_Drug_Targets_2024__THALIDOMIDE
DGIdb_Drug_Targets_2024__FENOFIBRATE,0.6171173691172717,1.6161413693079336,0.5052302569752836,0.06%,VEGFA,DGIdb_Drug_Targets_2024__FENOFIBRATE
DGIdb_Drug_Targets_2024__LINIFANIB,-0.6732600249442637,-1.6110405869386772,0.3856072858788353,10.89%,CAMK1;PRKG1;MAP2K2;KIT;ROCK2;ROCK1;SRC;NTRK2,DGIdb_Drug_Targets_2024__LINIFANIB
DGIdb_Drug_Targets_2024__METFORMIN HYDROCHLORIDE,-0.7905231663468206,-1.5909364240896773,0.3495585613908565,1.97%,NDUFA8;NDUFV2;NDUFV1,DGIdb_Drug_Targets_2024__METFORMIN HYDROCHLORIDE
DGIdb_Drug_Targets_2024__DIPYRIDAMOLE,-0.8076767127620832,-1.582047523870978,0.3784777174877259,0.61%,PDE3A;PDE5A,DGIdb_Drug_Targets_2024__DIPYRIDAMOLE
DGIdb_Drug_Targets_2024__EVEROLIMUS,0.6977182597608773,1.5791051431942331,0.5236769132320527,5.10%,CTNNB1;FGFR4,DGIdb_Drug_Targets_2024__EVEROLIMUS
DGIdb_Drug_Targets_2024__KENPAULLONE,-0.7932290244950899,-1.547740697754673,0.4383229164801629,9.65%,FYN;ROCK2;ROCK1;LCK;SRC,DGIdb_Drug_Targets_2024__KENPAULLONE
DGIdb_Drug_Targets_2024__CENISERTIB,-0.6210147834098562,-1.5476801953215065,0.4297605456955068,10.89%,FYN;PRKG1;PRKCD;MAP2K2;KIT;ROCK2;ROCK1;LCK;SRC;NTRK2,DGIdb_Drug_Targets_2024__CENISERTIB
DGIdb_Drug_Targets_2024__DOVITINIB,-0.6327864279561467,-1.5415046978355893,0.4425191588074965,10.89%,FYN;PRKCD;MAP2K2;KIT;ROCK2;LCK;FGFR2;SRC;NTRK2,DGIdb_Drug_Targets_2024__DOVITINIB
DGIdb_Drug_Targets_2024__ILORASERTIB,-0.6015594452409884,-1.5374649342847129,0.4440625632417082,10.89%,FYN;CAMK1;PRKCD;MAP2K2;KIT;ROCK2;ROCK1;LCK;SRC;NTRK2,DGIdb_Drug_Targets_2024__ILORASERTIB
DGIdb_Drug_Targets_2024__SNS 314,-0.7030036329435747,-1.5140472738858248,0.3951475336400009,10.89%,PRKCD;KIT;ROCK2;NTRK2,DGIdb_Drug_Targets_2024__SNS 314
DGIdb_Drug_Targets_2024__PENTOXIFYLLINE,-0.8452011246348878,-1.5081524878446009,0.416001924615257,0.61%,PDE3A;PDE5A,DGIdb_Drug_Targets_2024__PENTOXIFYLLINE
DGIdb_Drug_Targets_2024__OPIOIDS,-0.8199096668382901,-1.4873417777303293,0.4681809772196924,9.71%,PDE3A;TAOK3;EXOC4,DGIdb_Drug_Targets_2024__OPIOIDS
DGIdb_Drug_Targets_2024__AST 487,-0.6673336727099346,-1.4721663249654493,0.4868790140460962,10.89%,FYN;KIT;ROCK2;LCK;NTRK2,DGIdb_Drug_Targets_2024__AST 487
DGIdb_Drug_Targets_2024__RG 1530,-0.5992758196747339,-1.4605737500285474,0.5027979666479931,10.89%,FYN;PRKCD;MAP2K2;KIT;LCK;FGFR2;SRC;NTRK2,DGIdb_Drug_Targets_2024__RG 1530
DGIdb_Drug_Targets_2024__PROGESTERONE,-0.7032549829442444,-1.4513396063520796,0.5061408287861495,18.02%,ROCK2;ALDH1A1;TPM3;TARDBP;SLC2A1,DGIdb_Drug_Targets_2024__PROGESTERONE
DGIdb_Drug_Targets_2024__CEDIRANIB,-0.6210491002419715,-1.431348076789148,0.5176322158883532,9.65%,FYN;MAP2K2;KIT;LCK;FGFR2;SRC,DGIdb_Drug_Targets_2024__CEDIRANIB
DGIdb_Drug_Targets_2024__PF 562271,-0.5762762464632385,-1.4246774580013086,0.5369426176527778,10.89%,FYN;PRKCD;MAP2K2;ROCK2;ROCK1;LCK;SRC;NTRK2,DGIdb_Drug_Targets_2024__PF 562271
DGIdb_Drug_Targets_2024__BARASERTIB,-0.7897399979947732,-1.4195725726748516,0.5450513972337303,9.52%,FYN;KIT;LCK,DGIdb_Drug_Targets_2024__BARASERTIB
DGIdb_Drug_Targets_2024__ENMD 2076,-0.6525809971625939,-1.4191503781269212,0.544257764963698,9.65%,FYN;KIT;LCK;FGFR2;SRC,DGIdb_Drug_Targets_2024__ENMD 2076
DGIdb_Drug_Targets_2024__JNJ 26483327,-0.7830805451820001,-1.418183654302546,0.5463977100993161,9.65%,FYN;LCK;SRC,DGIdb_Drug_Targets_2024__JNJ 26483327
DGIdb_Drug_Targets_2024__BUPROPION,-0.8087197344059596,-1.4115423515618202,0.5427822551206068,12.59%,SACM1L;EPB41;FKBP5,DGIdb_Drug_Targets_2024__BUPROPION
