term,ES,NES,fdr,Gene %,Genes,description
Reactome_Pathways_2024__A Tetrasaccharide Linker Sequence Is Required for GAG Synthesis,0.7352360779943408,2.1248110379416447,0.0718395231436494,18.14%,VCAN;GPC4;SDC1;DCN;BGN;AGRN;HSPG2;GPC6;BCAN;GPC1,Reactome_Pathways_2024__A Tetrasaccharide Linker Sequence Is Required for GAG Synthesis
Reactome_Pathways_2024__Activation of ATR in Response to Replication Stress,0.7350102798280133,1.7647079157827774,0.3899784916929348,4.76%,MCM3;MCM2;RPA2,Reactome_Pathways_2024__Activation of ATR in Response to Replication Stress
Reactome_Pathways_2024__ADP Signalling Through P2Y Purinoceptor 1,-0.7520813325025263,-1.6006242100181856,0.3538709674457509,10.16%,GNB1;GNA11;GNAQ;SRC;GNG11;GNB4,Reactome_Pathways_2024__ADP Signalling Through P2Y Purinoceptor 1
Reactome_Pathways_2024__Activation of C3 and C5,0.6416413373860183,1.493519576994421,0.5746275582058702,35.97%,CFB;C5;CFP;C4B;C3;C2;C4A,Reactome_Pathways_2024__Activation of C3 and C5
Reactome_Pathways_2024__Activation of HOX Genes During Differentiation,0.6226768695756552,1.483702186949076,0.5931713100119294,10.16%,RBBP5;DPY30;RBBP7;POLR2G,Reactome_Pathways_2024__Activation of HOX Genes During Differentiation
Reactome_Pathways_2024__Activation of G Protein Gated Potassium Channels,-0.7440118654663537,-1.4004435524776622,0.5675266967760662,10.16%,GNB1;GNG11;GNB4,Reactome_Pathways_2024__Activation of G Protein Gated Potassium Channels
Reactome_Pathways_2024__ATF4 Activates Genes in Response to Endoplasmic Reticulum Stress,-0.7860827920852836,-1.3790987346685948,0.5992654037006109,1.15%,EXOSC6,Reactome_Pathways_2024__ATF4 Activates Genes in Response to Endoplasmic Reticulum Stress
Reactome_Pathways_2024__ADORA2B Mediated Anti-Inflammatory Cytokines Production,-0.6270318576443902,-1.360595928099801,0.6058001378856371,21.57%,GNB1;GNG11;GNB4;GNAS;PRKAR2B;PRKAR1A;GNAZ,Reactome_Pathways_2024__ADORA2B Mediated Anti-Inflammatory Cytokines Production
Reactome_Pathways_2024__Activation of GABAB Receptors,-0.6812052935681109,-1.3570551385373495,0.605026881650024,10.16%,GNB1;GNG11;GNB4,Reactome_Pathways_2024__Activation of GABAB Receptors
Reactome_Pathways_2024__ADP Signalling Through P2Y Purinoceptor 12,-0.6812052935681109,-1.3570551385373495,0.605026881650024,10.16%,GNB1;GNG11;GNB4,Reactome_Pathways_2024__ADP Signalling Through P2Y Purinoceptor 12
Reactome_Pathways_2024__Acetylcholine Regulates Insulin Secretion,-0.692862703978887,-1.2592550074139588,0.6802156586237298,7.92%,GNA11;GNAQ,Reactome_Pathways_2024__Acetylcholine Regulates Insulin Secretion
Reactome_Pathways_2024__AURKA Activation by TPX2,-0.5322912574383135,-1.2490837287992058,0.6902727381301849,38.85%,CEP135;PRKAR2B;TUBA4A;DCTN1;MAPRE1;NDE1;DCTN2;DYNC1H1;PPP2R1A;DCTN3;ACTR1A;TUBB;TUBB4B;TUBB4A,Reactome_Pathways_2024__AURKA Activation by TPX2
Reactome_Pathways_2024__AUF1 (hnRNP D0) Binds and Destabilizes mRNA,-0.4899667118865449,-1.232004453556068,0.712722624809307,37.49%,PSMD12;PSMD3;PSMD13;PSMC6;HNRNPD;PSMD6;PSMD1;PSMC1;PSMD14;PSMD11;PSMD8;HSBP1;PSMC4;PSMC3;PSMD2;PSMD7;PSMC5;PSMC2;PSMB3;PSMA6;PSMA3;PSMB2;PSMA2,Reactome_Pathways_2024__AUF1 (hnRNP D0) Binds and Destabilizes mRNA
Reactome_Pathways_2024__APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,-0.4992930259871983,-1.2237800447330605,0.7120542237281485,37.49%,PSMD12;PSMD3;PSMD13;PSMC6;PSMD6;PSMD1;PSMC1;PSMD14;PSMD11;PSMD8;PSMC4;PSMC3;PSMD2;PSMD7;PSMC5;PSMC2;PSMB3;PSMA6;PSMA3;PSMB2;PSMA2,Reactome_Pathways_2024__APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1
Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Securin,-0.4992930259871983,-1.2237800447330605,0.7120542237281485,37.49%,PSMD12;PSMD3;PSMD13;PSMC6;PSMD6;PSMD1;PSMC1;PSMD14;PSMD11;PSMD8;PSMC4;PSMC3;PSMD2;PSMD7;PSMC5;PSMC2;PSMB3;PSMA6;PSMA3;PSMB2;PSMA2,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Securin
Reactome_Pathways_2024__APC C-mediated Degradation of Cell Cycle Proteins,-0.4734021867490303,-1.1787206697917614,0.7558702931633212,37.49%,PSMD12;PSMD3;PSMD13;CUL1;PSMC6;PSMD6;PSMD1;PSMC1;PSMD14;PSMD11;PSMD8;PSMC4;PSMC3;PSMD2;PSMD7;PSMC5;PSMC2;PSMB3;SKP1;PSMA6;PSMA3;PSMB2;PSMA2,Reactome_Pathways_2024__APC C-mediated Degradation of Cell Cycle Proteins
Reactome_Pathways_2024__Activation of AMPK Downstream of NMDARs,-0.5995363635743405,-1.1575904950636322,0.7746601816362297,38.85%,TUBB1;TUBA8;TUBA4A;TUBA4B;TUBAL3;TUBB4B;TUBB4A,Reactome_Pathways_2024__Activation of AMPK Downstream of NMDARs
Reactome_Pathways_2024__APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint,-0.4612097097930721,-1.140160062877424,0.7831918211386112,37.49%,PSMD12;PSMD3;PSMD13;PSMC6;PSMD6;PSMD1;PSMC1;PSMD14;PSMD11;PSMD8;PSMC4;PSMC3;PSMD2;PSMD7;PSMC5;PSMC2;PSMB3;PSMA6;PSMA3;PSMB2;PSMA2,Reactome_Pathways_2024__APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint
Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Mitotic Proteins,-0.4612097097930721,-1.140160062877424,0.7831918211386112,37.49%,PSMD12;PSMD3;PSMD13;PSMC6;PSMD6;PSMD1;PSMC1;PSMD14;PSMD11;PSMD8;PSMC4;PSMC3;PSMD2;PSMD7;PSMC5;PSMC2;PSMB3;PSMA6;PSMA3;PSMB2;PSMA2,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Mitotic Proteins
Reactome_Pathways_2024__Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins,-0.4612097097930721,-1.140160062877424,0.7831918211386112,37.49%,PSMD12;PSMD3;PSMD13;PSMC6;PSMD6;PSMD1;PSMC1;PSMD14;PSMD11;PSMD8;PSMC4;PSMC3;PSMD2;PSMD7;PSMC5;PSMC2;PSMB3;PSMA6;PSMA3;PSMB2;PSMA2,Reactome_Pathways_2024__Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins
Reactome_Pathways_2024__Activation of BH3-only Proteins,0.4013998782714545,1.0906674690933509,0.8223042362213848,59.99%,BAD;PPP3R1;SFN;YWHAZ;YWHAE;YWHAG;YWHAB;YWHAQ;YWHAH;AKT2;BID,Reactome_Pathways_2024__Activation of BH3-only Proteins
