Protein_Group	Genes	MoMacs_day15_vs_MoMacs_day30_logFC	MoMacs_day15_vs_MoMacs_day30_pval	Removed?	Contaminant?
Q9D1D4	Tmed10	-7.73664655883006	1.08388369747447e-06	No	No
Q9D1E6	Tbcb	-7.11184442433867	7.11805571232222e-07	No	No
Q9D3D9	Atp5f1d	-7.48986994142999	8.02067498482394e-09	No	No
Q9D6R2	Idh3a	-10.1501175488738	1.71667965007042e-10	No	No
Q9D8B3	Chmp4b	-8.28014926317966	1.00407580320067e-08	No	No
Q9D8S4	Rexo2	-6.90855179983001	3.44251339419794e-11	No	No
Q9DCN2	Cyb5r3	-7.30465680634825	2.37863044808413e-06	No	No
Q9EQH2	Erap1	-6.89960178432861	2.59129490661109e-10	No	No
Q9ESE1	Lrba	-7.74255629188705	4.63173004822948e-07	No	No
Q9JHK5	Plek	-7.60825802580571	2.56447990601586e-10	No	No
Q9JK48	Sh3glb1	-7.37630227465993	9.330944346104e-11	No	No
Q9QYR9	Acot2	-8.18139515208141	5.34221561042159e-06	No	No
Q9QZB7	Actr10	-9.37487271205301	3.80753250710463e-06	No	No
Q9R0C8	Vav3	-12.4038381900384	2.82242391215728e-08	No	No
Q9WTX6	Cul1	-8.43998008128073	3.42482685771876e-05	No	No
Q9WUK2	Eif4h	-7.36014375980448	3.74173849234758e-10	No	No
Q9Z0G0	Gipc1	-6.7081301596982	1.87701781555417e-08	No	No
Q9Z0R6	Itsn2	-8.74516325410627	8.83159266012374e-13	No	No
Q9Z0U1	Tjp2	-6.83771246540648	3.18478019765084e-05	No	No
Q9Z183	Padi4	-10.931591020306	2.16097003157685e-16	No	No
Q9Z2I9	Sucla2	-6.93833260063876	1.69003433860446e-07	No	No
