Protein_Group	Genes	TRM_day15_vs_MoMacs_day15_logFC	TRM_day15_vs_MoMacs_day15_pval	Removed?	Contaminant?
P14602	Hspb1	3.90300022742096	0.006712468217069	No	No
P14685	Psmd3	2.8195949683355	0.0049138895510118	No	No
P14869	Rplp0	2.83538711383131	0.0072173705037838	No	No
P15105	Glul	4.22045143991896	0.0012455181498543	No	No
P15379	Cd44	3.49795612719139	4.21274517874251e-06	No	No
P15532	Nme1	4.07951092778257	0.0008256810949912	No	No
P16110	Lgals3	2.08777672002365	0.0065535007466844	No	No
P16406	Enpep	7.04356482100238	1.61981659907808e-07	No	No
P16675	Ctsa	2.6284950632003	0.0017419908808641	No	No
P16858	Gapdh	3.20808042377264	0.0032753483841788	No	No
P17182	Eno1	2.2584388380488	0.0024491532332306	No	No
P17426	Ap2a1	3.59461900266545	0.0001035071383386	No	No
P17427	Ap2a2	3.78624887910328	0.000183522777683	No	No
P17742	Ppia	2.82503609455031	0.0021390242892088	No	No
P17751	Tpi1	3.53113178855403	0.0015291379523351	No	No
P18242	Ctsd	3.05109186173354	0.0004879084712701	No	No
P18528	gene	3.83332327788977	0.0013260073364183	No	No
P18654	Rps6ka3	3.59850355974507	0.0095324744547753	No	No
P19973	Lsp1	2.92126009798756	0.001074825190352	No	No
P20029	Hspa5	2.85499377830323	0.0020545903812518	No	No
P20152	Vim	2.30307500817332	0.0012662182213749	No	No
P22892	Ap1g1	3.4866644631425	0.0002937118835952	No	No
P22935	Crabp2	3.73359440615638	0.0066763207047959	No	No
P23475	Xrcc6	9.06241154393954	1.53038657224631e-08	No	No
P23591	Gfus	3.44067283096729	0.0006921102597328	No	No
P24369	Ppib	4.03101781039021	7.47540946613229e-05	No	No
P24452	Capg	3.53168707029264	0.0002990103781875	No	No
P24527	Lta4h	2.47010547615449	9.59488161907477e-05	No	No
P25799	Nfkb1	4.91643664570129	0.0016407866974781	No	No
P26040	Ezr	5.11081148736751	5.46032855655735e-06	No	No
P26041	Msn	2.7090301060273	7.69050285408181e-05	No	No
P26043	Rdx	2.81528030750653	0.0059134997624778	No	No
P26443	Glud1	3.77933172293264	6.26830536770283e-05	No	No
P26645	Marcks	2.93627786091956	0.0009381532335314	No	No
P27659	Rpl3	3.11423512096715	0.0089391779309353	No	No
P27773	Pdia3	5.24022205784454	2.15674416816501e-06	No	No
P28271	Aco1	3.00110326052549	7.24701578001373e-05	No	No
P28352	Apex1	4.58592483944543	0.0001407277726673	No	No
P28665	Mug1	4.23692539546985	0.0039343942993132	No	No
P28843	Dpp4	2.25806130919429	0.0048352873701466	No	No
P29341	Pabpc1	3.01718428604179	0.0072850259572587	No	No
P29391	Ftl1	5.27159106307559	3.86821867891708e-08	No	No
P29416	Hexa	2.05474659315487	0.0063265925245915	No	No
P31750	Akt1	3.45220395483506	0.0042400394763561	No	No
P32883	Kras	2.48985096182968	0.0004101526211207	No	No
P34884	Mif	3.23085023912201	0.0032042698593238	No	No
P35278	Rab5c	6.93481492645539	3.45476675342662e-06	No	No
P35279	Rab6a	4.07154565148306	0.0012816134216268	No	No
P35492	Hal	3.36696896842788	0.0078340175764895	No	No
P35585	Ap1m1	3.70649024032948	9.08300040822005e-05	No	No
P35700	Prdx1	2.69571035208178	0.0006489425642703	No	No
P35979	Rpl12	3.72589545305267	0.0030090281023859	No	No
P36536	Sar1a	2.74058923364562	0.0058185518969485	No	No
P39054	Dnm2	4.05106313487289	0.0015631951050387	No	No
P39749	Fen1	5.00145017208576	0.0001756560854063	No	No
P40124	Cap1	3.82286854421518	0.0018108208130264	No	No
P40336	Vps26a	3.58474458221976	5.82491311287117e-05	No	No
P41105	Rpl28	3.93241031836644	0.0037329320303724	No	No
P41216	Acsl1	3.51663479824231	0.0051842263810636	No	No
P42128	Foxk1	3.13764007093255	1.80389282119533e-06	No	No
P42208	Septin2	3.27625814079579	0.0018507501966574	No	No
P42227	Stat3	3.71060897223341	0.0018840097016954	No	No
P45376	Akr1b1	2.38399530583659	0.0069068415365179	No	No
P45591	Cfl2	2.6710557292594	0.0078355827988735	No	No
P45878	Fkbp2	6.77823711755063	3.7039862725040104e-09	No	No
P45952	Acadm	3.34925490028691	0.001824865060559	No	No
P46638	Rab11b	3.29216098333558	0.0022272553631297	No	No
P46664	Adss2	2.66987930035357	0.0016496827178961	No	No
P47753	Capza1	2.02073031928694	0.0079616494071243	No	No
P47754	Capza2	2.2965237245211	0.0087883196880058	No	No
P47757	Capzb	2.53339706835441	0.0060220607556324	No	No
P47791	Gsr	2.49229654275234	0.0004435922845672	No	No
P47811	Mapk14	2.19995034982124	0.0073081677734561	No	No
P47968	Rpia	2.54989235612479	0.0002130653823441	No	No
P48025	Syk	4.07417155307609	0.0018416625669524	No	No
P48036	Anxa5	2.19324542537849	0.0006780053220697	No	No
P48678	Lmna	3.9586797512836	0.0005559544596554	No	No
P48999	Alox5	3.2076366551277	0.0003211307396406	No	No
P49717	Mcm4	3.53938109804466	0.0088166160900211	No	No
P49722	Psma2	2.47990264012232	0.000406494724232	No	No
P49935	Ctsh	4.78511357307017	7.42167191729218e-07	No	No
P50247	Ahcy	2.79987945099892	0.0031805500776035	No	No
P50396	Gdi1	4.05665865905483	4.40873348541142e-05	No	No
P50405	Sftpb	7.08278092680839	7.227643294849111e-14	No	No
P50516	Atp6v1a	3.38970581879423	0.0017505145140301	No	No
P50518	Atp6v1e1	4.80574710992951	0.0058644163384357	No	No
P50543	S100a11	3.20618683179673	0.0004521099762432	No	No
P51150	Rab7a	3.78578301608573	0.0023571978072195	No	No
P51432	Plcb3	3.08242774485992	0.000250160462005	No	No
P51660	Hsd17b4	5.74666241715098	1.70051578175537e-06	No	No
P51855	Gss	4.6930258012394	5.08618373090601e-06	No	No
P52480	Pkm	2.70422844386498	0.0088921315301934	No	No
P53026	Rpl10a	2.44095980977742	0.0009132262947812	No	No
