Protein_Group	Genes	Ctrl_Piezo1_KO_YODA1+_vs_Ctrl_Piezo1_KO_YODA1-_logFC	Ctrl_Piezo1_KO_YODA1+_vs_Ctrl_Piezo1_KO_YODA1-_pval
Q8N441	FGFRL1	-1.58383203652274	1.9111336213296202e-09
Q8N5Z5	KCTD17	-1.13691212835009	0.0002413169604202
Q8NCM8	DYNC2H1	-1.2100340931936	0.0051757386740959
Q8NE65	ZNF738	-1.05142948994754	0.0004704145346601
Q8TDR2	STK35	-2.39722447043512	0.0088953244151401
Q8TEL6	TRPC4AP	-1.5098280180469	6.46246966387138e-05
Q8WVF1	OSCP1	-1.08193048078805	0.0010393795303775
Q92823	NRCAM	-1.53091336893792	1.3441267326782e-07
Q96A37	RNF166	-1.3053941814544	0.006920698971647
Q96AB6	NTAN1	-1.65291232212434	0.0052040957392536
Q96ED9	HOOK2	-2.52273895598922	0.0088783519120116
Q96MG7	NSMCE3	-1.32949847372242	0.0068573069864584
Q96P44	COL21A1	-2.09247480954345	0.0023176767755085
Q96RK4	BBS4	-2.17274409355941	0.0030012133138586
Q99523	SORT1	-1.10128591756889	3.34269700229474e-10
Q9BY41	HDAC8	-1.36731604236738	0.001601607566993
Q9H336	CRISPLD1	-1.26395822029764	0.0071477210620432
Q9H3M7	TXNIP	-1.47376512695001	0.0001314648122336
Q9H7C9	AAMDC	-1.3262926640011	0.0007551263447972
Q9H7X7	IFT22	-1.04500273107346	0.0001376770287415
Q9HC56	PCDH9	-1.44244693083675	0.0015726809862584
Q9HCL0	PCDH18	-1.5636935663463	0.0014438089769947
Q9NS68	TNFRSF19	-1.21479423213025	0.0035039880489626
Q9NZ53	PODXL2	-1.18537190590883	1.79978653549356e-11
Q9UBG0	MRC2	-1.05394771331283	1.32495199075796e-13
Q9UNN8	PROCR	-1.36924096249113	5.2609778631709e-07
Q9UNT1	RABL2B	-3.94803956157368	1.69202688410375e-44
Q9UPM9	B9D1	-1.23047752732542	0.0036663709862875
Q9UPQ7	PDZRN3	-1.52081591092763	0.0096344222032558
Q9Y3D2	MSRB2	-1.16298552903615	0.0017254341066094
Q9Y573	IPP	-1.27875643437649	0.0010711758896325
Q9Y5X0	SNX10	-1.08558215116015	0.0085503191073166
Q9Y6N7	ROBO1	-1.26949688854731	3.87038783140444e-12
