Protein_Group	Genes	Ctrl_Piezo1_OE_YODA1+_vs_Ctrl_Piezo1_OE_YODA1-_logFC	Ctrl_Piezo1_OE_YODA1+_vs_Ctrl_Piezo1_OE_YODA1-_pval
O00622	CCN1	1.63863418501572	7.42453208007805e-06
O15054	KDM6B	1.54198884572165	0.001638864368814
O43187	IRAK2	1.88431172790404	0.0075681617223396
O43520	ATP8B1	1.65557647936679	6.92984659833895e-05
O60478	GPR137B	2.02115191507337	0.0081226982599757
O60675	MAFK	1.18694426652259	1.78753102548138e-07
O75911	DHRS3	1.59534516853655	2.7132101769561702e-17
O76061	STC2	1.99007924819658	2.26432238088335e-12
O94907	DKK1	1.87584249126646	0.0001919616849709
O95057	DIRAS1	2.1086864282621	0.0056570630210954
O95477	ABCA1	1.13180671429588	0.0078910361641596
P00488	F13A1	1.20616905335585	0.0015706662520906
P00742	F10	1.9481787348948	5.13609246958466e-05
P01100	FOS	2.05123541717778	6.27380819686095e-07
P01106	MYC	1.76727474599475	2.73362848073589e-07
P02656	APOC3	3.36618209900112	2.95377725684708e-16
P06702	S100A9	2.20248953053916	0.0005120613992921
P10646	TFPI	1.53157232568327	1.33982680337882e-05
P10914	IRF1	1.63259543635836	2.36733935007871e-08
P12034	FGF5	4.92035797543897	4.5128361701129404e-24
P12272	PTHLH	2.18873079729727	0.0010938731032835
P12273	PIP	2.03282108733982	1.47587740870984e-05
P13500	CCL2	1.08144819961953	0.0082892823090587
P13929	ENO3	1.29849600793114	0.0094297883999246
P15018	LIF	1.45575087431439	2.35406076352619e-10
P15036	ETS2	1.28645249853578	1.26646707703882e-09
P17275	JUNB	1.15347128563554	1.39961446500285e-05
P17676	CEBPB	1.11559625214409	0.0001205191151801
P18146	EGR1	5.77694521284493	3.54197125992318e-25
P18847	ATF3	2.88561794966769	8.98061427928208e-10
P19883	FST	2.80586701193672	1.82568023143565e-06
P20809	IL11	1.23208839583886	0.0007310484218729
P21439	ABCB4	2.61628087499625	0.001904703475653
P21580	TNFAIP3	1.31598171809392	2.06441313294586e-06
P22352	GPX3	2.34928854697693	3.1234110671255e-11
P25311	AZGP1	1.97173231116203	0.0007532963925778
P26022	PTX3	1.37277527698392	1.34226367717724e-06
P29279	CCN2	1.62523577724505	9.728270291172519e-11
P35625	TIMP3	1.37456094750346	0.0094227487753036
P38936	CDKN1A	3.2136535636405	0.000455533028881
P41182	BCL6	1.49379436456884	8.92705946462178e-05
P46695	IER3	1.33988995976264	0.0001345566224886
P53539	FOSB	2.92915143943941	5.96713770457743e-13
P53805	RCAN1	2.02131177798732	4.68498454330961e-07
P55042	RRAD	2.98414433782617	3.00510313312367e-05
P61587	RND3	1.32148082030064	1.89323750651203e-16
P63252	KCNJ2	1.17127878986874	0.0008431320449395
P78382	SLC35A1	1.79559734561794	0.0071024883519045
Q01201	RELB	6.25255102920632	0.0002882930424219
Q13253	NOG	2.35695323600928	1.60231529888798e-10
Q13469	NFATC2	1.97086372260225	3.1965462582353e-05
Q13794	PMAIP1	1.29672155412947	0.0002802642950325
Q13887	KLF5	3.262942817517	1.71981725363197e-06
Q16236	NFE2L2	1.45854752570285	0.0065683886724219
Q16649	NFIL3	1.55010375603418	1.82238597726862e-10
Q5TAT6	COL13A1	1.15339362872076	0.0018610304442958
Q6FHJ7	SFRP4	1.79030184800738	5.15006822780453e-06
Q6ICH7	ASPHD2	1.34199760483368	0.0077840078492094
Q6KF10	GDF6	1.58287725806334	0.0037653003469389
Q6S5L8	SHC4	2.08799996120695	0.0010931747484369
Q6UWB1	IL27RA	3.02021863956188	6.25843943136362e-05
Q7Z699	SPRED1	1.10851634559652	0.0014099963280561
Q86UD1	OAF	1.72716337575498	0.0005905355494157
Q86UX7	FERMT3	1.43118710932139	0.004623970893851
Q86VQ0	LCA5	2.07835176809681	0.0019310885355618
Q86VY9	TMEM200A	2.44019311587538	0.0001616747100914
Q8IVL1	NAV2	1.21375267471217	0.0001507880291396
Q8WUJ3	CEMIP	3.02782318193521	0.0004801957771327
Q8WZ71	TMEM158	1.65907286332097	6.61499377806641e-07
Q92833	JARID2	1.71221136726128	1.09133656705721e-07
Q969H0	FBXW7	1.71680816845849	0.0060682504305151
Q96QD8	SLC38A2	1.14461601360168	1.04620780535917e-08
Q99075	HBEGF	2.54713685623581	2.58321872674663e-06
Q99758	ABCA3	3.27929158865046	0.0002776323300658
Q99988	GDF15	4.64044126210517	2.5818595076609202e-14
Q9BTL4	IER2	1.94180093131108	0.0041936757589216
Q9BXX0	EMILIN2	2.17214770052093	8.19819504036647e-05
Q9C0J9	BHLHE41	3.17360260756283	0.0086035687690883
Q9H1J7	WNT5B	1.30036235813849	0.0003467356844308
Q9H5J8	TAF1D	3.19972780043388	7.97808827803024e-05
Q9H741	SPRING1	2.89922406146778	0.0056972606027143
Q9NQX5	NPDC1	1.50859963008996	1.0368077784202e-06
Q9UBE8	NLK	1.76246718470077	0.0008274724477634
Q9ULX9	MAFF	1.83800246400104	2.2972553913961903e-19
A0A1B0GVQ0	SPAAR	-1.30882009703533	7.48690519823921e-08
O14682	ENC1	-1.62255618733048	8.06591626058306e-07
O14917	PCDH17	-1.49570233967884	0.0024150749085516
O15151	MDM4	-1.08762654911925	0.001848273037985
O43768	ENSA	-1.09443498174771	1.90330156526685e-07
O75473	LGR5	-3.12142938925172	0.0008176745924052
O95185	UNC5C	-1.35577947242928	2.03153428211557e-08
P02452	COL1A1	-1.18585329953381	0.0026929296042664
P10600	TGFB3	-1.63783327328283	9.79640130460693e-05
P15884	TCF4	-1.26363118983114	0.009736536056508
P23759	PAX7	-1.22170818831093	0.0001341146419081
P29400	COL4A5	-4.39710893957399	0.0013887102639071
P35713	SOX18	-2.60084160730864	5.26849094126369e-07
P51530	DNA2	-1.26765620905303	0.0075956989957942
P52799	EFNB2	-1.21902216333012	2.56772358024189e-06
P56645	PER3	-3.43714923583044	0.0006772705817513
P57060	RWDD2B	-1.75870082899189	0.0004144753424931
P58005	SESN3	-1.48956223143214	0.0009433936380788
P78414	IRX1	-3.77835185192743	0.0014512443527162
Q02297	NRG1	-1.36415970470117	8.79237973197607e-09
Q12840	KIF5A	-1.79672054643459	0.0004226722629943
Q13495	MAMLD1	-2.68654416747941	0.008166118283012
Q14050	COL9A3	-4.95221875347099	0.0025295420113901
Q14126	DSG2	-2.67575486015639	8.55195044658813e-06
Q14135	VGLL4	-1.52673457356777	0.0059820749974867
Q16667	CDKN3	-1.12551401915061	2.62665614134272e-06
Q4KMG0	CDON	-1.52483751871164	0.007088350662215
Q5D0E6	DALRD3	-1.91942083788507	0.0058975670153329
Q5R3F8	ELFN2	-4.40425091440432	0.0042145565482052
Q6EMK4	VASN	-2.56495482983421	1.83536933360952e-05
Q6PJG9	LRFN4	-3.44876396579011	3.58129871167802e-05
Q8IZC4	RTKN2	-1.85312846849033	0.0049140235374473
Q8N441	FGFRL1	-1.45944123526144	1.70395879534756e-08
Q8NFH8	REPS2	-2.77831593289321	0.0016793432336752
Q8NFZ4	NLGN2	-1.51427488539647	5.90515252027957e-05
Q92823	NRCAM	-1.38000638676395	1.27279305590494e-06
Q96BM1	ANKRD9	-2.79418875674874	0.0003688913605536
Q96MT3	PRICKLE1	-1.17135954801911	0.0067835985139949
Q96SD1	DCLRE1C	-1.11303295622808	0.00806290744553
Q99611	SEPHS2	-1.56919406035006	0.0061074753210587
Q9BXI9	C1QTNF6	-2.24862162118917	0.0071450277042957
Q9BY66	KDM5D	-2.11696634916667	1.76706518770888e-05
Q9H3M7	TXNIP	-1.48282326683334	0.0001207582702431
Q9NP87	POLM	-4.0897298965241	0.0019672119839317
Q9NZ53	PODXL2	-1.37516243657522	1.01646976679546e-13
Q9P212	PLCE1	-1.81002859169034	0.008654647574561
Q9UIF7	MUTYH	-1.19251340691358	0.0054733074077947
Q9UKI2	CDC42EP3	-1.65672330468043	0.0002081252689325
Q9UNN8	PROCR	-1.14790877435841	1.52559149942705e-05
Q9Y6N7	ROBO1	-1.20011014081727	2.4971803978759097e-11
