term,fdr,Odds Ratio,Combined Score,Genes,description
XL820,0.3412518,9.334661,32.46904,PDGFRB;PDGFRA;FLT4;KIT,XL820
MYCOPHENOLATE MOFETIL,0.3412518,9.334661,32.46904,IMPDH2;PRTN3;CES2;CES1,MYCOPHENOLATE MOFETIL
PREDNISONE,0.3412518,3.114438,10.7653,ANXA1;TG;PTPRC;VWF;ITGB2;APOE;HSD17B10;BMP7,PREDNISONE
MENADIONE,0.3412518,3.114438,10.7653,F7;PROC;F9;MAOB;F10;PROS1;PROZ;F2,MENADIONE
ATENOLOL,0.3994095,3.269227,10.63151,FTO;TGFB1;PLA2G4A;SLC4A1;SNX9;ARAP1;LDLR,ATENOLOL
INSULIN,0.3994095,2.336832,7.592837,YWHAE;PCSK1;PTPN1;IBSP;LPL;SLC2A3;GHRL;ENO2;SHBG;ARF6;EIF4G1,INSULIN
PONATINIB,0.4055529,2.627996,8.435444,PDGFRB;EML4;PDGFRA;SRC;KIT;FGFR4;FGFR3;FGFR2;FGFR1,PONATINIB
METHOTREXATE,0.44521,1.870541,5.717506,COL18A1;ABCC4;CPT1A;TPM3;IDH1;HLA-C;PYGL;SOD2;BMP7;HSD17B10;HLA-E;ATIC;CDH2;S100A12;FGFR4;SLC29A1,METHOTREXATE
MYCOPHENOLIC ACID,0.44521,3.501745,10.67175,IMPDH2;HPRT1;HSD17B10;CES2;SNCA;CES1,MYCOPHENOLIC ACID
ANG1005,0.44521,3.501745,10.67175,LRP1;TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,ANG1005
WARFARIN,0.4476899,2.668948,7.988159,CRP;FGFBP2;PROC;LRP1;VWF;ASPH;PROS1;STX4,WARFARIN
AST 487,0.4476899,2.141638,6.223031,PDGFRB;CSF1R;NTRK2;PDGFRA;ROCK2;TAOK1;KIT;TYRO3;FYN;MAPK14;FGFR1,AST 487
NILOTINIB,0.4476899,3.889719,11.06692,PDGFRB;PDGFRA;KIT;ABI1;DDR2,NILOTINIB
