Protein_Group	Genes	Chr18TERRA_KO_vs_WT_logFC	Chr18TERRA_KO_vs_WT_pval	Removed?	Contaminant?
B1AXP6	Tomm5	1.71353426012504	7.82034239455798e-06	No	No
O35317	Pbx3	8.94751031557471	3.85390294173863e-16	No	No
P01749	Ighv1-61	1.23514309847277	0.0001951094492072	No	No
P21836	Ache	2.1168791080475	5.73441569920666e-07	No	No
P26952	Il3ra	0.84361242724702	0.0003746071816517	No	No
P52019	Sqle	0.778437169291482	0.0040806626300733	No	No
P63082	Atp6v0c	0.84430893471313	8.7442264666323e-05	No	No
Q62225	Cish	1.00689587028329	0.0044610211950586	No	No
Q80TS8	Sel1l3	0.794729219009014	0.0067740921060313	No	No
Q91YP1	Bcdin3d	1.44406696424397	0.0012338539254692	No	No
Q922G0	Slc25a36	0.873087138892577	0.0051458968641217	No	No
Q99L00	Haus8	1.36104028470996	0.0003423007799819	No	No
Q99M71	Epdr1	0.956477434651021	0.006728560916353	No	No
Q9D385	Arl2bp	0.780470268591742	0.0049848900643254	No	No
Q9D7P7	Clic3	0.769300113486256	0.0042567284867595	No	No
Q9D9M2	Usp12	0.89537797648876	0.0058652246051874	No	No
Q9ERZ3	Chrm3	0.744024459170779	0.0003242445173259	No	No
Q9JJJ7	Porcn	0.803794694663136	0.0001557735249366	No	No
A2AV72	Mup6	-1.72309745149993	0.0009961960047421	No	No
B2RS76	Cpb1	-1.57415483354493	6.95364663400865e-05	No	No
L7N463	Cyp2d34	-0.906980946276896	0.0039892729410692	No	No
O70146	Tesk1	-0.786149778915272	0.0022058965049609	No	No
P32848	Pvalb	-1.11711499350972	0.0012977601559609	No	No
P62077	Timm8b	-0.780357266563918	0.0001667483533269	No	No
P62500	Tsc22d1	-1.00078133022283	7.01622479028549e-05	No	No
Q0VEJ0	Cep76	-0.883451847102364	0.0035762096299535	No	No
Q8CF94	Rhd	-1.28704303370706	1.20996672005817e-05	No	No
Q8K2F3	Depp1	-1.40335339516754	0.0058427180701313	No	No
Q8VD63	Tspyl4	-0.795655426198236	0.0011260132439596	No	No
Q91ZX6	Senp2	-0.890209070521863	0.0017846316341372	No	No
Q924D1	Cyp2j9	-1.20106101555995	0.0016455229871768	No	No
Q99NB1	Acss1	-1.2587826317486	2.28781803517329e-07	No	No
Q9CQ24	Fbxo36	-0.806623369098707	0.0084196825170442	No	No
Q9ER05	Ctrl	-1.06191936661889	0.0067496014614807	No	No
Q9JJC6	Rilpl1	-0.980715176087838	0.0054092357097296	No	No
Q9JLT2	Treh	-0.989655170716496	0.0028787419615981	No	No
Q9WV98	Timm9	-0.733741290912505	0.0055723676642596	No	No
