,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
37,GO:0090101,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,GO:0090101,0.1544403,5.814793,23.45163,SNX25;NKX2-1;DKK1,Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101)
38,GO:0051454,intracellular pH elevation,GO:0051454,0.1544403,61.8125,230.1042,TMEM175,Intracellular pH Elevation (GO:0051454)
39,GO:0090037,positive regulation of protein kinase C signaling,GO:0090037,0.1544403,61.8125,230.1042,WNT5A,Positive Regulation Of Protein Kinase C Signaling (GO:0090037)
40,GO:0010742,macrophage derived foam cell differentiation,GO:0010742,0.1544403,41.20417,141.6987,WNT5A,Macrophage Derived Foam Cell Differentiation (GO:0010742)
41,GO:2000345,regulation of hepatocyte proliferation,GO:2000345,0.1544403,41.20417,141.6987,FBXW7,Regulation Of Hepatocyte Proliferation (GO:2000345)
42,GO:0060075,regulation of resting membrane potential,GO:0060075,0.1544403,123.6375,509.8895,KCNJ2,Regulation Of Resting Membrane Potential (GO:0060075)
43,GO:0014819,regulation of skeletal muscle contraction,GO:0014819,0.1544403,123.6375,509.8895,KCNJ2,Regulation Of Skeletal Muscle Contraction (GO:0014819)
44,GO:0070306,lens fiber cell differentiation,GO:0070306,0.1544403,41.20417,141.6987,WNT7B,Lens Fiber Cell Differentiation (GO:0070306)
45,GO:0090209,negative regulation of triglyceride metabolic process,GO:0090209,0.1544403,41.20417,141.6987,FBXW7,Negative Regulation Of Triglyceride Metabolic Process (GO:0090209)
46,GO:0023056,positive regulation of signaling,GO:0023056,0.1544403,12.4962,53.75379,SYT1;GRIK2,Positive Regulation Of Signaling (GO:0023056)
47,GO:0046164,alcohol catabolic process,GO:0046164,0.1544403,41.20417,141.6987,SRD5A3,Alcohol Catabolic Process (GO:0046164)
48,GO:0016554,cytidine to uridine editing,GO:0016554,0.1544403,41.20417,141.6987,APOBEC3G,Cytidine To Uridine Editing (GO:0016554)
49,GO:0014059,regulation of dopamine secretion,GO:0014059,0.1544403,61.8125,230.1042,SYT1,Regulation Of Dopamine Secretion (GO:0014059)
50,GO:0048708,astrocyte differentiation,GO:0048708,0.1544403,41.20417,141.6987,S100A9,Astrocyte Differentiation (GO:0048708)
51,GO:0070383,DNA cytosine deamination,GO:0070383,0.1544403,61.8125,230.1042,APOBEC3G,DNA Cytosine Deamination (GO:0070383)
52,GO:0005513,detection of calcium ion,GO:0005513,0.1544403,61.8125,230.1042,SYT1,Detection Of Calcium Ion (GO:0005513)
53,GO:0072044,collecting duct development,GO:0072044,0.1544403,123.6375,509.8895,WNT7B,Collecting Duct Development (GO:0072044)
54,GO:0008654,phospholipid biosynthetic process,GO:0008654,0.1544403,11.35788,46.95448,SAMD8;SRD5A3,Phospholipid Biosynthetic Process (GO:0008654)
55,GO:1902237,positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,GO:1902237,0.1544403,41.20417,141.6987,PMAIP1,Positive Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902237)
56,GO:0008544,epidermis development,GO:0008544,0.1544403,8.053083,28.44597,SPINT1;PTHLH,Epidermis Development (GO:0008544)
57,GO:0032526,response to retinoic acid,GO:0032526,0.1544403,8.918626,33.09211,WNT7B;WNT5A,Response To Retinoic Acid (GO:0032526)
