,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
70,GO:0045913,positive regulation of carbohydrate metabolic process,GO:0045913,0.1979221,12.14093,29.9416,PRKCE,Positive Regulation Of Carbohydrate Metabolic Process (GO:0045913)
71,GO:0006306,DNA methylation,GO:0006306,0.1979221,12.90104,32.52284,METTL4,DNA Methylation (GO:0006306)
72,GO:0048706,embryonic skeletal system development,GO:0048706,0.1979221,12.14093,29.9416,PCSK5,Embryonic Skeletal System Development (GO:0048706)
73,GO:0043933,protein-containing complex organization,GO:0043933,0.1979221,4.449977,11.20674,AXIN1;MDM2,Protein-Containing Complex Organization (GO:0043933)
74,GO:0031327,negative regulation of cellular biosynthetic process,GO:0031327,0.1979221,4.311033,10.62954,KLHL25;ENC1,Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)
75,GO:1900181,negative regulation of protein localization to nucleus,GO:1900181,0.2039749,11.46528,27.6827,MDFIC,Negative Regulation Of Protein Localization To Nucleus (GO:1900181)
76,GO:0009952,anterior/posterior pattern specification,GO:0009952,0.2071172,10.86075,25.69181,PCSK5,Anterior/Posterior Pattern Specification (GO:0009952)
77,GO:0051781,positive regulation of cell division,GO:0051781,0.2071172,10.31667,23.92591,PRKCE,Positive Regulation Of Cell Division (GO:0051781)
78,GO:0051128,regulation of cellular component organization,GO:0051128,0.2080718,3.831739,8.706454,METTL4;GFAP,Regulation Of Cellular Component Organization (GO:0051128)
79,GO:0007044,cell-substrate junction assembly,GO:0007044,0.2189742,8.59375,18.51337,COL17A1,Cell-Substrate Junction Assembly (GO:0007044)
80,GO:0001954,positive regulation of cell-matrix adhesion,GO:0001954,0.2189742,8.59375,18.51337,ENC1,Positive Regulation Of Cell-Matrix Adhesion (GO:0001954)
81,GO:0031648,protein destabilization,GO:0031648,0.2224017,8.249167,17.46702,MDM2,Protein Destabilization (GO:0031648)
82,GO:0042789,mRNA transcription by RNA polymerase II,GO:0042789,0.2400253,7.108477,14.10163,NCOA1,mRNA Transcription By RNA Polymerase II (GO:0042789)
83,GO:0008544,epidermis development,GO:0008544,0.2492584,6.440104,12.20744,COL17A1,Epidermis Development (GO:0008544)
84,GO:0031325,positive regulation of cellular metabolic process,GO:0031325,0.2533296,6.244318,11.6646,PRKCE,Positive Regulation Of Cellular Metabolic Process (GO:0031325)
85,GO:0051247,positive regulation of protein metabolic process,GO:0051247,0.2544317,2.952467,5.491455,AXIN1;VGLL4,Positive Regulation Of Protein Metabolic Process (GO:0051247)
86,GO:1902532,negative regulation of intracellular signal transduction,GO:1902532,0.2590205,2.890071,5.280926,MDM2;VGLL4,Negative Regulation Of Intracellular Signal Transduction (GO:1902532)
87,GO:0072001,renal system development,GO:0072001,0.2592072,5.88631,10.68704,PCSK5,Renal System Development (GO:0072001)
88,GO:0048015,phosphatidylinositol-mediated signaling,GO:0048015,0.2684224,5.567005,9.832445,PIK3C2B,Phosphatidylinositol-Mediated Signaling (GO:0048015)
89,GO:0051094,positive regulation of developmental process,GO:0051094,0.2763748,2.647242,4.486792,NCOA1;COBL,Positive Regulation Of Developmental Process (GO:0051094)
90,GO:0048732,gland development,GO:0048732,0.2888931,4.67803,7.547957,COBL,Gland Development (GO:0048732)
91,GO:0032091,negative regulation of protein binding,GO:0032091,0.3246458,3.738258,5.309604,ZFPM1,Negative Regulation Of Protein Binding (GO:0032091)
92,GO:0031669,cellular response to nutrient levels,GO:0031669,0.3355589,3.543822,4.873053,GAS2L1,Cellular Response To Nutrient Levels (GO:0031669)
93,GO:0001934,positive regulation of protein phosphorylation,GO:0001934,0.3455341,2.04803,2.719317,MRNIP;AXIN1,Positive Regulation Of Protein Phosphorylation (GO:0001934)
94,GO:0045926,negative regulation of growth,GO:0045926,0.3748362,2.850694,3.40452,VGLL4,Negative Regulation Of Growth (GO:0045926)
95,GO:0043484,regulation of RNA splicing,GO:0043484,0.4182276,2.328598,2.403975,METTL4,Regulation Of RNA Splicing (GO:0043484)
96,GO:0001819,positive regulation of cytokine production,GO:0001819,0.5333693,1.488291,1.044701,ZFPM1,Positive Regulation Of Cytokine Production (GO:0001819)
