Protein_Group	Genes	MM1S_CM-272_vs_MM1S_DMSO_logFC	MM1S_CM-272_vs_MM1S_DMSO_pval	Removed?	Contaminant?
P01011	SERPINA3	3.8715674877865	0.0067066300497704	No	No
P02649	APOE	7.68905680943898	6.93524247700531e-06	No	No
P24298	GPT	7.20728981873423	0.0012689349670841	No	No
P31994	FCGR2B	2.99534318633883	0.0002134790170744	No	No
Q14117	DPYS	3.30913462495935	0.0007967345144541	No	No
Q15493	RGN	3.09725144529059	0.0053624868857322	No	No
Q4KWH8	PLCH1	3.95439614117826	0.0019983609583088	No	No
Q4LDG9	DNAL1	2.23153069035206	0.0034271329748062	No	No
Q569K4	ZNF385B	3.87644698662022	0.0055791038819173	No	No
Q684P5	RAP1GAP2	3.12999674666001	0.0025132079749825	No	No
Q86UD3	MARCHF3	3.53989670777062	0.0022676890998752	No	No
Q8N184	ZNF567	5.03247162702916	0.0084864468231716	No	No
Q8NCM8	DYNC2H1	2.47043614354024	0.0091490789044436	No	No
Q8TEL6	TRPC4AP	2.55050626292516	0.0098885699650531	No	No
Q96QP1	ALPK1	3.84280625586217	0.0006516746187597	No	No
Q96SL4	GPX7	3.32272724889147	0.0075744305760581	No	No
Q9H5J0	ZBTB3	5.33521118460036	0.0027406861955077	No	No
Q9Y2T3	GDA	3.66277554320842	1.64078205748089e-05	No	No
A5PLL7	PEDS1	-2.73865522002783	0.0050502435365087	No	No
A8MT69	CENPX	-2.17243840821169	0.0002605438626634	No	No
O43543	XRCC2	-2.72994222024466	0.0014567008822857	No	No
O60518	RANBP6	-2.30226916852765	0.0035191482312584	No	No
O60739	EIF1B	-2.3536187171909	8.07139439588586e-07	No	No
O75581	LRP6	-2.42824897624589	0.0008326196452162	No	No
P02790	HPX	-6.36021669199567	5.250537490940739e-16	No	No
P10075	GLI4	-4.08447716130274	0.0012361344246086	No	No
P16415	ZNF823	-3.1262823891016	0.0021928181380061	No	No
P17020	ZNF16	-2.92353632194321	0.0003698846666867	No	No
P49910	ZNF165	-3.84135658434818	0.0082225938168406	No	No
Q12891	HYAL2	-4.59520721066263	0.0064332044409751	No	No
Q14590	ZNF235	-5.53890844512503	0.0048236486308291	No	No
Q14999	CUL7	-2.23479405539554	0.0015643209934096	No	No
Q15329	E2F5	-4.03625373979522	0.0022677887346377	No	No
Q4AE62	GTDC1	-3.2121651819919	0.0003968842158306	No	No
Q4G0X9	CCDC40	-3.85162727544346	0.0075395709991815	No	No
Q4KMZ1	IQCC	-2.41895505151936	0.0003467865691716	No	No
Q5DX21	IGSF11	-4.07482025598596	0.0007061855710386	No	No
Q5JVG2	ZNF484	-5.14490571710931	0.0008920850329703	No	No
Q5TC79	ZBTB37	-2.95419431074985	1.74906053857397e-05	No	No
Q5TGY3	AHDC1	-2.10740185334737	0.0018523185800549	No	No
Q6AZZ1	TRIM68	-4.19058261589193	1.06987458623468e-05	No	No
Q6GTX8	LAIR1	-3.01668930941501	1.63790734013339e-08	No	No
Q6UXI9	NPNT	-3.06528688406068	0.0003806950324246	No	No
Q6ZN04	MEX3B	-2.98288804109051	0.001183526953302	No	No
Q70IA8	MOB3C	-8.02553215653503	8.60842633629615e-05	No	No
Q86VY9	TMEM200A	-2.63588143200263	0.0053893782835054	No	No
Q86W74	ANKRD46	-4.11070434960196	0.0045924269272179	No	No
Q8IVQ6	ZDHHC21	-2.51913614993695	0.0041864206049501	No	No
Q8N370	SLC43A2	-2.90374669085976	5.35131579595853e-05	No	No
Q8NF99	ZNF397	-4.83586722735412	0.0020318553815143	No	No
Q8TB24	RIN3	-2.48598597059534	4.21781510037142e-06	No	No
Q8TEB7	RNF128	-4.58052664421951	4.0270652491198e-14	No	No
Q8WU43	C2orf15	-3.43858811653201	0.0022245087727901	No	No
Q92502	STARD8	-2.28931688898268	0.0051911190296052	No	No
Q92630	DYRK2	-2.12130179281909	0.0062543876684456	No	No
Q92782	DPF1	-4.5244747858839	0.0071221043001457	No	No
Q92828	CORO2A	-4.54185118455187	1.08089052606762e-14	No	No
Q96BV0	ZNF775	-5.78471015505087	0.0075314264043668	No	No
Q96LC9	BMF	-5.63343824377615	0.0022767665456925	No	No
Q99550	MPHOSPH9	-2.47329027662717	0.0074674364409004	No	No
Q99758	ABCA3	-3.41702465763657	2.24939970484045e-12	No	No
Q9BPY8	HOPX	-3.01126068811088	0.0018471119995075	No	No
Q9BYB0	SHANK3	-2.37768885367539	0.0094859916887977	No	No
Q9H799	CPLANE1	-3.30242441808338	0.0076628961759778	No	No
Q9H825	METTL8	-2.76655013211083	0.000811307477037	No	No
Q9H903	MTHFD2L	-3.04798917731305	0.0034238502362504	No	No
Q9HAU4	SMURF2	-3.01183742414122	0.008581244340886	No	No
Q9NXT0	ZNF586	-2.74922581614344	0.0051597818495853	No	No
Q9NYZ2	SLC25A37	-2.9620228246189	0.0031441282507543	No	No
Q9UGM3	DMBT1	-4.13591120088318	0.00762426085254	No	No
Q9UJU3	ZNF112	-7.44978107622169	1.34087256388076e-08	No	No
Q9ULI3	HEG1	-2.71731000841999	0.0011017858121094	No	No
Q9ULU8	CADPS	-4.936761548175	0.0003465274953679	No	No
Q9UP38	FZD1	-3.07054002837625	0.0051879339599356	No	No
