Protein_Group	Genes	LV_Mouse_Plasma_50_ul_vs_Mouse_Plasma_logFC	LV_Mouse_Plasma_50_ul_vs_Mouse_Plasma_pval	Removed?	Contaminant?
Q8VHK9	Dhx36	3.48395957378937	0.0033057880409524	No	No
Q91VE3	Klk7	5.3787882441909	1.7806491635805702e-09	No	No
Q91W43	Gldc	3.83341517474794	3.05095391583665e-05	No	No
Q91WJ8	Fubp1	6.75243474132647	0.0017541614744872	No	No
Q91X52	Dcxr	5.14160561218536	4.72778533185292e-07	No	No
Q91XX7	Pcdhgb2	4.14415140490978	4.89438277509702e-05	No	No
Q91Y82	Klk6	5.91594248715749	0.0068546294021281	No	No
Q91YI0	Asl	4.7770472462386	2.95350666554443e-08	No	No
Q99JW2	Acy1	3.93726579226584	0.0008332639380377	No	No
Q99LJ1	Fuca1	4.2985771208114	0.000237123372783	No	No
Q99M51	Nck1	4.67204163212645	0.002256179329872	No	No
Q99P87	Retn	4.2496173143069	5.98956964492343e-08	No	No
Q99PL6	Ubxn6	3.91589157364958	3.2991891964047e-07	No	No
Q9CQ65	Mtap	3.72002009358087	0.0019248661777106	No	No
Q9CR26	Vta1	4.26772850933121	1.13904641424242e-05	No	No
Q9CXN7	Pbld2	5.22730817821052	0.000134397757772	No	No
Q9CYR6	Pgm3	6.26067474635992	3.56888300722748e-05	No	No
Q9D131	gene	3.65439663391274	1.65648919436419e-10	No	No
Q9D7Q0	Lyg1	4.55835371653557	4.91415897077157e-06	No	No
Q9D906	Atg7	3.91449880076434	0.0018691135755778	No	No
Q9DBA8	Amdhd1	4.56667483053922	2.99832484707673e-06	No	No
Q9DBB8	Dhdh	6.83559488623481	7.02388721236665e-05	No	No
Q9DC63	Fbxo3	3.68502165546671	0.0030908785498398	No	No
Q9DCG6	Pbld1	3.77279711527495	1.11951691839465e-05	No	No
Q9DCN1	Nudt12	4.96116965179258	0.0001280535717885	No	No
Q9DCT1	Akr1e2	3.67194940963242	0.0001556843250136	No	No
Q9EQF5	Dpys	4.13762701871734	9.58425112573806e-10	No	No
Q9EQH2	Erap1	3.71373803528365	4.28585281280668e-07	No	No
Q9ER38	Tor3a	4.10541037981468	0.0016484202179816	No	No
Q9ERF3	Wdr61	5.10922953188954	0.0002636423486181	No	No
Q9JHR7	Ide	4.11289414843468	0.0025766959153356	No	No
Q9JIG7	Ccdc22	3.98576231265938	0.0072802737821433	No	No
Q9JKV7	Extl1	5.16110511894322	1.01136074084555e-08	No	No
Q9JLF6	Tgm1	7.99360378854503	0.000798438671477	No	No
Q9QXD1	Acox2	6.45897794699614	2.21046429894589e-06	No	No
Q9QXF8	Gnmt	3.49103788783408	9.41048854532843e-08	No	No
Q9QZ85	Iigp1	3.94827925638099	0.0036436947477286	No	No
Q9R1S8	Capn7	3.82592126796719	3.6114791719518e-06	No	No
Q9WUZ9	Entpd5	5.17928843632339	1.24467782555951e-07	No	No
Q9Z0K8	Vnn1	4.18229523866102	1.00947303394037e-06	No	No
Q9Z2V4	Pck1	5.06430188998676	2.49376545001212e-06	No	No
Q9Z2V5	Hdac6	4.62615352324388	1.24362538513726e-05	No	No
A2A5R2	Arfgef2	-3.4654437065553	0.0078833282586463	No	No
D4AFX7	Dnajc13	-4.00607498290879	0.0070029062638167	No	No
E9PZM7	Scaf11	-5.3233327013303	0.0002114937372429	No	No
E9Q512	Trip11	-4.54486831695059	1.56383295311144e-06	No	No
O08532	Cacna2d1	-4.6774492199684	5.50721895313527e-06	No	No
O09126	Sema4d	-3.47328384400054	0.0084725801727435	No	No
O35114	Scarb2	-4.09046417877748	0.0014497876998384	No	No
O35639	Anxa3	-4.44499388415137	6.47500211645826e-06	No	No
O35682	Myadm	-3.62557440732643	0.0002685972492933	No	No
O88522	Ikbkg	-3.56352797743986	0.0012612874678923	No	No
O88696	Clpp	-4.06500089396306	0.0016325903630477	No	No
O88736	Hsd17b7	-3.77541059875504	0.0002941819827472	No	No
P06795	Abcb1b	-5.40671444480188	1.77671938909913e-07	No	No
P13597	Icam1	-4.84606731241388	0.0068952229724983	No	No
P22777	Serpine1	-5.22127387289897	5.12433345531737e-07	No	No
P24063	Itgal	-3.81681370998795	0.0003624526961898	No	No
P46735	Myo1b	-4.2028262412793	0.0001634515272001	No	No
P51912	Slc1a5	-3.86256262657872	0.0011034889942243	No	No
P70313	Nos3	-3.49518600162006	0.0002156932073651	No	No
P70399	Tp53bp1	-6.8381751429389	0.0037713942270752	No	No
P70414	Slc8a1	-4.63243774605473	0.0012309867157456	No	No
P70704	Atp8a1	-3.5805432190193	0.0004489868368561	No	No
Q01341	Adcy6	-5.18721954165658	0.0002601716751361	No	No
Q05909	Ptprg	-4.53559155363427	0.002312094716245	No	No
Q3TSG4	Alkbh5	-4.45495553191003	2.36053215858414e-11	No	No
Q3U0V2	Tradd	-3.5120372690181	0.0068943147365833	No	No
Q3U1F9	Pag1	-5.44069337368973	0.0043086578441479	No	No
Q3UIU2	Ndufb6	-4.11479362299125	0.0031780138387443	No	No
Q4KML4	Abracl	-3.91849928665695	1.45987047781467e-05	No	No
Q501J7	Phactr4	-6.19452564674891	0.0004886292064862	No	No
Q5SVL6	Rap1gap2	-4.62099034733566	0.0007825751876958	No	No
Q5SWD9	Tsr1	-7.35675247904349	0.0010423908461776	No	No
Q5U458	Dnajc11	-3.82217871050479	0.0018070616759782	No	No
Q60592	Mast2	-7.60910761181514	0.0010548532870457	No	No
Q60634	Flot2	-4.60774608958298	0.0010655268995798	No	No
Q61425	Hadh	-3.77727510720855	0.0004268767686421	No	No
Q61687	Atrx	-4.63785792283994	0.0004181764388882	No	No
Q61830	Mrc1	-3.57057873493412	1.31564835568246e-05	No	No
Q61941	Nnt	-5.30958532841324	0.0003433356210233	No	No
Q62084	Ppp1r14b	-3.95162866531647	0.0018318029831627	No	No
Q6DFV3	Arhgap21	-4.92240765947411	9.37685124218877e-08	No	No
Q6P1Y8	Inpp4b	-5.16827029794769	0.000133357491317	No	No
Q6P5F7	Ttyh3	-4.11542930754459	0.0048731890321761	No	No
Q6PDG5	Smarcc2	-4.60042636665421	0.0003017393566712	No	No
Q6URW6	Myh14	-3.53124392327651	0.0005712504620325	No	No
Q6ZPZ3	Zc3h4	-5.03486011598155	2.85969792249107e-05	No	No
Q7TPW1	Nexn	-4.72751851311435	0.0001113093058292	No	No
Q7TQ95	Lnpk	-3.65172159064621	0.0002285711502815	No	No
Q80U35	Arhgef17	-3.82461978533548	0.0002054626117833	No	No
Q80U72	Scrib	-6.42914333906204	0.0007812674352727	No	No
Q80UP3	Dgkz	-4.03472719381742	2.6892734698158e-05	No	No
Q80UP8	Slc20a2	-3.86116385226742	0.0029928194744181	No	No
Q80WR1	Tspan18	-3.55529501613184	8.73865253212299e-12	No	No
Q80XM9	Slc66a2	-9.94672082595703	2.48794909437597e-12	No	No
Q80ZA4	Pkhd1l1	-9.00010678970168	3.98412536437935e-07	No	No
Q810A7	Ddx42	-6.42959190847063	0.0031799074121907	No	No
Q8BFW4	Trim65	-5.12783696276716	0.0016527169838093	No	No
Q8BGN3	Enpp6	-4.07100556220444	7.283196695185329e-12	No	No
Q8BGU5	Ccny	-3.85812990720041	5.70115091617089e-05	No	No
Q8BHK9	Ercc6l	-5.93565349217791	0.0006512706483721	No	No
Q8BIF0	Cd99l2	-3.54614645719193	0.0008262363989701	No	No
Q8BK06	Fbxo9	-6.1557951802885	1.09771516359986e-09	No	No
Q8BSI6	R3hcc1	-6.68997055505979	6.83249678404226e-05	No	No
Q8BTZ4	Anapc5	-4.0381587441968	0.0003231625528022	No	No
Q8BVY0	Rsl1d1	-5.12265616572624	0.0001004428514297	No	No
Q8C5N3	Cwc22	-3.72991495267416	0.0048042846496535	No	No
Q8C7X2	Emc1	-9.01438270065642	2.09240192777244e-10	No	No
Q8CGK3	Lonp1	-4.72878975870797	0.0093208639006239	No	No
Q8K3J1	Ndufs8	-4.00262649964794	0.0013628816222058	No	No
Q8K441	Abca6	-5.16353156077551	5.86029827925418e-06	No	No
Q8R4Y4	Stab1	-7.01186981708489	1.47655119525318e-06	No	No
Q8VBZ3	Clptm1	-3.54832984073908	0.0091910925585473	No	No
Q8VCM8	Ncln	-5.08976096187072	0.0085702716703445	No	No
Q8VCS3	Fam20b	-6.2468659467792	0.0001003589585827	No	No
Q8VD04	Gripap1	-3.96642609983718	0.0018397434923652	No	No
Q91ZV0	Mia2	-4.0233609518634	0.0064034660310447	No	No
Q91ZW3	Smarca5	-4.78977854376917	0.0002041000735607	No	No
Q924X2	Cpt1b	-3.90168611507965	7.36968490383468e-05	No	No
Q9CR50	Rchy1	-3.68866126329558	0.0089842686004031	No	No
Q9CRC9	Gnpda2	-7.40074301336558	3.90676418225788e-05	No	No
Q9CYI4	Luc7l	-3.84768736488572	0.0004016798907981	No	No
Q9D0M0	Exosc7	-3.92634283782879	0.0002568442517827	No	No
Q9D0P0	Ebpl	-4.12116286817074	2.82459884126839e-08	No	No
Q9DBG1	Cyp27a1	-4.29118408127423	0.0014013992480324	No	No
Q9DBP5	Cmpk1	-3.6911010549793	2.45514561809242e-05	No	No
Q9EPE9	Atp13a1	-4.75167515630367	0.0005366166673757	No	No
Q9ESU6	Brd4	-4.16769945501679	0.0015620437633101	No	No
Q9JI99	Sgpp1	-4.61737536513619	1.73413113622545e-05	No	No
Q9JIS8	Slc12a4	-4.85393437402454	1.6622830813429e-06	No	No
Q9JJR8	Tmem9b	-3.50084712612569	0.0004813800700647	No	No
Q9JKK1	Stx6	-3.50654759080407	0.0053947993306398	No	No
Q9JLN5	Ermap	-7.08761332989605	1.51625400275245e-07	No	No
Q9JLV1	Bag3	-7.24920620683446	8.54522622844552e-06	No	No
Q9QXT0	Cnpy2	-3.66102062358868	0.0002309438531389	No	No
Q9QYI4	Dnajb12	-4.94322090935094	4.20548259614703e-07	No	No
Q9R069	Bcam	-3.68192629919412	1.28788315601554e-06	No	No
Q9R1J0	Nsdhl	-5.7276464602659	8.97407004391743e-06	No	No
Q9R1W5	Calcrl	-3.82710345163979	0.0089806825771819	No	No
Q9WU79	Prodh	-3.88082601504737	0.0012599140244678	No	No
Q9WV91	Ptgfrn	-4.3348878650443	0.0085656767514564	No	No
Q9Z0P4	Palm	-4.2210449962988	0.0031904293175199	No	No
Q9Z1G4	Atp6v0a1	-3.64217504961384	0.0009155645840688	No	No
Q9Z315	Sart1	-4.23908630033543	1.16365903063021e-05	No	No
