Protein_Group	Genes	LV_Mouse_Plasma_125_ul_vs_Mouse_Plasma_logFC	LV_Mouse_Plasma_125_ul_vs_Mouse_Plasma_pval	Removed?	Contaminant?
E9Q0B5	Fcgbp	4.1938109789868	2.13899756350493e-09	No	No
O09046	Il4i1	3.35131063176725	5.44310964497568e-06	No	No
O09159	Man2b1	3.70537384077711	0.0041906981917387	No	No
O35453	Hpn	3.57667454286602	0.0010305366292754	No	No
O88428	Papss2	3.02018554262916	0.0006097627081369	No	No
O88986	Gcat	3.31099324462919	1.65390471202853e-06	No	No
O89017	Lgmn	5.22300395408686	0.000490912957885	No	No
P06281	Ren1	3.94526260120789	0.0034991958496378	No	No
P06801	Me1	3.01393644877113	3.75162655080661e-05	No	No
P08121	Col3a1	3.15418502761432	0.0002322434318349	No	No
P11247	Mpo	3.71885539710209	9.25393847377522e-12	No	No
P14733	Lmnb1	3.66954689429139	0.0019626175349024	No	No
P16331	Pah	4.28023263929206	2.00442827420282e-05	No	No
P28659	Celf1	3.41068475004051	0.0034280305895977	No	No
P35230	Reg3b	5.96816182455659	4.78369466713156e-07	No	No
P43883	Plin2	3.63361482861295	0.0012264322451863	No	No
P49429	Hpd	3.03825765031757	0.0032318182246822	No	No
P54818	Galc	3.42250939866717	0.0007731257490165	No	No
P54822	Adsl	3.40344792278369	2.95511515489063e-06	No	No
P56212	Arpp19	3.46581939390674	0.0045544336335164	No	No
P58044	Idi1	3.24873561807735	0.0023807116106172	No	No
P70194	Clec4f	3.3361255093693	0.0062284559755484	No	No
P70266	Pfkfb1	4.9113605106579	0.0001215890450336	No	No
P70318	Tial1	3.83849882257031	0.0002431948585661	No	No
P70333	Hnrnph2	3.70988903769594	0.0002793284522314	No	No
P70697	Urod	4.10687914067779	0.0001005406124571	No	No
P70699	Gaa	5.52611804558139	1.78169325497778e-06	No	No
Q08189	Tgm3	5.85340287033804	1.24234136658875e-07	No	No
Q2YDW2	Msto1	4.86519832456022	0.0001203581902982	No	No
Q3TNA1	Xylb	6.1960646736338	6.12582099672899e-08	No	No
Q3UPH1	Prrc1	3.30241790888152	0.0004389338774665	No	No
Q3UST5	gene	5.60191423896641	0.0001254909677376	No	No
Q3UYC0	Ppm1h	3.54888824343887	0.0005022529299306	No	No
Q5SSW2	Psme4	3.31911258103705	0.0070056749326599	No	No
Q5SUR0	Pfas	5.25399248734775	0.0040218013240074	No	No
Q60676	Ppp5c	3.67344473083049	0.00121677324797	No	No
Q60823	Akt2	3.08755114642824	0.0004023018228199	No	No
Q61024	Asns	3.67433924744016	0.0006738439523698	No	No
Q61133	Gstt2	3.66466234979556	0.000409726486886	No	No
Q63836	Selenbp2	3.40945070958291	1.23946711877242e-05	No	No
Q64374	Rgn	4.49815570026395	0.0069331190845963	No	No
Q64487	Ptprd	4.36644812138873	0.0002694970484193	No	No
Q64685	St6gal1	3.28560912619486	0.0006525707967666	No	No
Q68FH4	Galk2	3.02291158321685	3.60919952689177e-05	No	No
Q6A028	Swap70	3.13171025310987	0.0009396053539768	No	No
Q6NVF0	Ocrl	3.23153277143044	0.0037480332188848	No	No
Q71RI9	Kyat3	4.70867186850762	0.0001493396864258	No	No
Q7TQK5	Ccdc93	3.11070089966588	0.0044596099216908	No	No
Q8BH34	Sema3d	4.0932450097438	0.0006066282466511	No	No
Q8BH69	Sephs1	3.22668323190017	0.0010706956947683	No	No
Q8BZF8	Pgm5	3.02877389412347	3.00510258957761e-09	No	No
Q8C1A5	Thop1	3.76499867687049	0.0061504439116728	No	No
Q8C5P5	Nt5dc1	5.13913708168657	0.0001181663032591	No	No
Q8CC86	Naprt	4.72782531919454	4.05893556789833e-06	No	No
Q8CG85	Mamdc2	4.04409017102116	5.15204744617734e-07	No	No
Q8CHP8	Pgp	3.35177666612789	0.0001794906749353	No	No
Q8CIE0	Serpina11	3.41777452847183	0.0083692611156472	No	No
Q8K2H6	Anapc10	3.22696750701974	0.0032949598892076	No	No
Q8K2M0	Mrpl38	3.35364069372419	0.0016749264964945	No	No
Q8R2G6	Ccdc80	3.460769488573	0.002790493902208	No	No
Q8VC28	Akr1c13	3.14234037907999	0.0025882215217741	No	No
Q8VCA8	Scrn2	4.78614996159462	0.0002901775686688	No	No
Q8VCN5	Cth	5.25492665475123	2.38457145594868e-06	No	No
Q8VCN9	Tbcc	3.29691968918601	1.63226510285987e-07	No	No
Q8VCT3	Rnpep	4.41434290583307	6.89569958586009e-05	No	No
Q8VHK9	Dhx36	3.80080228027705	0.0016906552340515	No	No
Q8VI75	Ipo4	3.4163813256708	9.58771868899425e-07	No	No
Q91VE3	Klk7	3.47759220327207	8.56895909063268e-07	No	No
Q91W43	Gldc	3.36977995229098	0.000122708319682	No	No
Q91WJ8	Fubp1	6.73535744868227	0.0017900676286553	No	No
Q91WT7	Akr1c14	3.0617773824091	0.0028935303390708	No	No
Q91X52	Dcxr	3.75936731579333	2.33766390924656e-05	No	No
Q91YI0	Asl	3.62421648577948	1.29154906160939e-06	No	No
Q99JW2	Acy1	3.84132062882918	0.0010308188822657	No	No
Q99L27	Gmpr2	3.71443003174947	0.0005857102405383	No	No
Q99LJ1	Fuca1	3.07205153657304	0.0040750796719572	No	No
Q9CXA2	L3hypdh	9.20211244207071	9.68531303776488e-05	No	No
Q9CXN7	Pbld2	4.98248793821579	0.0002177199304422	No	No
Q9CYR6	Pgm3	5.89689616018998	6.87438214453224e-05	No	No
Q9D2R0	Aacs	3.4334788742361	0.0071950247914403	No	No
Q9D906	Atg7	3.45270753603995	0.0047647776980882	No	No
Q9DBA8	Amdhd1	4.03654409299842	1.34722701478787e-05	No	No
Q9DBB8	Dhdh	5.82126911775587	0.0003556199117981	No	No
Q9DCG6	Pbld1	3.40820913813182	3.61107144511608e-05	No	No
Q9DCT1	Akr1e2	3.28647740307844	0.000456353590721	No	No
Q9EPL4	Mettl9	5.05063224326303	0.0008967443890687	No	No
Q9EQG7	Enpp5	4.74554337851691	1.69792435617256e-05	No	No
Q9ER38	Tor3a	3.57466857560246	0.0046732483527819	No	No
Q9ERF3	Wdr61	5.05524562903625	0.0002921768903252	No	No
Q9JHW9	Aldh1a3	3.11228001641959	2.27956403977004e-05	No	No
Q9JIG7	Ccdc22	3.91500079493231	0.0081682824959409	No	No
Q9JK81	Myg1	3.41107948874607	0.0047549622156136	No	No
Q9JLI0	Akr1c12	3.07885131056723	0.0004032262013057	No	No
Q9QXD1	Acox2	3.10362778680216	0.0036344111421559	No	No
Q9QXD6	Fbp1	3.52386967328193	0.0010296109284334	No	No
Q9QXG4	Acss2	3.16938941979058	0.0002448449408227	No	No
Q9Z2V4	Pck1	4.58579574506238	8.495291919413e-06	No	No
Q9Z2V5	Hdac6	4.42357272656783	2.0963417945741e-05	No	No
A2AMM0	Cavin4	-6.34116477168233	2.91399795136288e-05	No	No
E9PZM7	Scaf11	-4.30963447959248	0.0014322260544009	No	No
E9Q512	Trip11	-3.63614833317274	2.36551808633135e-05	No	No
O35704	Sptlc1	-4.7694607793312	0.0004705586228222	No	No
O88597	Becn1	-5.23172208194427	0.001253461874588	No	No
O88696	Clpp	-4.55394765847052	0.0006191276132209	No	No
P06795	Abcb1b	-4.92265384982705	6.3103382672226e-07	No	No
P25976	Ubtf	-5.20531939139095	0.0023017947023526	No	No
P49813	Tmod1	-4.29660711897055	0.0010193739934178	No	No
P51791	Clcn3	-3.59250105224609	0.0005944871289115	No	No
P56812	Pdcd5	-3.02333115861792	0.0012427949052919	No	No
P70704	Atp8a1	-3.33708353256065	0.0008456572430449	No	No
P97857	Adamts1	-5.89210279832194	0.0083623428079099	No	No
Q11204	St3gal2	-3.32904411373956	0.0017900050968336	No	No
Q3UIU2	Ndufb6	-4.41248631257075	0.001858851337521	No	No
Q3URD3	Slmap	-3.25513897453201	0.0045580352848547	No	No
Q58A65	Spag9	-3.20574329671721	0.0033133134936066	No	No
Q5SUC9	Sco1	-6.36229290176984	8.84013362061057e-13	No	No
Q5SVL6	Rap1gap2	-6.06459913468892	5.37233214000924e-05	No	No
Q61425	Hadh	-3.35163970089716	0.0012279288503308	No	No
Q61687	Atrx	-6.8170759647878	6.52673096137089e-06	No	No
Q61941	Nnt	-4.9189003972877	0.000693313775668	No	No
Q62084	Ppp1r14b	-4.31020307520222	0.000889645495014	No	No
Q6P1Y8	Inpp4b	-4.31620401412254	0.0007440721515502	No	No
Q80X80	C2cd2l	-3.57071505726372	3.31297728575243e-05	No	No
Q80ZA4	Pkhd1l1	-5.4255671600124	0.0001630930384072	No	No
Q8C156	Ncaph	-3.32738207558043	0.0045622207559287	No	No
Q8C754	Vps52	-4.68964416844249	0.0039229915410494	No	No
Q8C7X2	Emc1	-8.42888329091905	5.84776669824029e-10	No	No
Q8JZU2	Slc25a1	-3.34649149282347	0.0018225981333625	No	No
Q8K2Q7	Brox	-3.82031296649359	0.0091127027907183	No	No
Q8VBT6	Apobr	-3.71460222288609	0.0016327297234719	No	No
Q8VBZ3	Clptm1	-3.77973087691538	0.0061134004613744	No	No
Q8VCM8	Ncln	-5.82880048148535	0.0034033894375796	No	No
Q91YT8	Tmem63a	-4.49668879167389	0.0024258480628953	No	No
