term,fdr,Odds Ratio,Combined Score,Genes,description
EPH-ephrin Mediated Repulsion of Cells,0.1112489,6.945917,30.53895,EFNB2;EPHB2;EPHB4,EPH-ephrin Mediated Repulsion of Cells
"Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS",0.1216244,13.23589,56.21127,EXT1;EXT2,"Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS"
Defective EXT2 Causes Exostoses 2,0.1216244,13.23589,56.21127,EXT1;EXT2,Defective EXT2 Causes Exostoses 2
FCERI Mediated MAPK Activation,0.1335942,3.629104,14.96653,IGLV3-16;IGLV3-27;IGKV2D-30;IGHE;IGKV2-30,FCERI Mediated MAPK Activation
FCERI Mediated Ca+2 Mobilization,0.1365127,3.580165,14.58647,IGLV3-16;IGLV3-27;IGKV2D-30;IGHE;IGKV2-30,FCERI Mediated Ca+2 Mobilization
Cytoprotection by HMOX1,0.1423,5.913279,23.68461,FABP1;HBB;BLVRB,Cytoprotection by HMOX1
EPHB-mediated Forward Signaling,0.1479513,5.70122,22.33221,EFNB2;EPHB2;EPHB4,EPHB-mediated Forward Signaling
Chaperone Mediated Autophagy,0.1479513,10.58548,41.1608,HBB;RNASE1,Chaperone Mediated Autophagy
Crosslinking of Collagen Fibrils,0.1479513,10.58548,41.1608,COL4A2;PXDN,Crosslinking of Collagen Fibrils
"Platelet Activation, Signaling and Aggregation",0.1490561,2.342289,9.017524,SERPINA3;ITIH4;ORM1;CLEC3B;APOH;RARRES2;PPBP;A1BG;A2M,"Platelet Activation, Signaling and Aggregation"
Formation of the Cornified Envelope,0.1490561,5.503785,21.09155,CELA2A;SPINK5;PRSS8,Formation of the Cornified Envelope
Keratinization,0.1570228,5.319512,19.95032,CELA2A;SPINK5;PRSS8,Keratinization
Metabolic Disorders of Biological Oxidation Enzymes,0.1570228,9.621701,35.9236,ACY1;GSS,Metabolic Disorders of Biological Oxidation Enzymes
Triglyceride Catabolism,0.1973096,8.138958,28.16703,FABP1;FABP4,Triglyceride Catabolism
Metabolism of Porphyrins,0.1973096,8.138958,28.16703,FABP1;BLVRB,Metabolism of Porphyrins
HS-GAG Biosynthesis,0.2071148,7.556452,25.23413,EXT1;EXT2,HS-GAG Biosynthesis
Extracellular Matrix Organization,0.2071148,2.22925,7.403025,DDR1;CEACAM1;COL4A2;CEACAM6;PXDN;ITGB6;A2M;KLKB1,Extracellular Matrix Organization
Biosynthesis of E-series 18(S)-resolvins,0.2071148,52.576,172.9574,LTA4H,Biosynthesis of E-series 18(S)-resolvins
Biosynthesis of EPA-derived SPMs,0.2071148,52.576,172.9574,LTA4H,Biosynthesis of EPA-derived SPMs
Glucocorticoid Biosynthesis,0.2071148,52.576,172.9574,SERPINA6,Glucocorticoid Biosynthesis
Presynaptic Depolarization and Calcium Channel Opening,0.2071148,52.576,172.9574,CACNA2D1,Presynaptic Depolarization and Calcium Channel Opening
N-glycan Antennae Elongation in the Medial trans-Golgi,0.2164754,7.051613,22.75142,FUCA1;B4GALT5,N-glycan Antennae Elongation in the Medial trans-Golgi
Transcriptional Regulation of White Adipocyte Differentiation,0.2318467,6.609879,20.62793,FABP4;ADIPOQ,Transcriptional Regulation of White Adipocyte Differentiation
Triglyceride Metabolism,0.2318467,6.609879,20.62793,FABP1;FABP4,Triglyceride Metabolism
FCGR Activation,0.235664,3.136451,9.651625,IGLV3-16;IGLV3-27;IGKV2D-30;IGKV2-30,FCGR Activation
Drug ADME,0.235664,3.983537,12.22437,BCHE;ACY1;SERPINA6,Drug ADME
"tRNA-derived Small RNA (tsRNA or tRNA-related Fragment, tRF) Biogenesis",0.2614229,26.284,76.05394,ANG,"tRNA-derived Small RNA (tsRNA or tRNA-related Fragment, tRF) Biogenesis"
Regulation of Commissural Axon Pathfinding by SLIT and ROBO,0.2614229,26.284,76.05394,ROBO1,Regulation of Commissural Axon Pathfinding by SLIT and ROBO
Anti-inflammatory Response Favouring Leishmania Parasite Infection,0.2614229,2.545455,7.346627,CD163;IGLV3-16;IGLV3-27;IGKV2D-30;IGKV2-30,Anti-inflammatory Response Favouring Leishmania Parasite Infection
Leishmania Parasite Growth and Survival,0.2614229,2.545455,7.346627,CD163;IGLV3-16;IGLV3-27;IGKV2D-30;IGKV2-30,Leishmania Parasite Growth and Survival
Role of Phospholipids in Phagocytosis,0.2614229,2.91938,8.388962,IGLV3-16;IGLV3-27;IGKV2D-30;IGKV2-30,Role of Phospholipids in Phagocytosis
FCERI Mediated NF-kB Activation,0.2614229,2.521051,7.196636,IGLV3-16;IGLV3-27;IGKV2D-30;IGHE;IGKV2-30,FCERI Mediated NF-kB Activation
CD22 Mediated BCR Regulation,0.2614229,3.61918,10.31162,IGLV3-27;IGKV2D-30;IGKV2-30,CD22 Mediated BCR Regulation
Infection With Mycobacterium Tuberculosis,0.2781801,5.284677,14.57077,MRC1;B2M,Infection With Mycobacterium Tuberculosis
Epigenetic Regulation of Adipogenesis Genes by MLL3 and MLL4 Complexes,0.2781801,5.032258,13.47763,FABP4;ADIPOQ,Epigenetic Regulation of Adipogenesis Genes by MLL3 and MLL4 Complexes
Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes,0.2781801,5.032258,13.47763,FABP4;ADIPOQ,Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes
Late Endosomal Microautophagy,0.2781801,5.032258,13.47763,HBB;RNASE1,Late Endosomal Microautophagy
MLL4 and MLL3 Complexes Regulate Expression of PPARG Targets in Adipogenesis and Hepatic Steatosis,0.2781801,5.032258,13.47763,FABP4;ADIPOQ,MLL4 and MLL3 Complexes Regulate Expression of PPARG Targets in Adipogenesis and Hepatic Steatosis
FCGR3A-mediated IL10 Synthesis,0.2781801,2.661066,6.964035,IGLV3-16;IGLV3-27;IGKV2D-30;IGKV2-30,FCGR3A-mediated IL10 Synthesis
Neurofascin Interactions,0.2781801,17.52,45.81795,CNTN1,Neurofascin Interactions
Serine Biosynthesis,0.2781801,17.52,45.81795,PSAT1,Serine Biosynthesis
Prednisone ADME,0.2781801,17.52,45.81795,SERPINA6,Prednisone ADME
Inactivation of CDC42 and RAC1,0.2781801,17.52,45.81795,ROBO1,Inactivation of CDC42 and RAC1
Creatine Metabolism,0.2781801,17.52,45.81795,CKM,Creatine Metabolism
Tyrosine Catabolism,0.2781801,17.52,45.81795,HPD,Tyrosine Catabolism
Diseases of Metabolism,0.2814212,2.12649,5.508724,EXT1;EXT2;ACY1;GSS;GBE1;CFP,Diseases of Metabolism
