,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0006355,regulation of DNA-templated transcription,GO:0006355,0.0002125944,3.102839,42.46097,CEBPB;CIPC;BHLHE41;ETS2;FSTL3;RELB;NFIL3;MYC;ZBED6;JUNB;E2F7;EGR1;ATP8B1;ZBTB38;ARID5A;NFATC2;FOS;ARID3B;GDF6;KLF3;KLF2;KLF7;KLF5;BCL6;IRF1;MAFF;FOSB;MAFK;ZNF354A;ATF3;NFE2L2,Regulation Of DNA-templated Transcription (GO:0006355)
1,GO:0045893,positive regulation of DNA-templated transcription,GO:0045893,0.0002125944,3.510052,48.26147,CEBPB;ETS2;FSTL3;RELB;NFIL3;MYC;NRIP1;JUNB;E2F7;IER2;KDM6B;IL11;EGR1;ZBTB38;LIF;NFATC2;FOS;GDF6;KLF2;KLF7;KLF5;IRF1;MAFF;ATF3;NFE2L2,Positive Regulation Of DNA-templated Transcription (GO:0045893)
2,GO:2000351,regulation of endothelial cell apoptotic process,GO:2000351,0.001014726,23.66346,283.1905,IL11;TNFAIP3;CCL2;ICAM1;NFE2L2,Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)
3,GO:0043410,positive regulation of MAPK cascade,GO:0043410,0.00163501,7.24686,82.30154,PDGFRB;IL11;GDF15;LIF;SPRY2;CCL2;ROR1;CCN2;ICAM1,Positive Regulation Of MAPK Cascade (GO:0043410)
4,GO:0006954,inflammatory response,GO:0006954,0.001880326,10.03497,111.3809,CEBPB;IRAK2;CCL2;ADM;FOS;MGLL;RELB,Inflammatory Response (GO:0006954)
5,GO:0140467,integrated stress response signaling,GO:0140467,0.003734888,26.80272,273.7183,CEBPB;FOS;JUNB;NFE2L2,Integrated Stress Response Signaling (GO:0140467)
6,GO:0030856,regulation of epithelial cell differentiation,GO:0030856,0.008128552,46.5,427.498,KLF7;CEBPB;MAFF,Regulation Of Epithelial Cell Differentiation (GO:0030856)
7,GO:0090287,regulation of cellular response to growth factor stimulus,GO:0090287,0.008128552,46.5,427.498,SFRP4;FST;FSTL3,Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287)
8,GO:2000147,positive regulation of cell motility,GO:2000147,0.008477248,6.024752,54.58231,PDGFRB;SERPINB3;CEMIP;WNT5B;F10;SPHK1;SPRY2;HBEGF,Positive Regulation Of Cell Motility (GO:2000147)
9,GO:0010799,regulation of peptidyl-threonine phosphorylation,GO:0010799,0.01042479,17.04242,148.1564,CEMIP;SPRED1;SPHK1;SPRY2,Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799)
10,GO:0045604,regulation of epidermal cell differentiation,GO:0045604,0.01157875,34.86792,297.5746,KLF7;SFRP4;MAFF,Regulation Of Epidermal Cell Differentiation (GO:0045604)
11,GO:0036003,positive regulation of transcription from RNA polymerase II promoter in response to stress,GO:0036003,0.01454993,30.99057,255.8156,CEBPB;KLF2;NFE2L2,Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0036003)
12,GO:1902895,positive regulation of miRNA transcription,GO:1902895,0.01578055,13.87937,110.9134,EGR1;KLF5;MYC;FOS,Positive Regulation Of miRNA Transcription (GO:1902895)
13,GO:0048246,macrophage chemotaxis,GO:0048246,0.01578055,184.3551,1465.677,KLF5;CCL2,Macrophage Chemotaxis (GO:0048246)
14,GO:0031347,regulation of defense response,GO:0031347,0.01578055,9.436538,75.92715,BCL6;IRF1;PTGS2;MGLL;NFE2L2,Regulation Of Defense Response (GO:0031347)
15,GO:1905332,positive regulation of morphogenesis of an epithelium,GO:1905332,0.01755028,25.35077,196.9004,WNT5B;NOG;LIF,Positive Regulation Of Morphogenesis Of An Epithelium (GO:1905332)
16,GO:0019221,cytokine-mediated signaling pathway,GO:0019221,0.01755028,6.864663,53.48229,IL11;UGCG;EGR1;IRAK2;CCL2;IL27RA,Cytokine-Mediated Signaling Pathway (GO:0019221)
17,GO:0046885,regulation of hormone biosynthetic process,GO:0046885,0.0208584,92.16822,669.5389,EGR1;STC2,Regulation Of Hormone Biosynthetic Process (GO:0046885)
18,GO:0090184,positive regulation of kidney development,GO:0090184,0.0208584,92.16822,669.5389,MYC;NOG,Positive Regulation Of Kidney Development (GO:0090184)
19,GO:2000425,regulation of apoptotic cell clearance,GO:2000425,0.0208584,92.16822,669.5389,CCL2;TGM2,Regulation Of Apoptotic Cell Clearance (GO:2000425)
20,GO:1902533,positive regulation of intracellular signal transduction,GO:1902533,0.0208584,3.482507,25.25724,PDGFRB;IL11;NDFIP2;F10;GDF15;SPHK1;LIF;SPRY2;ROR1;TGM2;HBEGF,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
21,GO:0030098,lymphocyte differentiation,GO:0030098,0.0208584,11.34892,82.8485,IL11;NFIL3;DNAJB9;RELB,Lymphocyte Differentiation (GO:0030098)
