Protein_Group,Genes,ETP-56035_6hr,ETP-56328_6hr,ETP-56168_6hr
P52756,RBM5,No,No,No
P52757,CHN2,No,No,No
P52758,RIDA,No,No,No
P52788,SMS,No,No,No
P52789,HK2,No,No,No
P52803,EFNA5,No,No,No
P52815,MRPL12,No,No,No
P52824,DGKQ,No,No,No
P52848,NDST1,No,No,No
P52849,NDST2,No,No,No
P52888,THOP1,No,No,No
P52907,CAPZA1,No,No,No
P52926,HMGA2,No,No,No
P52943,CRIP2,No,No,No
P52948,NUP98,No,No,No
P52951,GBX2,No,No,No
P52952,NKX2-5,No,No,No
P53004,BLVRA,No,No,No
P53007,SLC25A1,No,No,No
P53041,PPP5C,No,No,No
P53350,PLK1,No,No,No
P53355,DAPK1,No,No,No
P53365,ARFIP2,No,No,No
P53367,ARFIP1,No,No,No
P53370,NUDT6,No,No,No
P53384,NUBP1,No,No,No
P53396,ACLY,No,No,No
P53420,COL4A4,No,No,No
P53539,FOSB,No,No,No
P53582,METAP1,No,No,No
P53597,SUCLG1,No,No,No
P53602,MVD,No,No,No
P53609,PGGT1B,No,No,No
P53611,RABGGTB,No,No,No
P53618,COPB1,No,No,No
P53621,COPA,No,No,No
P53634,CTSC,No,No,No
P53667,LIMK1,No,No,No
P53671,LIMK2,No,No,No
P53675,CLTCL1,No,No,No
P53677,AP3M2,No,No,No
P53680,AP2S1,No,No,No
P53701,HCCS,No,No,No
P53778,MAPK12,No,No,No
P53794,SLC5A3,No,No,No
P53801,PTTG1IP,No,No,No
P53803,POLR2K,No,No,No
P53804,TTC3,No,No,No
P53805,RCAN1,No,No,No
P53814,SMTN,No,No,No
P53816,PLAAT3,No,No,No
P53985,SLC16A1,No,No,No
P53990,IST1,No,No,No
P53992,SEC24C,No,No,No
P53999,SUB1,No,No,No
P54098,POLG,No,No,No
P54105,CLNS1A,No,No,No
P54132,BLM,No,No,No
P54136,RARS1,No,No,No
P54198,HIRA,No,No,No
P54252,ATXN3,No,No,No
P54253,ATXN1,No,No,No
P54259,ATN1,No,No,No
P54274,TERF1,No,No,No
P54277,PMS1,No,No,No
P54278,PMS2,No,No,No
P54284,CACNB3,No,No,No
P54289,CACNA2D1,No,No,No
P54577,YARS1,No,No,No
P54578,USP14,No,No,No
P54619,PRKAG1,No,No,No
P54646,PRKAA2,No,No,No
P54652,HSPA2,No,No,No
P54709,ATP1B3,No,No,No
P54710,FXYD2,No,No,No
P54725,RAD23A,No,No,No
P54727,RAD23B,No,No,No
P54760,EPHB4,No,No,No
P54762,EPHB1,No,No,No
P54764,EPHA4,No,No,No
P54802,NAGLU,No,No,No
P54803,GALC,No,No,No
P54819,AK2,No,No,No
P54821,PRRX1,No,No,No
P54852,EMP3,No,No,No
P54886,ALDH18A1,No,No,No
P54920,NAPA,No,No,No
P54922,ADPRH,No,No,No
P55010,EIF5,No,No,No
P55011,SLC12A2,No,No,No
P55036,PSMD4,No,No,No
P55039,DRG2,No,No,No
P55042,RRAD,No,No,No
P55055,NR1H2,No,No,No
P55058,PLTP,No,No,No
P55060,CSE1L,No,No,No
P55061,TMBIM6,No,No,No
P55072,VCP,No,No,No
P55081,MFAP1,No,No,No
P55082,MFAP3,No,No,No
P55084,HADHB,No,No,No
P55085,F2RL1,No,No,No
P55145,MANF,No,No,No
P55196,AFDN,No,No,No
P55197,MLLT10,No,No,No
P55198,MLLT6,No,No,No
P55199,ELL,No,No,No
P55201,BRPF1,No,No,No
P55209,NAP1L1,No,No,No
P55210,CASP7,No,No,No
P55211,CASP9,No,No,No
P55212,CASP6,No,No,No
P55263,ADK,No,No,No
P55265,ADAR,No,No,No
P55268,LAMB2,No,No,No
P55273,CDKN2D,No,No,No
P55285,CDH6,No,No,No
P55316,FOXG1,No,No,No
P55317,FOXA1,No,No,No
P55327,TPD52,No,No,No
P55345,PRMT2,No,No,No
P55347,PKNOX1,No,No,No
P55735,SEC13,No,No,No
P55769,SNU13,No,No,No
P55771,PAX9,No,No,No
P55786,NPEPPS,No,No,No
P55789,GFER,No,No,No
P55795,HNRNPH2,No,No,No
P55809,OXCT1,No,No,No
P55854,SUMO3,No,No,No
P55884,EIF3B,No,No,No
P55899,FCGRT,No,No,No
P55957,BID,No,No,No
P56134,ATP5MF,No,No,No
P56177,DLX1,No,No,No
P56178,DLX5,No,No,No
P56179,DLX6,No,No,No
P56181,NDUFV3,No,No,No
P56182,RRP1,No,No,No
P56192,MARS1,No,No,No
P56199,ITGA1,No,No,No
P56211,ARPP19,No,No,No
P56270,MAZ,No,No,No
P56277,CMC4,No,No,No
P56282,POLE2,No,No,No
P56377,AP1S2,No,No,No
P56378,ATP5MJ,No,No,No
P56381,ATP5F1E,No,No,No
P56385,ATP5ME,No,No,No
P56524,HDAC4,No,No,No
P56537,EIF6,No,No,No
P56545,CTBP2,No,No,No
P56556,NDUFA6,No,No,No
P56557,TMEM50B,No,No,No
P56559,ARL4C,No,No,No
P56589,PEX3,No,No,No
CON__P56652,ITIH3,No,No,No
P56706,WNT7B,No,No,No
P56749,CLDN12,No,No,No
P56937,HSD17B7,No,No,No
P56945,BCAR1,No,No,No
P56962,STX17,No,No,No
P57052,RBM11,No,No,No
P57053,H2BS1,No,No,No
P57054,PIGP,No,ETP-56328_6hr,No
P57057,SLC37A1,No,No,No
P57060,RWDD2B,No,No,No
P57071,PRDM15,No,No,No
P57075,UBASH3A,No,No,No
P57076,CFAP298,No,No,No
P57078,RIPK4,No,No,No
P57081,WDR4,No,No,No
P57086,SCAND1,No,No,No
P57088,TMEM33,No,No,No
P57105,SYNJ2BP,No,No,No
P57678,GEMIN4,No,No,No
P57682,KLF3,No,No,No
P57721,PCBP3,No,No,No
P57723,PCBP4,No,No,No
P57729,RAB38,No,No,No
P57737,CORO7,No,No,No
P57740,NUP107,No,No,No
P57764,GSDMD,No,No,No
P57768,SNX16,No,No,No
P57772,EEFSEC,No,No,No
P57775,FBXW4,No,No,No
P58004,SESN2,No,No,No
P58012,FOXL2,No,No,No
P58107,EPPK1,No,No,No
P58166,INHBE,No,No,No
P58170,OR1D5,No,No,No
P58317,ZNF121,No,No,No
P58340,MLF1,No,No,No
P58511,SMIM11A,No,No,No
P58546,MTPN,No,No,No
P58557,YBEY,No,No,No
P58753,TIRAP,No,No,No
P59190,RAB15,No,No,No
P59780,AP3S2,No,No,No
P59923,ZNF445,No,No,No
P59998,ARPC4,No,No,No
P60002,ELOF1,No,No,No
P60006,ANAPC15,No,No,No
P60033,CD81,No,No,No
P60059,SEC61G,No,No,No
P60174,TPI1,No,No,No
P60228,EIF3E,No,No,No
P60468,SEC61B,No,No,No
P60484,PTEN,No,No,No
P60510,PPP4C,No,No,No
P60520,GABARAPL2,No,No,No
P60602,ROMO1,No,No,No
P60604,UBE2G2,No,No,No
P60660,MYL6,No,No,No
CON__P60709;P60712,ACTB,No,No,No
P60763,RAC3,No,No,No
P60842,EIF4A1,No,No,No
P60866,RPS20,No,No,No
P60880,SNAP25,No,No,No
P60891,PRPS1,No,No,No
P60900,PSMA6,No,No,No
P60903,S100A10,No,No,No
P60953,CDC42,No,No,No
P60981,DSTN,No,No,No
P60983,GMFB,No,No,No
P61006,RAB8A,No,No,No
P61009,SPCS3,No,No,No
P61011,SRP54,No,No,No
P61018,RAB4B,No,No,No
P61019,RAB2A,No,No,No
P61020,RAB5B,No,No,No
P61024,CKS1B,No,No,No
P61026,RAB10,No,No,No
P61077,UBE2D3,No,No,No
P61081,UBE2M,No,No,No
P61086,UBE2K,No,No,No
P61088,UBE2N,No,No,No
P61106,RAB14,No,No,No
P61129,ZC3H6,No,No,No
P61158,ACTR3,No,No,No
P61160,ACTR2,No,No,No
P61163,ACTR1A,No,No,No
P61165,TMEM258,No,No,No
P61201,COPS2,No,No,No
P61204,ARF3,No,No,No
P61218,POLR2F,No,No,No
P61221,ABCE1,No,No,No
P61224,RAP1B,No,No,No
P61225,RAP2B,No,No,No
P61244,MAX,No,No,No
P61247,RPS3A,No,No,No
P61254,RPL26,No,No,No
P61278,SST,No,No,No
P61289,PSME3,No,No,No
P61313,RPL15,No,No,No
P61326;Q96A72,MAGOH;MAGOHB,No,No,No
P61353,RPL27,No,No,No
P61371,ISL1,No,No,No
P61421,ATP6V0D1,No,No,No
P61457,PCBD1,No,No,No
P61513,RPL37A,No,No,No
P61586,RHOA,No,No,No
P61587,RND3,No,No,No
P61599,NAA20,No,No,No
P61601,NCALD,No,No,No
P61604,HSPE1,No,No,No
P61619,SEC61A1,No,No,No
CON__P61626,LYZ,No,No,No
P61758,VBP1,No,No,No
P61764,STXBP1,No,No,No
P61803,DAD1,No,No,No
P61916,NPC2,No,No,No
P61923,COPZ1,No,No,No
P61925,PKIA,No,No,No
P61927,RPL37,No,No,No
P61952,GNG11,No,No,No
P61956,SUMO2,No,No,No
P61960,UFM1,No,No,No
P61962,DCAF7,No,No,No
P61964,WDR5,No,No,No
P61966,AP1S1,No,No,No
P61968,LMO4,No,No,No
P61970,NUTF2,No,No,No
P61978,HNRNPK,No,No,No
P61981,YWHAG,No,No,No
P62068,USP46,No,No,No
P62070,RRAS2,No,No,No
P62072,TIMM10,No,No,No
P62081,RPS7,No,No,No
P62136,PPP1CA,No,No,No
P62140,PPP1CB,No,No,No
P62166,NCS1,No,No,No
P62191,PSMC1,No,No,No
P62195,PSMC5,No,No,No
P62241,RPS8,No,No,No
P62244,RPS15A,No,No,No
P62249,RPS16,No,No,No
P62253,UBE2G1,No,No,No
P62256,UBE2H,No,No,No
P62258,YWHAE,No,No,No
P62263,RPS14,No,No,No
P62266,RPS23,No,No,No
P62269,RPS18,No,No,No
P62273,RPS29,No,No,No
P62277,RPS13,No,No,No
P62280,RPS11,No,No,No
P62304,SNRPE,No,No,No
P62306,SNRPF,No,No,No
P62310,LSM3,No,No,No
P62312,LSM6,No,No,No
P62314,SNRPD1,No,No,No
P62316,SNRPD2,No,No,No
P62318,SNRPD3,No,No,No
P62328,TMSB4X,No,No,No
P62330,ARF6,No,No,No
P62333,PSMC6,No,No,No
P62341,SELENOT,No,No,No
P62380,TBPL1,No,No,No
P62424,RPL7A,No,No,No
P62487,POLR2G,No,No,No
P62491,RAB11A,No,No,No
P62495,ETF1,No,No,No
P62633,CNBP,No,No,No
P62699,YPEL5,No,No,No
P62701,RPS4X,No,No,No
P62714,PPP2CB,No,No,No
P62745,RHOB,No,No,No
P62750,RPL23A,No,No,No
P62753,RPS6,No,No,No
P62760,VSNL1,No,No,No
P62805,H4-16,No,No,No
P62820,RAB1A,No,No,No
P62826,RAN,No,No,No
P62829,RPL23,No,No,No
P62834,RAP1A,No,No,No
P62841,RPS15,No,No,No
P62847,RPS24,No,No,No
P62851,RPS25,No,No,No
P62854,RPS26,No,No,No
P62857,RPS28,No,No,No
P62873,GNB1,No,No,No
P62875,POLR2L,No,No,No
P62877,RBX1,No,No,No
P62879,GNB2,No,No,No
P62888,RPL30,No,No,No
P62891;Q59GN2,RPL39;RPL39P5,No,No,No
P62899,RPL31,No,No,No
P62906,RPL10A,No,No,No
P62910,RPL32,No,No,No
P62913,RPL11,No,No,No
P62917,RPL8,No,No,No
P62937,PPIA,No,No,No
P62942,FKBP1A,No,No,No
P62979,RPS27A,No,No,No
P62987,UBA52,No,No,No
P62993,GRB2,No,No,No
P62995,TRA2B,No,No,No
P63000,RAC1,No,No,No
P63010,AP2B1,No,No,No
P63027,VAMP2,No,No,No
P63096,GNAI1,No,No,No
P63098,PPP3R1,No,No,No
P63104,YWHAZ,No,No,No
P63146,UBE2B,No,No,No
P63151,PPP2R2A,No,No,No
P63165,SUMO1,No,No,No
P63167,DYNLL1,No,No,No
P63172,DYNLT1,No,No,No
P63173,RPL38,No,No,No
P63208,SKP1,No,No,No
P63218,GNG5,No,No,No
P63220,RPS21,No,No,No
P63241,EIF5A,No,No,No
P63244,RACK1,No,No,No
P63261,ACTG1,No,No,No
P63267,ACTG2,No,No,No
P63272,SUPT4H1,No,No,No
P63279,UBE2I,No,No,No
P63313,TMSB10,No,No,No
P67775,PPP2CA,No,No,No
P67809,YBX1,No,No,No
P67812,SEC11A,No,No,No
P67870,CSNK2B,No,No,No
P67936,TPM4,No,No,No
P68036,UBE2L3,No,No,No
CON__P68082,MB,No,No,No
P68104,EEF1A1,No,No,No
P68106,FKBP1B,No,No,No
P68133,ACTA1,No,No,No
P68366,TUBA4A,No,No,No
P68371,TUBB4B,No,No,No
P68400,CSNK2A1,No,No,No
P68402,PAFAH1B2,No,No,No
P68543,UBXN2A,No,No,No
P69905,HBA2,No,No,No
P78310,CXADR,No,No,No
P78312,FAM193A,No,No,No
P78314,SH3BP2,No,No,No
P78316,NOP14,No,No,No
P78317,RNF4,No,No,No
P78318,IGBP1,No,No,No
P78324,SIRPA,No,No,No
P78325,ADAM8,No,No,No
P78330,PSPH,No,No,No
P78332,RBM6,No,No,No
P78344,EIF4G2,No,No,No
P78345,RPP38,No,No,No
P78346,RPP30,No,No,No
P78347,GTF2I,No,No,No
P78348,ASIC1,No,No,No
P78352,DLG4,No,No,No
P78356,PIP4K2B,No,No,No
P78357,CNTNAP1,No,No,No
P78362,SRPK2,No,No,No
P78364,PHC1,No,No,No
P78368,CSNK1G2,No,No,No
P78371,CCT2,No,No,No
P78380,OLR1,No,No,No
P78381,SLC35A2,No,No,No
P78382,SLC35A1,No,No,No
P78383,SLC35B1,No,No,No
CON__P78386,KRT85,No,No,No
P78395,PRAME,No,No,No
P78396,CCNA1,DMSO_6hr,No,No
P78406,RAE1,No,No,No
P78410,BTN3A2,No,No,No
P78411,IRX5,No,No,No
P78415,IRX3,No,No,No
P78417,GSTO1,No,No,No
P78423,CX3CL1,No,No,No
P78426,NKX6-1,No,No,No
P78504,JAG1,No,No,No
P78524,DENND2B,No,No,No
P78527,PRKDC,No,No,No
P78536,ADAM17,No,No,No
P78537,BLOC1S1,No,No,No
P78539,SRPX,No,No,No
P78540,ARG2,No,No,No
P78545,ELF3,No,No,No
P78549,NTHL1,No,No,No
P78552,IL13RA1,No,No,No
P78559,MAP1A,No,No,No
P78560,CRADD,No,No,No
P78563,ADARB1,No,No,No
P79522,PRR3,No,No,No
P80192,MAP3K9,No,No,ETP-56168_6hr
P80217,IFI35,No,No,No
P80294,MT1H,No,No,No
P80297,MT1X,No,No,No
P80303,NUCB2,No,No,No
P80404,ABAT,No,No,No
P80723,BASP1,No,No,No
P81274,GPSM2,No,No,No
P81605,DCD,No,No,No
CON__P81644,APOA2,No,No,No
P82094,TMF1,No,No,No
P82650,MRPS22,No,No,No
P82663,MRPS25,No,No,No
P82664,MRPS10,No,No,No
P82673,MRPS35,No,No,No
P82675,MRPS5,No,No,No
P82909,MRPS36,No,No,No
P82912,MRPS11,No,No,No
P82914,MRPS15,No,No,No
P82921,MRPS21,No,No,No
P82930,MRPS34,No,No,No
P82932,MRPS6,No,No,No
P82933,MRPS9,No,No,No
P82970,HMGN5,No,No,No
P82979,SARNP,No,No,No
P83111,LACTB,No,No,No
P83369,LSM11,No,No,No
P83436,COG7,No,No,No
P83731,RPL24,No,No,No
P83876,TXNL4A,No,No,No
P83881,RPL36A,No,No,No
P83916,CBX1,No,No,No
P84022,SMAD3,No,No,No
P84077,ARF1,No,No,No
P84085,ARF5,No,No,No
P84090,ERH,No,No,No
P84095,RHOG,No,No,No
P84098,RPL19,No,No,No
P84101,SERF2,No,No,No
P84103,SRSF3,No,No,No
P84157,MXRA7,No,No,No
P84243,H3-3B,No,No,No
P85037,FOXK1,No,No,No
P85298,ARHGAP8,No,No,No
P85299,PRR5,No,No,No
P86397,HTD2,No,No,No
P86452,ZBED6,No,No,No
P86790;P86791,CCZ1;CCZ1B,No,No,No
P98077,SHC2,No,No,No
P98082,DAB2,No,No,No
P98153,DGCR2,No,No,No
P98155,VLDLR,No,No,No
P98160,HSPG2,No,No,No
P98169,ZXDB,No,No,No
P98170,XIAP,No,No,No
P98171,ARHGAP4,No,No,No
P98172,EFNB1,No,No,No
P98173,FAM3A,No,No,No
P98174,FGD1,No,No,No
P98175,RBM10,No,No,No
P98179,RBM3,No,No,No
P98182,ZNF200,No,No,No
P98194,ATP2C1,No,No,No
P98196,ATP11A,No,No,No
P98198,ATP8B2,No,No,No
P99999,CYCS,No,No,No
Q00013,MPP1,No,No,No
Q00056,HOXA4,No,No,No
Q00059,TFAM,No,No,No
Q00169,PITPNA,No,No,No
Q00325,SLC25A3,No,No,No
Q00341,HDLBP,No,No,No
Q00403,GTF2B,No,No,No
Q00444,HOXC5,No,No,No
Q00532,CDKL1,No,No,No
Q00534,CDK6,No,No,No
Q00535,CDK5,No,No,No
Q00536,CDK16,No,No,No
Q00537,CDK17,No,No,No
Q00577,PURA,No,No,No
Q00587,CDC42EP1,No,No,No
Q00597,FANCC,No,No,No
Q00610,CLTC,No,No,No
Q00613,HSF1,No,No,No
Q00653,NFKB2,No,No,No
Q00688,FKBP3,No,No,No
Q00765,REEP5,No,No,No
Q00796,SORD,No,No,No
Q00839,HNRNPU,No,No,No
Q00973,B4GALNT1,No,No,No
Q00978,IRF9,No,No,No
Q00987,MDM2,No,No,No
Q01082,SPTBN1,No,No,No
Q01085,TIAL1,No,No,No
Q01094,E2F1,No,No,No
Q01105,SET,No,No,No
Q01130,SRSF2,No,No,No
Q01167,FOXK2,No,No,No
Q01196,RUNX1,No,No,No
Q01201,RELB,No,No,No
Q01415,GALK2,No,No,No
Q01432,AMPD3,No,No,No
Q01433,AMPD2,No,No,No
Q01459,CTBS,No,No,No
Q01469,FABP5,No,No,No
Q01484,ANK2,No,No,No
Q01518,CAP1,No,No,No
Q01581,HMGCS1,No,No,No
Q01628,IFITM3,No,No,No
Q01629,IFITM2,No,No,No
Q01650,SLC7A5,No,No,No
Q01658,DR1,No,No,No
Q01664,TFAP4,No,No,No
Q01780,EXOSC10,No,No,No
Q01804,OTUD4,No,No,No
Q01813,PFKP,No,No,No
Q01814,ATP2B2,No,No,No
Q01831,XPC,No,No,No
Q01844,EWSR1,No,No,No
Q01850,CDR2,No,No,No
Q01955,COL4A3,No,No,No
Q01968,OCRL,No,No,No
Q01970,PLCB3,No,No,No
Q01973,ROR1,No,No,No
Q01995,TAGLN,No,No,No
Q02040,AKAP17A,No,No,No
Q02078,MEF2A,No,No,No
Q02083,NAAA,No,No,No
Q02086,SP2,No,No,No
Q02127,DHODH,No,No,No
Q02153,GUCY1B1,No,No,No
Q02156,PRKCE,No,No,No
Q02218,OGDH,No,No,No
Q02224,CENPE,No,No,No
Q02241,KIF23,No,No,No
Q02252,ALDH6A1,No,No,No
Q02297,NRG1,No,No,No
Q02338,BDH1,No,No,No
Q02363,ID2,No,No,No
Q02383,SEMG2,No,No,No
Q02386,ZNF45,No,No,No
Q02388,COL7A1,No,No,No
Q02413,DSG1,No,No,No
Q02446,SP4,No,No,No
Q02447,SP3,No,No,No
Q02487,DSC2,No,No,No
Q02535,ID3,No,No,No
Q02543,RPL18A,No,No,No
Q02556,IRF8,No,No,No
Q02742,GCNT1,No,No,No
Q02750,MAP2K1,No,No,No
Q02790,FKBP4,No,No,No
Q02809,PLOD1,No,No,No
Q02818,NUCB1,No,No,No
Q02833,RASSF7,No,No,No
Q02878,RPL6,No,No,No
Q02880,TOP2B,No,No,No
Q02930,CREB5,No,No,No
Q02952,AKAP12,No,No,No
Q02962,PAX2,No,No,No
Q02978,SLC25A11,No,No,No
Q03001,DST,No,No,No
Q03060,CREM,No,No,No
Q03111,MLLT1,No,No,No
Q03113,GNA12,No,No,No
Q03135,CAV1,No,No,No
Q03154,ACY1,No,No,No
Q03164,KMT2A,No,No,No
Q03167,TGFBR3,No,No,No
Q03169,TNFAIP2,No,No,No
Q03188,CENPC,No,No,No
CON__Q03247,APOE,No,No,No
Q03252,LMNB2,No,No,No
Q03393,PTS,No,No,No
Q03405,PLAUR,No,No,No
Q03426,MVK,No,No,No
Q03468,ERCC6,No,No,No
Q03518,TAP1,No,No,No
Q03519,TAP2,No,No,No
Q03701,CEBPZ,No,No,No
Q03933,HSF2,No,No,No
Q03936,ZNF92,No,No,No
Q04206,RELA,No,No,No
Q04323,UBXN1,No,No,No
Q04446,GBE1,No,No,No
Q04609,FOLH1,No,No,No
Q04637,EIF4G1,No,No,No
Q04656,ATP7A,No,No,No
CON__Q04695,KRT17,No,No,No
Q04721,NOTCH2,No,No,No
Q04724,TLE1,No,No,No
Q04725,TLE2,No,No,No
Q04726,TLE3,No,No,No
Q04727,TLE4,No,No,No
Q04759,PRKCQ,No,No,No
Q04760,GLO1,No,No,No
Q04771,ACVR1,No,No,No
Q04837,SSBP1,No,No,No
Q04864,REL,No,No,No
Q04900,CD164,No,No,No
Q04912,MST1R,No,No,No
Q04917,YWHAH,No,No,No
Q04941,PLP2,No,No,No
Q05048,CSTF1,No,No,No
Q05084,ICA1,No,No,No
Q05086,UBE3A,No,No,No
Q05193,DNM1,No,No,No
Q05209,PTPN12,No,No,No
Q05397,PTK2,No,No,No
CON__Q05443,LUM,No,No,No
Q05469,LIPE,No,No,No
Q05481,ZNF91,No,No,No
Q05513,PRKCZ,No,No,No
Q05519,SRSF11,No,No,No
Q05639,EEF1A2,No,No,No
Q05655,PRKCD,No,No,No
Q05682,CALD1,No,No,No
Q05707,COL14A1,No,No,No
Q05823,RNASEL,No,No,No
Q05932,FPGS,No,No,No
CON__Q05B55,IGK,No,No,No
Q05BQ5,MBTD1,No,No,No
Q05BV3,EML5,No,No,No
Q05D32,CTDSPL2,No,No,No
Q05DH4,FAM160A1,No,No,No
Q06124,PTPN11,No,No,No
Q06136,KDSR,No,No,No
Q06190,PPP2R3A,No,No,No
Q06203,PPAT,No,No,No
Q06210,GFPT1,No,No,No
Q06265,EXOSC9,No,No,No
Q06323,PSME1,No,No,No
Q06330,RBPJ,No,No,No
Q06413,MEF2C,No,No,No
Q06418,TYRO3,No,No,No
Q06481,APLP2,No,No,No
Q06546,GABPA,No,No,No
Q06547,GABPB1,No,No,No
Q06587,RING1,No,No,No
Q06609,RAD51,No,No,No
Q06710,PAX8,No,No,No
Q06730,ZNF33A,No,No,No
Q06787,FMR1,No,No,No
Q06830,PRDX1,No,No,No
Q07002,CDK18,No,No,No
Q07020,RPL18,No,No,No
Q07021,C1QBP,No,No,No
Q07065,CKAP4,No,No,No
Q07157,TJP1,No,No,No
Q07283,TCHH,No,No,No
Q07352,ZFP36L1,No,No,No
Q07617,SPAG1,No,No,No
Q07666,KHDRBS1,No,No,No
Q07812,BAX,No,No,No
Q07817,BCL2L1,No,No,No
Q07820,MCL1,No,No,No
Q07837,SLC3A1,No,No,No
Q07864,POLE,No,No,No
Q07866,KLC1,No,No,No
Q07889,SOS1,No,No,No
Q07890,SOS2,No,No,No
Q07912,TNK2,No,No,No
Q07955,SRSF1,No,No,No
Q07960,ARHGAP1,No,No,No
Q08050,FOXM1,No,No,No
Q08117,TLE5,No,No,No
Q08170,SRSF4,No,No,No
Q08174,PCDH1,No,No,No
Q08188,TGM3,No,No,ETP-56168_6hr
Q08209,PPP3CA,No,No,No
Q08211,DHX9,No,No,No
Q08257,CRYZ,No,No,No
Q08334,IL10RB,No,No,No
Q08345,DDR1,No,No,No
Q08357,SLC20A2,No,No,No
Q08378,GOLGA3,No,No,No
Q08379,GOLGA2,No,No,No
Q08380,LGALS3BP,No,No,No
Q08426,EHHADH,No,No,No
Q08431,MFGE8,No,No,No
Q08495,DMTN,No,No,No
Q08499,PDE4D,No,No,No
Q08554,DSC1,No,No,No
Q08623,PUDP,No,No,No
Q08722,CD47,No,No,No
Q08752,PPID,No,No,No
Q08945,SSRP1,No,No,No
Q08999,RBL2,No,No,No
Q08AD1,CAMSAP2,No,No,No
Q08AE8,SPIRE1,No,No,No
Q08AF3,SLFN5,No,No,No
Q08AG7,MZT1,No,No,No
Q08AM6,VAC14,No,No,No
Q08AN1,ZNF616,No,No,No
Q08J23,NSUN2,No,No,No
Q09019,DMWD,No,No,No
Q09028,RBBP4,No,No,No
Q09161,NCBP1,No,No,No
Q09327,MGAT3,No,No,No
Q09328,MGAT5,No,No,ETP-56168_6hr
Q09472,EP300,No,No,No
Q09666,AHNAK,No,No,No
Q0D2I5,IFFO1,No,No,No
Q0GE19,SLC10A7,No,No,No
Q0IIM8,TBC1D8B,No,No,No
Q0JRZ9,FCHO2,No,No,No
Q0P5N6,ARL16,No,No,No
Q0P651,ABHD18,No,No,No
Q0P6D6,CCDC15,No,No,No
Q0P6H9,TMEM62,No,No,No
Q0PNE2,ELP6,No,No,No
Q0VAQ4,SMAGP,No,No,No
CON__Q0VCM5,ITIH1,No,No,No
Q0VDF9,HSPA14,No,No,No
Q0VDG4,SCRN3,No,No,No
Q0VDI3,TMEM267,No,No,No
Q0VG06,FAAP100,No,No,No
Q0VGE8,ZNF816,No,No,No
Q0VGL1,LAMTOR4,No,No,No
Q10469,MGAT2,No,No,No
Q10471,GALNT2,No,No,No
Q10472,GALNT1,No,No,No
Q10567,AP1B1,No,No,No
Q10570,CPSF1,No,No,No
Q10586,DBP,No,No,No
Q10588,BST1,No,No,No
Q10589,BST2,No,No,No
Q10713,PMPCA,No,No,No
Q11201,ST3GAL1,No,No,No
Q11206,ST3GAL4,No,No,No
Q12756,KIF1A,No,No,No
Q12765,SCRN1,No,No,No
Q12766,HMGXB3,No,No,No
Q12767,TMEM94,No,No,No
Q12768,WASHC5,No,No,No
Q12769,NUP160,No,No,No
Q12770,SCAP,No,No,No
Q12772,SREBF2,No,No,No
Q12774,ARHGEF5,No,No,No
Q12778,FOXO1,No,No,No
Q12788,TBL3,No,No,No
Q12789,GTF3C1,No,No,No
Q12791,KCNMA1,No,No,No
Q12792,TWF1,No,No,No
Q12796,PNRC1,No,No,No
Q12797,ASPH,No,No,No
Q12800,TFCP2,No,No,No
Q12802,AKAP13,No,No,No
Q12815,TROAP,No,No,No
Q12816,TRO,No,No,No
Q12824,SMARCB1,No,No,No
Q12830,BPTF,No,No,No
Q12834,CDC20,No,No,No
Q12841,FSTL1,No,ETP-56328_6hr,ETP-56168_6hr
Q12846,STX4,No,No,No
Q12849,GRSF1,No,No,No
Q12851,MAP4K2,No,No,No
Q12857,NFIA,No,No,No
Q12866,MERTK,No,No,No
Q12870,TCF15,No,No,No
Q12872,SFSWAP,No,No,No
Q12873,CHD3,No,No,No
Q12874,SF3A3,No,No,No
Q12882,DPYD,No,No,No
Q12887,COX10,No,No,No
Q12888,TP53BP1,No,No,No
Q12891,HYAL2,No,No,No
Q12893,TMEM115,No,No,No
Q12894,IFRD2,No,No,No
Q12899,TRIM26,No,No,No
Q12904,AIMP1,No,No,No
Q12905,ILF2,No,No,No
Q12906,ILF3,No,No,No
Q12907,LMAN2,No,No,No
Q12913,PTPRJ,No,No,No
Q12923,PTPN13,No,No,No
Q12926,ELAVL2,No,No,No
Q12929,EPS8,No,No,No
Q12931,TRAP1,No,No,No
Q12933,TRAF2,No,No,No
Q12947,FOXF2,No,No,No
Q12948,FOXC1,No,No,No
Q12955,ANK3,No,No,No
Q12959,DLG1,No,No,No
Q12962,TAF10,No,No,No
Q12965,MYO1E,No,No,No
Q12968,NFATC3,No,No,No
Q12972,PPP1R8,No,No,No
Q12974,PTP4A2,No,No,No
Q12979,ABR,No,No,No
Q12980,NPRL3,No,No,No
Q12981,BNIP1,No,No,No
Q12982,BNIP2,No,No,No
Q12983,BNIP3,No,No,No
Q12986,NFX1,No,No,No
Q12996,CSTF3,No,No,No
Q12999,TSPAN31,No,No,No
Q13009,TIAM1,No,No,No
Q13011,ECH1,No,No,No
Q13015,MLLT11,No,No,No
Q13017,ARHGAP5,No,No,No
Q13018,PLA2R1,No,No,No
Q13029,PRDM2,No,No,No
Q13033,STRN3,No,No,No
Q13042,CDC16,No,No,No
Q13043,STK4,No,No,No
Q13045,FLII,No,No,No
Q13049,TRIM32,No,No,No
