Protein_Group,Genes,ETP-56035_6hr,ETP-56328_6hr,ETP-56168_6hr
B0FP48;E5RIL1,UPK3BL1;UPK3BL2,No,No,No
B0YJ81,HACD1,No,No,No
B1AK53,ESPN,No,No,No
B2RBV5,,No,No,No
B2RTY4,MYO9A,No,No,No
B2RUZ4,SMIM1,No,No,No
B3EWG3;B3EWG5;B3EWG6,FAM25A;FAM25C;FAM25G,No,DMSO_6hr,No
B3KNS4,ERVK3-1,No,No,No
B3KU38;P0DPB3,IQCJ-SCHIP1;SCHIP1,No,No,No
B4DS77,SHISA9,No,No,No
B7ZAQ6;P0CG08,GPR89A;GPR89B,No,No,No
B7ZBB8,PPP1R3G,No,No,No
B7ZLF3,LOC402624,No,No,No
B9A064,IGLL5,No,No,No
C9J7I0,UMAD1,No,No,No
C9JI98,TMEM238,No,No,No
C9JLW8,MCRIP1,No,No,No
C9JQL5,,No,No,No
CON__E1B991,,No,No,No
CON__E1BCW0,HGFAC,No,No,No
CON__E1BJK2,TUBB1,No,No,No
E7ETH6,ZNF587B,No,No,No
E9PAV3,NACA,No,No,No
E9PRG8,C11orf98,No,No,No
L0R819,ASDURF,No,No,No
O00115,DNASE2,No,No,No
O00116,AGPS,No,No,No
O00124,UBXN8,No,No,No
O00139,KIF2A,No,No,No
O00142,TK2,No,No,No
O00148,DDX39A,No,No,No
O00151,PDLIM1,No,No,No
O00154,ACOT7,No,No,No
O00159,MYO1C,No,No,No
O00161,SNAP23,No,No,No
O00165,HAX1,No,No,No
O00170,AIP,No,No,No
O00178,GTPBP1,No,No,No
O00180,KCNK1,No,No,No
O00186,STXBP3,No,No,No
O00189,AP4M1,No,No,No
O00192,ARVCF,No,No,No
O00193,SMAP,No,No,No
O00194,RAB27B,No,No,No
O00203,AP3B1,No,No,No
O00204,SULT2B1,No,No,No
O00213,APBB1,No,No,No
O00214,LGALS8,No,No,No
O00217,NDUFS8,No,No,No
O00219,HAS3,No,No,No
O00220,TNFRSF10A,No,No,No
O00221,NFKBIE,No,No,No
O00231,PSMD11,No,No,No
O00232,PSMD12,No,No,No
O00233,PSMD9,No,No,No
O00241,SIRPB1,No,No,No
O00244,ATOX1,No,No,No
O00255,MEN1,No,No,No
O00257,CBX4,No,No,No
O00258,GET1,No,No,No
O00264,PGRMC1,No,No,No
O00267,SUPT5H,No,No,No
O00268,TAF4,No,No,No
O00273,DFFA,No,No,No
O00287,RFXAP,No,No,No
O00291,HIP1,No,No,No
O00299,CLIC1,No,No,No
O00300,TNFRSF11B,No,No,DMSO_6hr
O00303,EIF3F,No,No,No
O00308,WWP2,No,No,No
O00311,CDC7,No,No,No
O00327,ARNTL,No,No,No
O00329,PIK3CD,No,No,No
O00330,PDHX,No,No,No
O00339,MATN2,No,No,No
O00358,FOXE1,No,No,No
O00391,QSOX1,No,No,No
O00399,DCTN6,No,No,No
O00400,SLC33A1,No,No,No
O00401,WASL,No,No,No
O00409,FOXN3,ETP-56035_6hr,ETP-56328_6hr,No
O00410,IPO5,No,No,No
O00411,POLRMT,No,No,No
O00418,EEF2K,No,No,No
O00422,SAP18,No,No,No
O00423,EML1,No,No,No
O00425,IGF2BP3,No,No,No
O00429,DNM1L,No,No,No
O00442,RTCA,No,No,No
O00443,PIK3C2A,No,No,No
O00444,PLK4,No,No,No
O00445,SYT5,No,No,No
O00458,IFRD1,No,No,No
O00459,PIK3R2,No,No,No
O00461,GOLIM4,No,No,No
O00462,MANBA,No,No,No
O00463,TRAF5,No,No,No
O00468,AGRN,No,No,No
O00469,PLOD2,No,No,No
O00470,MEIS1,No,No,No
O00471,EXOC5,No,No,No
O00472,ELL2,No,No,No
O00478,BTN3A3,No,No,No
O00479,HMGN4,No,No,No
O00481,BTN3A1,No,No,No
O00482,NR5A2,No,No,No
O00483,NDUFA4,No,No,No
O00487,PSMD14,No,No,No
O00488,ZNF593,No,No,No
O00499,BIN1,No,No,No
O00505,KPNA3,No,No,No
O00506,STK25,No,No,No
O00507,USP9Y,No,No,No
O00512,BCL9,No,No,No
O00515,LAD1,No,No,No
O00519,FAAH,No,No,No
O00522,KRIT1,No,No,No
O00534,VWA5A,No,No,No
O00541,PES1,No,No,No
O00559,EBAG9,No,No,No
O00560,SDCBP,No,No,No
O00562,PITPNM1,No,No,No
O00566,MPHOSPH10,No,No,No
O00567,NOP56,No,No,No
O00571,DDX3X,No,No,No
O00584,RNASET2,No,No,No
O00592,PODXL,No,No,No
O00622,CCN1,No,No,No
O00623,PEX12,No,No,No
O00625,PIR,No,No,No
O00628,PEX7,No,No,No
O00629,KPNA4,No,No,No
O00635,TRIM38,No,No,No
O00712,NFIB,No,No,No
O00716,E2F3,No,No,No
O00743,PPP6C,No,No,No
O00746,NME4,No,No,No
O00748,CES2,No,No,No
O00750,PIK3C2B,ETP-56035_6hr,ETP-56328_6hr,No
O00754,MAN2B1,No,No,No
O00762,UBE2C,No,No,No
O00763,ACACB,No,No,No
O00764,PDXK,No,No,No
O00767,SCD,No,No,No
O14490,DLGAP1,No,No,No
O14492,SH2B2,No,No,No
O14493,CLDN4,No,No,No
O14494,PLPP1,No,No,No
O14495,PLPP3,No,No,No
O14497,ARID1A,No,No,No
O14503,BHLHE40,No,No,No
O14508,SOCS2,No,No,No
O14519,CDK2AP1,No,No,No
O14521,SDHD,No,No,No
O14523,C2CD2L,No,No,No
O14524,NEMP1,No,No,No
O14526,FCHO1,No,No,No
O14530,TXNDC9,No,No,No
O14544,SOCS6,No,No,No
O14545,TRAFD1,No,No,No
O14548,COX7A2L,No,No,No
O14559,ARHGAP33,No,No,No
O14561,NDUFAB1,No,No,No
O14562,UBFD1,No,No,No
O14569,CYB561D2,No,No,No
O14578,CIT,No,No,No
O14579,COPE,No,No,No
O14593,RFXANK,No,No,No
O14595,CTDSP2,No,ETP-56328_6hr,No
O14613,CDC42EP2,No,No,No
O14617,AP3D1,No,No,No
O14618,CCS,No,No,No
O14628,ZNF195,No,No,No
O14639,ABLIM1,No,No,No
O14640,DVL1,No,No,No
O14641,DVL2,No,No,No
O14646,CHD1,No,No,No
O14647,CHD2,No,No,No
O14649,KCNK3,No,DMSO_6hr,No
O14653,GOSR2,No,No,No
O14656,TOR1A,No,No,No
O14657,TOR1B,No,No,No
O14662,STX16,No,No,No
O14668,PRRG1,No,No,No
O14672,ADAM10,No,No,No
O14678,ABCD4,No,No,No
O14681,EI24,No,No,No
O14683,TP53I11,No,No,No
O14684,PTGES,No,No,No
O14686,KMT2D,No,No,No
O14709,ZNF197,No,No,No
O14713,ITGB1BP1,No,No,No
O14715,RGPD8,No,No,No
O14717,TRDMT1,No,No,No
O14727,APAF1,No,No,No
O14730,RIOK3,No,No,No
O14732,IMPA2,No,No,No
O14733,MAP2K7,No,No,No
O14734,ACOT8,No,No,No
O14735,CDIPT,No,No,No
O14737,PDCD5,No,No,No
O14744,PRMT5,No,No,No
O14745,SLC9A3R1,No,No,No
O14757,CHEK1,No,No,No
O14763,TNFRSF10B,No,No,No
O14771,ZNF213,No,No,No
O14772,FPGT,No,No,No
O14773,TPP1,No,No,No
O14775,GNB5,No,No,No
O14776,TCERG1,No,No,No
O14777,NDC80,No,No,No
O14782,KIF3C,No,No,No
O14786,NRP1,No,No,No
O14787,TNPO2,No,No,No
O14795,UNC13B,No,No,No
O14802,POLR3A,No,No,No
O14817,TSPAN4,No,No,No
O14818,PSMA7,No,No,No
O14828,SCAMP3,No,No,No
O14832,PHYH,No,No,No
O14841,OPLAH,No,No,No
O14863,SLC30A4,No,No,No
O14867,BACH1,No,No,No
O14874,BCKDK,No,No,No
O14879,IFIT3,No,No,No
O14880,MGST3,No,No,No
O14893,GEMIN2,No,No,No
O14896,IRF6,No,No,No
O14907,TAX1BP3,No,No,No
O14908,GIPC1,No,No,No
O14910,LIN7A,No,No,No
O14920,IKBKB,No,No,No
O14924,RGS12,No,No,No
O14925,TIMM23,No,No,No
O14929,HAT1,No,No,No
O14933,UBE2L6,No,No,No
O14936,CASK,No,No,No
O14939,PLD2,No,No,No
O14949,UQCRQ,No,No,No
O14950;P19105,MYL12A;MYL12B,No,No,No
O14964,HGS,No,No,No
O14965,AURKA,No,No,No
O14966,RAB29,No,No,No
O14967,CLGN,No,No,No
O14972,VPS26C,No,No,No
O14974,PPP1R12A,No,No,No
O14975,SLC27A2,No,No,No
O14976,GAK,No,No,No
O14978,ZNF263,No,No,No
O14979,HNRNPDL,No,No,No
O14980,XPO1,No,No,No
O14981,BTAF1,No,No,No
O15013,ARHGEF10,No,No,No
O15014,ZNF609,No,No,No
O15015,ZNF646,No,No,No
O15020,SPTBN2,No,No,No
O15021,MAST4,No,No,No
O15027,SEC16A,No,No,No
O15031,PLXNB2,No,No,No
O15033,AREL1,No,No,No
O15037,KHNYN,No,No,No
O15040,TECPR2,No,No,No
O15042,U2SURP,No,No,No
O15047,SETD1A,No,No,No
O15049,N4BP3,No,No,No
O15050,TRANK1,No,No,No
O15054,KDM6B,No,No,No
O15056,SYNJ2,No,No,No
O15060,ZBTB39,No,No,No
O15061,SYNM,No,No,No
O15062,ZBTB5,DMSO_6hr,No,No
O15063,GARRE1,No,No,No
O15066,KIF3B,No,No,No
O15067,PFAS,No,No,No
O15068,MCF2L,No,No,No
O15075,DCLK1,No,No,No
O15078,CEP290,No,No,No
O15084,ANKRD28,No,No,No
O15085,ARHGEF11,No,No,No
O15091,PRORP,No,No,No
O15111,CHUK,No,No,No
O15116,LSM1,No,No,No
O15118,NPC1,No,No,No
O15119,TBX3,No,No,No
O15120,AGPAT2,No,No,No
O15121,DEGS1,No,No,No
O15126,SCAMP1,No,No,No
O15127,SCAMP2,No,No,No
O15131,KPNA5,No,No,No
O15143,ARPC1B,No,No,No
O15144,ARPC2,No,No,No
O15145,ARPC3,No,No,No
O15151,MDM4,No,No,No
O15155,BET1,No,No,No
O15156,ZBTB7B,No,No,No
O15160,POLR1C,No,No,No
O15162,PLSCR1,No,No,No
O15164,TRIM24,No,No,No
O15169,AXIN1,No,No,No
O15173,PGRMC2,No,No,No
O15182,CETN3,No,No,No
O15194,CTDSPL,No,No,No
O15211,RGL2,No,No,No
O15212,PFDN6,No,No,No
O15213,WDR46,No,No,No
O15217,GSTA4,No,No,No
O15226,NKRF,No,No,No
O15228,GNPAT,No,No,No
O15230,LAMA5,No,No,No
O15231,ZNF185,No,No,No
O15234,CASC3,No,No,No
O15235,MRPS12,No,No,No
O15239,NDUFA1,No,No,No
O15243,LEPROT,No,No,No
O15254,ACOX3,No,No,No
O15258,RER1,No,No,No
O15259,NPHP1,No,No,No
O15260,SURF4,No,No,No
O15264,MAPK13,No,No,No
O15265,ATXN7,No,No,No
O15269,SPTLC1,No,No,No
O15270,SPTLC2,No,No,No
O15287,FANCG,No,No,No
O15294,OGT,No,No,No
O15297,PPM1D,No,No,No
O15304,SIVA1,No,No,No
O15305,PMM2,No,No,No
O15315,RAD51B,No,No,No
O15318,POLR3G,No,No,No
O15321,TM9SF1,No,No,No
O15344,MID1,No,No,No
O15347,HMGB3,No,No,No
O15355,PPM1G,No,No,No
O15357,INPPL1,No,No,No
O15360,FANCA,No,No,No
O15370,SOX12,No,No,No
O15371,EIF3D,No,No,No
O15372,EIF3H,No,No,No
O15375,SLC16A5,No,No,No
O15379,HDAC3,No,No,No
O15381,NVL,No,No,No
O15382,BCAT2,No,No,No
O15391,YY2,No,No,No
O15392,BIRC5,No,No,No
O15397,IPO8,No,No,No
O15400,STX7,No,No,No
O15409,FOXP2,No,No,No
O15417,TNRC18,No,No,No
O15427,SLC16A3,No,No,No
O15431,SLC31A1,No,No,No
O15438,ABCC3,No,No,No
O15439,ABCC4,No,No,No
O15440,ABCC5,No,No,No
O15446,POLR1G,No,No,No
O15455,TLR3,No,No,No
O15460,P4HA2,No,No,No
O15484,CAPN5,No,No,No
O15498,YKT6,No,No,No
O15503,INSIG1,No,No,No
O15504,NUP42,No,No,No
O15511,ARPC5,No,No,No
O15514,POLR2D,No,No,No
O15519,CFLAR,No,No,No
O15522,NKX2-8,No,No,No
O15525,MAFG,No,No,No
O15527,OGG1,No,No,No
O15530,PDPK1,No,No,No
O15533,TAPBP,No,No,No
O15534,PER1,No,No,No
O15541,RNF113A,No,No,No
O15550,KDM6A,No,No,No
O15551,CLDN3,No,No,No
O15554,KCNN4,No,No,No
O43143,DHX15,No,No,No
O43147,SGSM2,No,No,No
O43148,RNMT,No,No,No
O43149,ZZEF1,No,No,No
O43150,ASAP2,No,No,No
O43156,TTI1,No,No,No
O43157,PLXNB1,No,No,No
O43159,RRP8,No,No,No
O43164,PJA2,No,No,No
O43166,SIPA1L1,No,No,No
O43167,ZBTB24,No,No,No
O43169,CYB5B,No,No,No
O43172,PRPF4,No,No,No
O43175,PHGDH,No,No,No
O43181,NDUFS4,No,No,No
O43182,ARHGAP6,No,No,No
O43187,IRAK2,No,No,No
O43189,PHF1,No,No,No
O43194,GPR39,No,No,No
O43196,MSH5,No,No,No
O43237,DYNC1LI2,No,No,No
O43242,PSMD3,No,No,No
O43251,RBFOX2,No,No,No
O43252,PAPSS1,No,No,No
O43255,SIAH2,No,No,No
O43257,ZNHIT1,No,No,No
O43264,ZW10,No,No,No
O43272,PRODH,No,No,No
O43278,SPINT1,No,No,No
O43286,B4GALT5,No,No,No
O43290,SART1,No,No,No
O43291,SPINT2,No,No,No
O43292,GPAA1,No,No,No
O43293,DAPK3,No,No,No
O43294,TGFB1I1,No,No,No
O43295,SRGAP3,No,No,No
O43298,ZBTB43,No,No,No
O43299,AP5Z1,No,No,No
O43301,HSPA12A,No,No,No
O43303,CCP110,No,No,No
O43306,ADCY6,No,No,No
O43307,ARHGEF9,No,No,No
O43310,CTIF,No,No,No
O43312,MTSS1,No,No,No
O43313,ATMIN,No,No,No
O43314,PPIP5K2,No,No,No
O43318,MAP3K7,No,No,No
O43324,EEF1E1,No,No,No
O43325,LYRM1,No,No,No
O43347,MSI1,No,No,No
O43353,RIPK2,No,No,No
O43361,ZNF749,No,No,No
O43364,HOXA2,No,No,No
O43365,HOXA3,No,No,No
O43379,WDR62,No,No,No
O43390,HNRNPR,No,No,No
O43395,PRPF3,No,No,No
O43396,TXNL1,No,No,No
O43399,TPD52L2,No,No,No
O43402,EMC8,No,No,No
O43414,ERI3,No,No,No
O43422,THAP12,No,No,No
O43426,SYNJ1,No,No,No
O43427,FIBP,No,No,No
O43432,EIF4G3,No,No,No
O43439,CBFA2T2,No,No,No
O43447,PPIH,No,No,No
O43462,MBTPS2,No,No,No
O43463,SUV39H1,No,No,No
O43464,HTRA2,No,No,No
O43474,KLF4,No,No,No
O43482,OIP5,No,No,No
O43488,AKR7A2,No,No,No
O43491,EPB41L2,No,No,No
O43493,TGOLN2,No,No,No
O43502,RAD51C,No,No,No
O43504,LAMTOR5,No,No,No
O43505,B4GAT1,No,No,No
O43513,MED7,No,No,No
O43521,BCL2L11,No,No,No
O43524,FOXO3,No,No,No
O43529,CHST10,No,No,No
O43541,SMAD6,No,No,No
O43542,XRCC3,No,No,No
O43543,XRCC2,No,No,No
O43556,SGCE,No,No,No
O43567,RNF13,No,No,No
O43570,CA12,No,No,No
O43572,AKAP10,No,No,No
O43583,DENR,No,No,No
O43592,XPOT,No,No,No
O43597,SPRY2,No,No,No
O43598,DNPH1,No,No,No
O43609,SPRY1,No,No,No
O43615,TIMM44,No,No,No
O43617,TRAPPC3,No,No,No
O43633,CHMP2A,No,No,No
O43639,NCK2,No,No,No
O43657,TSPAN6,No,No,No
O43660,PLRG1,No,No,No
O43663,PRC1,No,No,No
O43665,RGS10,No,No,No
O43670,ZNF207,No,No,No
O43674,NDUFB5,No,No,No
O43676,NDUFB3,No,No,No
O43677,NDUFC1,No,No,No
O43678,NDUFA2,No,No,No
O43681,GET3,No,No,No
O43683,BUB1,No,No,No
O43684,BUB3,No,No,No
O43688,PLPP2,No,No,No
O43692,PI15,No,No,No
O43707,ACTN4,No,No,No
O43708,GSTZ1,No,No,No
O43709,BUD23,No,No,No
O43711,TLX3,No,No,No
O43715,TRIAP1,No,No,No
O43716,GATC,No,No,No
O43719,HTATSF1,No,No,No
O43731,KDELR3,No,No,No
O43734,TRAF3IP2,DMSO_6hr,No,No
O43739,CYTH3,No,No,No
O43741,PRKAB2,No,No,No
O43747,AP1G1,No,No,No
O43752,STX6,No,No,No
O43759,SYNGR1,No,No,No
O43760,SYNGR2,No,No,No
O43761,SYNGR3,No,No,No
O43765,SGTA,No,No,No
O43766,LIAS,No,No,No
O43768,ENSA,No,No,No
O43772,SLC25A20,No,No,No
O43776,NARS1,No,No,No
CON__O43790,KRT86,No,No,No
O43791,SPOP,No,No,No
O43795,MYO1B,No,No,No
O43805,SSNA1,No,No,No
O43808,SLC25A17,No,No,No
O43809,NUDT21,No,No,No
O43813,LANCL1,No,No,No
O43815,STRN,No,No,No
O43818,RRP9,No,No,No
O43819,SCO2,No,No,No
O43822,CFAP410,No,No,No
O43823,AKAP8,No,No,No
O43824,GTPBP6,No,No,No
O43826,SLC37A4,No,No,No
O43829,ZBTB14,No,No,No
O43837,IDH3B,No,No,No
O43847,NRDC,No,No,No
O43852,CALU,No,No,No
O43861,ATP9B,No,No,No
O43865,AHCYL1,No,No,No
O43889,CREB3,No,No,No
O43896,KIF1C,No,No,No
O43900,PRICKLE3,No,No,No
O43909,EXTL3,No,No,No
O43913,ORC5,No,No,No
O43920,NDUFS5,No,No,No
O43924,PDE6D,No,No,No
O43929,ORC4,No,No,No
O43933,PEX1,No,No,No
O43934,MFSD11,No,No,No
O60216,RAD21,No,No,No
O60218,AKR1B10,No,No,No
O60220,TIMM8A,No,No,No
O60231,DHX16,No,No,No
O60232,ZNRD2,No,No,No
O60234,GMFG,No,No,No
O60237,PPP1R12B,No,No,No
O60238,BNIP3L,No,No,No
O60239,SH3BP5,No,DMSO_6hr,No
O60243,HS6ST1,No,No,No
O60244,MED14,No,No,No
O60245,PCDH7,No,No,No
O60256,PRPSAP2,No,No,No
O60262,GNG7,No,No,No
O60264,SMARCA5,No,No,No
O60266,ADCY3,No,No,No
O60268,KIAA0513,No,No,No
O60271,SPAG9,No,No,No
O60281,ZNF292,No,No,No
O60282,KIF5C,No,No,No
O60287,URB1,No,No,No
O60291,MGRN1,No,No,No
O60292,SIPA1L3,No,No,No
O60293,ZFC3H1,No,No,No
O60294,LCMT2,No,No,No
O60296,TRAK2,No,No,No
O60299,LZTS3,No,DMSO_6hr,No
O60303,KATNIP,No,No,No
O60306,AQR,No,No,No
O60307,MAST3,No,No,No
O60308,CEP104,No,No,No
O60313,OPA1,No,No,No
O60318,MCM3AP,No,No,No
O60331,PIP5K1C,No,No,No
O60333,KIF1B,No,No,No
O60336,MAPKBP1,No,No,No
O60337,MARCHF6,No,No,No
O60341,KDM1A,No,No,No
O60343,TBC1D4,No,No,No
O60346,PHLPP1,No,No,No
O60347,TBC1D12,No,No,No
O60353,FZD6,No,No,No
