Protein_Group	Genes	Protein_Names	HEK293T_WT_Avg_Peptide_Count	HEK293T_KI_Avg_Peptide_Count	U2OS_WT_Avg_Peptide_Count	U2OS_KI_Avg_Peptide_Count	Species	Intensity_HEK293T_WT_BR1_TR1	Intensity_HEK293T_KI_BR1_TR1	Intensity_U2OS_WT_BR1_TR1	Intensity_U2OS_KI_BR1_TR1
B5ME19;Q99613	EIF3CL	EIF3C_HUMAN;EIFCL_HUMAN	46.0	45.0	45.0	43.0	HUMAN	11432411.0	10611766.0	12006662.0	11970222.0
B7ZAQ6;P0CG08	GPR89A	GPHRA_HUMAN;GPHRB_HUMAN	6.0	6.0	6.0	5.0	HUMAN	369956.16	342621.97	342050.72	264837.78
C4AMC7;Q6VEQ5	WASH2P	WASH2_HUMAN;WASH3_HUMAN	4.0	4.0	5.0	4.0	HUMAN	185758.48	145835.84	153611.06	170408.62
C9J798	RASA4B	RAS4B_HUMAN	0.0	0.0	16.0	15.0	HUMAN			6945237.5	5046440.0
C9JLW8	MCRIP1	MCRI1_HUMAN	3.0	3.0	4.0	3.0	HUMAN	653041.94	553860.7	1205619.6	1527809.9
C9JTQ0	ANKRD63	ANR63_HUMAN	2.0	2.0	0.0	0.0	HUMAN	67877.09	28152.99		
D6RIA3	C4orf54	CD054_HUMAN	0.0	0.0	0.0	3.0	HUMAN				61487.453
E9PAV3	NACA	NACAM_HUMAN	13.0	13.0	12.0	12.0	HUMAN	50036610.0	36538304.0	26533520.0	26038954.0
E9PRG8	C11orf98	CK098_HUMAN	3.0	3.0	4.0	4.0	HUMAN	248930.11	207874.8	1529004.2	1192740.4
L0R819	ASDURF	ASURF_HUMAN	5.0	4.0	5.0	5.0	HUMAN	1046598.1	1036056.25	598776.75	757852.75
O00116	AGPS	ADAS_HUMAN	17.0	19.0	22.0	20.0	HUMAN	1236970.9	1016073.4	1314119.1	1367624.0
O00124	UBXN8	UBXN8_HUMAN	2.0	2.0	0.0	0.0	HUMAN	176106.95	108293.53		
O00139	KIF2A	KIF2A_HUMAN	23.0	23.0	23.0	21.0	HUMAN	832199.75	910931.5	1006089.6	942934.3
O00142	TK2	KITM_HUMAN	0.0	0.0	5.0	6.0	HUMAN			214624.95	229376.8
O00148	DDX39A	DX39A_HUMAN	2.0	3.0	3.0	3.0	HUMAN	1022098.2	916836.7	1132838.9	803361.5
O00151	PDLIM1	PDLI1_HUMAN	5.0	6.0	2.0	0.0	HUMAN	459138.5	459694.97	198336.38	
O00154	ACOT7	BACH_HUMAN	13.0	12.0	13.0	13.0	HUMAN	463886.22	425940.72	733226.3	408457.22
O00159	MYO1C	MYO1C_HUMAN	42.0	19.0	80.0	83.0	HUMAN	838909.3	336994.88	39921196.0	122515200.0
O00161	SNAP23	SNP23_HUMAN	9.0	9.0	11.0	12.0	HUMAN	793323.2	691982.9	1144150.2	2468263.5
