Protein_Group	Genes	48h_vs_0h_logFC	48h_vs_0h_pval	Removed?	Contaminant?
P62745	RHOB	0.933506568774327	1.08092738659044e-09	No	No
P78314	SH3BP2	0.706345868307313	5.05906276650686e-16	No	No
P78324	SIRPA	0.969949219489973	2.11920184193548e-15	No	No
P78325	ADAM8	0.912923707685698	0.000209295110473314	No	No
P78504	JAG1	0.963812627497141	1.5402949501474e-12	No	No
P98088	MUC5AC	3.07663495058034	1.04343181872662e-05	No	No
P98095	FBLN2	0.96354663749732	1.96772345305375e-20	No	No
P98172	EFNB1	1.16163232090661	5.61084373375702e-20	No	No
Q01973	ROR1	0.941700855429868	2.73886400477326e-13	No	No
Q04726	TLE3	0.832792060853908	5.54162012996436e-20	No	No
Q12948	FOXC1	0.795334444216007	2.55923263898057e-12	No	No
Q13275	SEMA3F	1.67669918777901	3.85343677224178e-14	No	No
Q13467	FZD5	0.766132806930699	8.2213758196921e-06	No	No
Q13495	MAMLD1	2.06422881849176	1.59377167128115e-10	No	No
Q13541	EIF4EBP1	0.806365668065091	7.33479656068542e-07	No	No
Q13572	ITPK1	0.760427041905707	1.58375439042247e-15	No	No
Q13643	FHL3	0.756683208953106	9.64161123422265e-08	No	No
Q13950	RUNX2	0.912066284852823	2.77474940022788e-08	No	No
Q14050	COL9A3	0.754958175652682	1.77674675533281e-06	No	No
Q14140	SERTAD2	0.970425918850394	0.000205434585591022	No	No
Q14192	FHL2	0.913071190948372	7.45720023548482e-09	No	No
Q14439	GPR176	0.709258690270527	4.10160755406956e-05	No	No
Q14469	HES1	1.29068569596452	1.88893709416686e-16	No	No
Q14508	WFDC2	4.96291156045253	3.02136444558174e-05	No	No
Q14517	FAT1	1.08343219988467	1.33452032117944e-23	No	No
Q14520	HABP2	0.850708462616872	7.72107471261041e-05	No	No
Q14D04	VEPH1	2.39406419551177	1.48809418299156e-16	No	No
Q15149	PLEC	0.802092182996159	2.27696007934189e-22	No	No
Q15329	E2F5	0.743686942146734	0.000394954733960454	No	No
Q15506	SPA17	0.963695053546086	4.41950570476191e-05	No	No
Q15818	NPTX1	1.90793103839658	9.4724407547007e-23	No	No
Q16288	NTRK3	0.982722020417556	2.73645310741566e-06	No	No
Q16378	PRR4	3.40477809786828	0.00531415574569132	No	No
Q16623	STX1A	1.14112826783652	3.44360943731382e-09	No	No
Q16626	MEA1	0.835114526017911	7.3704446886306e-06	No	No
Q2M1K9	ZNF423	0.84132821910848	6.05019283252083e-15	No	No
Q2TAP0	GOLGA7B	0.836838199936164	6.87770399462563e-06	No	No
Q2V2M9	FHOD3	1.67065806586825	1.1393381620491e-21	No	No
Q32MZ4	LRRFIP1	0.721653809333958	7.20777252911785e-08	No	No
Q494U1	PLEKHN1	0.754553131291807	0.00241272735780711	No	No
Q4G0P3	HYDIN	1.06197147116268	0.000794401637846269	No	No
Q4G0S4	CYP27C1	1.01186429974218	6.87808707948493e-10	No	No
Q502X0	MORN2	1.16063281746807	2.86268606610754e-08	No	No
Q53EU6	GPAT3	0.845061849070774	6.0059699609171e-07	No	No
Q53GA4	PHLDA2	0.989873581772791	1.51136815095803e-18	No	No
Q59EK9	RUNDC3A	0.991903017864995	0.000134737332341972	No	No
Q5KU26	COLEC12	1.32480180667861	5.07945412368788e-20	No	No
Q5SGD2	PPM1L	0.736892902008343	6.8596813712504e-17	No	No
Q5T9C2	EEIG1	1.04324398314292	1.85869154936114e-20	No	No
Q6AZY7	SCARA3	0.812732091786362	3.83068723994761e-15	No	No
Q6BCY4	CYB5R2	4.91428839224522	3.22024917143236e-07	No	No
Q6IMN6	CAPRIN2	0.823424865788045	2.88992125673564e-11	No	No
Q6NT52;P0DN86;P0DN87	CGB2;CGB3;CGB7	1.33337773836449	0.00104504689640169	No	No
Q6P988	NOTUM	0.822755522993258	3.09635609909208e-11	No	No
Q6T310	RASL11A	1.06155973400119	0.008541727036451	No	No
Q6ZMT4	KDM7A	0.825616446108075	5.3925335744349e-08	No	No
Q6ZQX7	LIAT1	0.738467115047193	0.000957143685669613	No	No
Q6ZVL6	KIAA1549L	0.728533073649913	3.93555688709047e-14	No	No
Q70EK8	USP53	0.744074483565004	1.13262798460163e-13	No	No
Q7L5L3	GDPD3	1.2254647842426	0.000477264529730885	No	No
Q7Z3B1	NEGR1	1.1374611998648	1.82522567210906e-07	No	No
Q7Z5Q5	POLN	0.734914890516752	0.00688756172806145	No	No
Q7Z7J9	CAMK2N1	1.32733818931628	0.00108514819430199	No	No
Q86TH1	ADAMTSL2	2.09704096872063	1.04915903588482e-20	No	No
Q86UD0	SAPCD2	1.18161702757446	9.22301851814232e-22	No	No
Q86UD3	MARCHF3	0.845380226694012	0.000499154731519141	No	No
Q86UN2	RTN4RL1	0.727167267613961	0.00130724896790764	No	No
Q86VZ4	LRP11	0.773702044122206	2.64860321983066e-08	No	No
Q86XE0	SNX32	0.858706175399504	0.00477714589643539	No	No
Q86XX4	FRAS1	1.37174562409512	3.17650127559062e-22	No	No
Q86Y38	XYLT1	0.869845075001912	1.18259405305498e-05	No	No
Q8IVF2	AHNAK2	1.30517188559141	6.76541911817371e-22	No	No
Q8IWA4	MFN1	1.24310949108989	1.62034823671614e-25	No	No
Q8IX07	ZFPM1	1.04073499827692	1.6464125808036e-19	No	No
Q8IYK4	COLGALT2	0.899696680130681	3.42624645078779e-09	No	No
Q8IZJ1	UNC5B	1.03973119849379	2.9540156816769e-22	No	No
Q8IZV5	RDH10	1.02165803648265	4.51129532300565e-16	No	No
Q8N2G4	LYPD1	1.42878346813996	8.61304643801384e-07	No	No
Q8N2R8	FAM43A	1.40800614386876	1.67599556445426e-14	No	No
Q8N4M1	SLC44A3	0.714708049951968	0.00137780038735145	No	No
Q8N4Y2	CRACR2B	1.89034233299187	8.24152600798754e-13	No	No
Q8N961	ABTB2	2.16874108819614	8.95980137123271e-20	No	No
Q8NES3	LFNG	1.91806790775906	8.90574258510966e-15	No	No
Q8NFL0	B3GNT7	1.26231073294565	1.0915604681483e-12	No	No
Q8NFP4	MDGA1	1.16723137334841	4.64141996406114e-06	No	No
Q8NFY4	SEMA6D	1.10830601027684	2.60842002781968e-13	No	No
Q8NG41	NPB	0.970135136003208	7.87561446371868e-06	No	No
Q8NI22	MCFD2	0.791698702325633	0.000899140612625957	No	No
Q8TCT1	PHOSPHO1	0.991740342201787	2.39500619020595e-13	No	No
Q8TEJ3	SH3RF3	1.9674113913996	8.01588666182992e-13	No	No
Q8TF42	UBASH3B	0.994195436926081	3.15102724980774e-17	No	No
Q8WUJ3	CEMIP	1.2371283875667	2.04243123326534e-14	No	No
