Protein_Group	Genes	SK-Mel-147_vs_FMC29_logFC	SK-Mel-147_vs_FMC29_pval	Removed?	Contaminant?
O14613	CDC42EP2	5.81300811864557	1.05595337606055e-08	No	No
O14668	PRRG1	3.77698541720418	2.33299495437507e-13	No	No
O14737	PDCD5	3.06030890387388	2.33731850533292e-17	No	No
O14757	CHEK1	3.77831314690376	1.82615037079017e-21	No	No
O14786	NRP1	9.08855196373242	6.51504460262284e-29	No	No
O14917	PCDH17	6.38830360844893	1.03114972816809e-12	No	No
O15027	SEC16A	4.3322712085517	1.52210367327078e-22	No	No
O15056	SYNJ2	7.93488623521483	1.26193712350783e-29	No	No
O15063	GARRE1	4.38176944496783	4.351470934470361e-15	No	No
O15231	ZNF185	6.14154147587222	1.31451581271315e-12	No	No
O15234	CASC3	9.97232718582408	8.32999423997775e-20	No	No
O15504	NUP42	7.65909119610458	5.8558446953612605e-15	No	No
O15554	KCNN4	8.61203162053924	4.4489919909689803e-17	No	No
O43184	ADAM12	3.28142761034762	2.47820153741298e-13	No	No
O43194	GPR39	9.18032089425026	1.7476475503496902e-31	No	No
O43300	LRRTM2	5.35108816762741	2.28282640651243e-08	No	No
O43490	PROM1	5.21172633141954	1.45581457804564e-14	No	No
O43516	WIPF1	3.65399729938125	7.80246008041465e-15	No	No
O43561	LAT	7.72094520364859	6.145737661928891e-20	No	No
O43566	RGS14	8.21725978640473	1.03372504598543e-08	No	No
O43570	CA12	4.96731607160617	4.94940523073625e-25	No	No
O43610	SPRY3	5.09208661025659	2.33685205616878e-12	No	No
O43639	NCK2	3.1636109113758	2.3908079648043903e-25	No	No
O43657	TSPAN6	3.48697112942669	8.86335773164537e-16	No	No
O43683	BUB1	3.64365748639873	9.74457306345737e-07	No	No
O43688	PLPP2	9.07934042361943	3.09564067226846e-27	No	No
O43704	SULT1B1	7.95917541963382	1.48650930332944e-27	No	No
O43854	EDIL3	8.52301332019222	2.56174413375225e-25	No	No
O43895	XPNPEP2	3.23024464374016	1.07152610526785e-05	No	No
O43929	ORC4	3.03235575342514	8.53949967565734e-07	No	No
O60232	ZNRD2	4.6157944228484	3.85103669024373e-25	No	No
O60239	SH3BP5	3.80921932744	0.0026904397381098	No	No
O60292	SIPA1L3	3.45281474443875	9.54122757561961e-13	No	No
O60504	SORBS3	4.63219738470326	1.8345985461688702e-24	No	No
O60828	PQBP1	3.15527201284754	4.3775469627333903e-14	No	No
O60890	OPHN1	3.49752080881656	4.72747756952027e-10	No	No
O75052	NOS1AP	4.77066729269545	2.08769545911702e-17	No	No
O75159	SOCS5	3.7386652584771	2.22458088836998e-06	No	No
O75173	ADAMTS4	4.00545156517977	9.70097133177005e-15	No	No
O75197	LRP5	5.68710363094942	1.14920124773351e-17	No	No
O75326	SEMA7A	11.9233881046461	4.64330504964025e-23	No	No
O75367	MACROH2A1	4.69856460916583	7.01304033488421e-18	No	No
O75496	GMNN	3.46093372271655	1.03419036680645e-05	No	No
O75509	TNFRSF21	4.3259124590751	1.52535792256812e-12	No	No
O75533	SF3B1	3.69020197864604	2.9367104362246798e-18	No	No
O75581	LRP6	3.99322311702209	1.93396871981553e-18	No	No
O75891	ALDH1L1	5.59595664607753	6.999686811139531e-15	No	No
O75936	BBOX1	5.18148329530579	1.0497272648229499e-11	No	No
O75940	SMNDC1	5.86004973244192	4.72961429828449e-05	No	No
O76061	STC2	10.533212066965	2.33802014270207e-23	No	No
O76083	PDE9A	3.55771977154143	1.3853780812767498e-11	No	No
O94760	DDAH1	5.17050159235995	8.00734987933743e-15	No	No
O94813	SLIT2	6.14861695415366	1.5316770775997799e-16	No	No
O94868	FCHSD2	5.46735689236731	4.40332033145911e-21	No	No
O94889	KLHL18	8.89659862592227	3.10929332563255e-24	No	No
O94906	PRPF6	3.09561784316973	0.0002375253458946	No	No
O94907	DKK1	3.17916732865597	3.95546758774124e-09	No	No
O94929	ABLIM3	4.74737750267328	3.28574635517404e-05	No	No
O94991	SLITRK5	6.98379862691401	1.34540608877966e-17	No	No
O95045	UPP2	3.5090580467388	1.16056272968104e-10	No	No
O95067	CCNB2	3.72149039294437	1.29765304925538e-17	No	No
O95190	OAZ2	4.33999878855834	3.0804108211024905e-15	No	No
O95273	CCNDBP1	5.82886478953373	4.04610692862074e-16	No	No
O95342	ABCB11	6.88132602747497	6.92758799782523e-06	No	No
O95361	TRIM16	3.30767983264849	2.7819098701022502e-14	No	No
O95445	APOM	3.10959191658416	1.79039829138841e-14	No	No
O95466	FMNL1	3.25396493411349	2.5324277298348302e-23	No	No
O95490	ADGRL2	3.0728794472749	5.52816464127445e-16	No	No
O95498	VNN2	4.45463019619242	3.66478032360612e-14	No	No
O95551	TDP2	3.38296515300171	2.00749897771359e-20	No	No
O95793	STAU1	4.16976968461839	7.18566505490233e-19	No	No
O95954	FTCD	8.66944593399244	8.4317864322423e-24	No	No
P00533	EGFR	5.41736552424916	1.5924159690983397e-30	No	No
P00736	C1R	5.38419716085545	4.00666611196904e-10	No	No
P00749	PLAU	6.23846920408902	1.6721764689356e-14	No	No
P01040	CSTA	3.39374118934191	0.0001095336373055	No	No
P01130	LDLR	7.74622466661453	1.58257669121659e-28	No	No
P01135	TGFA	6.13830549129425	7.82466221876029e-19	No	No
P01583	IL1A	9.51343004020437	5.58960373491842e-17	No	No
P01584	IL1B	5.17456444864647	4.93541158822794e-11	No	No
P01591	JCHAIN	4.46201306292513	2.7735858804959404e-19	No	No
P01834	IGKC	3.93198188756172	0.0001743434268411	No	No
P01893	HLA-H	9.3819842496044	2.36488463310132e-25	No	No
P01903	HLA-DRA	11.6854514535918	9.24772821544166e-24	No	No
P01909	HLA-DQA1	5.4118471207908	8.028991244017839e-12	No	No
P01911	HLA-DRB1	8.02484079356519	7.47611660941712e-26	No	No
P01920	HLA-DQB1	4.54653185626872	1.93002247692883e-13	No	No
P02786	TFRC	4.16525796840338	2.12449084212681e-19	No	No
P02795	MT2A	5.23253395542168	4.6109615164391e-11	No	No
P04114	APOB	5.45238214543695	9.299147754211381e-20	No	No
P04150	NR3C1	4.00166201640643	1.9779992725427898e-11	No	No
P04156	PRNP	4.19970268703968	1.80892631563215e-23	No	No
P04180	LCAT	3.35848393038923	6.3230116293343794e-12	No	No
P04440	HLA-DPB1	9.3782976056064	1.01180228573248e-22	No	No
P04818	TYMS	3.56013306043884	4.3779769876992894e-18	No	No
P05089	ARG1	3.58747662094192	0.0005575226042825	No	No
P05109	S100A8	3.82418682327811	1.77752230927212e-06	No	No
P05120	SERPINB2	6.04568207487948	2.8169746531318097e-12	No	No
P05121	SERPINE1	3.05660470422634	6.2394619918947e-05	No	No
P05164	MPO	4.48452468663289	7.569950553300551e-10	No	No
P05556	ITGB1	3.38393623593079	5.20182450495309e-27	No	No
P06702	S100A9	3.66988860402256	8.24325933854406e-07	No	No
P07305	H1-0	5.83927033849918	3.1084041026344704e-09	No	No
P07306	ASGR1	6.04097759394875	8.88660313183677e-12	No	No
P07550	ADRB2	5.32044056840336	1.8009104594104e-23	No	No
P08138	NGFR	7.68626856326048	9.96630346940342e-24	No	No
P08174	CD55	3.46519727589729	5.3947055711202e-23	No	No
P08243	ASNS	5.83938930696915	7.257518999656881e-15	No	No
P08572	COL4A2	3.24726235534958	1.32534094536887e-10	No	No
P08579	SNRPB2	5.85784491030501	6.294594002538971e-19	No	No
P09132	SRP19	3.10225455935887	3.67519287430953e-18	No	No
P09455	RBP1	9.76807591485907	9.9623731052278e-30	No	No
P09496	CLTA	5.05873467546833	2.3857393964177203e-20	No	No
P09497	CLTB	6.48223286709724	5.47993864993471e-24	No	No
P09661	SNRPA1	5.81868490847824	1.45293416956955e-24	No	No
P10412	H1-4	7.3152863084694	9.033476530922501e-16	No	No
P10586	PTPRF	4.80764003511594	7.39019324260126e-28	No	No
P10646	TFPI	3.19936744710607	1.13382918253936e-07	No	No
P10909	CLU	5.45917426789494	2.24006095974476e-09	No	No
P11166	SLC2A1	3.41134198110805	7.27316459784063e-24	No	No
P11387	TOP1	3.73297546660362	2.96017985959437e-08	No	No
P12034	FGF5	8.12363576195002	6.115952530490281e-15	No	No
P12271	RLBP1	4.32205913342493	3.0925018521506803e-09	No	No
P13612	ITGA4	4.99372323250399	3.0525226053801e-20	No	No
P13762	HLA-DRB4	18.5253709380629	1.1123289317473199e-12	No	No
P14635	CCNB1	5.05560714766433	4.31913065336994e-17	No	No
P15018	LIF	6.29718856639142	3.5656456002386897e-22	No	No
P15144	ANPEP	3.48520291310184	8.85724128892518e-12	No	No
P15151	PVR	5.59326282420107	2.02729249346293e-26	No	No
P15328	FOLR1	9.00148181370644	4.27262204288908e-32	No	No
P15407	FOSL1	4.91294333142482	3.25664810937092e-14	No	No
P15529	CD46	3.11269226430905	6.96772582146488e-26	No	No
P15692	VEGFA	10.4589487430882	6.087651934071981e-15	No	No
P15924	DSP	3.77949424689003	0.0002350514155471	No	No
P15941	MUC1	4.45033949594977	2.94037676376077e-10	No	No
P16104	H2AX	5.80920217910049	4.9969533285765294e-18	No	No
P16150	SPN	4.1879308821941	1.76818330720562e-05	No	No
P16333	NCK1	3.20377416335696	4.51886999191669e-25	No	No
P16401	H1-5	8.11018227991457	6.536926518309861e-14	No	No
P16871	IL7R	6.90485600938066	7.621560173856041e-19	No	No
P16989	YBX3	5.42202367946446	1.09424802117158e-26	No	No
P17096	HMGA1	3.12637131278057	6.645250784130619e-11	No	No
P17301	ITGA2	3.86048588590538	7.35730314265776e-21	No	No
P17302	GJA1	8.35074785115021	1.00895043048528e-17	No	No
P17568	NDUFB7	4.66759308845984	4.18052796270368e-05	No	No
P17677	GAP43	7.44738133706882	8.57572118267231e-16	No	No
P18827	SDC1	5.9127812695166	3.71854018848937e-26	No	No
P19022	CDH2	5.34088587973854	7.08542078799101e-24	No	No
P19801	AOC1	8.57141358332619	1.61794050711251e-24	No	No
P19883	FST	6.71753406348996	6.14519080655571e-16	No	No
P20036	HLA-DPA1	16.9653152715213	2.9160433754411997e-34	No	No
P20138	CD33	15.6985259094579	5.13113110863204e-41	No	No
P20273	CD22	8.9022694555491	1.18561653331477e-15	No	No
P20290	BTF3	4.31651706274249	1.69578397258256e-16	No	No
P20645	M6PR	3.37204218120597	7.46387400945258e-14	No	No
P20827	EFNA1	3.23220560168016	3.06866299391809e-07	No	No
P20908	COL5A1	6.58601310301628	1.10330646446802e-14	No	No
P21453	S1PR1	10.9219124236367	1.05438277600004e-23	No	No
P21462	FPR1	4.84439822935176	7.82851671418876e-19	No	No
P21583	KITLG	4.20938632257917	1.92072698463102e-08	No	No
P21589	NT5E	4.7433699523579	4.95067612892162e-26	No	No
P21741	MDK	7.58141496713107	5.6678814206332406e-15	No	No
P22455	FGFR4	3.64896459708644	4.63408712067272e-07	No	No
P22532;P35325	SPRR2B;SPRR2D	5.84841329751857	3.75812783747138e-12	No	No
P22735	TGM1	3.46067563029991	0.0045278090026044	No	No
P22794	EVI2A	6.27645998499227	2.90161060182644e-18	No	No
P23229	ITGA6	5.51673586225628	1.70406987484157e-30	No	No
P23352	ANOS1	8.46696498020804	2.12130496859309e-12	No	No
P23467	PTPRB	5.11072010582124	1.2475515538637101e-17	No	No
P23468	PTPRD	4.44275510141467	2.92142818936393e-11	No	No
P24588	AKAP5	4.23614071659519	0.0009828184649585	No	No
P24821	TNC	8.06846792134111	9.26747040801155e-25	No	No
P25101	EDNRA	3.79135670650403	2.0496891927156602e-14	No	No
P25940	COL5A3	5.52726085495097	5.3096954371698897e-11	No	No
P26006	ITGA3	3.90815134865258	1.83155189128237e-25	No	No
P26010	ITGB7	4.5699651973184	4.37556252712893e-13	No	No
P26022	PTX3	8.76114198900235	1.2355252706301601e-14	No	No
P26368	U2AF2	3.79413975864342	3.45253634089041e-19	No	No
P26599	PTBP1	3.09169001436319	8.0928737345881e-19	No	No
P27216	ANXA13	5.51494979088557	8.179760903196261e-14	No	No
P29034	S100A2	4.42511996863044	2.80703626113112e-22	No	No
P29279	CCN2	4.03392323754236	6.42671745785369e-13	No	No
P29317	EPHA2	5.32888638218413	1.97279567670333e-33	No	No
P29323	EPHB2	6.11270965901022	6.5274825986576e-17	No	No
P29372	MPG	4.3016874562198	7.66766137272068e-17	No	No
P29558	RBMS1	5.72497224615777	9.961204936340581e-14	No	No
P30408	TM4SF1	9.86650791318544	2.2675121566876802e-23	No	No
P30530	AXL	7.05645958688745	5.34581770333368e-31	No	No
P30550	GRPR	9.56746068213755	5.76022976639526e-27	No	No
P30556	AGTR1	3.26454168543231	1.0679441879960099e-12	No	No
P30793	GCH1	8.89781942679961	3.3588380802758504e-24	No	No
P31146	CORO1A	4.66302759845038	1.25091315630508e-22	No	No
P31350	RRM2	3.88677394294782	5.17710123354444e-17	No	No
P31431	SDC4	5.988984836911	1.8047644811845202e-25	No	No
P31483	TIA1	4.718504186484	1.4822885884949901e-24	No	No
P31944	CASP14	3.5922094513846	0.0001310197004339	No	No
P32246	CCR1	9.76484125712792	5.72173133162748e-29	No	No
P33240	CSTF2	3.32223918424227	3.08182704575288e-12	No	No
P33316	DUT	3.0585706654367	1.96930109442643e-13	No	No
P35052	GPC1	4.0044244038713	9.277857136201451e-20	No	No
P35240	NF2	3.02813450353256	1.72056782256534e-24	No	No
P35249	RFC4	3.36387874100617	7.83885256219497e-24	No	No
P35354	PTGS2	4.19744389053323	1.05717310619586e-06	No	No
P35367	HRH1	11.3011056327167	8.03415747954707e-33	No	No
P35368	ADRA1B	7.55328020183679	3.59659452742419e-08	No	No
P35590	TIE1	7.27407986068001	4.16288179030634e-16	No	No
P35612	ADD2	3.54417037171825	3.31762173644307e-14	No	No
P36383	GJC1	4.39395432981338	7.06321798845377e-21	No	No
P36957	DLST	3.27796028843591	3.74885730868123e-10	No	No
P37108	SRP14	8.51358759489569	2.37887414881612e-34	No	No
P40261	NNMT	6.03539088647207	1.0468306445091399e-22	No	No
P40938	RFC3	4.47248601068629	3.06736361235956e-14	No	No
P41143	OPRD1	4.0309873639454	8.20163179611569e-13	No	No
P41221	WNT5A	4.98417295412896	3.8660526745750697e-16	No	No
P41273	TNFSF9	4.07997021842137	4.22959764409895e-12	No	No
P42694	HELZ	5.9851130051506	2.4277379555478902e-17	No	No
P42768	WAS	5.29942353652527	1.4577846645924e-15	No	No
P42892	ECE1	3.58316228795595	2.00446740441471e-20	No	No
P43146	DCC	9.8587185748987	2.12379787946832e-13	No	No
P43355	MAGEA1	10.4429037308328	3.45738365763901e-29	No	No
P43357	MAGEA3	8.26932257126927	5.87501175814916e-18	No	No
P43358	MAGEA4	13.2405591872948	3.3577557260584898e-40	No	No
P43360	MAGEA6	7.70994770111842	2.6368774929937404e-31	No	No
P43363	MAGEA10	8.32656066684783	3.00922173587389e-31	No	No
P43365	MAGEA12	8.85984481927901	2.20970414966271e-33	No	No
P46013	MKI67	7.10175454107351	7.3004881252182e-14	No	No
P47900	P2RY1	3.62441772364846	6.51805838679624e-06	No	No
P47929	LGALS7	4.73598942023812	0.0001870059187929	No	No
P48060	GLIPR1	10.2037059269709	1.13439896399815e-24	No	No
P48200	IREB2	3.24929004559641	4.9127453712738604e-14	No	No
P48509	CD151	4.25510979175969	1.50453299886337e-25	No	No
P48634	PRRC2A	3.8010460709577	5.30473022209908e-16	No	No
P48723	HSPA13	3.93738069004287	2.37310445871204e-05	No	No
P48740	MASP1	4.78191513110251	7.092883736324471e-21	No	No
P49458	SRP9	8.54128636083693	1.2123466073862001e-32	No	No
P49642	PRIM1	3.61920202293592	1.1847113825785501e-09	No	No
P49643	PRIM2	4.80557621358623	8.02409703420498e-07	No	No
P49703	ARL4D	6.41776706969107	2.31906355339105e-12	No	No
P49795	RGS19	3.19420914826136	4.1480863415253205e-19	No	No
P49796	RGS3	3.40939071959474	3.57043346179523e-07	No	No
P50895	BCAM	5.31085594732	7.46027713064004e-24	No	No
P51161	FABP6	9.21265337085255	4.81161417000768e-27	No	No
P51512	MMP16	8.30685778196447	3.23987210663052e-16	No	No
P51617	IRAK1	3.91062672019163	1.27490608945036e-20	No	No
P51788	CLCN2	5.8447260289616	2.3705263952028804e-09	No	No
P51828	ADCY7	3.23996898813711	7.264381177501941e-14	No	No
P51857	AKR1D1	5.19181235199889	5.58264592310596e-09	No	No
P52799	EFNB2	5.23110756589556	6.89146351615427e-25	No	No
P52803	EFNA5	4.20939082713677	2.07683184266824e-19	No	No
P52926	HMGA2	7.63118799200692	1.56560289896003e-13	No	No
P54368	OAZ1	8.47114202038985	9.50943747883027e-34	No	No
P54646	PRKAA2	3.74173798356157	4.44097500150985e-13	No	No
P54687	BCAT1	6.58274457017263	4.358638730211079e-22	No	No
P54762	EPHB1	5.81410075299658	1.5202018193199698e-28	No	No
P55040	GEM	4.47260410452178	1.2129975966184802e-09	No	No
P55285	CDH6	3.47129026811752	4.45410500523581e-06	No	No
P55290	CDH13	5.5800979711632	1.27132152303269e-19	No	No
P56749	CLDN12	3.93679497724782	4.792272541804161e-15	No	No
P57087	JAM2	4.79825656857028	7.48913501944348e-21	No	No
P57723	PCBP4	7.65207084061007	1.4764102879752898e-22	No	No
P58107	EPPK1	5.68671920179522	2.76127146835545e-10	No	No
P58335	ANTXR2	4.93027932290412	5.67234667596166e-25	No	No
P58340	MLF1	3.53063037354054	1.6195876056044601e-09	No	No
P58753	TIRAP	3.84444356886016	4.5251383040840694e-11	No	No
P61587	RND3	4.46050639854831	2.48478033404731e-23	No	No
P61978	HNRNPK	4.28765291435569	4.0551886077554e-18	No	No
P62861	FAU	3.47582615354347	4.3281471502019697e-16	No	No
P62993	GRB2	4.35602187135818	2.00449832401457e-30	No	No
P63313	TMSB10	7.81725078511309	6.23761496454655e-10	No	No
P68871	HBB	3.49435418293118	0.0017481795523015	No	No
P69905	HBA1	7.6410051056512	2.41169244177074e-11	No	No
P78310	CXADR	3.527783871489	2.2896544157283702e-17	No	No
P78395	PRAME	7.68584246151123	2.3496506215516698e-18	No	No
P78406	RAE1	3.6206056907444	2.00597002252525e-18	No	No
P79483	HLA-DRB3	9.75876907953264	1.42910783902877e-26	No	No
P80723	BASP1	3.80356147023547	6.0008974304330805e-15	No	No
P82664	MRPS10	3.97340639830418	4.10668468768653e-09	No	No
P82979	SARNP	3.11309906617345	2.07254728316996e-12	No	No
P83876	TXNL4A	4.24937189114595	6.601640801341621e-15	No	No
P84022	SMAD3	3.25944430736866	9.39901257736582e-23	No	No
P98088	MUC5AC	3.3932998910184	3.77197854032593e-09	No	No
P98153	DGCR2	3.09742798596883	4.1298226202195e-18	No	No
P98179	RBM3	7.74392855624652	4.445047889688509e-30	No	No
Q00059	TFAM	4.01586595148652	3.2077719795596894e-11	No	No
Q00973	B4GALNT1	3.17336050264884	2.68518242152958e-08	No	No
Q01196	RUNX1	4.05936769116817	4.98813222107887e-07	No	No
Q01804	OTUD4	4.288708654168	1.3418438977446902e-23	No	No
Q02297	NRG1	9.62298947829544	1.18724704484184e-21	No	No
Q02388	COL7A1	8.47746874336888	1.7090601033731902e-20	No	No
Q02413	DSG1	3.75738861079243	0.0001025018093721	No	No
Q02487	DSC2	7.4864699180544	4.4760806855316605e-15	No	No
Q02539	H1-1	7.16499944689513	1.2878407426714701e-14	No	No
Q02952	AKAP12	3.34613968038733	4.01182451015505e-22	No	No
Q03169	TNFAIP2	9.71971075840171	2.45434700325593e-24	No	No
Q03405	PLAUR	7.92529832613892	3.39921501629754e-24	No	No
Q06609	RAD51	3.06153464581713	5.2944870681337e-08	No	No
Q07352	ZFP36L1	3.61316367779258	1.4838114811082e-18	No	No
Q07820	MCL1	4.11374113817126	7.784940570698901e-10	No	No
Q07912	TNK2	3.5784811245693	1.64022681724819e-15	No	No
Q08174	PCDH1	4.31850223615995	3.0613374297244798e-18	No	No
Q08554	DSC1	3.29545406196329	0.0007680070684582	No	No
Q0VAA5	PLCXD2	3.58040079857714	2.60201040698105e-10	No	No
Q0VAQ4	SMAGP	3.72328756902206	4.27243085817773e-15	No	No
Q0ZGT2	NEXN	7.88144676581505	3.22590642862759e-24	No	No
Q10472	GALNT1	4.05103509299093	4.0800591625478103e-17	No	No
Q12834	CDC20	5.8192354796476	3.0765525916049996e-20	No	No
Q12874	SF3A3	3.29667110059892	1.17439791664747e-15	No	No
Q12891	HYAL2	3.33241566548633	4.7128774592463505e-17	No	No
Q12894	IFRD2	4.77502149549305	5.602626918011591e-15	No	No
Q12899	TRIM26	6.11193517921453	4.60394815272847e-26	No	No
Q12905	ILF2	4.23240777602452	1.25426087486009e-22	No	No
Q12906	ILF3	5.44449956579789	4.83870439732704e-27	No	No
Q12926	ELAVL2	6.22022087831111	7.31938285543105e-10	No	No
Q13007	IL24	5.10821814731679	1.65029717377933e-13	No	No
Q13064	MKRN3	9.43715671370585	1.37723035509306e-38	No	No
Q13214	SEMA3B	4.82532296334166	1.22773710344373e-08	No	No
Q13219	PAPPA	10.7630863348	3.7924605844527596e-27	No	No
Q13239	SLA	5.23403938248523	1.46329079317142e-10	No	No
Q13242	SRSF9	6.00357608440631	7.504794136907889e-22	No	No
Q13257	MAD2L1	3.15350275133914	7.91619396186756e-21	No	No
Q13310	PABPC4	6.76277401863709	2.85946212244157e-32	No	No
Q13336	SLC14A1	7.57756472418015	1.07307552246698e-22	No	No
Q13435	SF3B2	4.31570987276422	4.6536412580709303e-23	No	No
Q13443	ADAM9	3.11092729105015	6.460027495640859e-26	No	No
Q13478	IL18R1	9.87812261945288	1.37455266423725e-19	No	No
Q13571	LAPTM5	8.94568098538903	1.5751418579326402e-35	No	No
Q13670	PMS2P11	8.67583488609987	7.40939192827271e-26	No	No
Q13794	PMAIP1	6.7128302098462	4.56591924902961e-23	No	No
Q13829	TNFAIP1	3.15412149935272	1.40453060398413e-20	No	No
Q13835	PKP1	3.76930871946719	8.75197627141642e-05	No	No
Q13938	CAPS	4.54712789377275	7.448980355576939e-18	No	No
Q14011	CIRBP	5.5964371241401	7.93826982654067e-28	No	No
Q14112	NID2	6.06984811461257	7.96407910181037e-12	No	No
Q14114	LRP8	5.16988989273871	3.41388561866899e-27	No	No
Q14123	PDE1C	5.26015147625555	1.2626570513542201e-20	No	No
Q14126	DSG2	6.73845283575103	5.01814593902089e-28	No	No
Q14137	BOP1	3.11305442557983	6.90257131947891e-05	No	No
Q14392	LRRC32	4.09019580394201	4.9915548900969e-09	No	No
Q14439	GPR176	6.65833596733825	2.39809150278364e-18	No	No
Q14493	SLBP	6.79398623560241	1.89250843498746e-06	No	No
Q14511	NEDD9	3.40457149636559	0.0006295095178808	No	No
Q14574	DSC3	3.25395199219469	0.0001919533515353	No	No
Q14677	CLINT1	3.16070837564228	3.3972445951219002e-15	No	No
Q14D04	VEPH1	5.67016392842098	1.13572094296806e-17	No	No
Q15003	NCAPH	3.31931620440167	1.79360827472233e-06	No	No
Q15004	PCLAF	6.47630517240998	1.51401242764777e-16	No	No
Q15053	KIAA0040	3.22882147722625	1.43309005919339e-18	No	No
Q15366	PCBP2	4.88848619534728	1.0362927036795498e-30	No	No
Q15375	EPHA7	5.37494976548064	3.00056448873896e-13	No	No
Q15399	TLR1	5.80227133325246	0.0008786435612224	No	No
Q15427	SF3B4	5.84152950599252	1.69705523640758e-23	No	No
Q15434	RBMS2	7.20162270725141	2.3081507163190497e-12	No	No
Q15459	SF3A1	4.3473525773289	5.25419817719943e-22	No	No
Q15517	CDSN	4.30935716658807	0.0009209225981275	No	No
Q15582	TGFBI	8.3389365203078	2.0607607950723e-21	No	No
Q15637	SF1	3.72996076624258	6.7347212478451504e-21	No	No
Q15642	TRIP10	5.56458599275371	8.75568126476017e-22	No	No
Q15772	SPEG	4.59055385598711	4.70305445573726e-06	No	No
Q15773	MLF2	4.28010252080092	3.26754779058877e-25	No	No
Q15785	TOMM34	3.72436582520853	2.08409522492992e-21	No	No
Q15828	CST6	3.45213509409053	0.0005046411099439	No	No
Q16222	UAP1	3.63330248483184	5.05264929828632e-23	No	No
Q16581	C3AR1	4.35920426459821	3.6402265618459505e-15	No	No
Q16637	SMN1	3.03324538673097	2.23761752459362e-14	No	No
Q16719	KYNU	4.46532641892099	8.574561363914461e-20	No	No
Q16819	MEP1A	5.11812169113075	5.26113473688248e-15	No	No
Q16878	CDO1	3.48405931083002	8.59490426544602e-06	No	No
Q17RB0	RTL8B	3.27869426423465	5.3280295668012003e-11	No	No
Q17RY0	CPEB4	4.46046194029639	6.29669938223112e-06	No	No
Q17RY6	LY6K	4.87236547667254	5.07472740455942e-08	No	No
Q19T08	ECSCR	11.2053345328417	2.0197560259752e-42	No	No
Q24JP5	TMEM132A	5.41037744281935	8.98430839163179e-21	No	No
Q29980	MICB	5.33039753876792	5.41282638758996e-22	No	No
Q29983	MICA	5.67144093301427	1.10689357962245e-26	No	No
Q2TB18	ASTE1	9.30298506501084	6.68727940739383e-14	No	No
Q30154	HLA-DRB5	10.0448240060324	5.49883456426498e-27	No	No
Q494U1	PLEKHN1	7.70726474405427	2.2282727213110797e-22	No	No
Q49AM3	TTC31	4.23279617022477	2.51769759254893e-07	No	No
Q4G0J3	LARP7	3.33224085570657	3.57950032062554e-10	No	No
Q4VXU2	PABPC1L	7.57542040260268	5.98051344660099e-36	No	No
