Protein_Group	Genes	SK-Mel-147_vs_FMC29_logFC	SK-Mel-147_vs_FMC29_pval	Removed?	Contaminant?
A1A4S6	ARHGAP10	3.57354784845214	4.89104645757713e-10	No	No
A1L020	MEX3A	5.63218348664865	7.14245598189089e-21	No	No
A1L170	C1orf226	9.31845106379562	1.72016821836883e-12	No	No
A5YM72	CARNS1	4.85638061180463	1.67030805350986e-06	No	No
A6ND36	FAM83G	5.1707290294871	5.28977563463885e-05	No	No
A6NMZ7	COL6A6	6.99078024599809	2.31713477151603e-20	No	No
A8K7I4	CLCA1	5.56142202143685	8.760398874098141e-15	No	No
A8MQ03	CYSRT1	5.2240615028016	1.17465829004951e-06	No	No
A8MXV4	NUDT19	4.1342548825963	0.0009523197540726	No	No
A8TX70	COL6A5	6.34354774168518	3.79590922169385e-19	No	No
B0I1T2	MYO1G	3.51822601005704	2.63891182933454e-07	No	No
B3KNS4	ERVK3-1	5.0341576203857	3.0307445397042997e-12	No	No
B9A064	IGLL5	3.56552721872497	2.50286903634184e-16	No	No
C9JLW8	MCRIP1	7.28202793112236	2.94848988858213e-25	No	No
H3BS89	TMEM178B	4.25723776058788	1.88127030793096e-13	No	No
H7BZ55	CROCC2	4.23372480993444	4.10959602287492e-08	No	No
O00187	MASP2	3.4328929492068	7.923077846335529e-11	No	No
O00206	TLR4	5.68413411381868	1.6603129331514701e-15	No	No
O00214	LGALS8	3.12903613409604	2.2555483303551098e-18	No	No
O00219	HAS3	9.33797106689011	6.55650981816081e-14	No	No
O00220	TNFRSF10A	3.08281108330842	2.64782038586916e-17	No	No
O00308	WWP2	3.77029375248707	7.67663204705117e-25	No	No
O00338	SULT1C2	3.44612044859405	2.76729002404216e-12	No	No
O00421	CCRL2	10.4313907656402	3.21752186862987e-32	No	No
O00425	IGF2BP3	6.11311499880417	1.52532580338664e-31	No	No
O00458	IFRD1	4.51957877206548	3.5469945709228e-08	No	No
O00461	GOLIM4	3.31263110667757	6.87830367102672e-23	No	No
O00468	AGRN	3.66738902185094	1.41284345695593e-11	No	No
O00499	BIN1	4.20734074938284	3.75949327915426e-29	No	No
O00571	DDX3X	3.32035592296726	6.600046268716691e-25	No	No
O00592	PODXL	8.48248482707938	2.1234543512166902e-23	No	No
O00622	CCN1	6.30191693869822	8.07018597569606e-16	No	No
O00762	UBE2C	3.21046298931575	9.25972456151686e-19	No	No
O14493	CLDN4	8.22309466570224	2.82667924114437e-35	No	No
O14545	TRAFD1	4.13407532932651	2.70754607167522e-22	No	No
O14559	ARHGAP33	5.42994247045482	9.539412535356081e-17	No	No
