Protein_Group	Genes	WM793_vs_HIM-ST_logFC	WM793_vs_HIM-ST_pval	Removed?	Contaminant?
P01876	IGHA1	3.38347410211827	2.09899283132475e-06	No	No
P01877	IGHA2	1.92941054482925	8.70981223773569e-05	No	No
P01893	HLA-H	12.0331565349283	1.6742599256272e-28	No	No
P01903	HLA-DRA	7.80979925396463	8.374357126196591e-19	No	No
P01911	HLA-DRB1	7.86961343758774	1.31818139553545e-25	No	No
P02461	COL3A1	2.89525886117617	0.0018374591578251	No	No
P02675	FGB	2.19325014507605	2.7541763995063e-09	No	No
P02679	FGG	3.34070790342789	0.0004492514296511	No	No
P02786	TFRC	2.60706990223922	6.18422754063315e-14	No	No
P02795	MT2A	3.1634138021222	1.18914487837837e-06	No	No
P03956	MMP1	9.75828862754315	3.91988377156405e-13	No	No
P04150	NR3C1	2.84915205748718	3.10267811690571e-08	No	No
P04156	PRNP	1.91430574968888	4.4105468164751804e-14	No	No
P04180	LCAT	2.75601853099659	5.9593207492948e-10	No	No
P04233	CD74	5.09766196681187	8.136680232547241e-20	No	No
P04424	ASL	2.48578924083488	6.15106668457916e-14	No	No
P04440	HLA-DPB1	8.61879715749766	1.1267054968781e-21	No	No
P05109	S100A8	3.08174871898749	4.4805285698478e-05	No	No
P05120	SERPINB2	1.99538619120594	0.0008090941722051	No	No
P05164	MPO	2.86454859553143	3.69567511234084e-06	No	No
P05362	ICAM1	3.02742834400307	3.633677166227871e-15	No	No
P06239	LCK	3.47016908313038	0.0024342282668233	No	No
P06702	S100A9	2.77521735187863	5.68459894746332e-05	No	No
P07305	H1-0	2.69035788920414	0.0006235351080543	No	No
P07306	ASGR1	7.27646690391867	9.051344623275241e-14	No	No
P07359	GP1BA	2.73914637796895	7.66688538749963e-10	No	No
P08138	NGFR	3.40887941553203	5.23116244651412e-14	No	No
P08174	CD55	2.48016033759181	6.86880654943934e-19	No	No
P08183	ABCB1	2.09962264830857	8.62051770528827e-18	No	No
P08253	MMP2	2.52664672198612	1.91916650948087e-08	No	No
P08493	MGP	8.57657959058133	1.8665281841756802e-23	No	No
P08514	ITGA2B	3.12267002693574	2.1045874291182902e-14	No	No
P08567	PLEK	2.34562022812663	3.3716270279459397e-12	No	No
P08631	HCK	1.86856029947257	4.52526841147714e-08	No	No
P08913	ADRA2A	5.94620555025262	2.51544268116113e-17	No	No
P08949	NMB	3.15684347685246	4.48017958256957e-05	No	No
P09131	SLC10A3	4.08340883447909	3.99940018838914e-07	No	No
P09341	CXCL1	3.11242180464265	2.7048905446634203e-20	No	No
P09769	FGR	3.76140442058207	2.1343642940801903e-09	No	No
P09848	LCT	3.61808713008597	1.27011888689745e-05	No	No
P0CG29;P0CG30	GSTT2;GSTT2B	5.13601059627929	1.3767305644015398e-12	No	No
P0DMU9	CT45A10	4.68717403637384	1.6111273917455999e-19	No	No
P0DOY2;P0DOY3	IGLC2;IGLC3	2.67021950273855	1.71156979175214e-06	No	No
P10070	GLI2	3.25709456137692	0.0002630212147198	No	No
P10071	GLI3	3.2204897890152	6.93586393607597e-06	No	No
P10412	H1-4	4.3902094325915	2.67314318270856e-10	No	No
P10515	DLAT	2.66968397728356	1.09794771702585e-08	No	No
P10586	PTPRF	2.51111295351174	9.402993704501441e-20	No	No
P10915	HAPLN1	7.97585793708278	6.87604201183832e-14	No	No
P11166	SLC2A1	2.42971671087751	1.12775669465165e-19	No	No
P11215	ITGAM	3.33008256140986	1.05566362168627e-15	No	No
P11387	TOP1	1.92407844494413	0.0006144902486388	No	No
P11801	PSKH1	2.24895282290124	0.005015022435632	No	No
P12109	COL6A1	2.03271095410794	1.58321043502869e-09	No	No
P12110	COL6A2	2.16040796017366	2.09065086212199e-09	No	No
P12111	COL6A3	1.93388784843881	2.44758029756821e-07	No	No
P12273	PIP	2.63564972099244	2.94556239481856e-05	No	No
P12429	ANXA3	1.98208682907939	1.29004646155605e-12	No	No
P13224	GP1BB	2.68305124552959	9.209748102642039e-11	No	No
P13284	IFI30	5.75142265853593	1.06278481056647e-16	No	No
P13612	ITGA4	2.87885763822881	8.607054238409771e-14	No	No
P13667	PDIA4	2.14969832549034	4.96438835532525e-11	No	No
P13726	F3	2.73283329561497	4.87615453927361e-18	No	No
P13762	HLA-DRB4	5.01362858347683	0.0034698379041232	No	No
P14384	CPM	2.49329714339323	4.43190345420803e-06	No	No
P14778	IL1R1	3.95324675281916	1.6260786628811e-11	No	No
P15018	LIF	9.61927421910168	1.70947716389164e-27	No	No
P15151	PVR	2.52819183680732	1.14200313637238e-16	No	No
P15407	FOSL1	4.96667661792865	2.4619417758695e-14	No	No
P15692	VEGFA	3.03015635276933	0.0002399517368578	No	No
P15907	ST6GAL1	2.73340276045971	6.2385919533905e-05	No	No
P15941	MUC1	3.3781213181136	8.72626404567907e-08	No	No
P16104	H2AX	2.44855965804937	8.42156306574612e-09	No	No
P16112	ACAN	2.39307557629853	1.80716435412433e-08	No	No
P16150	SPN	4.6492517944933	3.64438911628524e-06	No	No
P16871	IL7R	4.24711073074847	3.0651477241235e-13	No	No
P17301	ITGA2	2.72542311494363	1.12660207085792e-16	No	No
P17676	CEBPB	2.34034300926994	0.0059408507063091	No	No
P17693	HLA-G	2.25136753965514	1.70115754798281e-11	No	No
P17707	AMD1	4.50279259314142	0.0017428054927258	No	No
P17936	IGFBP3	5.37206588643129	1.73399114872641e-15	No	No
P17948	FLT1	2.79139569313309	2.84132674228183e-16	No	No
P18054	ALOX12	2.91164558256361	4.66841939483746e-07	No	No
P19022	CDH2	3.40594091370645	2.37286139308891e-18	No	No
P19235	EPOR	2.3836457077247	5.88495215355378e-07	No	No
P19801	AOC1	8.54533582766178	1.76683224053427e-24	No	No
P19883	FST	2.76241225971882	4.03522073086326e-07	No	No
P20036	HLA-DPA1	8.57346565219559	1.4403998117324802e-25	No	No
P20138	CD33	8.53739554290827	3.44937163612965e-33	No	No
P20273	CD22	7.35946657868437	1.63351497598025e-13	No	No
P20309	CHRM3	7.68879607872665	4.8878467638473194e-18	No	No
P20366	TAC1	5.38346931294642	1.4275213198448499e-11	No	No
P20711	DDC	10.6111249899251	7.415142893719519e-30	No	No
P20749	BCL3	5.43829091827252	1.17637005135633e-05	No	No
P20849	COL9A1	5.03580452983666	8.3253102599539e-07	No	No
P20908	COL5A1	2.9328007816634	6.84653652816765e-07	No	No
P20933	AGA	2.34711007296087	7.09711068551987e-07	No	No
P20963	CD247	4.44058324857528	2.1281519451253904e-15	No	No
P21359	NF1	3.19120471106957	1.7282762352789002e-22	No	No
P21439	ABCB4	3.08701606352884	2.81285300178003e-15	No	No
P21453	S1PR1	2.14313417221883	2.1793217866078e-06	No	No
P21589	NT5E	2.085611195379	5.452252981065729e-16	No	No
P21980	TGM2	4.72095504438291	1.06095065528697e-23	No	No
P22004	BMP6	4.49641961896948	2.67393808622981e-21	No	No
P22303	ACHE	8.05029874741362	1.92241572605476e-21	No	No
P22532;P35325	SPRR2B;SPRR2D	2.26917402672542	0.0001550596732695	No	No
P22794	EVI2A	2.56815014437007	1.03091456122731e-08	No	No
P23219	PTGS1	2.97627355547496	0.0040857019735262	No	No
P23229	ITGA6	4.07064000085437	1.24614706095147e-26	No	No
P23276	KEL	3.66303682177776	1.02039816070279e-10	No	No
P23467	PTPRB	2.05169660617307	4.32203107510786e-08	No	No
P23468	PTPRD	2.93678845088413	1.74506191874234e-07	No	No
P23471	PTPRZ1	3.17224165641003	1.1311434635968e-07	No	No
P24821	TNC	7.91505657002067	1.61428273066343e-24	No	No
P25021	HRH2	2.70276593426651	5.80708538901745e-14	No	No
P25116	F2R	2.42325043294183	3.1891687846189e-15	No	No
P25311	AZGP1	2.33212178704831	0.0013166995477059	No	No
P25774	CTSS	7.49436135414636	2.24976441293099e-13	No	No
P26010	ITGB7	5.84537268170708	7.64872722478296e-16	No	No
P26012	ITGB8	2.24177014311684	4.42434927637318e-18	No	No
P26447	S100A4	4.78805084043841	2.95961523590855e-13	No	No
P27216	ANXA13	6.32817191374012	2.3222426157514503e-15	No	No
P28067	HLA-DMA	5.1796488470194	2.61132872958932e-16	No	No
P28068	HLA-DMB	4.39076469698212	4.83307586869038e-16	No	No
P28906	CD34	1.87163269799536	5.10411607785885e-06	No	No
P29034	S100A2	1.98037068440845	7.78495998337062e-13	No	No
P29122	PCSK6	4.20244533329999	4.85676194785638e-08	No	No
P29317	EPHA2	2.93118481529424	8.05950319562202e-26	No	No
P29320	EPHA3	2.85201453124883	2.19235417216857e-18	No	No
P29508	SERPINB3	3.00038992096564	0.0004495104028833	No	No
P30408	TM4SF1	4.80809951487535	9.6370661720336e-15	No	No
P30411	BDKRB2	7.99105332380893	4.74740178479448e-27	No	No
P30530	AXL	2.22020926640121	1.21019099777501e-16	No	No
P30550	GRPR	5.60028923972054	2.76680625886528e-20	No	No
P30613	PKLR	2.64853180504352	2.17400120977135e-06	No	No
P30793	GCH1	8.85321293065345	3.88290024467001e-24	No	No
P31025	LCN1	1.91868710998161	0.004179692826045	No	No
P31146	CORO1A	2.8319016432422	1.37271732071372e-16	No	No
P31151	S100A7	2.07843089551168	0.0074756172499238	No	No
P31327	CPS1	2.40927379133045	0.0002657975186759	No	No
P31641	SLC6A6	2.03506457982502	3.00973452260553e-13	No	No
P32004	L1CAM	1.84054337341421	9.87412861859977e-13	No	No
P32241	VIPR1	14.906106433153	1.9135252978809002e-40	No	No
P32970	CD70	13.0408786228678	4.1656113785814104e-45	No	No
P33032	MC5R	3.95146864901515	5.76225097469617e-21	No	No
P33764	S100A3	4.60013095838185	1.1690502502074401e-14	No	No
P34741	SDC2	2.09982362840892	6.02769039677328e-09	No	No
P34820	BMP8B	2.75730447902587	4.696181258290599e-12	No	No
P34947	GRK5	2.46869413116958	4.99540744063344e-16	No	No
P34969	HTR7	2.5666248523329	1.42927699845314e-13	No	No
P35240	NF2	2.97320882861451	2.9189565296609802e-24	No	No
P35354	PTGS2	9.94660897941619	5.26366704557864e-15	No	No
P35367	HRH1	4.45181181418475	4.61873178452696e-21	No	No
P35368	ADRA1B	7.81498360506281	1.83670888929841e-08	No	No
P35670	ATP7B	2.52342242899692	8.46176136519486e-09	No	No
P35711	SOX5	4.86907566297025	0.0099658070858305	No	No
P35869	AHR	4.04096215452644	9.78241549932687e-13	No	No
P36021	SLC16A2	3.84428281568695	3.86566148857316e-05	No	No
P36382	GJA5	3.2093622118235	1.67182902286594e-07	No	No
P36383	GJC1	2.09000144742094	2.8211117967066698e-12	No	No
P36956	SREBF1	4.57943015947496	5.2075022438533e-07	No	No
P38484	IFNGR2	2.52409242187283	5.7801122252304096e-12	No	No
P40189	IL6ST	1.86265637050961	8.38967800297428e-13	No	No
P40197	GP5	3.37077829069172	1.95487611052009e-08	No	No
P40200	CD96	10.6519342543021	4.40182887535621e-26	No	No
P41143	OPRD1	5.07095103829172	2.32065968347969e-15	No	No
P41217	CD200	1.97253613331712	1.30242476458646e-07	No	No
P41220	RGS2	3.8741726184066	0.0076669311376146	No	No
P41273	TNFSF9	3.65888546728465	5.53927179605663e-11	No	No
P42702	LIFR	8.13209757098034	5.12006120743296e-16	No	No
P43005	SLC1A1	3.03186146168297	3.2434526547559105e-15	No	No
P43355	MAGEA1	2.22557685346961	7.835645585140469e-11	No	No
P43358	MAGEA4	7.66014431046675	3.6063117517394e-33	No	No
P43360	MAGEA6	5.72962373287865	1.59124803042479e-27	No	No
P43363	MAGEA10	8.33887447071658	2.88117367961176e-31	No	No
P43365	MAGEA12	6.78481047808435	5.703173800890109e-30	No	No
P43403	ZAP70	4.56911587467815	6.04119091391716e-06	No	No
P46089	GPR3	2.15722915984431	3.26879385504485e-10	No	No
P47895	ALDH1A3	2.82747749761397	1.4197289975248701e-14	No	No
P47900	P2RY1	3.07713051356894	6.60923513966223e-05	No	No
P47974	ZFP36L2	1.9325770976853	2.20188383188016e-08	No	No
P48060	GLIPR1	2.22521399882806	8.6817539540338e-08	No	No
P48509	CD151	1.85654188737829	1.84621444707256e-15	No	No
P48736	PIK3CG	2.57217451484624	4.23848181444176e-08	No	No
P48740	MASP1	4.00593290430799	1.0097599200023699e-18	No	No
P48960	ADGRE5	2.2541281952385	8.451727325407361e-20	No	No
P49366	DHPS	1.85287160476025	4.57606778662069e-15	No	No
P49447	CYB561	3.67519639721842	6.47610391295063e-14	No	No
P49795	RGS19	2.41295063981305	8.61901473269875e-16	No	No
P49796	RGS3	3.19293827860379	1.11566932316599e-06	No	No
P49913	CAMP	5.14131653100026	1.8716404490194798e-11	No	No
P50150	GNG4	6.34020014359252	7.09193471499206e-21	No	No
P50225	SULT1A1	5.98410110367234	1.70329703581484e-16	No	No
P50443	SLC26A2	4.36410878721629	4.80004379242897e-22	No	No
P50479	PDLIM4	2.46758964314138	2.47349256516822e-13	No	No
P50607	TUB	1.93481845279881	9.93601377157447e-08	No	No
P50876	RNF144A	2.81223176955807	0.0006258330146647	No	No
P50895	BCAM	2.38956387394967	2.79377628846661e-14	No	No
P51512	MMP16	5.74718467900519	3.98384607091037e-12	No	No
P51575	P2RX1	4.32351618022063	3.11017716924621e-06	No	No
P51580	TPMT	1.88038563691351	8.50544036767558e-11	No	No
P51617	IRAK1	2.84178212498509	8.73367126508417e-17	No	No
P51636	CAV2	2.29814799306959	4.4354710635050896e-12	No	No
P51788	CLCN2	7.40923621429165	1.1352015340962e-11	No	No
P51797	CLCN6	2.20699454286988	8.94005152820341e-11	No	No
P51805	PLXNA3	2.01007620341502	6.44376209472586e-13	No	No
P51828	ADCY7	2.39260834785945	1.11379668874628e-10	No	No
P51857	AKR1D1	5.1326740276679	7.0703811811186104e-09	No	No
P52566	ARHGDIB	2.06584921687472	2.30253501311552e-07	No	No
P52655	GTF2A1	1.8346699436364	8.25688962596258e-05	No	No
P52735	VAV2	2.76234011023193	4.859793917232319e-18	No	No
P52799	EFNB2	2.79444546895511	3.32607240447122e-17	No	No
P52926	HMGA2	4.26122502181052	7.36636675605677e-08	No	No
P53667	LIMK1	2.03788267276199	0.0003032817032046	No	No
P53805	RCAN1	2.34877212770136	2.33958633318856e-09	No	No
P53814	SMTN	3.43686918315075	5.05764039850089e-12	No	No
P54289	CACNA2D1	2.0944188749931	7.733995715682031e-21	No	No
P54646	PRKAA2	1.87495456683203	1.08968189876427e-06	No	No
P54753	EPHB3	4.62963223523294	7.49910449597857e-24	No	No
P54760	EPHB4	2.08031842945788	2.3859164207879e-19	No	No
P54762	EPHB1	4.86057274176689	2.83482858138494e-26	No	No
P54764	EPHA4	2.48310100494228	8.712658971855269e-22	No	No
P55085	F2RL1	2.74533272836404	5.014493026589081e-09	No	No
P55145	MANF	2.01875870307433	9.64906113955004e-08	No	No
P55160	NCKAP1L	2.28597879350364	1.51432670930477e-07	No	No
P55273	CDKN2D	2.87682871701626	2.21636190400998e-05	No	No
P55290	CDH13	3.86234326107386	2.8337257051290403e-15	No	No
P56199	ITGA1	2.93404695137897	1.8357526363334202e-23	No	No
P56817	BACE1	2.93372337825732	4.882702471626091e-15	No	No
P56945	BCAR1	2.40182169232944	3.72034558079851e-14	No	No
P58107	EPPK1	3.73217608112164	1.12226933875906e-06	No	No
P58215	LOXL3	3.87944372033037	1.24043802147221e-07	No	No
P60606	CTXN1	4.45876921628992	9.12852854667737e-08	No	No
P61587	RND3	3.07455352895473	9.228455552087241e-19	No	No
P61952	GNG11	2.81194481209875	2.99675491268047e-13	No	No
P63252	KCNJ2	4.0913440596938	2.49225996297999e-14	No	No
P69905	HBA1	6.76988875207971	3.81738211322461e-10	No	No
P78381	SLC35A2	1.99565233970165	9.54622859301669e-08	No	No
P78395	PRAME	2.87536909838273	5.21603985215026e-08	No	No
P79483	HLA-DRB3	8.25785919102652	1.81548045645123e-24	No	No
P81605	DCD	2.21029924492451	2.80979461413735e-05	No	No
P83876	TXNL4A	2.22829912344483	2.27710344260818e-08	No	No
P84022	SMAD3	1.95689132580799	1.42916637069182e-16	No	No
P98088	MUC5AC	3.55921001260074	1.3701817527318101e-09	No	No
P98164	LRP2	9.43284365498186	2.70362995141244e-21	No	No
P98173	FAM3A	4.10293388568305	3.1477298549535e-06	No	No
Q00266	MAT1A	3.21573651644695	1.4267191302302199e-11	No	No
Q00973	B4GALNT1	4.43638493287803	1.8556414268077297e-11	No	No
Q01201	RELB	4.65959855130399	0.0023211333094739	No	No
Q01974	ROR2	3.43039035045902	1.1759103751991202e-09	No	No
Q02086	SP2	1.90641869312302	0.0088611964061762	No	No
Q02224	CENPE	5.08099997670837	2.2964235280140398e-11	No	No
Q02297	NRG1	2.00153545569364	1.14799071088388e-05	No	No
Q02487	DSC2	3.71483512400876	5.01211827876333e-08	No	No
Q02539	H1-1	2.77291837154809	7.39133043879045e-06	No	No
