Protein_Group	Genes	WM793_vs_HIM-ST_logFC	WM793_vs_HIM-ST_pval	Removed?	Contaminant?
A0PJZ3	GXYLT2	2.1841742396091	5.56021261229159e-05	No	No
A1IGU5	ARHGEF37	3.19794076157256	3.23489337351355e-07	No	No
A1L170	C1orf226	5.75477081732072	6.7903803908928e-08	No	No
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q4V321;Q4V326;Q13069;Q13070	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE4;GAGE5;GAGE6;GAGE7	11.0793188115882	3.0401103912941297e-40	No	No
A2A2Y4	FRMD3	4.63489645262894	6.95842725224165e-07	No	No
A2RUS2	DENND3	2.29051773632915	0.0055249100374344	No	No
A4D126	CRPPA	2.83631484281625	8.63773748071583e-10	No	No
A5YM72	CARNS1	5.17494404331917	5.66682706175243e-07	No	No
A6NCL7	ANKRD33B	3.97161012109909	1.28103929570772e-08	No	No
A6NFQ2	TCAF2	6.2009268817577	3.69167192965534e-14	No	No
A6NMZ7	COL6A6	6.04181995629625	1.36091247892088e-18	No	No
A8CG34	POM121C	3.66144165074798	1.30821868399696e-05	No	No
A8K2U0	A2ML1	7.05680153484118	1.20448540293791e-05	No	No
A8K7I4	CLCA1	4.52831988191497	1.5827164276564698e-12	No	No
A8MQ03	CYSRT1	3.87066891578117	9.65828076017323e-05	No	No
A8MT69	CENPX	3.68828017598443	1.4324147369875199e-11	No	No
A8TX70	COL6A5	6.40936273761275	2.84758297761422e-19	No	No
B0FP48;E5RIL1	UPK3BL1;UPK3BL2	2.76855686162433	4.03761920895373e-06	No	No
B0I1T2	MYO1G	5.65720018969489	1.1851101847290498e-11	No	No
B3KU38;P0DPB3	IQCJ-SCHIP1;SCHIP1	4.97692966924337	4.34585118578556e-05	No	No
B4DS77	SHISA9	9.32885538569209	3.70219775065261e-32	No	No
B9A064	IGLL5	4.26183488681954	1.94534405198258e-18	No	No
F5H4A9	C3orf80	4.81316011982675	5.28168618899959e-13	No	No
G3V523	LOC730098	3.02271161257902	5.45679127841413e-13	No	No
H7BZ55	CROCC2	2.47506602682723	0.0001827947935863	No	No
O00141	SGK1	3.05216553912237	2.33487988502698e-05	No	No
O00144	FZD9	4.6362123774032	7.708597511793279e-11	No	No
O00187	MASP2	4.52211087296132	1.00295744174743e-13	No	No
O00194	RAB27B	1.87681610474599	4.00962916652561e-14	No	No
O00206	TLR4	7.8904786260225	2.20201232870851e-19	No	No
O00254	F2RL2	6.18416789066849	2.43378504076783e-26	No	No
O00330	PDHX	2.38675431990045	0.001828508554054	No	No
O00338	SULT1C2	2.66683485888879	1.01464360511869e-09	No	No
O00458	IFRD1	2.0388491408161	0.0023809074922619	No	No
O00461	GOLIM4	2.33067461406468	1.39667337283545e-18	No	No
O00512	BCL9	5.07349593167235	3.03959726381244e-06	No	No
O00592	PODXL	6.48561362573682	4.38749413002281e-20	No	No
O00762	UBE2C	2.50804430072728	7.61577820980541e-16	No	No
O14495	PLPP3	1.85814323317848	6.235016013356709e-13	No	No
O14524	NEMP1	3.61091015565026	8.30383434335454e-13	No	No
O14578	CIT	1.93627354378708	6.29727950622871e-14	No	No
O14613	CDC42EP2	3.45945717168414	6.25311299300752e-05	No	No
O14654	IRS4	2.35626036397011	5.65966503350801e-07	No	No
O14682	ENC1	2.59622311409946	8.540315951684511e-10	No	No
O14717	TRDMT1	3.07636691431764	0.0015589073525251	No	No
O14775	GNB5	2.17059666338891	1.23194013754868e-10	No	No
O14786	NRP1	2.16896788267411	9.21714790324972e-12	No	No
O14832	PHYH	2.78478809310199	6.6146318624761e-06	No	No
O14917	PCDH17	5.90679734342436	6.918691915496229e-12	No	No
O14965	AURKA	1.85944055097556	4.4367489658446e-15	No	No
O15013	ARHGEF10	1.954993761556	3.40461870711174e-16	No	No
O15020	SPTBN2	2.18312047467593	0.0001157341088978	No	No
O15056	SYNJ2	2.3082054344187	1.6531615938315302e-14	No	No
O15061	SYNM	5.62871779373591	3.18247546751565e-13	No	No
O15063	GARRE1	1.84095047371557	1.0071116503576e-06	No	No
O15068	MCF2L	6.2601971263268	3.07609272040715e-16	No	No
O15105	SMAD7	5.71848876898389	9.63086210631991e-12	No	No
O15165	LDLRAD4	2.12743013692927	1.72672021311114e-06	No	No
O15240	VGF	2.61848889709168	2.11399853909964e-06	No	No
O15259	NPHP1	1.89672624942903	0.0036982630467877	No	No
O15269	SPTLC1	1.95533585179608	6.67509370705182e-10	No	No
O15296	ALOX15B	1.9226603566608	5.97478362091432e-05	No	No
O15318	POLR3G	2.14556773613484	4.66657921323195e-05	No	No
O15354	GPR37	3.72245976206275	4.74551874454177e-13	No	No
O15374	SLC16A4	2.4194774982832	3.72000087568741e-10	No	No
O15392	BIRC5	3.32148749995216	1.99143570349658e-12	No	No
O15466	ST8SIA5	6.20994402631951	2.5688387052865996e-12	No	No
O15492	RGS16	6.00488446933755	4.1627949694473695e-12	No	No
O15498	YKT6	2.3495463237641	3.52503715896137e-18	No	No
O15540	FABP7	2.26505557139812	1.1948143074621e-09	No	No
O15554	KCNN4	7.59205280440526	1.3050925999959502e-15	No	No
O43184	ADAM12	5.2586431907067	8.978639746476099e-19	No	No
O43194	GPR39	3.50160607829792	2.1613800077315602e-19	No	No
O43424	GRID2	7.71260419729084	9.66047718323602e-08	No	No
O43566	RGS14	8.48375594223816	5.370405772370921e-09	No	No
O43586	PSTPIP1	4.19837510328372	2.32475077187537e-05	No	No
O43597	SPRY2	2.45557277600117	1.2367744843053401e-17	No	No
O43688	PLPP2	4.72096657306598	4.1929306185529305e-19	No	No
O43731	KDELR3	3.05153406816708	0.0003187687344327	No	No
O43734	TRAF3IP2	3.11033273539994	1.30057760887761e-05	No	No
O43739	CYTH3	2.39761350458432	9.01622916035993e-10	No	No
O43895	XPNPEP2	2.9103103046548	4.66467846604175e-05	No	No
O43933	PEX1	1.91230102966928	0.0022123297786221	No	No
O60229	KALRN	2.45241254532499	6.58916836629479e-08	No	No
O60232	ZNRD2	3.0142318213603	7.430246346011941e-20	No	No
O60241	ADGRB2	4.48713876681532	2.32612442338883e-06	No	No
O60245	PCDH7	2.99693063278653	1.57253726989144e-10	No	No
O60343	TBC1D4	1.8963110238012	1.79780831542769e-13	No	No
O60566	BUB1B	2.66753064858383	1.18273638326877e-06	No	No
O60669	SLC16A7	2.13746554378633	9.16845654304469e-19	No	No
O60858	TRIM13	4.63740208180878	1.37215667619472e-10	No	No
O60861	GAS7	2.75503935481585	6.52337494779927e-14	No	No
O60921	HUS1	2.84180597219051	0.0059783227651103	No	No
O75051	PLXNA2	4.61016298705442	3.63984279006094e-22	No	No
O75052	NOS1AP	3.41027505280594	1.44394655189257e-13	No	No
O75078	ADAM11	4.58327934477448	1.8582456089182e-07	No	No
O75084	FZD7	2.37931310999057	2.09363203194506e-15	No	No
O75121	MFAP3L	2.29120603253164	3.01706470761656e-11	No	No
O75159	SOCS5	4.0320814928028	6.22779596254177e-07	No	No
O75167	PHACTR2	2.12872015011858	0.0001697036525572	No	No
O75185	ATP2C2	3.0744284887924	1.0433311932743e-06	No	No
O75190	DNAJB6	2.42029717311793	2.85270013011732e-11	No	No
O75385	ULK1	4.69896471049471	0.000451012409547	No	No
O75425	MOSPD3	2.82702814691201	6.77378606895751e-09	No	No
O75509	TNFRSF21	8.19522664632374	6.519243050416351e-20	No	No
O75553	DAB1	2.87027212166512	0.0007930171948741	No	No
O75575	CRCP	2.51604198478836	1.18196583385622e-05	No	No
O75578	ITGA10	3.65931604768077	0.0034436184176603	No	No
O75791	GRAP2	3.57103801716431	4.96109589806356e-13	No	No
O75808	CAPN15	2.0875396915555	8.0924188869037e-05	No	No
O75815	BCAR3	3.2633738017259	6.21984851506211e-17	No	No
O75829	CNMD	2.04735071003969	2.72450496616189e-07	No	No
O75886	STAM2	1.9221926991736	1.4853543509987199e-16	No	No
O75891	ALDH1L1	4.81591850436755	3.2472131308267e-13	No	No
O75897	SULT1C4	2.47507016411331	1.48295658631146e-05	No	No
O75899	GABBR2	3.80431984573589	1.5933358153795497e-11	No	No
O75911	DHRS3	3.751137523741	0.0001063217904367	No	No
O75923	DYSF	1.98611691059098	0.0001689907917532	No	No
O75936	BBOX1	5.01141210716742	2.3088270716086696e-11	No	No
O75973	C1QL1	6.87577117490522	4.28056891126734e-11	No	No
O76054	SEC14L2	2.64171373411359	1.56657513650225e-18	No	No
O76083	PDE9A	3.43716316762768	3.11449200794717e-11	No	No
O94823	ATP10B	6.66174158284227	8.92184810489878e-09	No	No
O94844	RHOBTB1	2.6319487905373	0.0085203745191125	No	No
O94886	TMEM63A	2.8785521352001	1.44083723597737e-13	No	No
O94901	SUN1	4.04061371961419	2.0710977742934e-08	No	No
O94921	CDK14	3.06882169961397	5.69806834325382e-14	No	No
O95045	UPP2	3.7029307099133	3.36481369055723e-11	No	No
O95136	S1PR2	2.74870711741234	9.818219780011561e-15	No	No
O95185	UNC5C	2.97784156265537	1.3244178175675202e-09	No	No
O95196	CSPG5	2.12218761280847	3.80954966380633e-05	No	No
O95229	ZWINT	2.60975282799306	1.78895741095715e-10	No	No
O95235	KIF20A	2.14258485113717	1.98112117898331e-14	No	No
O95279	KCNK5	9.55569101886898	8.57941681512981e-26	No	No
O95302	FKBP9	5.53579781776372	7.20714467137968e-12	No	No
O95342	ABCB11	7.09917894380141	4.27373584682191e-06	No	No
O95393	BMP10	2.20276445201289	1.19693517357324e-10	No	No
O95415	BRI3	2.2113171608714	1.25668717562471e-08	No	No
O95425	SVIL	2.16748296118677	1.1397222071437498e-12	No	No
O95460	MATN4	4.33834232961838	0.0001298938786234	No	No
O95490	ADGRL2	3.42671251778157	2.93817195042036e-17	No	No
O95498	VNN2	5.08208519695288	1.1789159619356e-15	No	No
O95620	DUS4L	4.3335255452057	5.35861450588458e-05	No	No
O95755	RAB36	2.67484870108011	4.457723481371689e-11	No	No
O95835	LATS1	2.44832691855684	4.99056464127053e-05	No	No
O95857	TSPAN13	9.76344434727998	2.22108017345345e-25	No	No
O95954	FTCD	8.05989729132695	6.848055025800251e-23	No	No
O95969	SCGB1D2	5.20445654801444	1.5619939423113702e-09	No	No
P00326	ADH1C	2.15410692684968	3.27539308764487e-07	No	No
P00451	F8	3.31469180542869	3.11195247381576e-08	No	No
P00488	F13A1	2.28437535034072	1.07314600209418e-06	No	No
P00533	EGFR	2.49260292147414	9.1947542720947e-21	No	No
P01011	SERPINA3	5.87347630200571	2.88024341603141e-07	No	No
P01040	CSTA	2.1595339259516	0.0081514992692772	No	No
P01135	TGFA	8.41194660515987	1.07418090102856e-22	No	No
P01591	JCHAIN	3.79445547820821	2.41532919342945e-17	No	No
P01706;P01709	IGLV2-11;IGLV2-8	2.60392530909176	9.72807667814334e-14	No	No
P01833	PIGR	2.53959330770383	0.0039426888352104	No	No
P01834	IGKC	3.11393216808504	0.0019560994540897	No	No
P01857	IGHG1	3.39744147550431	7.70895394031645e-05	No	No
