Protein_Group	Genes	SK-Mel-147_vs_WM793_logFC	SK-Mel-147_vs_WM793_pval	Removed?	Contaminant?
P00749	PLAU	8.99072812902192	9.06465016723099e-19	No	No
P01040	CSTA	2.54470816863641	0.0022609802164926	No	No
P01130	LDLR	7.85605071806787	1.04796049967755e-28	No	No
P01583	IL1A	9.50648720769813	5.7012104301867e-17	No	No
P01584	IL1B	3.37374595222854	3.37193291217838e-07	No	No
P01834	IGKC	2.61100015956499	0.0079047318723462	No	No
P01909	HLA-DQA1	10.721630388121	1.27325900418159e-19	No	No
P01920	HLA-DQB1	5.38280805983412	2.48924137908101e-15	No	No
P04114	APOB	4.31975746705637	5.70850546180031e-17	No	No
P04183	TK1	2.75879938085651	4.6439452622018396e-18	No	No
P05089	ARG1	2.76240006985621	0.0057426326518221	No	No
P05120	SERPINB2	2.57976323061506	3.95109582426746e-05	No	No
P05121	SERPINE1	5.88613472468347	5.89720052143632e-10	No	No
P05164	MPO	2.41407251929217	4.50948474633704e-05	No	No
P05783	KRT18	7.664803361627	2.35536714548701e-20	No	No
P05997	COL5A2	6.67715446243578	8.269479039812241e-15	No	No
P07305	H1-0	2.99536892605372	0.0001897434720723	No	No
P07311	ACYP1	3.70748992778152	1.60056157270954e-17	No	No
P08473	MME	3.35507854833606	1.05861045785759e-15	No	No
P08572	COL4A2	2.41851570096416	6.38611668885274e-08	No	No
P08579	SNRPB2	4.22294934379524	4.39394848657587e-15	No	No
P08581	MET	3.10464858571458	1.51878621223696e-21	No	No
P08582	MELTF	2.46500072327663	2.61150537646068e-22	No	No
P09132	SRP19	2.31456259177747	9.484001084209881e-15	No	No
P09455	RBP1	6.97947764246262	1.8217706125105602e-25	No	No
P09496	CLTA	4.12642858033094	6.88533597328134e-18	No	No
P09497	CLTB	5.25151154434458	2.26694893876356e-21	No	No
P09661	SNRPA1	5.33609509014161	1.76279290978341e-23	No	No
P10155	RO60	3.10568238895468	1.9640552933005701e-25	No	No
P10412	H1-4	5.1180803963633	7.67535651836713e-12	No	No
P10909	CLU	4.2101309469264	3.61495642801361e-07	No	No
P11802	CDK4	2.46448185938551	3.9041718178351e-20	No	No
P12034	FGF5	7.0823186482522	2.06166942601375e-13	No	No
P12271	RLBP1	5.63069264469963	7.994627007960179e-12	No	No
P14635	CCNB1	3.86830973712793	5.05915234895112e-14	No	No
P15151	PVR	3.00034459998045	1.0578710994587899e-18	No	No
P15328	FOLR1	8.9945389812002	4.37085724729023e-32	No	No
P15514	AREG	4.62018779241733	1.40224926370905e-06	No	No
P15692	VEGFA	3.69433551259219	1.86058650540468e-05	No	No
P15882	CHN1	2.76187660054941	6.56564623121245e-05	No	No
P15924	DSP	2.49983680202865	0.0096729449305113	No	No
P16035	TIMP2	6.43192274573088	3.8670516230659697e-26	No	No
P16104	H2AX	2.89298096566963	2.35356241310376e-10	No	No
P16333	NCK1	3.29835029632075	1.94464623178421e-25	No	No
P16401	H1-5	9.63230139080153	7.39218126998237e-16	No	No
P16455	MGMT	7.21013469974793	6.234682479944189e-28	No	No
P16989	YBX3	3.81033615743785	2.89861448339503e-22	No	No
P17302	GJA1	12.118072144009	2.9669690026324497e-22	No	No
P17568	NDUFB7	5.22722062078701	8.29333975143475e-06	No	No
P17677	GAP43	9.85001370720351	4.22838105002398e-19	No	No
