Protein_Group	Genes	SK-Mel-147_vs_WM793_logFC	SK-Mel-147_vs_WM793_pval	Removed?	Contaminant?
Q86SX3	TEDC1	3.01063646360242	3.55813957931132e-08	No	No
Q86SX6	GLRX5	3.53073345780913	7.57388702846385e-12	No	No
Q86TB9	PATL1	2.6618074405139	1.65788083754697e-20	No	No
Q86UN3	RTN4RL2	5.36839787716768	6.93943984809912e-14	No	No
Q86US8	SMG6	5.24049635452259	2.7720290198335398e-18	No	No
Q86UW6	N4BP2	7.67316053754221	3.18684971841476e-08	No	No
Q86V88	MDP1	3.23100396765504	5.2589277612027296e-12	No	No
Q86VR8	FJX1	4.06103788891135	1.88283372954001e-06	No	No
Q86VZ2	WDR5B	6.1120430685648	1.41387579833711e-05	No	No
Q86WQ0	NR2C2AP	2.51108392186448	2.5593558874465598e-12	No	No
Q86X55	CARM1	3.67619873176277	3.74967960886747e-27	No	No
Q86XN8	MEX3D	5.73981498810105	1.75620003179496e-17	No	No
Q86YQ8	CPNE8	6.3472050953865	6.66653232470917e-25	No	No
Q86YR5	GPSM1	2.33710836327564	3.30191216027111e-17	No	No
Q8IU85	CAMK1D	3.30201691039176	3.33733748596904e-12	No	No
Q8IUW3	SPATA2L	2.62617652732179	0.0002051364103102	No	No
Q8IUX4	APOBEC3F	7.6087155049935	3.76419385341244e-10	No	No
Q8IVH8	MAP4K3	3.53639502829415	5.736226716691139e-26	No	No
Q8IWL3	HSCB	5.33619472786632	1.1432584499061101e-17	No	No
Q8IWZ8	SUGP1	7.72944791317567	8.368752319793979e-18	No	No
Q8IYB1	MB21D2	3.11483540851026	1.1351680852069998e-13	No	No
Q8IYJ0	PIANP	6.40052125932248	3.82288991662657e-23	No	No
Q8IYM9	TRIM22	2.79546817501977	1.75181114100133e-06	No	No
Q8IYS1	PM20D2	2.79731844585157	5.07133897426678e-06	No	No
Q8IYT2	CMTR2	3.17066571295259	0.0055149999613742	No	No
Q8IZC4	RTKN2	2.35231631035325	6.83808294113008e-08	No	No
Q8IZH2	XRN1	2.9010139759965	5.79033593988901e-23	No	No
Q8IZR5	CMTM4	2.58552588458648	1.7433482868651602e-17	No	No
Q8IZU9	KIRREL3	4.57164901241648	1.67436624310031e-08	No	No
Q8N0Z9	VSIG10	3.41524992081326	1.05305974036062e-13	No	No
Q8N114	SHISA5	3.79673516650211	1.90193040505344e-12	No	No
Q8N128	FAM177A1	2.88859976977384	1.66008817964762e-11	No	No
Q8N158	GPC2	3.86185637210394	0.0006234025460252	No	No
Q8N257	H2BC26	2.90298888578413	1.2567938508512699e-11	No	No
Q8N2G4	LYPD1	2.69997868290807	4.92276836896334e-16	No	No
Q8N2G6	ZCCHC24	2.72537795068663	4.33898200999495e-08	No	No
Q8N428	GALNT16	6.52965095822741	2.96002558285995e-17	No	No
Q8N474	SFRP1	3.10606459973976	8.20699834914695e-08	No	No
Q8N4B1	PHETA1	2.55570882287304	1.58760589690633e-06	No	No
Q8N5C1	CALHM5	8.12278516459933	1.33800045840127e-22	No	No
Q8N5M4	TTC9C	2.62740863761873	1.3206878425986802e-15	No	No
Q8N684	CPSF7	6.39412557685881	1.9973658091251e-28	No	No
Q8N6G6	ADAMTSL1	6.33083612554826	1.14851980198482e-18	No	No
Q8N6I1	EID2	3.14182407413	8.48581679307671e-09	No	No
Q8N7P1	PLD5	7.2823287996644	3.66366684484884e-21	No	No
Q8N9R8	SCAI	4.27980016076413	2.7402843703958702e-09	No	No
Q8NB37	GATD1	2.31979247334899	3.48794578496202e-11	No	No
Q8NBT0	POC1A	2.30885579974269	0.0002255095006207	No	No
Q8NC69	KCTD6	2.95990725084116	9.10392924500023e-14	No	No
Q8NCA5	FAM98A	2.8047050360709	9.318001874660419e-22	No	No
Q8NCS7	SLC44A5	2.99721193512806	0.0004080219003938	No	No
Q8ND25	ZNRF1	3.16014298416604	1.04533578405106e-10	No	No
Q8ND56	LSM14A	3.21963309522728	8.12591615742702e-18	No	No
Q8NDV7	TNRC6A	3.80279162947295	5.50439810965651e-05	No	No
Q8NFH4	NUP37	3.20093116754325	5.57891856008454e-21	No	No
Q8NFJ5	GPRC5A	4.0749555098959	8.77007874558209e-21	No	No
Q8NGU9	GPR150	4.13361448448942	3.2767501529074e-14	No	No
Q8NHG7	SVIP	3.02052248458238	6.41137621664753e-22	No	No
Q8NHU6	TDRD7	2.510208832969	1.60023295004692e-17	No	No
Q8NI17	IL31RA	2.85767901475069	2.0174638954422302e-10	No	No
Q8TAD7	OCC1	2.85261442296168	4.2924093014227203e-10	No	No
Q8TAI7	RHEBL1	4.28521547497585	4.1635256080092204e-15	No	No
Q8TAS1	UHMK1	6.06013212679475	1.94476841159209e-06	No	No
Q8TAT2	FGFBP3	8.69176132014551	2.44067719894692e-14	No	No
Q8TB24	RIN3	2.416931862536	2.3401419643693702e-15	No	No
Q8TB72	PUM2	3.56432184543822	1.79222731680192e-10	No	No
Q8TBC3	SHKBP1	2.31058199615309	5.76901419756431e-16	No	No
Q8TEC5	SH3RF2	3.01766544766283	1.00154023875875e-05	No	No
Q8TEW6	DOK4	2.58918505079208	0.0027236897280768	No	No
Q8TF66	LRRC15	4.86727912140269	5.61532450642366e-15	No	No
Q8TF72	SHROOM3	2.42429879971206	2.46985961219924e-09	No	No
Q8TF74	WIPF2	3.19931200206269	1.49807105604546e-13	No	No
Q8WTS1	ABHD5	2.47184850514182	1.7244753540445801e-10	No	No
Q8WTU0	DDI1	2.87613498312214	3.75338280520441e-12	No	No
Q8WUF5	PPP1R13L	7.29694518006505	1.14146152589954e-10	No	No
Q8WUP2	FBLIM1	2.76329178081642	6.664444094832399e-12	No	No
Q8WUY9	DEPDC1B	3.27027824851308	1.6542035743859099e-18	No	No
Q8WV16	DCAF4	2.35911209194202	1.1603531935496e-07	No	No
Q8WV41	SNX33	3.42791325285495	7.42547674270095e-14	No	No
Q8WV99	ZFAND2B	3.50896001403256	1.06078751294195e-17	No	No
Q8WVV4	POF1B	3.61642885088424	0.003587532114675	No	No
Q8WWC4	MAIP1	4.53830586621485	4.5303937688380504e-15	No	No
Q8WWM7	ATXN2L	5.61907959324219	3.92925086484596e-29	No	No
Q8WWN8	ARAP3	2.34783003813293	4.88159554963157e-13	No	No
Q8WYP3	RIN2	6.63757602584878	1.44059296424777e-05	No	No
Q92485	SMPDL3B	4.45484102086736	2.88978849991667e-08	No	No
Q92522	H1-10	3.81136586286281	0.0009645861870954	No	No
Q92615	LARP4B	5.61930607045077	4.136294794594e-22	No	No
Q92624	APPBP2	2.86344353589747	1.4663897099483602e-14	No	No
Q92692	NECTIN2	2.41941374074494	9.56796126017316e-20	No	No
Q92729	PTPRU	2.54048483631176	2.94829108502768e-09	No	No
Q92747	ARPC1A	3.67460397276286	1.4076514834391601e-21	No	No
Q92859	NEO1	2.5494102477077	2.7207683250847e-08	No	No
Q92879	CELF1	4.79371378268103	4.9942407366908705e-23	No	No
Q92900	UPF1	2.6260211236491	5.94188211562569e-19	No	No
Q92982	NINJ1	3.6673759312371	6.14234371349834e-10	No	No
Q92995	USP13	2.99607101397873	4.03291571287004e-24	No	No
Q93062	RBPMS	2.81530887340847	3.60317912695775e-07	No	No
Q93073	SECISBP2L	2.34612125567532	4.69048881510616e-10	No	No
Q93075	TATDN2	3.86921726906849	3.81059769191631e-05	No	No
Q969U6	FBXW5	3.12099734142724	0.0016625471062267	No	No
Q969X6	UTP4	2.64593259199492	4.510483537841101e-16	No	No
Q96A37	RNF166	3.45264898206333	3.49761482543375e-06	No	No
Q96AH0	NABP1	2.68852355344724	1.5051547716466698e-11	No	No
Q96AP0	ACD	5.04021823590547	2.98925564074855e-07	No	No
Q96AZ6	ISG20	2.38500708990122	4.69085940048734e-11	No	No
Q96B70	LENG9	2.93669776994338	1.21966087292787e-10	No	No
Q96B97	SH3KBP1	2.73725561386453	1.3549254124154101e-20	No	No
Q96D09	GPRASP2	9.36540559868437	1.97655272296054e-15	No	No
Q96DA2	RAB39B	4.99136042944611	4.1499100569773005e-20	No	No
Q96DC9	OTUB2	4.59008636514643	2.55637466640127e-10	No	No
Q96DE0	NUDT16	2.93755375339306	2.0542900150900703e-15	No	No
Q96DF8	ESS2	4.71455625746956	0.0006607764303075	No	No
Q96DH6	MSI2	2.42070564005562	2.37863595395243e-15	No	No
Q96EF6	FBXO17	4.05839120821	1.96849571818715e-20	No	No
Q96ES7	SGF29	3.42454573358187	0.0002914236160955	No	No
Q96F07	CYFIP2	2.80274849843784	8.25907823516537e-16	No	No
Q96FX8	PERP	3.13508420857048	3.31272184744149e-10	No	No
Q96I24	FUBP3	2.30404897487851	1.08269070593447e-19	No	No
Q96IF1	AJUBA	3.65556800630674	3.8557539177494e-07	No	No
Q96IU2	ZBED3	2.60540738837701	0.0026458303309428	No	No
Q96IZ0	PAWR	5.41104477495985	1.10608439905709e-11	No	No
Q96K80	ZC3H10	14.8492480355335	8.34149163343825e-30	No	No
Q96KC2	ARL5B	3.85937336390964	5.50821599810329e-24	No	No
Q96MG7	NSMCE3	2.86668944568514	2.93679306493324e-05	No	No
Q96MM7	HS6ST2	7.81038934688035	1.19419242467204e-18	No	No
Q96MT3	PRICKLE1	5.5659520544875	9.94366097817766e-06	No	No
Q96NC0	ZMAT2	3.57917222445138	1.48724751255017e-05	No	No
Q96P63	SERPINB12	3.16834094568181	0.0001039318527477	No	No
Q96PD2	DCBLD2	3.30883069450639	9.11554643351032e-22	No	No
Q96PM5	RCHY1	3.84000552785935	5.09906385942293e-06	No	No
Q96PX9	PLEKHG4B	6.95250797355455	7.794381770061031e-24	No	No
Q96Q83	ALKBH3	2.7541576363987	3.11967970412688e-17	No	No
Q96QD9	FYTTD1	5.32985828459545	3.49226520951386e-16	No	No
Q96RF0	SNX18	3.57990577019492	1.4933863143010198e-18	No	No
Q96RU3	FNBP1	5.0611696720043	2.10114793543714e-31	No	No
Q96T21	SECISBP2	3.70627033534677	1.58856919753934e-06	No	No
Q99490	AGAP2	3.16606556522933	2.49689881282586e-07	No	No
Q99523	SORT1	2.49314826508107	5.15751774837511e-18	No	No
Q99700	ATXN2	6.74738502692609	3.60442494306744e-32	No	No
Q99828	CIB1	2.3068206939239	4.38908073596179e-07	No	No
Q99952	PTPN18	2.30984700944918	2.1123042313761802e-09	No	No
Q99959	PKP2	2.91753503878731	0.000136360597425	No	No
Q99961	SH3GL1	4.77365129760602	1.07710752939838e-26	No	No
Q99962	SH3GL2	4.82536987002207	7.33812362199096e-27	No	No
Q99963	SH3GL3	9.78405621009658	1.1950013686035799e-26	No	No
Q9BPX5	ARPC5L	3.86529167672445	1.3462678039583801e-25	No	No
Q9BPZ3	PAIP2	5.72056240948	1.60459234539665e-22	No	No
Q9BQ04	RBM4B	4.99206841879373	3.5516778770616495e-11	No	No
Q9BQ51	PDCD1LG2	6.05689186345212	1.96030357152092e-19	No	No
Q9BQ70	TCF25	4.65262186108539	1.85808967977297e-12	No	No
Q9BQG2	NUDT12	3.08704135081786	1.07581994228293e-08	No	No
Q9BQL6	FERMT1	3.44773304991629	2.92374838049244e-14	No	No
Q9BQS7	HEPH	6.09897076034687	1.11904153659898e-14	No	No
Q9BRP1	PDCD2L	2.50677976872632	8.88109774079161e-16	No	No
Q9BSW2	CRACR2A	8.51511849713931	1.910295884966e-15	No	No
Q9BTL3	RAMAC	2.31545252240706	4.87733341113841e-05	No	No
Q9BUJ2	HNRNPUL1	4.83036262573961	1.5629928325082801e-19	No	No
Q9BUT9	MCRIP2	4.42747947891293	1.05267811594127e-07	No	No
Q9BV36	MLPH	2.59011678467252	3.0536328394748604e-09	No	No
Q9BV68	RNF126	2.32448522673478	2.2267789732847398e-12	No	No
Q9BVJ7	DUSP23	2.29824462654727	1.78248214211645e-15	No	No
Q9BWD3	RTL8A	3.98847767214354	3.44174475866769e-16	No	No
Q9BWF3	RBM4	4.02239295931786	2.73246151094442e-24	No	No
Q9BWV1	BOC	3.94853925240652	0.0011944853699788	No	No
Q9BX40	LSM14B	3.10429844153953	2.4327049497681e-13	No	No
Q9BXB4	OSBPL11	2.55945034854582	4.29352346194691e-05	No	No
Q9BXY0	MAK16	2.34577554141494	1.59349213551541e-05	No	No
Q9BYG0	B3GNT5	3.53441183496764	2.40869202279145e-10	No	No
Q9BYJ9	YTHDF1	4.34983573915676	6.71718861925678e-21	No	No
Q9BYT3	STK33	3.56601216670652	5.02394508740283e-17	No	No
Q9BYX2	TBC1D2	4.65702564323768	1.68072143541858e-08	No	No
Q9BZD6	PRRG4	8.42995319896557	2.38466905157987e-25	No	No
Q9BZG1	RAB34	2.4927137281598	3.62403264303016e-23	No	No
Q9BZI7	UPF3B	3.31169062313768	9.98081442532547e-18	No	No
Q9BZM4	ULBP3	4.29403668767545	1.41051040196508e-16	No	No
Q9BZM5	ULBP2	5.80660754801794	1.45457001757955e-20	No	No
Q9BZR6	RTN4R	5.70754026482273	2.0512360648955698e-12	No	No
Q9C0B0	UNK	2.29371721375837	6.793688193927101e-16	No	No
Q9C0B9	ZCCHC2	4.17223491306587	1.12957413574784e-07	No	No
Q9C0H5	ARHGAP39	2.64646575346245	2.86718207171674e-13	No	No
Q9GZN8	ADISSP	2.49973507760121	1.76382645822598e-17	No	No
Q9GZP0	PDGFD	2.68996738731938	2.49532331082369e-13	No	No
Q9GZY6	LAT2	3.63377990268638	1.3306692313457098e-11	No	No
Q9H000	MKRN2	7.01433604002289	2.9034165899574e-30	No	No
Q9H074	PAIP1	3.56435811813468	9.81723691885198e-22	No	No
Q9H0B8	CRISPLD2	4.70679995348998	7.90442580475101e-11	No	No
Q9H0J9	PARP12	2.9959906347174	1.11259953220567e-17	No	No
Q9H0U6	MRPL18	3.72344597737221	7.0139736890183e-13	No	No
Q9H1U4	MEGF9	3.43801271871115	7.77105467818582e-19	No	No
Q9H1V8	SLC6A17	5.79491099552765	7.93938596390935e-21	No	No
Q9H2H8	PPIL3	2.53858144846441	3.52351711446796e-17	No	No
Q9H2K2	TNKS2	2.32256571456879	0.0026913437255402	No	No
Q9H2U1	DHX36	2.81667252557721	1.45164209864066e-21	No	No
Q9H361	PABPC3	7.11343457675487	1.87299515619489e-34	No	No
Q9H3R2	MUC13	7.72363713809689	2.73940096535028e-22	No	No
Q9H3S3	TMPRSS5	7.19488109167212	4.48639025026929e-12	No	No
Q9H4F1	ST6GALNAC4	8.39166386329949	8.07749484620308e-12	No	No
Q9H4F8	SMOC1	2.99582203127448	5.47379349206359e-06	No	No
Q9H6D3	XKR8	5.25959862302292	8.97866082743988e-22	No	No
Q9H6E4	CCDC134	3.66479860989977	7.67875649452472e-07	No	No
Q9H6L2	TMEM231	2.36682570023445	2.81212355276848e-10	No	No
Q9H6L4	ARMC7	2.6181096910654	8.002680505653291e-09	No	No
Q9H6S3	EPS8L2	3.55144393839105	5.89385674397262e-08	No	No
Q9H6T3	RPAP3	2.86376279748177	9.99896553448809e-14	No	No
Q9H792	PEAK1	2.40335284593257	0.0063696232027586	No	No
Q9H814	PHAX	4.01344698334923	1.55683169080997e-16	No	No
Q9H8K7	PAAT	6.21906540730381	1.847581220372e-23	No	No
Q9H8X2	IPPK	2.32234350098813	0.0004181454052437	No	No
Q9H939	PSTPIP2	6.63689676198933	3.24639500980327e-16	No	No
Q9H977	WDR54	3.16689771656183	3.72275406401543e-16	No	No
Q9H9G7	AGO3	4.3057563060574	6.1014813935629404e-15	No	No
Q9H9Y2	RPF1	2.61936173092496	9.24277893947444e-08	No	No
Q9HB19	PLEKHA2	2.42095278940223	2.9309142214183e-11	No	No
Q9HBW9	ADGRL4	15.0067763488505	1.01885886521769e-35	No	No
Q9HC16	APOBEC3G	12.4977749688417	2.8689098657801297e-36	No	No
Q9HC98	NEK6	3.29300136747231	5.71163539336438e-20	No	No
Q9HCE1	MOV10	7.04408654208876	1.64782751616523e-27	No	No
Q9HCJ0	TNRC6C	7.13121060516587	9.93383689093587e-17	No	No
Q9HCJ6	VAT1L	8.00419230581701	3.59536206814766e-29	No	No
Q9HCM2	PLXNA4	2.76624734422338	6.772970905567371e-09	No	No
Q9HCS5	EPB41L4A	2.95925528342908	0.0001727863023617	No	No
Q9HDC9	APMAP	3.23927663161409	7.81245379310085e-17	No	No
Q9NPF5	DMAP1	2.91630737555971	0.0006700259047915	No	No
Q9NQ25	SLAMF7	4.93848448820988	1.15104133754711e-07	No	No
Q9NQ29	LUC7L	2.44814479567998	5.064542428245141e-09	No	No
Q9NQE9	HINT3	2.56279515646921	5.50150642047155e-18	No	No
Q9NQS3	NECTIN3	3.24547162698991	5.3935758699285805e-20	No	No
Q9NQT4	EXOSC5	2.55453497553512	3.54354197197646e-13	No	No
Q9NQY0	BIN3	4.11002184687937	1.8998218361587202e-21	No	No
Q9NR12	PDLIM7	2.61848495645697	3.2070306123069e-09	No	No
Q9NR56	MBNL1	5.62044562074476	2.25877035090765e-25	No	No
Q9NRA8	EIF4ENIF1	3.12240341259112	1.14924212385524e-08	No	No
Q9NRG1	PRTFDC1	11.3380885622953	1.12753405054713e-37	No	No
Q9NRJ7	PCDHB16	5.9717835549692	1.04258544928657e-15	No	No
Q9NRM2	ZNF277	4.45513480611126	9.439199959515089e-11	No	No
Q9NRM7	LATS2	2.60370882672685	0.0005286212516911	No	No
Q9NRN9	METTL5	2.3927993123791	6.14921444081184e-16	No	No
Q9NRW3	APOBEC3C	5.0420967822424	8.273272897145831e-23	No	No
Q9NUD5	ZCCHC3	5.67097471730009	3.41777620528679e-22	No	No
Q9NUL3	STAU2	5.06518745892659	1.09999419337846e-12	No	No
Q9NUL5	SHFL	4.46813507326904	7.89846040409466e-25	No	No
Q9NUQ6	SPATS2L	3.00393261780609	1.3897108470552701e-15	No	No
Q9NVX2	NLE1	2.3676035825032	1.05925513293482e-06	No	No
Q9NW61	PLEKHJ1	2.55824410094164	0.0003588379283013	No	No
Q9NWQ9	C14orf119	2.74127697439694	1.3715509639289702e-09	No	No
Q9NWS0	PIH1D1	3.80981202666688	7.09544804286132e-05	No	No
Q9NX01	TXNL4B	3.84207681053511	4.00960123050271e-15	No	No
Q9NX76	CMTM6	2.63412034552264	1.5541719698313801e-19	No	No
Q9NXH8	TOR4A	2.29346565024271	5.24152928258114e-07	No	No
Q9NY12	GAR1	2.31138774884582	6.571964619413829e-11	No	No
Q9NYA1	SPHK1	3.48629116503592	3.6938990268698203e-19	No	No
Q9NYI0	PSD3	3.55908186214709	2.80468916270254e-17	No	No
Q9NYS0	NKIRAS1	2.9268534190335	8.95326552149732e-10	No	No
Q9NZB2	FAM120A	3.17820161678017	4.43154604805087e-19	No	No
Q9NZD2	GLTP	2.62277361972286	5.1993703890782506e-15	No	No
Q9NZE8	MRPL35	3.25756333399499	8.82752022445269e-07	No	No
Q9NZH0	GPRC5B	2.35089083847004	3.04529652004804e-13	No	No
Q9NZI7	UBP1	2.54540648110782	6.23679461189137e-17	No	No
Q9NZI8	IGF2BP1	5.12415118727336	1.52965387925718e-12	No	No
Q9NZJ4	SACS	3.58701409468671	5.06825332919198e-08	No	No
Q9NZM3	ITSN2	2.6623588209032	5.22287978130519e-18	No	No
Q9NZQ7	CD274	7.90219826153402	3.4503008973312904e-25	No	No
Q9NZT1	CALML5	3.9450761800248	9.22128091223939e-05	No	No
Q9NZU0	FLRT3	3.95638102991131	4.23080062857442e-19	No	No
Q9P0M6	MACROH2A2	6.64762041429467	8.64823647335467e-15	No	No
Q9P121	NTM	5.00860457202028	3.43180434253005e-20	No	No
Q9P1F3	ABRACL	2.61431499921493	1.01210023398636e-09	No	No
Q9P232	CNTN3	8.02646724744967	8.05318397713675e-17	No	No
Q9P2E3	ZNFX1	3.00533224089973	5.0131480896742496e-11	No	No
Q9P2G9	KLHL8	3.05199326018178	9.8444442339255e-05	No	No
Q9P2K1	CC2D2A	3.55159816802514	1.12481966120865e-06	No	No
Q9P2S5	WRAP73	2.78192964098186	0.000187221493865	No	No
Q9UBI9	HECA	2.34764343225819	1.30645104938052e-06	No	No
Q9UBR5	CKLF	3.90245637074955	1.3091695570392301e-17	No	No
Q9UDY4	DNAJB4	2.40683450376391	2.48557283762899e-10	No	No
Q9UF11	PLEKHB1	6.86367891784994	1.48174601492224e-10	No	No
Q9UGR2	ZC3H7B	2.30766420650264	1.47763302454256e-15	No	No
Q9UH17	APOBEC3B	8.77756621579339	1.3680529070859901e-19	No	No
Q9UHC7	MKRN1	9.47308094153504	9.24938251585607e-22	No	No
Q9UI42	CPA4	2.60499419033651	0.0086724452920596	No	No
Q9UJ04	TSPYL4	3.72917910890681	0.0010518744567017	No	No
Q9UJ68	MSRA	3.16916736388504	3.28840705798875e-19	No	No
Q9UJJ7	RPUSD1	2.96325655997326	1.6638492080027701e-09	No	No
Q9UJM3	ERRFI1	2.75808083911548	0.0047331508515622	No	No
Q9UK39	NOCT	2.52833347556617	2.39277879667129e-19	No	No
Q9UK76	JPT1	2.55885373669037	8.43420499643663e-12	No	No
Q9UKT4	FBXO5	5.89122730881769	0.0001359682725454	No	No
Q9UKU6	TRHDE	13.7305984753306	1.50280543266886e-14	No	No
Q9UKZ4	TENM1	8.0815060395896	1.45512586152558e-14	No	No
Q9UL40	ZNF346	3.40732450243551	1.38780387786212e-06	No	No
Q9ULI3	HEG1	2.95764493848478	3.70967583792023e-21	No	No
Q9ULP0	NDRG4	7.12511524324894	1.03892208505598e-19	No	No
Q9UM82	SPATA2	4.68578958540262	8.17722430582094e-12	No	No
Q9UMR2	DDX19B	2.41891417444662	1.08193349260183e-16	No	No
Q9UN66	PCDHB8	2.4017590746872	0.0032729386756428	No	No
Q9UN67	PCDHB10	2.7880372790996	3.0346749547596603e-09	No	No
Q9UN72	PCDHA7	4.08774774721272	2.35641836750743e-07	No	No
Q9UN81	L1RE1	9.31774713704631	3.1539964904874804e-15	No	No
Q9UNA0	ADAMTS5	2.49846636729994	0.0009400249934357	No	No
Q9UNF0	PACSIN2	2.32808847803086	2.59187920136621e-22	No	No
Q9UNN8	PROCR	11.40451684808	2.2544343456499e-27	No	No
Q9UNZ2	NSFL1C	2.82845106092268	6.423869205257149e-12	No	No
Q9UPM9	B9D1	2.3899276601209	1.26352216143866e-06	No	No
Q9UPQ9	TNRC6B	4.86468137945182	3.40816510940296e-20	No	No
Q9UPU7	TBC1D2B	2.93969670475677	4.72713856510086e-08	No	No
Q9UPY6	WASF3	4.5187251353446	6.83790019520829e-24	No	No
Q9Y221	NIP7	3.20122742754748	3.9389576422175798e-16	No	No
Q9Y224	RTRAF	2.52142062878712	3.23369454108368e-19	No	No
Q9Y233	PDE10A	6.6115758821227	9.48269320794379e-12	No	No
Q9Y2G2	CARD8	2.83314740225889	0.0015553703822519	No	No
Q9Y2X8	UBE2D4	2.57255752544879	1.04427545965229e-13	No	No
Q9Y2Y6	TMEM98	5.97718660220442	2.3597648944955e-18	No	No
Q9Y3B4	SF3B6	3.85555247535243	1.11098591756769e-15	No	No
Q9Y3C7	MED31	4.42545163996	9.39151140815677e-10	No	No
Q9Y3Q0	NAALAD2	8.38109640382862	8.72897528358423e-30	No	No
Q9Y3T6	R3HCC1	6.75057535459306	2.13836419805261e-16	No	No
Q9Y3X0	CCDC9	6.54156880818404	1.0440270284139201e-23	No	No
Q9Y3Y2	CHTOP	5.75620474518112	3.24630788977505e-16	No	No
Q9Y446	PKP3	3.0712687026405	1.94426532209498e-10	No	No
Q9Y4J8	DTNA	3.51668624090336	4.16360429258624e-14	No	No
Q9Y4K1	CRYBG1	10.3580915718594	2.51604174932366e-20	No	No
Q9Y4L5	RNF115	4.29188613236139	5.31329399306616e-12	No	No
Q9Y508	RNF114	2.70802235166203	3.3186904368812e-11	No	No
Q9Y520	PRRC2C	2.39188786220679	1.26433598018005e-14	No	No
Q9Y530	OARD1	3.18863176228135	0.0021786684898751	No	No
Q9Y576	ASB1	2.30389015393015	0.0007256932265535	No	No
Q9Y580	RBM7	2.62683116640819	0.0066746283050125	No	No
Q9Y5E1	PCDHB9	6.68471088407467	3.37068099954757e-24	No	No
Q9Y5E5	PCDHB4	6.17364969836306	1.52632871031626e-23	No	No
Q9Y5E6	PCDHB3	6.31750402227361	5.27365496001174e-19	No	No
Q9Y5E8	PCDHB15	8.29159359431739	2.03981644513756e-19	No	No
Q9Y5E9	PCDHB14	3.32658912382078	6.85153693886747e-13	No	No
Q9Y5F0	PCDHB13	4.89056215972463	4.235456057868e-16	No	No
Q9Y5F1	PCDHB12	4.04841249662467	9.19696405152445e-12	No	No
Q9Y5F8	PCDHGB7	5.20833819754219	8.254831710135699e-17	No	No
Q9Y5G1	PCDHGB3	11.146131981337	5.84804108968551e-24	No	No
Q9Y5G2	PCDHGB2	5.79569225737085	8.6159523462401e-23	No	No
Q9Y5G4	PCDHGA9	9.70880774986498	1.71710627284089e-26	No	No
Q9Y5G7	PCDHGA6	3.61388694829113	6.00646385921367e-07	No	No
Q9Y5G9	PCDHGA4	4.75740923339227	1.91070312717943e-12	No	No
Q9Y5H3	PCDHGA10	5.28490451354891	1.02840618195986e-18	No	No
Q9Y5K6	CD2AP	2.35623753413113	1.9671995558615e-17	No	No
Q9Y5V0	ZNF706	2.78709728386816	2.44896225040376e-13	No	No
Q9Y5V3	MAGED1	2.61211031755278	5.98626959818247e-14	No	No
Q9Y606	PUS1	2.30279145433286	2.40779428573316e-14	No	No
Q9Y676	MRPS18B	5.68645044442213	3.287596980091e-10	No	No
Q9Y689	ARL5A	2.90549376085188	1.21559524345115e-16	No	No
Q9Y6B2	EID1	6.86319232293105	7.991498433206661e-25	No	No
Q9Y6H8	GJA3	3.89727458033929	4.5480060410626e-17	No	No
Q9Y6I3	EPN1	2.65119600655805	1.7866798542025002e-22	No	No
Q9Y6M1	IGF2BP2	4.90626622878982	7.49398020786254e-31	No	No
Q9Y6W6	DUSP10	3.93369341223012	3.7300514094036e-07	No	No
A0A024RBG1	NUDT4B	-4.59721824489451	2.25174377898834e-05	No	No
A0AVF1	IFT56	-3.26736117090027	4.05165518231023e-07	No	No
A0FGR8	ESYT2	-2.89143292862508	2.10267504418045e-21	No	No
A1IGU5	ARHGEF37	-5.15283921833048	1.4754366329624098e-11	No	No
A1L0T0	ILVBL	-2.39174917243004	6.56994231182668e-07	No	No
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q4V321;Q4V326;Q13069;Q13070	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE4;GAGE5;GAGE6;GAGE7	-10.2039887897731	3.48475515839907e-39	No	No
A1L4H1	SSC5D	-5.09032673740739	0.0001035264985412	No	No
A2RRP1	NBAS	-3.78307525219074	1.87101030154634e-11	No	No
A3KN83	SBNO1	-2.93770016622975	0.0017059951577804	No	No
A4D126	CRPPA	-2.38065679926751	3.23397366798342e-08	No	No
A4D1U4	DENND11	-2.61602488615662	2.63540196076754e-10	No	No
A4D2B0	MBLAC1	-2.91621484487107	4.37876715420269e-06	No	No
A5PLL7	PEDS1	-6.4445028421672	4.90082483644054e-06	No	No
A6NCL7	ANKRD33B	-3.24312510002898	5.82261195596571e-07	No	No
A6NCS6	C2orf72	-4.97129104532588	2.64566271252774e-13	No	No
A6NE02	BTBD17	-3.42038488177327	0.0006469713777923	No	No
A6NFI3	ZNF316	-2.96545364240255	8.86640922694342e-06	No	No
A6NFQ2	TCAF2	-3.71825873624683	5.80028343430853e-09	No	No
A8CG34	POM121C	-3.89993409672807	5.04044426125384e-06	No	No
A8MWY0	ELAPOR2	-3.18237402523102	5.49971352412725e-16	No	No
B0FP48;E5RIL1	UPK3BL1;UPK3BL2	-3.24411590837997	2.76705918655715e-07	No	No
B2RTY4	MYO9A	-2.91441506570655	0.0025537150245003	No	No
