Protein_Group	Genes	TaggedPOI_Treatment1_vs_WT_Treatment1_logFC	TaggedPOI_Treatment1_vs_WT_Treatment1_pval	Removed?	Contaminant?
CONT_P01044	KNG1	4.65571899538874	0.0064854704496021	No	No
CONT_P02976	spa	4.11185042419945	4.35800378209659e-07	No	No
CONT_Q01546	KRT76	3.28466778413377	1.68840775935051e-05	No	No
D6VTK4	STE2	10.8213045598785	1.4869038234647502e-17	No	No
P07249	ARG80	3.58004843735738	0.0062594145542685	No	No
P0CY11	HMRA1	4.27908891457646	2.54254538217554e-11	No	No
P10355	PET122	3.15996874219764	0.0011932490894588	No	No
P12630	BAR1	7.68746138256412	1.0862704604116801e-10	No	No
P12689	REV1	3.56024397911144	0.0038512638450552	No	No
P12866	STE6	11.4198022422687	2.20774057238569e-09	No	No
P13090	ATR1	4.56208280775128	0.0001316002041711	No	No
P17122	SPO16	3.28680659061702	0.0008233507126219	No	No
P24870	CLB3	4.15517959972785	0.0002647658897483	No	No
P25341	KIN82	3.7713398118655	0.0024584185239748	No	No
P25390	SSK22	3.18167308100726	0.0041184303144363	No	No
P26309	CDC20	3.65483394074516	5.46659116780129e-06	No	No
P29295	HRR25	3.69682456481925	6.91198534697744e-14	No	No
P29461	PTP2	3.58555408798938	0.008992958038385	No	No
P30620	PSO2	3.64550265514876	0.0004940595764087	No	No
P32383	PLC1	3.05441787729065	0.0018267400734353	No	No
P32448	ASF2	3.05191047484514	0.0009998793535515	No	No
P32526	KAR9	4.71399100850713	0.0015989204448701	No	No
P32781	AGA2	6.69643717537625	2.35381800668534e-11	No	No
P32791	FRE1	3.25623135867452	2.75452888727458e-05	No	No
P33304	AFR1	3.55441343777681	0.0010022576970959	No	No
P35209	SPT21	3.04006311040404	0.0003124146970345	No	No
P36025	YOR062C	3.65779059257208	0.000370155669749	No	No
P36093	PHD1	4.65592490747716	0.0014435237778288	No	No
P36155	YKR075C	3.46207978484986	4.52488326960401e-07	No	No
P36168	ESL2	5.03591904040018	3.34040848570084e-14	No	No
P38204	RRN10	4.7533037079027	7.72828650511881e-05	No	No
P38280	YSW1	3.25594227660662	0.0016029887838951	No	No
P38324	SLX1	4.35006413778638	0.0038960618528775	No	No
P38740	YHL026C	3.76270231873971	3.48096141880465e-07	No	No
P38742	NPR3	9.24712325574912	1.61211552963836e-16	No	No
P38994	MSS4	3.12819843432339	1.04792545283012e-09	No	No
P39923	NPR2	8.96796656262019	1.2027085595322799e-16	No	No
P39997	NPP2	3.95146366583152	1.45320664702726e-05	No	No
P40077	DSE1	3.24341178651709	7.76967103132734e-05	No	No
P40085	EMP65	3.29850091047586	0.0001929289796999	No	No
P40441	HXT12	3.65890391949241	4.4820550940696594e-12	No	No
P40455	YIL152W	3.32796185097402	0.0088391270811385	No	No
P40456	ESL1	4.62700119743128	1.01531134052236e-13	No	No
P41808	SMK1	3.56431669660169	0.0081562190694368	No	No
P41809	HKR1	4.82990459287873	0.0023530275944577	No	No
P43602	ROG3	3.52098596177124	0.0003551048337603	No	No
P43605	ECO1	3.33492569355203	0.0001237744689797	No	No
P46993	ASG7	4.3512732401841	2.32820770129162e-11	No	No
P47043	ZAP1	3.26909961335683	0.0012553519619878	No	No
P47107	YJR039W	3.8622190978333	0.007550766193036	No	No
P47180	PGU1	6.01083701583153	8.67166080061303e-07	No	No
P50091	PEX21	8.3579375815355	2.27021070889834e-10	No	No
P53011	SEH1	8.6783621833859	3.07277849544781e-14	No	No
P53286	BTN2	3.6699621525653	0.0003827656663725	No	No
P53874	UBP10	5.40838594679497	2.26368521510748e-14	No	No
Q01766	HAL1	4.6949308540105	0.0002980174785719	No	No
Q03002	FRK1	3.61730835680802	8.4836930762544e-06	No	No
Q03018	ESP1	3.12046662984484	0.0021757942560117	No	No
Q03897	MTC5	9.40959781919772	2.30220322166542e-16	No	No
Q04005	ATC1	3.57576919082874	0.0023802744828271	No	No
Q04082	GPI19	3.79952066265452	3.4263725583138104e-09	No	No
Q04383	PLM2	3.53008296468287	0.0036734876552739	No	No
Q04491	SEC13	6.43105004047709	1.15354228116494e-16	No	No
Q05164	HPF1	3.95241129061257	2.44653202901908e-08	No	No
Q06098	ISR1	3.10003187269011	7.47817479111619e-05	No	No
Q06163	EST2	5.569570154996	0.0001966563013549	No	No
Q06164	MMS22	5.61211603587315	0.000246040054952	No	No
Q06244	PUS5	3.02665045989595	0.000539683837871	No	No
Q08281	RTC1	9.60075592535783	1.12750739422638e-16	No	No
Q08490	SGO1	4.73839529167144	1.2717929275966e-07	No	No
Q08964	YPL216W	3.68619819658258	0.0080968342444098	No	No
Q12110	YLR049C	5.0507499644428	1.17617114057237e-07	No	No
Q12167	RRG1	3.05711709281299	2.68210823883068e-07	No	No
Q12248	DAD1	4.67595289262109	0.0019204133069438	No	No
Q12468	RRI1	3.75696100120101	0.0043610948811644	No	No
Q12507	SFG1	5.36282704399484	0.0023608989968202	No	No
Q12512	ZPS1	4.75534002999321	2.42788491763279e-10	No	No
Q12748	CTF3	3.18984161620932	0.0061794871917867	No	No
Q8TGU7	YBR126W-A	3.78274095629555	6.44753472186354e-05	No	No
Q99299	AIM44	3.13305043724167	0.0045309809664538	No	No
SEA1	SEA1	9.38807104632863	1.6563914062198302e-15	No	No
SEA4	SEA4	9.84346742584307	5.67036930920248e-16	No	No
