Protein_Group,Genes,Protein_Names,Species,TaggedPOI_Treatment1_Avg_Peptide_Count,TaggedPOI_Treatment2_Avg_Peptide_Count,WT_Treatment1_Avg_Peptide_Count,WT_Treatment2_Avg_Peptide_Count,TaggedPOI_Treatment1_quantified_samples,TaggedPOI_Treatment2_quantified_samples,WT_Treatment1_quantified_samples,WT_Treatment2_quantified_samples,Intensity_Run1,Intensity_Run2,Intensity_Run3,Intensity_Run4,Intensity_Run5,Intensity_Run6,Intensity_Run7,Intensity_Run8,Intensity_Run10,Intensity_Run11,Intensity_Run12,Intensity_Run9,Intensity_Run13,Intensity_Run14,Intensity_Run15,Intensity_Run16,Intensity_Run1_log_transformed,Intensity_Run2_log_transformed,Intensity_Run3_log_transformed,Intensity_Run4_log_transformed,Intensity_Run5_log_transformed,Intensity_Run6_log_transformed,Intensity_Run7_log_transformed,Intensity_Run8_log_transformed,Intensity_Run10_log_transformed,Intensity_Run11_log_transformed,Intensity_Run12_log_transformed,Intensity_Run9_log_transformed,Intensity_Run13_log_transformed,Intensity_Run14_log_transformed,Intensity_Run15_log_transformed,Intensity_Run16_log_transformed,Intensity_Run1_normed,Intensity_Run2_normed,Intensity_Run3_normed,Intensity_Run4_normed,Intensity_Run5_normed,Intensity_Run6_normed,Intensity_Run7_normed,Intensity_Run8_normed,Intensity_Run10_normed,Intensity_Run11_normed,Intensity_Run12_normed,Intensity_Run9_normed,Intensity_Run13_normed,Intensity_Run14_normed,Intensity_Run15_normed,Intensity_Run16_normed,Intensity_Run1_with_imputed,Intensity_Run2_with_imputed,Intensity_Run3_with_imputed,Intensity_Run4_with_imputed,Intensity_Run5_with_imputed,Intensity_Run6_with_imputed,Intensity_Run7_with_imputed,Intensity_Run8_with_imputed,Intensity_Run10_with_imputed,Intensity_Run11_with_imputed,Intensity_Run12_with_imputed,Intensity_Run9_with_imputed,Intensity_Run13_with_imputed,Intensity_Run14_with_imputed,Intensity_Run15_with_imputed,Intensity_Run16_with_imputed,TaggedPOI_Treatment1_vs_WT_Treatment1_logFC,TaggedPOI_Treatment1_vs_WT_Treatment1_pval,TaggedPOI_Treatment2_vs_WT_Treatment2_logFC,TaggedPOI_Treatment2_vs_WT_Treatment2_pval
P12866,STE6,STE6_YEAST,YEAST,48.25,2.5,0.75,0.0,4,4,3,0,60219572.7906494,111489274.887695,85296965.9227295,92900489.6713867,173696.329833984,103210.859375,301545.951171875,328589.30078125,0.0,49190.265625,1909.56274414062,97188.0078125,0.0,0.0,0.0,0.0,25.8437291375515,26.7323296906745,26.3459910889194,26.4691828651749,17.4062077449719,16.6552352469639,18.202018338839,18.3259259797974,,15.5860852251135,10.8990266092695,16.5684906878579,,,,,26.209154129646,26.4708722823526,26.6051361606237,25.8996709482944,17.531103790959,16.3453877421956,18.0232830027492,18.4602723831211,,15.1916660746985,11.4165284497949,16.5216093610461,,,,,26.209154129646,26.4708722823526,26.6051361606237,25.8996709482944,17.531103790959,16.3453877421956,18.0232830027492,18.4602723831211,16.3758206663024,15.1916660746985,11.4165284497949,16.5216093610461,14.2184616937022,14.8594789409322,14.6574720178616,14.4459526690514,11.4198022422687,2.20774057238569e-09,3.04467039936936,0.0030349818859846
P13090,ATR1,ATR1_YEAST,YEAST,3.5,0.0,2.0,0.25,4,0,4,1,615244.82421875,1887017.6875,1403792.72558594,1307301.8046875,0.0,0.0,0.0,0.0,569093.130859375,46867.4716796875,30166.650390625,7449.3203125,0.0,0.0,0.0,7820.15869140625,19.2308010904191,20.847676515076,20.4208985022282,20.3181608105817,,,,,19.1183052402104,15.5162993486023,14.8806668926361,12.8628930825162,,,,12.9329821685351,19.6623523337393,20.444157732787,20.6916962506859,19.4754805215905,,,,,18.6600120350818,15.1608154273139,15.3619567266016,12.8425714188003,,,,13.3695833370821,19.6623523337393,20.444157732787,20.6916962506859,19.4754805215905,13.8380713133777,14.0081685353205,13.6240414446295,13.8451489386084,18.6600120350818,15.1608154273139,15.3619567266016,12.8425714188003,13.2967760793105,14.8207410755106,15.2065375999846,13.3695833370821,4.56208280775128,0.0001316002041711,-0.344551964987932,1.0
P17122,SPO16,SPO16_YEAST,YEAST,1.5,0.0,0.75,0.75,4,0,3,3,41689.078125,524967.3046875,34429.80078125,231864.3125,0.0,0.0,0.0,0.0,13360.6396484375,12997.0185546875,0.0,13639.2841796875,0.0,15060.677734375,24646.76171875,139954.140625,15.3473818495802,19.0018680480079,15.0713702127159,17.8229212584512,,,,,13.7057014588837,13.6658930943664,,13.7354803100175,,13.8784990726683,14.5891104862257,17.0945946449545,15.8181870108775,18.5692139125693,15.3512205841973,17.0134430411855,,,,,13.2742361330722,13.2456062264503,,13.6700139702935,,13.354315134647,14.1200128775096,17.5542410771548,15.8181870108775,18.5692139125693,15.3512205841973,17.0134430411855,13.8380713133777,14.0081685353205,13.6240414446295,13.8451489386084,13.2742361330722,13.2456062264503,13.4149818565454,13.6700139702935,15.5176575178086,13.354315134647,14.1200128775096,17.5542410771548,3.28680659061702,0.0008233507126219,-1.30769909379601,0.113728294233137
P23250,RPI1,RPI1_YEAST,YEAST,7.5,4.25,6.5,0.5,4,4,4,2,5738929.234375,6047238.328125,5666768.734375,17519926.8515625,1017929.96484375,2040440.2421875,685078.4375,1239124.70507812,3250777.93359375,3661324.0546875,5132867.89453125,3692361.296875,0.0,153710.34375,0.0,102793.28125,22.4523501542459,22.5278450075874,22.4340948953682,24.0624934156855,19.9572068745017,20.9604490287258,19.3859096521652,20.2408899564349,21.6323535756614,21.8039340379682,22.2913336994699,21.8161122966598,,17.2298547271344,,16.6493864449601,22.8892031039638,22.2138561261727,22.6929407764549,23.3406718575543,20.0650864551583,20.6861018667724,19.2897395096836,20.2470656996382,21.2245569610555,21.6540828393395,22.6500893622558,21.9664844417029,,16.6887156002131,,17.1322874599051,22.8892031039638,22.2138561261727,22.6929407764549,23.3406718575543,20.0650864551583,20.6861018667724,19.2897395096836,20.2470656996382,21.2245569610555,21.6540828393395,22.6500893622558,21.9664844417029,16.9349542765788,16.6887156002131,16.8329129911694,17.1322874599051,0.910364564947997,0.016161823174162,3.17478080084648,1.68486057242689e-07
P24870,CLB3,CG23_YEAST,YEAST,5.5,0.0,2.25,0.25,4,0,4,1,504138.640869141,1216705.39233398,776899.156494141,1135454.58984375,0.0,0.0,0.0,0.0,42096.8518066406,445414.067871094,50551.9743652344,4913.572265625,0.0,150207.234375,0.0,0.0,18.9434610117117,20.2145484518607,19.5673678197009,20.1148385789205,,,,,15.3614247256018,18.764787599081,15.6254798188846,12.2625565589026,,17.1965947729454,,,19.3733861565106,19.7999315251708,19.8424976314834,19.2655018883731,,,,,14.9043815745315,18.4062935788719,16.1095710234637,12.2403526257595,,16.6498585406008,,,19.3733861565106,19.7999315251708,19.8424976314834,19.2655018883731,13.8380713133777,14.0081685353205,13.6240414446295,13.8451489386084,14.9043815745315,18.4062935788719,16.1095710234637,12.2403526257595,17.3158370383168,16.6498585406008,16.6153328445136,17.0298306457682,4.15517959972785,0.0002647658897483,-3.07385720931583,1.0
P25341,KIN82,KIN82_YEAST,YEAST,12.0,12.0,6.0,11.0,4,4,4,4,1418913.14404297,3376204.94595337,6508552.52661133,5099729.38427734,1386261.58032227,5257055.69433594,3900798.11547852,8069546.64892578,127131.419921875,101720.0546875,161130.157226562,2010983.89526367,212340.9921875,3202616.80419922,6752786.45123291,1167529.21191406,20.4363548497067,21.6869710520234,22.6339052993706,22.281989262228,20.4027680815083,22.3258235885247,21.8953379034122,22.9440561937915,16.9559611040208,16.6342446172102,17.2978670095085,20.9394700973542,17.6960233832066,21.610819758085,22.6870515040596,20.1550272163523,20.8863786476511,21.3280260060547,22.8920741006153,21.4919123600613,20.4866319082874,22.0908128732508,21.8931517524541,22.9010456346288,16.4721434638998,16.3623868200451,17.709557306343,20.9689442766325,17.9354350070296,21.1118262991448,22.2352963208233,20.6306587200681,20.8863786476511,21.3280260060547,22.8920741006153,21.4919123600613,20.4866319082874,22.0908128732508,21.8931517524541,22.9010456346288,16.4721434638998,16.3623868200451,17.709557306343,20.9689442766325,17.9354350070296,21.1118262991448,22.2352963208233,20.6306587200681,3.7713398118655,0.0024584185239748,1.36460645538885,0.203925308110258
P25390,SSK22,SSK22_YEAST,YEAST,13.25,0.25,4.75,1.25,4,1,4,3,285479.681884766,955500.764648438,245336.372436523,1883494.42114258,0.0,164754.5,0.0,0.0,77649.8025512695,392716.651123047,82400.2808227539,6380.05029296875,15097.3564453125,37395.875,182460.19140625,0.0,18.1230285444131,19.8658975021702,17.9044016114868,20.8449803293937,,17.3299583450663,,,16.2446946356666,18.5831292437764,16.3303616337165,12.6393520812432,13.8820083345885,15.1905915201101,17.4772222100708,,18.5545198107229,19.443122382346,18.1813917032496,19.9954618567554,,17.0158801780988,,,15.7815481249993,18.2394788240429,16.8006636348282,12.6261128451744,14.1303054290895,14.6621948394037,17.0042265534416,,18.5545198107229,19.443122382346,18.1813917032496,19.9954618567554,17.3776366168274,17.0158801780988,17.1819943232946,16.9300001460758,15.7815481249993,18.2394788240429,16.8006636348282,12.6261128451744,14.1303054290895,14.6621948394037,17.0042265534416,14.9203893633479,3.18167308100726,0.0041184303144363,1.9470987697535,1.0
P26309,CDC20,CDC20_YEAST,YEAST,13.5,0.25,6.25,1.75,4,1,4,3,1240880.03515625,4966739.99002075,2111323.68359375,6737164.29931641,0.0,63765.18359375,0.0,0.0,432943.047851562,248919.636962891,133855.557128906,219089.799804688,0.0,109601.892578125,14010.6225585938,8899.736328125,20.2429322157747,22.2438677926594,21.0097163421911,22.6837100521018,,15.9604812930846,,,18.7238177303678,17.9253205216762,17.0303175093878,17.741162792568,,16.7419131850482,13.7742334425445,13.1195468787477,20.6909366593364,21.8779761880578,21.2682777831244,21.8841251791367,,15.6357276605869,,,18.2403477174455,17.6498286678354,17.4442807851937,17.7675228762,,16.2250248505818,13.3130273366925,13.5714940085471,20.6909366593364,21.8779761880578,21.2682777831244,21.8841251791367,16.4057367074372,15.6357276605869,15.5434440838582,15.3170770334375,18.2403477174455,17.6498286678354,17.4442807851937,17.7675228762,14.2176592343364,16.2250248505818,13.3130273366925,13.5714940085471,3.65483394074516,5.46659116780129e-06,1.39369501379049,1.0
P29295,HRR25,HRR25_YEAST,YEAST,56.5,52.0,40.75,36.5,4,4,4,4,2575891253.16797,3544875469.99219,2867281347.57812,3684880911.82715,1130602041.83594,1345439235.59424,1130860821.34326,1161538776.51953,282281013.464844,268463762.164062,188698037.011719,221938573.115234,107104117.089844,142564523.784058,129083073.59375,90318944.3046875,31.2624245422265,31.7230878010617,31.4170363277454,31.7789708489667,30.0744440615618,30.3254300896421,30.0747742371483,30.1133901715067,28.0725568538755,28.0001521222649,27.4915041740447,27.7255851900671,26.6744386975525,27.0870397806539,26.9437245944199,26.4285252874428,31.6601187437793,31.4867492370849,31.6850550320296,31.2541569678097,30.0924211949853,30.2742890961161,30.0311373515226,30.0428379727294,27.6815196097778,27.8349120403058,27.887709714955,27.8946403563879,26.8282659572347,26.7990671027614,26.6495934752458,26.852654973871,31.6601187437793,31.4867492370849,31.6850550320296,31.2541569678097,30.0924211949853,30.2742890961161,30.0311373515226,30.0428379727294,27.6815196097778,27.8349120403058,27.887709714955,27.8946403563879,26.8282659572347,26.7990671027614,26.6495934752458,26.852654973871,3.69682456481925,6.91198534697744e-14,3.32777602656011,2.93815931315023e-13
P29461,PTP2,PTP2_YEAST,YEAST,19.25,11.75,10.75,10.5,4,4,4,4,30851924.2070312,92011366.7421875,19490107.3618164,132660269.003418,1023234.49707031,8944426.97851562,11267806.1584473,12245323.3598633,13601509.2558594,5344194.90087891,6962671.85791016,615365.040527344,24841875.4326172,1281241.78125,1037401.33398438,803921.990478516,24.8788571359969,26.4553087615727,24.2162387019563,26.9831611155316,19.9647053781338,23.092557628825,23.4257033143778,23.5457275355827,23.6972634094471,22.3495411926683,22.7312096019018,19.2310829595602,24.5662707578666,20.2891113195517,19.984542699287,19.6166959890126,25.2485476812483,26.1962238176637,24.4738930762185,26.390520921958,20.0446396669945,22.8747720380163,23.434914261496,23.5048966351416,23.2935688160883,22.2018493645681,23.091115960751,19.3804350037234,24.8021553334634,19.8086018170402,19.5558465926631,20.0931068245956,25.2485476812483,26.1962238176637,24.4738930762185,26.390520921958,20.0446396669945,22.8747720380163,23.434914261496,23.5048966351416,23.2935688160883,22.2018493645681,23.091115960751,19.3804350037234,24.8021553334634,19.8086018170402,19.5558465926631,20.0931068245956,3.58555408798938,0.008992958038385,1.39987800847155,0.256459132728511
P30620,PSO2,PSO2_YEAST,YEAST,13.0,5.25,6.75,3.25,4,4,4,4,1611558.92114258,2346608.52612305,8752088.14007568,12169336.4036865,205433.11328125,1431275.88916016,239075.17578125,172204.76171875,593154.337890625,1401325.76068115,136793.075683594,132805.969726562,33343.314453125,53944.91015625,228174.115722656,36825.4306640625,20.620025505898,21.1621457530992,23.0611958365463,23.536747163963,17.6483092194633,20.4488703584815,17.8671048109415,17.3937655103948,19.1780480151924,20.4183609417157,17.0616356788582,17.0189604727883,15.025109900413,15.7191992236233,17.7997756147198,15.1684147768615,21.0708337721106,20.8151548060353,23.3189179403581,22.7633041897923,17.7673704503046,20.1461558880981,17.7022001781687,17.5017512061168,18.6941514623746,20.1624297206131,17.4642735391392,17.0653453655743,15.2808664395822,15.1870426947703,17.3212873196559,15.6380530581767,21.0708337721106,20.8151548060353,23.3189179403581,22.7633041897923,17.7673704503046,20.1461558880981,17.7022001781687,17.5017512061168,18.6941514623746,20.1624297206131,17.4642735391392,17.0653453655743,15.2808664395822,15.1870426947703,17.3212873196559,15.6380530581767,3.64550265514876,0.0004940595764087,2.42255705262576,0.0096658791045803
P31111,ZIP1,ZIP1_YEAST,YEAST,3.75,7.0,1.75,1.75,4,4,4,4,9992.78869628906,5232271.38378906,179132.955078125,37092.2470703125,1031045.45788574,1558464.9362793,161712.598693848,410691.195800781,27074.4409179688,9730.7578125,20314.7719726562,28884.5673828125,57989.3364257812,4733.7734375,3447.0224609375,5533.28125,13.2866716330372,22.3190059407972,17.4506712486907,15.1788300493585,19.9756765105856,20.5716942656253,17.3030725550115,18.6476944942868,14.7246439263137,13.2483364483286,14.3102415503816,14.8180112664953,15.8235000090991,12.2087749437517,11.751134984057,12.4339195407522,13.7532904722575,21.8862420040174,17.730062841626,14.3633716009197,20.089405705038,20.2805687101938,17.1629443024579,18.7129547250867,14.2846413356983,12.8496483975365,14.8315310724064,14.7681362274718,16.0488609884049,11.7094630036841,11.3089440524424,12.8681294823521,13.7532904722575,21.8862420040174,17.730062841626,14.3633716009197,20.089405705038,20.2805687101938,17.1629443024579,18.7129547250867,14.2846413356983,12.8496483975365,14.8315310724064,14.7681362274718,16.0488609884049,11.7094630036841,11.3089440524424,12.8681294823521,2.74975247142687,0.0921822340754443,6.0776189789732,0.0013278928107205
