Protein_Group,Genes,Protein_Names,Species,TaggedPOI_Treatment1_Avg_Peptide_Count,TaggedPOI_Treatment2_Avg_Peptide_Count,WT_Treatment1_Avg_Peptide_Count,WT_Treatment2_Avg_Peptide_Count,TaggedPOI_Treatment1_quantified_samples,TaggedPOI_Treatment2_quantified_samples,WT_Treatment1_quantified_samples,WT_Treatment2_quantified_samples,Intensity_Run1,Intensity_Run2,Intensity_Run3,Intensity_Run4,Intensity_Run5,Intensity_Run6,Intensity_Run7,Intensity_Run8,Intensity_Run10,Intensity_Run11,Intensity_Run12,Intensity_Run9,Intensity_Run13,Intensity_Run14,Intensity_Run15,Intensity_Run16,Intensity_Run1_log_transformed,Intensity_Run2_log_transformed,Intensity_Run3_log_transformed,Intensity_Run4_log_transformed,Intensity_Run5_log_transformed,Intensity_Run6_log_transformed,Intensity_Run7_log_transformed,Intensity_Run8_log_transformed,Intensity_Run10_log_transformed,Intensity_Run11_log_transformed,Intensity_Run12_log_transformed,Intensity_Run9_log_transformed,Intensity_Run13_log_transformed,Intensity_Run14_log_transformed,Intensity_Run15_log_transformed,Intensity_Run16_log_transformed,Intensity_Run1_normed,Intensity_Run2_normed,Intensity_Run3_normed,Intensity_Run4_normed,Intensity_Run5_normed,Intensity_Run6_normed,Intensity_Run7_normed,Intensity_Run8_normed,Intensity_Run10_normed,Intensity_Run11_normed,Intensity_Run12_normed,Intensity_Run9_normed,Intensity_Run13_normed,Intensity_Run14_normed,Intensity_Run15_normed,Intensity_Run16_normed,Intensity_Run1_with_imputed,Intensity_Run2_with_imputed,Intensity_Run3_with_imputed,Intensity_Run4_with_imputed,Intensity_Run5_with_imputed,Intensity_Run6_with_imputed,Intensity_Run7_with_imputed,Intensity_Run8_with_imputed,Intensity_Run10_with_imputed,Intensity_Run11_with_imputed,Intensity_Run12_with_imputed,Intensity_Run9_with_imputed,Intensity_Run13_with_imputed,Intensity_Run14_with_imputed,Intensity_Run15_with_imputed,Intensity_Run16_with_imputed,TaggedPOI_Treatment1_vs_WT_Treatment1_logFC,TaggedPOI_Treatment1_vs_WT_Treatment1_pval,TaggedPOI_Treatment2_vs_WT_Treatment2_logFC,TaggedPOI_Treatment2_vs_WT_Treatment2_pval
CONT_P01044,KNG1,CONT_KNG1_BOVIN,BOVIN,7.75,4.75,6.75,6.0,4,4,4,4,63538498.1845703,1883372.53808594,46513189.6052246,74221156.84375,122589.997558594,271244.690917969,128963.573242188,94616.2392578125,616251.166992188,535300.155273438,293889.482910156,10079383.4458008,13392029.3666992,1700718.73168945,62844357.2626953,57400185.234375,25.9211276546835,20.8448869679433,25.4711365391388,26.1453271519047,16.903481744972,18.0492353743487,16.9766040972628,16.5298001982734,19.2331589479553,19.0299885455694,18.1649142062575,23.2649040563341,23.6748712608284,20.6977131342234,25.9052798764056,25.7745520567969,26.3094456902897,20.5785561777745,25.7320691898776,25.5102881831544,17.033420900952,17.7351991552178,16.7890990904431,16.6811439636116,18.7622878605928,18.8251208915727,18.5429183800962,23.3771561272796,23.8359199909014,20.3507853742015,25.6050784357387,26.2473025758867,26.3094456902897,20.5785561777745,25.7320691898776,25.5102881831544,17.033420900952,17.7351991552178,16.7890990904431,16.6811439636116,18.7622878605928,18.8251208915727,18.5429183800962,23.3771561272796,23.8359199909014,20.3507853742015,25.6050784357387,26.2473025758867,4.65571899538874,0.0064854704496021,-6.95005581662598,0.0002993104445405
CONT_P02976,spa,CONT_SPA_STAA8,STAA8,1.5,1.75,0.0,0.0,4,4,0,0,1147296.3125,519809.53125,420617.53125,510345.78125,593187.796875,958379.609375,729768.4375,207621.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1298066140046,18.987623561808,18.6821494569847,18.9611155408502,19.1781293932526,19.870237687899,19.4770792301182,17.6635962138818,,,,,,,,,20.5612467446452,18.5649170769557,18.9591289928983,18.1115724206733,19.2922890148554,19.5777579343555,19.3340355368545,17.7334279907953,,,,,,,,,20.5612467446452,18.5649170769557,18.9591289928983,18.1115724206733,19.2922890148554,19.5777579343555,19.3340355368545,17.7334279907953,14.8395491259744,15.0685236178888,15.0791597360971,14.7622310584144,14.2184616937022,14.8594789409322,14.6574720178616,14.4459526690514,4.11185042419945,4.35800378209659e-07,4.43903628882828,1.72311735076099e-07
CONT_Q01546,KRT76,CONT_K22O_HUMAN,HUMAN,1.25,2.5,0.0,1.0,4,4,0,1,286082.0625,943341.0,166305.453125,285267.34375,165906.125,241556.421875,905059.541992188,169130.1875,0.0,0.0,0.0,0.0,0.0,383907.289428711,0.0,0.0,18.1260695171746,19.8474198466959,17.3434759495407,18.1219550769243,17.3400076238048,17.8820006823468,19.7876531816726,17.3677746591383,,,,,,18.5503984280127,,,18.5686898443959,19.4171691207964,17.6207831549864,17.281492554731,17.4609603931761,17.5764533377011,19.6172172551699,17.4861404153261,,,,,,18.0069515668519,,,18.5686898443959,19.4171691207964,17.6207831549864,17.281492554731,17.4609603931761,17.5764533377011,19.6172172551699,17.4861404153261,14.8395491259744,15.0685236178888,15.0791597360971,14.7622310584144,17.0971438226709,18.0069515668519,16.9521631144988,17.9701425813796,3.28466778413377,1.68840775935051e-05,0.528592578993027,0.321393630637259
D6VTK4,STE2,STE2_YEAST,YEAST,12.0,0.25,0.0,0.0,4,1,0,0,47403786.4746094,87524573.84375,46884613.8203125,62200343.3164062,0.0,744042.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4984989661613,26.3831847964151,25.4826112136678,25.890419207582,,19.5050263537417,,,,,,,,,,,25.8660658369398,26.1236975984373,25.7402128360561,25.3047055064554,,19.2179693563445,,,,,,,,,,,25.8660658369398,26.1236975984373,25.7402128360561,25.3047055064554,19.4876513009206,19.2179693563445,18.7999157232162,19.0175719734536,14.8395491259744,15.0685236178888,15.0791597360971,14.7622310584144,14.2184616937022,14.8594789409322,14.6574720178616,14.4459526690514,10.8213045598785,1.4869038234647502e-17,4.58543575809684,1.0
P07249,ARG80,ARGR1_YEAST,YEAST,3.25,0.25,1.5,1.0,4,1,3,4,1243426.58886719,56831.013671875,48694.5673828125,2105599.71289062,0.0,808.066955566406,0.0,0.0,15803.8315429688,10950.8247070312,0.0,77430.669921875,1721.31213378906,2911.8408203125,2298.384765625,2437.29565429688,20.2458899035749,15.7943908279379,15.5714732063322,21.0057997667911,,9.65833102787749,,,13.9479867530089,13.4187519028865,,16.2406175037997,10.7492930165773,11.5077157754931,11.1664046200668,11.251065551364,20.6923173431893,15.3631763424173,15.8489090359741,20.1686149513942,,9.2935347925687,,,13.5046222606139,13.0258047396452,,16.1950145506322,10.9533832717387,11.0336166030849,10.7539098623429,11.6577562726033,20.6923173431893,15.3631763424173,15.8489090359741,20.1686149513942,11.7089842656653,9.2935347925687,11.6547310348473,11.6422921561696,13.5046222606139,13.0258047396452,15.027382372654,16.1950145506322,10.9533832717387,11.0336166030849,10.7539098623429,11.6577562726033,3.58004843735738,0.0062594145542685,-0.0247809401297214,0.982571342369618
P0CD91,AQY1,AQY1_YEAST,YEAST,1.0,2.0,1.0,0.5,4,4,3,2,54687.38671875,126585.5078125,49125.9296875,46703.5703125,391800.609375,338617.8125,301090.375,433915.625,68156.5859375,0.0,47243.1015625,218179.96875,0.0,21576.29296875,39223.63671875,0.0,15.738920502939,16.9497527211951,15.5841970895742,15.5112452223163,18.5797601158953,18.3692983405513,18.1998370643934,18.7270550119723,16.0565654502306,,15.5278160619381,17.7351591273742,,14.3971593956726,15.259435684403,,16.223411968102,16.5178072108051,15.8654375137034,14.7241236310996,18.6978695306397,18.0682212732138,18.0381752569973,18.8287830227981,15.5867855663163,,15.9817273249549,17.7316465517477,,13.8752623567222,14.7954234084,,16.223411968102,16.5178072108051,15.8654375137034,14.7241236310996,18.6978695306397,18.0682212732138,18.0381752569973,18.8287830227981,15.5867855663163,17.2896746517402,15.9817273249549,17.7316465517477,14.7784352013008,13.8752623567222,14.7954234084,13.9817393755905,-0.814763442762287,0.113229845973079,4.05054718540887,7.72621616037799e-07
P0CY11,HMRA1,HMRA1_YEAST,YEAST,3.75,1.75,0.0,0.0,4,4,0,0,456079.772949219,602298.89453125,706078.943359375,1049233.23925781,207041.25,166754.434082031,162003.833984375,110535.404296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7989266628019,19.2001200854153,19.4294699678851,20.0009039867221,17.659558707097,17.3473655983241,17.3056684307862,16.7541490107741,,,,,,,,,19.2293609878856,18.779699139991,19.7061346752395,19.1506243935644,17.7880766614228,17.0345001828438,17.120679834168,16.9006789067701,,,,,,,,,19.2293609878856,18.779699139991,19.7061346752395,19.1506243935644,17.7880766614228,17.0345001828438,17.120679834168,16.9006789067701,14.8395491259744,15.0685236178888,15.0791597360971,14.7622310584144,14.2184616937022,14.8594789409322,14.6574720178616,14.4459526690514,4.27908891457646,2.54254538217554e-11,2.66564256591432,1.30619574677382e-08
P10355,PET122,PT122_YEAST,YEAST,12.25,13.75,9.75,13.25,4,4,4,4,29324080.9550781,21081090.5664062,29037177.3398438,25311924.765625,63586480.3027344,49378690.3398438,43498002.0097656,47109645.5625,1912710.49414062,1534303.0625,1520896.9609375,14128469.1171875,27330323.7587891,34085494.1464844,25448790.6572266,2343150.00390625,24.8055825577227,24.329446166578,24.791397882155,24.5933138810335,25.9222167178721,25.557385236916,25.3744457994993,25.4895191418946,20.8671870947202,20.5491520479808,20.5364909847272,23.7521018158924,24.7039992145386,25.0226545625405,24.6010937643523,21.1600178850124,25.1931642174783,24.063624711136,25.0522276148847,23.9595196950914,25.9842807483938,25.4132948532532,25.3809992832192,25.4353089068943,20.442627198385,20.3885681377952,20.8927657991281,23.9047001344915,24.8696526121027,24.6704059915811,24.2977481968658,21.632397075326,25.1931642174783,24.063624711136,25.0522276148847,23.9595196950914,25.9842807483938,25.4132948532532,25.3809992832192,25.4353089068943,20.442627198385,20.3885681377952,20.8927657991281,23.9047001344915,24.8696526121027,24.6704059915811,24.2977481968658,21.632397075326,3.15996874219764,0.0011932490894588,1.68591997897124,0.0485320194587308
P12630,BAR1,BAR1_YEAST,YEAST,9.5,0.0,0.0,0.25,4,0,0,1,8254238.92480469,6477429.40332031,1615386.61279297,25896410.6367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132485.09375,0.0,0.0,0.0,22.9767037681055,22.6269899560654,20.62344805784,24.6262488117195,,,,,,,,,17.0154705217903,,,,23.4177700840779,22.306455966534,20.8818767578851,23.8932062601342,,,,,,,,,17.2893247228057,,,,23.4177700840779,22.306455966534,20.8818767578851,23.8932062601342,13.8380713133777,14.0081685353205,13.6240414446295,13.8451489386084,14.8395491259744,15.0685236178888,15.0791597360971,14.7622310584144,17.2893247228057,17.5702529026822,17.5109637215089,17.5821379676091,7.68746138256412,1.0862704604116801e-10,-3.65931227066746,1.0
P12689,REV1,REV1_YEAST,YEAST,32.75,4.75,15.5,3.5,4,4,4,4,30877336.9326172,37173249.8242188,26660242.140625,31488187.6571045,1266503.78637695,768217.204833984,155789.693359375,503365.62109375,5820227.67675781,4808798.92578125,1209959.48535156,1316067.61230469,65487.5070800781,488607.492675781,150019.640625,3236.56616210938,24.8800449945448,25.1477614837089,24.6681865479202,24.908307387917,20.2724199595045,19.551154748968,17.2492402660446,18.9412471609968,22.4726441591768,22.1972451722184,20.2065273099968,20.3278021780257,15.9989320924185,18.8983164615854,17.1947918656737,11.6602482805089,25.2619795516172,24.8856327148302,24.9279868937079,24.2851348557761,20.386858281098,19.2579516033312,17.1046389091281,19.0136645901039,22.0434813545179,22.0336715110703,20.5626585347109,20.4799466991865,16.2548259811045,18.366048419965,16.7161821024021,12.130013173384,25.2619795516172,24.8856327148302,24.9279868937079,24.2851348557761,20.386858281098,19.2579516033312,17.1046389091281,19.0136645901039,22.0434813545179,22.0336715110703,20.5626585347109,20.4799466991865,16.2548259811045,18.366048419965,16.7161821024021,12.130013173384,3.56024397911144,0.0038512638450552,3.0740109267014,0.0098435406427389
