Protein_Group	Genes	MYB5_vs_Control_logFC	MYB5_vs_Control_pval	Removed?	Contaminant?
Q8N0U4	FAM185A	2.05083183689512	0.0001064451648575	No	No
Q8N257	H2BC26	1.97209685809761	0.0065677812285869	No	No
Q8N392	ARHGAP18	1.62612353209548	0.0076871794407399	No	No
Q8N4H5	TOMM5	2.90768123921062	7.04824586303418e-07	No	No
Q8N9N8	EIF1AD	1.45884285198162	0.0017334619936157	No	No
Q8NCW5	NAXE	1.2077832953829	0.0032618319430088	No	No
Q8NDZ6	TMEM161B	2.6171636992468	0.0067959975776196	No	No
Q8NFY9	KBTBD8	1.45828482290895	0.0003575281029597	No	No
Q8NHS3	MFSD8	1.58794982441405	0.001278063134802	No	No
Q8TDQ7	GNPDA2	1.72788267684408	0.0035344769240108	No	No
Q8TF72	SHROOM3	1.22536564714052	0.0098310985856562	No	No
Q8WTV0	SCARB1	1.2594352923248	0.007496049280677	No	No
Q8WV93	AFG1L	2.38896944901015	0.007504297796925	No	No
Q92993	KAT5	1.29127738567829	0.0032124983858813	No	No
Q969S8	HDAC10	2.65663318761862	3.29394643794508e-05	No	No
Q969X0	RILPL2	1.18541165673357	0.0013807170215516	No	No
Q96A08	H2BC1	1.67545434489173	0.0095543618349117	No	No
Q96AJ9	VTI1A	3.41124260141388	0.004506491666286	No	No
Q96AP0	ACD	3.62451935630786	0.0007933113259248	No	No
Q96AT1	KIAA1143	1.19602612169552	0.0026645240578865	No	No
Q96DE0	NUDT16	1.58263169610921	0.005364226415397	No	No
Q96EN8	MOCOS	2.51184243577482	0.0099208871894127	No	No
Q96K19	RNF170	2.17609280630974	0.0099106256206862	No	No
Q96L93	KIF16B	3.66505221793244	0.0091425573033186	No	No
Q96PV6	LENG8	1.28896399458905	0.0028174202869136	No	No
Q96S38	RPS6KC1	2.99200441680004	0.006622550160903	No	No
Q96S90	LYSMD1	1.2746180100524	0.0010576660594057	No	No
Q96T23	RSF1	3.90173260387938	0.0017887332232893	No	No
Q99807	COQ7	4.60034882706104	0.0032897985855163	No	No
Q9BPX7	C7orf25	3.38583773264053	0.0012473186572877	No	No
Q9BS16	CENPK	1.79362480798197	0.0004897194445029	No	No
Q9BSI4	TINF2	5.12072423785445	4.89936300428033e-07	No	No
Q9BTX7	TTPAL	1.13751460486673	0.0005228528679949	No	No
Q9BW30	TPPP3	3.84346849912188	0.0003488833271757	No	No
Q9BZK3	NACA4P	3.09746996994287	2.45374434687204e-07	No	No
Q9H2E6	SEMA6A	1.3276511020081	0.0084844971180962	No	No
Q9H2K2	TNKS2	4.67609862090645	0.0004606708658225	No	No
Q9H3H1	TRIT1	2.47616970809864	0.0001922713631683	No	No
Q9H467	CUEDC2	1.33300716571935	0.0058342998206597	No	No
Q9H477	RBKS	3.14848545652134	2.81378024693025e-06	No	No
Q9H816	DCLRE1B	2.64204181266388	9.74601896282563e-05	No	No
Q9NQ86	TRIM36	1.58518014649846	0.0032116360635908	No	No
Q9NR46	SH3GLB2	2.23557471444889	0.0013679835766673	No	No
Q9NUX5	POT1	3.00941437821071	9.5679667192073e-05	No	No
Q9NV06	DCAF13	2.07929963017392	0.0041983204046463	No	No
Q9NWH9	SLTM	1.25705335614096	0.0034392778126285	No	No
Q9NWT6	HIF1AN	3.45261797479396	0.0021196657625925	No	No
Q9NWX6	THG1L	1.34120260488689	0.0006923161095353	No	No
Q9NX76	CMTM6	4.79302882241655	1.19161644185115e-06	No	No
Q9P2E3	ZNFX1	3.79596065979357	1.07419503687989e-07	No	No
Q9UHY7	ENOPH1	1.4002648875779	0.0054261455355222	No	No
Q9UJ71	CD207	4.73689677691559	0.0001803855931773	No	No
Q9UKT5	FBXO4	2.77422727766375	0.0003467440925563	No	No
Q9UNH6	SNX7	3.61435870529197	0.001975310763758	No	No
Q9UNX4	WDR3	1.55981281402418	0.0048272559965968	No	No
Q9Y251	HPSE	2.27211965608857	0.0045518481228489	No	No
Q9Y2S2	CRYL1	1.29906329414016	0.0006218442214169	No	No
Q9Y3E0	GOLT1B	2.89852843376464	0.0005612116041668	No	No
Q9Y3P9	RABGAP1	1.29562330013068	0.0063928356397163	No	No
Q9Y3Q8	TSC22D4	2.08522433769312	0.0072114903661165	No	No
Q9Y3T6	R3HCC1	1.43886098963701	0.0010555596256798	No	No
Q9Y680	FKBP7	5.91086405862726	0.0004293735557424	No	No
