"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0032228","GO:0032228",9,"GO:0051966",1.34337760560953,35,"regulation of synaptic transmission, GABAergic","regulation of synaptic transmission, glutamatergic",0.905586160108548,0.341777777777778,0.664
"GO:0051056","GO:0051056",16,"GO:0051056",1.31276087321249,295,"regulation of small GTPase mediated signal transduction","regulation of small GTPase mediated signal transduction",0.864578018995929,0.21,0
"GO:0051146","GO:0051146",17,"GO:0051146",1.20546225281953,305,"striated muscle cell differentiation","striated muscle cell differentiation",0.915101763907734,0.2677,0
"GO:0051155","GO:0051155",17,"GO:0051146",1.20546225281953,53,"positive regulation of striated muscle cell differentiation","striated muscle cell differentiation",0.854976933514247,0.2635,0.855
"GO:0002042","GO:0002042",5,"GO:0043534",1.20546225281953,96,"cell migration involved in sprouting angiogenesis","blood vessel endothelial cell migration",0.891919945725916,0.244428571428571,0.948
"GO:0030879","GO:0030879",19,"GO:0030879",1.16644340311031,133,"mammary gland development","mammary gland development",0.939405698778833,0.369,0
"GO:1900746","GO:1900746",20,"GO:1900746",1.16644340311031,29,"regulation of vascular endothelial growth factor signaling pathway","regulation of vascular endothelial growth factor signaling pathway",0.878884667571235,0.332636363636364,0
"GO:0097479","GO:0097479",18,"GO:0097479",1.16644340311031,54,"synaptic vesicle localization","synaptic vesicle localization",0.96372184531886,0.3184,0
"GO:0007411","GO:0007411",12,"GO:0097485",1.16644340311031,233,"axon guidance","neuron projection guidance",0.82427815468114,0.29125,0.995
"GO:0045216","GO:0045216",2,"GO:0050808",1.15891527327278,214,"cell-cell junction organization","synapse organization",0.915932157394844,0.330148148148148,0.827
"GO:0099601","GO:0099601",11,"GO:2000311",1.13102734962605,48,"regulation of neurotransmitter receptor activity","regulation of AMPA receptor activity",0.870075983717775,0.37,0.961
"GO:0014902","GO:0014902",17,"GO:0051146",1.13102734962605,130,"myotube differentiation","striated muscle cell differentiation",0.920993215739484,0.297,0.919
"GO:1902018","GO:1902018",6,"GO:0120034",1.13102734962605,20,"negative regulation of cilium assembly","positive regulation of plasma membrane bounded cell projection assembly",0.841107191316147,0.2894,0.803
"GO:0048812","GO:0048812",12,"GO:0097485",1.08079571893547,639,"neuron projection morphogenesis","neuron projection guidance",0.809408412483039,0.285,0.898
"GO:0043062","GO:0043062",21,"GO:0043062",1.05698104456359,322,"extracellular structure organization","extracellular structure organization",0.929127544097693,0.5015,0
"GO:0099177","GO:0099177",9,"GO:0051966",1.0310324997825,490,"regulation of trans-synaptic signaling","regulation of synaptic transmission, glutamatergic",0.882189959294437,0.240444444444444,0.823
"GO:0045229","GO:0045229",22,"GO:0045229",1.02775841020685,323,"external encapsulating structure organization","external encapsulating structure organization",0.929141112618725,1,0
"GO:1901222","GO:1901222",23,"GO:1901222",1.02775841020685,113,"regulation of non-canonical NF-kappaB signal transduction","regulation of non-canonical NF-kappaB signal transduction",0.876077340569878,0.3907,0
"GO:1902532","GO:1902532",23,"GO:1901222",1.01961111878387,586,"negative regulation of intracellular signal transduction","regulation of non-canonical NF-kappaB signal transduction",0.833436906377205,0.3481,0.624
"GO:0048667","GO:0048667",12,"GO:0097485",1.01961111878387,575,"cell morphogenesis involved in neuron differentiation","neuron projection guidance",0.876389416553596,0.31675,0.825
"GO:0098916","GO:0098916",9,"GO:0051966",1.01961111878387,750,"anterograde trans-synaptic signaling","regulation of synaptic transmission, glutamatergic",0.896997286295794,0.273888888888889,0.762
"GO:0050804","GO:0050804",9,"GO:0051966",1.0069733898806,489,"modulation of chemical synaptic transmission","regulation of synaptic transmission, glutamatergic",0.882225237449118,0.239666666666667,0.823
"GO:0090322","GO:0090322",24,"GO:0090322",1.00057121214993,31,"regulation of superoxide metabolic process","regulation of superoxide metabolic process",0.920621438263229,1,0
"GO:1904889","GO:1904889",2,"GO:0050808",1.00057121214993,15,"regulation of excitatory synapse assembly","synapse organization",0.818648575305292,0.327666666666667,0.719
"GO:0048662","GO:0048662",15,"GO:1904706",0.989234613803603,70,"negative regulation of smooth muscle cell proliferation","negative regulation of vascular associated smooth muscle cell proliferation",0.895690637720489,0.38,0.966
"GO:0007420","GO:0007420",4,"GO:0007399",0.971669953442301,723,"brain development","nervous system development",0.897407055630936,0.3828,0.763
