Protein_Group	Genes	24h_vs_0h_logFC	24h_vs_0h_pval	Removed?	Contaminant?
A0A0J9YWL9	TEX13C	1.89439760512145	0.000725971314898642	No	No
A0A2R8Y4M4	LOC122513141	0.635976965873123	0.00024526034861001	No	No
A0A6Q8PH20	CAST	0.860797082487128	4.23909634915447e-07	No	No
A1L3X0	ELOVL7	1.11741593230278	0.00592571816887754	No	No
A1XBS5	CIBAR1	0.592656000135957	0.000128590103982644	No	No
A5A3E0	POTEF	0.680926335485509	0.000791100837418366	No	No
A8MZ97	C2orf74	0.698973204453214	0.00880925010282827	No	No
C9J7I0	UMAD1	0.512929519317531	0.000322274775377004	No	No
C9JLW8	MCRIP1	0.488981297373599	0.000741089098429587	No	No
E7ETH6	ZNF587B	0.812944191194187	9.89003253820733e-05	No	No
H0Y354;Q6L9T8	FAM72C;FAM72D	1.66042862489789	0.000132901717800887	No	No
O00151	PDLIM1	0.5618025937654	7.19322950814135e-06	No	No
O00244	ATOX1	0.673094940604201	8.26964088760496e-06	No	No
O14511	NRG2	0.604906393987289	0.000667194881930191	No	No
O14595	CTDSP2	0.527496592374714	2.54390243077349e-09	No	No
O14682	ENC1	1.33774989507378	9.85793847304184e-10	No	No
O14745	NHERF1	0.668412972646578	3.27835956356166e-08	No	No
O14904	WNT9A	1.0009417328189	3.48887954651814e-05	No	No
O14910	LIN7A	0.481330184919184	5.43037934236005e-05	No	No
O15231	ZNF185	1.96062494657167	0.00432263533048869	No	No
O15405	TOX3	0.521071087936832	0.00725510526491204	No	No
O43194	GPR39	0.539707635303582	0.000914165031840879	No	No
O43278	SPINT1	1.84610384695762	0.00817234615199123	No	No
O43312	MTSS1	0.746944368329807	2.11540158604665e-08	No	No
O43541	SMAD6	0.493110757925091	0.0086938148775583	No	No
O43716	GATC	0.556288192436355	0.000121931788350093	No	No
O43768	ENSA	0.52216977239102	0.000243043928078402	No	No
O43916	CHST1	1.67851358934461	1.57142595869051e-13	No	No
O60229	KALRN	0.649211435858922	0.00821469974261112	No	No
O60258	FGF17	0.761188591631022	0.00389710793398902	No	No
O60462	NRP2	0.845963883168146	7.25794122333621e-15	No	No
O60613	SELENOF	0.580836779131392	3.08488974493555e-06	No	No
O60739	EIF1B	0.585260289976418	5.27322858700523e-05	No	No
O60828	PQBP1	0.485885541704874	5.73501765555671e-05	No	No
O60911	CTSV	0.887878797818693	0.00301038162765796	No	No
O60936	NOL3	0.638012536211985	1.98845629600116e-05	No	No
O75084	FZD7	0.582796377520889	3.12189693374628e-05	No	No
O75154	RAB11FIP3	0.69049740120408	2.37085069322823e-06	No	No
O75157	TSC22D2	0.691449713708064	3.37808107193169e-07	No	No
O75293	GADD45B	1.00601159505918	1.30245043106212e-09	No	No
O75339	CILP	0.732893750756418	0.00825677255169502	No	No
O75368	SH3BGRL	0.50397948033212	2.25632825181003e-06	No	No
O76024	WFS1	0.491426980159176	5.85728085281796e-15	No	No
O76081	RGS20	0.699359108314113	0.00027660103927074	No	No
O94889	KLHL18	0.500537320194582	0.00231860622084199	No	No
O95359	TACC2	1.0940273840426	1.28382533577617e-07	No	No
O95409	ZIC2	1.55584528177931	1.47299594436351e-15	No	No
O95415	BRI3	0.535706730791855	0.0088196866089498	No	No
O95450	ADAMTS2	0.800939607904269	3.86956394347071e-19	No	No
O95502	NPTXR	0.643692168041682	8.64186333397968e-06	No	No
O95817	BAG3	1.13139479566341	1.43188551715562e-10	No	No
O95857	TSPAN13	0.481714196953082	0.00152673856549611	No	No
P02654	APOC1	0.771497332983994	0.00786441500952961	No	No
P04629	NTRK1	0.852435534271638	1.18687298249155e-15	No	No
P06454	PTMA	1.01131251466541	1.03561475944888e-05	No	No
P06753	TPM3	0.858610790951811	6.74080074189676e-07	No	No
P07093	SERPINE2	0.632293715556269	9.1643398657884e-09	No	No
P07108	DBI	1.04027717197595	4.59705765052251e-05	No	No
P07949	RET	0.6121854963578	1.38373831215481e-16	No	No
P08138	NGFR	1.33721452486815	1.1478894626607e-07	No	No
P08253	MMP2	0.618480408175518	8.74254237572149e-16	No	No
P08590;P05976	MYL1;MYL3	0.84257616044551	0.00087968862931054	No	No
P09493	TPM1	0.623040976638269	8.04587402924866e-05	No	No
P09496	CLTA	0.626956928379354	1.61990626340173e-06	No	No
P09497	CLTB	0.770359469967978	2.01059773512577e-06	No	No
P09619	PDGFRB	0.57574354106389	1.99821415185916e-13	No	No
P09958	FURIN	0.675951750075342	6.46093105708796e-07	No	No
P0DKB5	TPBGL	0.605895077827734	0.00534676519265068	No	No
P0DMQ5	INAFM2	0.653553588994942	4.04978030431255e-05	No	No
P0DP23;P0DP24;P0DP25	CALM1;CALM2;CALM3	0.614904050649159	7.87545219177468e-05	No	No
P10276	RARA	0.80576607529354	2.58081248731975e-12	No	No
P11362	FGFR1	0.69188364785408	3.80801331428827e-13	No	No
P11473	VDR	0.659587671232622	0.000613693607687216	No	No
P11532	DMD	2.81972798461193	2.34174690782298e-18	No	No
P11831	SRF	0.633763565330362	0.000988507621534221	No	No
P12109	COL6A1	0.829101246720484	1.58844480968676e-21	No	No
P12110	COL6A2	0.476959700871046	9.92896453512924e-13	No	No
P12755	SKI	0.540356908398568	6.12680011683384e-10	No	No
P13726	F3	0.482681084956422	4.07242922858457e-08	No	No
P14778	IL1R1	0.656183079541915	6.54128914781724e-06	No	No
P14921	ETS1	0.581543559259419	1.69192028630552e-10	No	No
P15104	GLUL	1.46504666704233	4.81908303905119e-06	No	No
P15408	FOSL2	0.621782905379426	4.57297827427691e-06	No	No
P15692	VEGFA	0.756997296138756	3.53107163472042e-06	No	No
P17676	CEBPB	0.953262197390337	5.60284434902243e-09	No	No
P17931	LGALS3	0.532864533103147	0.00311142503019885	No	No
P18827	SDC1	1.02725194656081	2.43633897393569e-09	No	No
P20591	MX1	1.32789595790613	0.00542758507221523	No	No
P20810	CAST	1.11096008918895	1.99594637157565e-05	No	No
P21291	CSRP1	0.932495887606269	0.000896121733089206	No	No
P22692	IGFBP4	0.873119610918852	2.27038666093221e-06	No	No
P23490	LORICRIN	2.64996907901017	0.000454403611763596	No	No
P23769	GATA2	0.567779164779079	0.000152707765211612	No	No
P23975	SLC6A2	0.939947593508926	0.000388026791565936	No	No
P24385	CCND1	0.585592768487448	2.99736638385282e-15	No	No
P24864	CCNE1	0.496172583884302	0.00086704139851521	No	No
P25398	RPS12	0.535333151004036	2.23580034882698e-05	No	No
P26012	ITGB8	0.506970179421071	0.00135801374147102	No	No
P26651	ZFP36	0.641645399565469	0.00803640883465119	No	No
P27482	CALML3	0.782470388412577	6.39182336980518e-06	No	No
P28360	MSX1	1.05161775923127	6.04037276993673e-11	No	No
P28799	GRN	0.556497573743858	6.15830215410966e-05	No	No
P29034	S100A2	1.47974476347004	0.00738721342921523	No	No
P29317	EPHA2	0.592224649068328	1.81582691322231e-18	No	No
P29373	CRABP2	0.811174348679295	2.61250090800844e-11	No	No
P30281	CCND3	0.822248619703263	1.46242100231743e-07	No	No
P31277	HOXD11	1.17679350038508	6.76856614845575e-05	No	No
P31431	SDC4	0.802068925857995	2.16868249765465e-14	No	No
P31947	SFN	3.87274795460066	0.0060758030117973	No	No
P33241	LSP1	1.29175360992062	1.0165580015252e-06	No	No
P33763	S100A5	0.646334895710382	0.000293313645882836	No	No
P36021	SLC16A2	0.564773860132409	3.84693851200823e-06	No	No
P36402	TCF7	1.2318315518519	4.95428473747751e-10	No	No
P36406	TRIM23	0.724833230341275	0.00563116573638498	No	No
P36954	POLR2I	0.478038279427018	0.000133975346910356	No	No
P38936	CDKN1A	0.834528529962121	2.60015191525104e-07	No	No
P41236	PPP1R2	0.647019334921932	3.58686736732408e-05	No	No
P41271	NBL1	1.10637530339312	0.00138268443397699	No	No
P42357	HAL	2.72547044128942	0.00698133586082517	No	No
P46527	CDKN1B	1.25149111730576	1.13352266475473e-08	No	No
P46937	YAP1	0.675065110350253	8.21373149857336e-06	No	No
P47895	ALDH1A3	1.32876677999165	0.00531005335207685	No	No
P47974	ZFP36L2	0.479295551517925	2.97038309203454e-05	No	No
P48029	SLC6A8	0.950185900485391	1.12116289978512e-14	No	No
P48436	SOX9	0.72003554047096	1.37179913983224e-08	No	No
P48742	LHX1	0.890902839958386	9.46798743506683e-13	No	No
P49006	MARCKSL1	0.475406320125142	5.9971736785233e-05	No	No
P49703	ARL4D	1.14784068091187	4.65733990822525e-17	No	No
P49716	CEBPD	0.528423912082822	0.00121586511654347	No	No
P49796	RGS3	0.796058394777887	9.41494949101747e-17	No	No
P49918	CDKN1C	3.29222809359895	9.19390550126995e-21	No	No
P50053	KHK	1.87274932609867	3.80080332153202e-15	No	No
P50238	CRIP1	0.924365568024889	0.00040776365344814	No	No
P51511	MMP15	3.02806990903307	1.24349523248839e-25	No	No
P52799	EFNB2	0.931080051980739	1.01038643296021e-13	No	No
P54727	RAD23B	0.686563045231036	8.38691507375545e-08	No	No
P54753	EPHB3	2.85384530750775	1.57228899632368e-23	No	No
P55285	CDH6	0.882882547037877	9.08578853275636e-05	No	No
P56178;Q07687	DLX2;DLX5	1.44591700723727	3.20529659814587e-07	No	No
P56179	DLX6	1.21438764922418	1.58690387778688e-06	No	No
P56945	BCAR1	0.712566594229582	4.4236998071995e-18	No	No
P57059	SIK1	1.26595760190215	2.86224583060312e-08	No	No
P59190	RAB15	0.577541834357415	0.0055321186930428	No	No
P60002	ELOF1	0.614856595877985	0.00143863794728165	No	No
P61587	RND3	0.504613008113523	2.51310055858258e-05	No	No
P62072	TIMM10	0.559083118182635	1.90066048047268e-05	No	No
P62079	TSPAN5	0.684974251240206	0.000733428568000124	No	No
P62253	UBE2G1	0.565238505935447	5.40686251855934e-05	No	No
P62328	TMSB4X	0.762413072452411	0.00699199854040348	No	No
P62633	CNBP	1.07628471597789	8.04355647028251e-07	No	No
P62745	RHOB	0.638610988493202	2.24232008998442e-06	No	No
P63241	EIF5A	0.476491244371445	8.70495716829886e-07	No	No
P67936	TPM4	0.588358710466562	1.50635202369968e-05	No	No
P78314	SH3BP2	0.699788413486282	2.72332627422773e-15	No	No
P78324	SIRPA	0.761270212856193	1.64441264151542e-12	No	No
P78411	IRX5	0.636325710463275	0.00483454563336295	No	No
P78426	NKX6-1	0.564796985601664	0.000383741556423956	No	No
P78504	JAG1	0.666207520804821	8.22311110514431e-09	No	No
P98095	FBLN2	0.690844357268766	1.70627544787441e-16	No	No
P98172	EFNB1	1.10378894009791	8.29395053326102e-19	No	No
Q00169	PITPNA	0.537744388646523	2.32603698011865e-07	No	No
Q01469	FABP5	1.26166443709715	0.00420273676049757	No	No
Q01543	FLI1	0.475058477331753	0.000145088575981643	No	No
Q01973	ROR1	0.759703880941018	9.10688374973127e-11	No	No
Q02818	NUCB1	0.545629142986353	0.000139456325150578	No	No
Q03167	TGFBR3	0.612509448080154	2.53049813605131e-09	No	No
Q04323	UBXN1	0.545707753643892	2.97891371848202e-06	No	No
Q04726	TLE3	0.744133730487945	3.3137113004363e-18	No	No
Q04828	AKR1C1	0.604873642405956	7.47679538613799e-05	No	No
Q0D2I5	IFFO1	0.52056828270079	1.18210176733357e-07	No	No
