Protein_Group	Genes	AURKA_dox-_vs_IgG_dox-_logFC	AURKA_dox-_vs_IgG_dox-_pval	Removed?	Contaminant?
P00734	F2	5.13971929254453	5.81850861613481e-06	No	No
P00747	PLG	4.95063345975588	1.06830280468711e-10	No	No
P01011	SERPINA3	2.59910291602609	0.0007411551069324	No	No
P01031	C5	4.98290152074123	7.31797576820792e-08	No	No
P01034	CST3	2.37741607175689	1.61496899798722e-05	No	No
P02675	FGB	2.70994512299792	0.0075565983335941	No	No
P02748	C9	2.38567001312251	0.0049373884087787	No	No
P04040	CAT	4.6547588452288	2.3438941962178403e-15	No	No
P04062	GBA1	1.65052025132624	0.0066999969443678	No	No
P04114	APOB	2.63317723100577	1.2543982484165902e-09	No	No
P04196	HRG	6.856008610324	5.289096422971169e-11	No	No
P05546	SERPIND1	3.25959083569256	0.0002240350191878	No	No
P07357	C8A	5.18115355514979	4.842222495491121e-09	No	No
P07358	C8B	8.52058725455474	4.99617817327426e-19	No	No
P07996	THBS1	1.91057021611805	4.60376337968567e-05	No	No
P08048;P17010	ZFX;ZFY	3.33398726196376	1.251682684301e-14	No	No
P08579	SNRPB2	2.32535093331764	9.46217396376565e-06	No	No
P08842	STS	3.99050942086999	0.001718284299777	No	No
P09001	MRPL3	3.21334103340032	1.0937897708566299e-12	No	No
P09661	SNRPA1	2.63660782655687	3.13676551809563e-07	No	No
P0C0L4	C4A	4.85124768046046	1.06034131073505e-10	No	No
P0CG12	DERPC	5.07578021182442	2.53785502741193e-12	No	No
P0DPB6	POLR1D	2.53918545581665	3.39145767716868e-05	No	No
P10253	GAA	4.25971629637113	0.0001137686689416	No	No
P10588	NR2F6	6.21111121700981	4.42544950054069e-10	No	No
P10589	NR2F1	4.31269597445439	8.08479560794468e-14	No	No
P10643	C7	6.14117678358678	2.72437333738302e-15	No	No
P10909	CLU	2.22283523325937	0.0038013339475266	No	No
P11387	TOP1	1.75835793874029	0.008268225117456	No	No
P11940	PABPC1	1.97089318432722	6.0086230535878e-09	No	No
P13671	C6	4.80133217793709	5.96175628740504e-09	No	No
P13994	YJU2B	3.43311795794626	7.18512309174696e-06	No	No
P16989	YBX3	2.46151545041048	3.64994999151949e-10	No	No
P17706	PTPN2	2.33777201680209	0.0077525143633902	No	No
P18615	NELFE	3.41371451283792	1.39317509751916e-06	No	No
P18621	RPL17	1.67638028235834	6.30277589034683e-08	No	No
P19022	CDH2	2.17531483840975	0.0003267995190394	No	No
P20338	RAB4A	1.85358417201367	0.0047910053608955	No	No
P22087	FBL	1.70134489016832	0.0002901152906203	No	No
P22234	PAICS	2.03537446838531	2.2562498642061797e-11	No	No
P22532	SPRR2D	2.29333175134876	0.0008997313149167	No	No
P23025	XPA	4.40755389653283	0.0021526788461648	No	No
P23258	TUBG1	3.17972642848178	1.8300461078979502e-09	No	No
P23490	LORICRIN	2.71368190990737	0.0003777207549256	No	No
P24468	NR2F2	3.21429942872111	9.220940184386659e-12	No	No
P25054	APC	3.53968254316389	2.07084412142654e-09	No	No
P27169	PON1	7.7063250597501	3.53274700000285e-20	No	No
P27658	COL8A1	3.81098544631507	2.1107066781794302e-09	No	No
P28290	ITPRID2	1.92489958878065	5.62314587330718e-06	No	No
P28715	ERCC5	2.7392208221566	0.0026139093665916	No	No
P29375	KDM5A	3.07052722113944	0.0002401205405426	No	No
P30414	NKTR	4.60126304431429	0.0002153235136565	No	No
P33981	TTK	3.40355228752411	1.49095873458528e-07	No	No
P35221	CTNNA1	4.16714047367643	1.12516863168463e-14	No	No
P35222	CTNNB1	1.76236651282101	1.03476711655186e-08	No	No
P35226	BMI1	3.09201734997915	4.16798810749048e-09	No	No
P35227	PCGF2	4.06355038129719	2.13447987660441e-12	No	No
P35542	SAA4	5.67904432140937	3.80246686790054e-16	No	No
P35612	ADD2	2.24559670534052	9.4153960920785e-11	No	No
P35637	FUS	2.25745874337997	1.2724236080044501e-09	No	No
P38398	BRCA1	4.17318446704306	0.0066048445463866	No	No
P38432	COIL	2.91677979765225	2.0698921973923e-06	No	No
P38935	IGHMBP2	5.05255949293024	1.3091587980338e-06	No	No
P39060	COL18A1	2.27000067019599	0.0024844304008643	No	No
P40222	TXLNA	2.22477944541569	3.06637366925302e-07	No	No
P41212	ETV6	3.84761942630603	7.58776198922576e-14	No	No
P41223	BUD31	2.23962199825807	0.0013083881703479	No	No
P41440	SLC19A1	5.86287827135646	7.06177322713556e-14	No	No
P42696	RBM34	2.86057900741489	6.84949112831218e-05	No	No
P42766	RPL35	1.71899152545463	5.44676276503712e-06	No	No
P43235	CTSK	1.98770342427538	0.0007068764093311	No	No
P45984	MAPK9	3.08198275710103	1.43172777687434e-14	No	No
P46063	RECQL	4.58909279706609	2.50634246904603e-19	No	No
P46776	RPL27A	1.69048864711168	8.500079790845841e-09	No	No
P46781	RPS9	1.95778792159828	2.95202595602542e-11	No	No
P47914	RPL29	1.91418373360068	2.04347868387934e-08	No	No
P48594	SERPINB4	2.37875133338012	0.0042642430729104	No	No
P48634	PRRC2A	2.72408963057219	2.95789780474452e-14	No	No
P49356	FNTB	2.50032804349073	5.1864810177463e-05	No	No
P49406	MRPL19	2.90263730335981	4.62638037144129e-11	No	No
P49770	EIF2B2	2.22818372523885	0.0004355846202498	No	No
P49848	TAF6	3.85374126581687	0.0001416687378375	No	No
P49902	NT5C2	2.86403865234752	1.32041397980269e-09	No	No
P51114	FXR1	2.34183916813918	1.44356136730326e-08	No	No
P51116	FXR2	2.35818518857992	8.791259545138691e-09	No	No
P52298	NCBP2	2.14088506676702	1.4636993984094502e-09	No	No
P52741	ZNF134	5.61895523808122	2.2732925656426303e-09	No	No
P52756	RBM5	3.72347023209347	2.4561617288541e-08	No	No
P52815	MRPL12	2.14799835744222	4.0277890157101e-07	No	No
P52888	THOP1	3.98173508374991	1.16888630520767e-07	No	No
P53667	LIMK1	2.84141952236473	0.0083872678125885	No	No
P54253	ATXN1	4.32734841268777	2.82338857777101e-10	No	No
P54259	ATN1	3.16012672979732	8.93019872720776e-13	No	No
P54652	HSPA2	2.56353894367226	4.91253640882579e-05	No	No
P55058	PLTP	2.87719905903749	1.12703544069341e-05	No	No
P55199	ELL	3.99171845533491	1.65916904623544e-06	No	No
P55285	CDH6	4.44704805822961	4.73653820437103e-13	No	No
P56177	DLX1	2.74626396814387	0.0032280352290344	No	No
P56182	RRP1	2.83230177600878	0.0005912267828865	No	No
P57775	FBXW4	1.9980002842659	9.14305628759564e-07	No	No
P59923	ZNF445	1.74699293948252	0.0001352462084144	No	No
P61244	MAX	3.53819239979543	0.0018359852434351	No	No
P61247	RPS3A	1.88350676770014	2.5907776829709602e-09	No	No
P61254	RPL26	1.94151104754199	9.64453902618657e-10	No	No
P61964	WDR5	1.92604153087414	6.04766003738522e-06	No	No
P62241	RPS8	1.87344041647705	1.7266364436315e-09	No	No
P62277	RPS13	2.07119069153221	3.38607536341141e-11	No	No
P62314	SNRPD1	1.99758745768039	6.36843705298653e-06	No	No
P62316	SNRPD2	1.99230712966585	1.01095331001475e-07	No	No
P62750	RPL23A	2.3509797137172	1.12772145332677e-08	No	No
P62753	RPS6	2.19021515300288	2.51478836680078e-10	No	No
P62841	RPS15	1.63247342549576	6.99468496615046e-07	No	No
P62847	RPS24	2.22073123174355	9.98212113643008e-07	No	No
P62854	RPS26	1.87067185853011	1.1418502251457e-08	No	No
P62861	FAU	2.28677396408132	0.0003352578362957	No	No
P62899	RPL31	1.98384629357149	1.69424261719088e-07	No	No
P62910	RPL32	2.12160247162857	1.89397033994791e-07	No	No
P67809	YBX1	2.32057108790917	3.12540377382608e-09	No	No
P78312	FAM193A	4.39307257935092	4.63648268291303e-06	No	No
P78316	NOP14	2.47315721881028	0.0004115017140077	No	No
P78332	RBM6	3.28793592047489	6.4981825649828e-14	No	No
P78345	RPP38	1.6696749103638	0.0016232120567473	No	No
P78347	GTF2I	4.73516850619731	6.706793114034251e-15	No	No
P78362	SRPK2	2.57247218892856	2.93147257930184e-07	No	No
P78364	PHC1	6.18438720430002	6.213763061374591e-19	No	No
P78524	DENND2B	5.63874421811573	4.16411508401526e-06	No	No
P78549	NTHL1	1.88887932127833	5.70685844481236e-06	No	No
P82673	MRPS35	5.23488887699876	2.28614229911112e-06	No	No
P82675	MRPS5	2.46556138349007	5.61338302661596e-05	No	No
P82914	MRPS15	2.79506785173729	1.86726392226398e-08	No	No
P82933	MRPS9	1.72665942811877	6.65229107427082e-06	No	No
P83731	RPL24	1.71250998311161	3.60822189768985e-07	No	No
P83881	RPL36A	2.40811023030859	8.95202174472979e-07	No	No
P84022	SMAD3	2.05684214849888	4.26279083784284e-08	No	No
P84098	RPL19	2.02289993853809	3.54754916433969e-08	No	No
P98175	RBM10	7.81024473553527	3.16212554921159e-22	No	No
Q00577	PURA	2.24250055431632	1.57431612242335e-08	No	No
Q00653	NFKB2	2.4074409386901	9.6859981326659e-11	No	No
Q00765	REEP5	4.45655973549963	7.09369321064814e-05	No	No
Q00796	SORD	1.79774243036886	0.0022468765023883	No	No
Q01201	RELB	5.08808028450044	1.45011483962507e-19	No	No
Q02086	SP2	6.30378437377002	3.7523546193287604e-20	No	No
Q03113	GNA12	1.71528067030714	0.0002313698116904	No	No
Q03164	KMT2A	3.86564956398014	0.000917245532298	No	No
Q03188	CENPC	2.80036473959436	0.0002435429532704	No	No
Q03468	ERCC6	2.0512146734952	0.000693134326671	No	No
Q03701	CEBPZ	2.07884192626611	0.0064626633955045	No	No
Q06265	EXOSC9	1.63270715024057	9.21748963884663e-05	No	No
Q06587	RING1	2.75334657441733	1.80864897006851e-05	No	No
Q06787	FMR1	3.08799047874512	7.90850594586649e-12	No	No
Q08AD1	CAMSAP2	6.1171713900922	4.95725943286929e-21	No	No
Q08AG7	MZT1	5.29455045009457	7.63497243832094e-13	No	No
Q09161	NCBP1	1.81308940656828	1.2057342626357501e-09	No	No
Q0PNE2	ELP6	4.07083801856929	3.4264646658871e-11	No	No
Q12788	TBL3	1.7373942191705	0.002145707037632	No	No
Q12815	TROAP	2.43824415866396	3.90339908804821e-06	No	No
Q12830	BPTF	1.63806845684492	0.0005965554950284	No	No
Q12857	NFIA	2.95720574885334	0.001324039848297	No	No
Q12872	SFSWAP	5.33022692145797	6.62866650057876e-13	No	No
Q12874	SF3A3	1.67195678288141	4.95283295467915e-06	No	No
Q12894	IFRD2	4.65274173863709	8.92679758685821e-11	No	No
Q12899	TRIM26	3.19918686198957	3.98918582396043e-06	No	No
Q12981	BNIP1	5.352419360986	2.6384611145300403e-09	No	No
Q12986	NFX1	4.87633460293729	2.88804538705644e-12	No	No
Q13084	MRPL28	3.19730459021141	6.66730618582502e-07	No	No
Q13114	TRAF3	1.88121996677521	0.0085348462397272	No	No
Q13118	KLF10	6.4587025115981	3.76222361750913e-11	No	No
Q13206	DDX10	2.06955556571518	0.0003753231059548	No	No
Q13243	SRSF5	2.20654631168678	1.13334304100801e-05	No	No
Q13283	G3BP1	3.59032135888894	1.7104360147665799e-16	No	No
Q13310	PABPC4	1.979301892067	2.19514686895354e-08	No	No
Q13405	MRPL49	4.34941437065851	1.1180542187535598e-11	No	No
Q13435	SF3B2	3.68877310879056	3.2233077884017e-14	No	No
Q13472	TOP3A	2.65487253990309	0.0001885624017999	No	No
Q13492	PICALM	3.64357599115707	6.00111039204626e-12	No	No
Q13574	DGKZ	5.14687570811164	2.57356495603877e-07	No	No
Q13586	STIM1	3.19258253362624	0.0020018680603292	No	No
Q13601	KRR1	2.34722183942848	7.81694983325475e-05	No	No
Q13610	PWP1	2.49442401101905	1.35669126985377e-06	No	No
Q13823	GNL2	1.98298409273162	0.0062224206887706	No	No
Q13895	BYSL	2.20551583993998	7.81945761564209e-07	No	No
Q13901	C1D	2.52855816779797	2.92321743768709e-06	No	No
Q14004	CDK13	1.88968887948937	1.52914246234347e-05	No	No
Q14135	VGLL4	3.2848819804096	4.4287624850753e-09	No	No
Q14197	MRPL58	2.98224286872298	2.54331365400879e-10	No	No
Q14202	ZMYM3	1.76044724129812	0.0039227669398775	No	No
Q14210	LY6D	1.90036333008713	0.0065999245893454	No	No
Q14241	ELOA	2.32217839619824	2.27908956616433e-05	No	No
Q14444	CAPRIN1	6.58716253925431	1.39033806823914e-24	No	No
Q14574	DSC3	2.13735949011072	0.0015326689164573	No	No
Q14643	ITPR1	2.13269190763236	0.0050760004213134	No	No
Q14644	RASA3	1.87241626185587	0.0024011005949289	No	No
Q14674	ESPL1	2.24953553113593	0.00081708581518	No	No
Q14684	RRP1B	1.86265929604306	1.38704184548585e-05	No	No
Q14692	BMS1	2.38329451697065	0.0001976208242496	No	No
Q14694	USP10	2.99064003467463	1.2023984427239899e-16	No	No
Q14781	CBX2	4.68655141014803	6.28866503061172e-13	No	No
Q15006	EMC2	2.16568994830857	3.75184449523006e-05	No	No
Q15022	SUZ12	2.40416383777291	0.0015314300610057	No	No
Q15024	EXOSC7	2.01387500323245	9.17091396928183e-06	No	No
Q15032	R3HDM1	2.40334117033322	0.0010361467831759	No	No
Q15050	RRS1	1.70798461870635	0.0011538776504238	No	No
Q15067	ACOX1	1.84066215568468	0.000397001401244	No	No
Q15269	PWP2	2.16092503468871	1.207610673976e-05	No	No
Q15291	RBBP5	1.97219013699661	0.0001019243187521	No	No
Q15361	TTF1	3.99597628497525	5.43442261629471e-06	No	No
Q15393	SF3B3	3.70064593063803	4.1081054263030906e-15	No	No
Q15397	PUM3	3.06555054342833	0.0015348730597853	No	No
Q15427	SF3B4	4.2761576607988	5.80244468787826e-16	No	No
Q15428	SF3A2	2.3119459367908	6.38929873667413e-07	No	No
Q15434	RBMS2	1.90939453008233	0.0030282969347248	No	No
Q15435	PPP1R7	2.17063416469514	6.45303417436469e-05	No	No
Q15459	SF3A1	1.96788262333376	1.29912910742445e-05	No	No
Q15532	SS18	3.52531696054021	0.0023855765005307	No	No
Q15554	TERF2	1.77713499606839	0.0015098560354051	No	No
Q15582	TGFBI	3.09259839556453	0.0068732144800531	No	No
Q15649	ZNHIT3	4.79112607218854	8.90902422909123e-11	No	No
Q15696	ZRSR2	2.5037060241251	0.0010900081809512	No	No
Q15796	SMAD2	2.88271189357494	1.01419154064142e-12	No	No
Q15910	EZH2	3.18083119475184	0.0032984379099727	No	No
Q16363	LAMA4	3.71747393472099	2.27056251553122e-06	No	No
Q16514	TAF12	2.94772889205928	2.54403779018873e-07	No	No
Q16540	MRPL23	2.56060880633961	8.41533478322414e-10	No	No
Q16670	ZSCAN26	1.74156870549322	0.0004501193388521	No	No
Q1ED39	KNOP1	3.40600113109334	1.64638791780149e-08	No	No
Q2M296	MTHFSD	1.7909948098238	0.0004081164430229	No	No
Q2NL82	TSR1	3.29285237759256	0.0011241118748044	No	No
Q2TAL8	QRICH1	6.68386668518084	2.88990059147104e-19	No	No
Q2TAZ0	ATG2A	5.54614263434211	4.6466148468753e-10	No	No
Q2TB10	ZNF800	2.6460361323997	1.15176159844625e-06	No	No
Q2V2M9	FHOD3	3.37970696443051	1.70938550889879e-08	No	No
Q32NC0	C18orf21	2.68777465232937	6.99447582154554e-08	No	No
Q3MHD2	LSM12	2.25285540068712	4.5263231949308e-07	No	No
Q49A26	GLYR1	2.46077073599053	1.60224726097107e-08	No	No
Q4G0F5	VPS26B	2.82018278957446	2.78529884233731e-08	No	No
Q4G0J3	LARP7	3.30364479841609	1.0319955121436e-05	No	No
Q4U2R6	MRPL51	3.21214870441532	1.65874586335053e-08	No	No
Q52LR7	EPC2	3.30173799991166	1.94696051953384e-06	No	No
Q53F19	NCBP3	4.03404852222139	1.79002273055668e-06	No	No
Q53GL0	PLEKHO1	2.11934675013984	0.0008112808208316	No	No
Q53HL2	CDCA8	2.0671561581325	0.0008864765623995	No	No
Q562F6	SGO2	1.89842444253539	0.0040669358736161	No	No
Q56NI9	ESCO2	3.30077819864855	8.45803003883071e-06	No	No
Q58A45	PAN3	4.04550081301367	0.0002354135259928	No	No
Q5BJH7	YIF1B	3.35221206846257	0.000139409745935	No	No
Q5C9Z4	NOM1	2.16089731403188	5.19305333706334e-06	No	No
Q5F1R6	DNAJC21	4.11437028682368	2.85325011105457e-07	No	No
Q5H9R7	PPP6R3	2.30059393543074	3.7215853232155104e-09	No	No
Q5H9U9	DDX60L	4.21643379219554	3.15723806239094e-05	No	No
Q5HYI7	MTX3	5.74327596047901	3.84423270574964e-05	No	No
Q5JSZ5	PRRC2B	3.456602324965	5.44181584368101e-17	No	No
Q5JTD0	TJAP1	3.01614775510946	5.01337304301747e-05	No	No
Q5JTH9	RRP12	1.78009646071988	0.0001573365254516	No	No
Q5QJE6	DNTTIP2	2.36958805216407	8.30089441719486e-05	No	No
Q5SYE7	NHSL1	2.61913688152695	2.30638380559068e-05	No	No
Q5T1M5	FKBP15	2.78331777439034	9.052643264883831e-10	No	No
Q5T200	ZC3H13	1.69729903452319	0.0003448678297808	No	No
Q5T280	SPOUT1	2.37142591305483	1.75010343352146e-05	No	No
Q5T3I0	GPATCH4	3.62161587175671	1.7137505757432e-06	No	No
Q5T5C0	STXBP5	1.96137367531902	0.0066401785554613	No	No
Q5T5Y3	CAMSAP1	3.71623772769835	1.21917254532613e-08	No	No
Q5T653	MRPL2	2.95261639343022	3.1675067576983004e-10	No	No
Q5T6F2	UBAP2	2.01148962609236	8.508183548627971e-09	No	No
Q5T6S3	PHF19	3.13508731039186	2.21463333909478e-11	No	No
Q5T750	KPLCE	1.94321936798741	0.0021189289846649	No	No
Q5TAT6	COL13A1	5.63871553295491	8.573334149464011e-10	No	No
Q5TC82	RC3H1	1.98474146809951	0.0023396434468993	No	No
Q5TCZ1	SH3PXD2A	3.42621728894959	5.38860871442469e-06	No	No
Q5TGY3	AHDC1	2.59920880442017	0.0001616994505222	No	No
Q5VWQ0	RSBN1	4.3723668722471	9.08588514445182e-09	No	No
Q66K74	MAP1S	1.7334041677432	6.32221600133023e-08	No	No
