Protein_Group	Genes	SAX_vs_RAW_logFC	SAX_vs_RAW_pval	Removed?	Contaminant?
D3YZP9	Ccdc6	6.33610743886808	3.43420051999511e-08	No	No
D3YZZ5	Tmed7	4.59137964459604	2.60439109047495e-06	No	No
D3Z1H5	Cd209f	8.57004864884882	1.42760850124409e-19	No	No
D3Z2H9	Tpm3-rs7	4.55546439170716	1.60916273667134e-10	No	No
D3Z6Q9	Bin2	5.49146938521991	2.01287863321714e-13	No	No
D3Z7P3	Gls	5.55345208752754	2.04220277687592e-09	No	No
D4AFX7	Dnajc13	8.70225121186188	2.70546566456933e-07	No	No
D7PDD4	Mpig6b	6.44795585031889	6.97992832682879e-10	No	No
E0CYQ0	Kctd17	5.40373436804638	9.9223545211402e-09	No	No
E2JF22	Piezo1	3.95405764354092	9.399688125463379e-11	No	No
E9PUR0	Ankhd1	4.09579149509675	3.38875798543457e-08	No	No
E9PV24	Fga	1.00602465365059	0.0005965615485422	No	No
E9PVA8	Gcn1	5.85075353734088	5.7759391816886e-05	No	No
E9PVD3	Dchs1	8.58085237410991	7.31481014740387e-11	No	No
E9PVG8	9530053A07Rik	5.19897085411163	3.19993946527615e-10	No	No
E9PVZ8	Golgb1	6.89482227250229	1.00431724785216e-06	No	No
E9PXF0	Pcdh17	1.63254735104003	0.0005596202290997	No	No
E9PXQ7	Pcdh10	2.29763783949494	9.547207802440039e-11	No	No
E9PXX9	Slc28a1	0.823535108756197	0.0032466878874835	No	No
E9PYK3	Parp4	3.45562427490531	0.0001428926539124	No	No
E9PZ87	Pappa2	6.60228195813007	2.4966181720998e-10	No	No
E9PZM7	Scaf11	3.60700226110714	9.66882584441031e-10	No	No
E9PZP8	Herc1	7.29247216037056	1.3045881059239901e-15	No	No
E9Q0B5	Fcgbp	3.92944525006158	1.9999554511369698e-11	No	No
E9Q137	Tex264	6.57883947475518	9.11052160250327e-19	No	No
E9Q236	Abcc4	3.55511827092979	1.16426286441908e-09	No	No
E9Q2E4	Hectd4	6.60551010425051	1.29743211991792e-13	No	No
E9Q2M9	Wdfy4	5.24028831241915	0.000249468597587	No	No
E9Q394	Akap13	5.4787976585069	1.16589602153414e-08	No	No
E9Q3A7	Cdh19	7.17359422607505	1.04974050459334e-10	No	No
E9Q3C1	C2cd2	1.70785583140929	1.40884604042848e-07	No	No
E9Q3E1;J3QMK6	Aldh3b2;Aldh3b3	3.28656901434076	7.67252977620809e-11	No	No
E9Q3L2	Pi4ka	8.37719449297421	2.66229305360751e-06	No	No
E9Q411	Nbas	3.34168243128726	4.8664428449843e-07	No	No
E9Q512	Trip11	4.27008397187847	0.0005517953846005	No	No
E9Q555	Rnf213	6.60895381230264	1.63787722982033e-16	No	No
E9Q5C9	Nolc1	3.91357286716005	3.05033885163376e-08	No	No
E9Q616	Ahnak	3.00130408084694	8.57452072626495e-07	No	No
E9Q6J5	Bod1l	2.99612094651865	6.301518817448541e-09	No	No
E9Q6P5	Ttc7b	3.40247151627696	4.4395310063025105e-09	No	No
E9Q6R7	Utrn	5.76657752075017	2.44555720346454e-10	No	No
E9Q735	Ube4a	2.74267817845851	4.44560089749238e-06	No	No
E9Q7M2	Tsc22d2	5.79663412455673	1.92211281551338e-09	No	No
E9Q7X6	Heg1	2.1879311004229	5.89967067233096e-05	No	No
E9Q8I9	Fry	2.0816668103535	0.0012623993057655	No	No
E9Q8V6	Dennd4a	4.43455309982147	0.0002184874464775	No	No
E9Q912	Rap1gds1	3.16337873665992	3.81364197100621e-07	No	No
E9QA15	Cald1	4.73130441630302	1.40321442633735e-08	No	No
E9QAT4	Sec16a	7.35560905794093	2.24007172933131e-10	No	No
F6VAN0	Atf6	1.79697348238346	1.85846292056167e-05	No	No
F6WYC8	Lipo1	2.29754571719339	2.1246080713487e-09	No	No
F6XJP7	Pcsk6	2.83818225591176	0.0021709468525036	No	No
F6ZDS4	Tpr	0.927584122368653	0.0002616867405618	No	No
F6ZIS7	Rarres1	4.0675667133053	9.928319561439e-08	No	No
F7BAB2	Tmem132b	3.92021166952938	0.0001120453769234	No	No
F8VPN4	Agl	2.83550943033708	0.0002000030782665	No	No
F8VQ05	Fryl	4.43261765156933	0.0002128993502765	No	No
F8VQC1	Srp72	6.56473119859225	2.08028630982974e-06	No	No
F8VQG4	H2-T24	7.09631485841677	5.27950722018589e-20	No	No
G3UW60	Susd5	4.87937848596314	1.23463529100143e-13	No	No
G3X972	Sec24c	2.22376653471389	0.0049102047795768	No	No
G3XA59	Lrrc32	6.94199796525423	1.5489911031364102e-14	No	No
G5E829	Atp2b1	7.29514151002824	2.8980594766428598e-11	No	No
G5E895	Akr1b10	4.77167039181363	0.002368261512642	No	No
G5E8J6	Hrc	4.9692843455821	1.64993831951922e-10	No	No
G5E8Q8	Adgrf5	3.4649794868047	4.07952280900568e-10	No	No
J3KMP9	Scgb2a2	1.52906690806632	0.0006435154326947	No	No
J3QN89	Aamp	2.20160746789563	1.94694223380514e-06	No	No
J3QPU5	Ccer2	3.92137937418747	1.8547117129431996e-12	No	No
K7N6Y5	Gm8011	8.1077975247321	3.31065803957621e-21	No	No
L7N259	Dcpp3	2.18793526795008	0.001112050283876	No	No
O08529	Capn2	5.5413917974923	2.99786876749581e-13	No	No
O08538	Angpt1	3.28904708867369	4.50180010902119e-07	No	No
O08539	Bin1	6.72125661445554	6.25635872348376e-13	No	No
O08547	Sec22b	5.85217242213201	1.91825642104624e-11	No	No
O08553	Dpysl2	2.36566014896862	2.88606929732619e-06	No	No
