Protein_Group	Genes	Protein_Names	IgG_dox-_Avg_Peptide_Count	IgG_dox+_Avg_Peptide_Count	AURKA_dox-_Avg_Peptide_Count	AURKA_dox+_Avg_Peptide_Count	Species	Intensity_IgG_dox-_BR1_TR1	Intensity_IgG_dox-_BR1_TR2	Intensity_IgG_dox+_BR1_TR1	Intensity_IgG_dox+_BR1_TR2	Intensity_AURKA_dox-_BR1_TR1	Intensity_AURKA_dox-_BR1_TR2	Intensity_AURKA_dox+_BR1_TR1	Intensity_AURKA_dox+_BR1_TR2	Intensity_IgG_dox-_BR2_TR1	Intensity_IgG_dox-_BR2_TR2	Intensity_IgG_dox+_BR2_TR1	Intensity_IgG_dox+_BR2_TR2	Intensity_AURKA_dox-_BR2_TR1	Intensity_AURKA_dox-_BR2_TR2	Intensity_AURKA_dox+_BR2_TR1	Intensity_AURKA_dox+_BR2_TR2	Intensity_IgG_dox-_BR3_TR1	Intensity_IgG_dox-_BR3_TR2	Intensity_IgG_dox+_BR3_TR1	Intensity_IgG_dox+_BR3_TR2	Intensity_AURKA_dox-_BR3_TR1	Intensity_AURKA_dox-_BR3_TR2	Intensity_IgG_dox-_BR4_TR1	Intensity_IgG_dox-_BR4_TR2	Intensity_IgG_dox+_BR4_TR1	Intensity_IgG_dox+_BR4_TR2	Intensity_AURKA_dox-_BR4_TR1	Intensity_AURKA_dox-_BR4_TR2	Intensity_AURKA_dox+_BR4_TR1	Intensity_AURKA_dox+_BR4_TR2
A0A075B5J9;A0A075B5K3;A0A0G2JFA8	Igkv17-121;Igkv17-127	A0A075B5J9_MOUSE;A0A075B5K3_MOUSE;A0A0G2JFA8_MOUSE	0.25	0.625	1.0	0.8333333333333334	MOUSE		32286.408	39597.03		28594.89	18424.338	42189.984	25016.154			23522.123	21894.895	28840.508	13292.21	40769.234						17106.76	16070.889		13592.287	23623.193	20268.045	28585.094	40453.664	54730.848	28363.066
A0A075B5K1;A0A0G2JEK4	Igkv11-125	A0A075B5K1_MOUSE;A0A0G2JEK4_MOUSE	1.0	0.75	0.375	0.5	MOUSE	995856.06	1432237.6	872571.4	1330022.0	166745.73		81156.336		497169.2	510041.2		292955.97	162624.92		134987.31		389000.9	1426585.6	788564.1		151420.25		332390.6	1462944.4	1121097.1	896959.8			335555.84	
A0A075B5K2	Igkv9-124	A0A075B5K2_MOUSE	0.0	0.0	0.25	0.0	MOUSE													53232.234	146439.8																
A0A075B5L0	Igkv10-95	A0A075B5L0_MOUSE	0.0	0.0	0.75	0.3333333333333333	MOUSE					2292.6697	2610.7327		5103.4624					4521.915	2008.5941													2967.1494	3807.7136	5795.3086	
A0A075B5L7	Igkv4-80	A0A075B5L7_MOUSE	1.875	2.0	1.375	1.1666666666666667	MOUSE	268509.84	4758.1587	1946990.8	2009024.0	200812.31	3700.8455		3865.6829	401733.34	1589661.9	426814.7	998422.75	87229.555	4080.0442	4629.644	4344.699	295699.47	658533.94	2498584.8	1830107.1	5205.762	72269.34	511901.94	1618851.2	3579816.8	1485347.5	196981.06		4546.7266	186118.33
A0A075B5M7	Igkv5-39	A0A075B5M7_MOUSE	0.0	0.0	0.25	0.0	MOUSE													848675.5	1857080.4																
A0A075B5N4;A0A0G2JF28;A0A140T8P7;A0A140T8M3	Igkv8-21;Igkv8-27;Igkv8-30	A0A075B5N4_MOUSE;A0A0G2JF28_MOUSE;A0A140T8M3_MOUSE;A0A140T8P7_MOUSE	0.375	0.75	0.25	0.0	MOUSE	49985.707	105054.69	283533.62	128747.97								25628.371	163431.62	241003.25						124983.51				54288.297	89471.4	59385.285				
A0A075B5N5	Igkv8-26	A0A075B5N5_MOUSE	1.0	1.0	1.0	1.0	MOUSE	1364120.4	1379670.6	2844007.8	3057400.0	735808.3	1094455.6	867239.75	615964.06	749067.9	1497078.4	1979858.2	925794.5	1086513.2	1280129.8	1560889.4	668642.3	697005.4	1078753.9	1138617.4	1105852.9	468556.34	799777.3	925503.5	1680016.4	1967025.1	1027439.94	1731006.6	899487.9	1789213.8	1228489.9
A0A075B5N7;A0A0G2JGY3	Igkv6-13	A0A075B5N7_MOUSE;A0A0G2JGY3_MOUSE	1.5	1.5	1.25	0.8333333333333334	MOUSE	66722.87	123927.14	283440.78	236947.5		14261.821	10894.312	8585.074	78225.625	218581.38	106086.7	121673.8	757337.44	373359.22	14438.352		28978.852	169261.11	47712.668	60575.65	11510.768	35934.074	38738.98	61427.273	134774.39	121895.13	18061.326	11809.181	5502.9062	18478.525
A0A075B5P1	Igkv3-1	A0A075B5P1_MOUSE	0.375	0.5	0.0	0.0	MOUSE	28796.146			25983.14						25350.963	31859.375						13761.971								25032.715	11941.35				
A0A075B5Q9;A0A0A6YWC7	Ighv5-15	A0A075B5Q9_MOUSE;A0A0A6YWC7_MOUSE	1.0	1.0	1.25	1.0	MOUSE	544037.5	1017412.06	1797834.1	1786496.6	791097.25	534271.94	555258.4	591889.2	214484.0	752341.44	964093.4	1105488.1	1013477.75	600759.6	458342.03	398178.84	254492.11	660995.1	789801.0	488784.9	590673.0	336067.8	330566.56	988187.6	672090.56	885779.06	929585.5	671615.44	859791.56	425764.06
A0A075B5R5	Ighv4-1	A0A075B5R5_MOUSE	1.75	2.0	2.25	1.8333333333333333	MOUSE	2416926.2	3237570.5	7044399.0	4604563.5	1004616.56	642521.9	341840.88	681345.5	1784284.1	3491501.5	1984454.8	2489097.2	650808.9	624402.25	360950.88	348133.66	1016894.44	2493624.2	5653054.5	3950235.0	740304.06	495090.3	1757850.6	2739593.8	6758166.0	5198904.0	909007.06	976699.56	1259020.2	663968.0
A0A075B5S9;A0A0A6YWH6;A0A0B4J1J4;A0A0B4J1J5	Ighv9-2;Ighv9-3;Ighv9-4	A0A075B5S9_MOUSE;A0A0A6YWH6_MOUSE;A0A0B4J1J4_MOUSE;A0A0B4J1J5_MOUSE	0.75	1.0	0.5	0.0	MOUSE		212473.45	238042.33	511352.3	44417.895				55583.19	173837.25	283147.4	186144.25	43347.11					137679.14	184534.86	168844.83	45162.492		97904.12	279413.38	182450.61	314000.38		21868.588		
A0A075B5U6;A0A0A6YX66	Ighv1-20	A0A075B5U6_MOUSE;A0A0A6YX66_MOUSE	0.125	0.25	0.25	0.3333333333333333	MOUSE	9980.491						3311.0142	6494.947					8114.389	7224.4775						7331.2207						16654.865				
A0A075B6H9	IGLV4-69	LV469_HUMAN	0.625	0.875	0.0	0.0	HUMAN			23141.54	292255.47					100193.3	67096.57	106498.62						85784.445		207010.61	193740.31			117811.016	167938.39	204223.67	89535.96				
A0A075B6I0	IGLV8-61	LV861_HUMAN	0.25	0.375	0.75	0.16666666666666666	HUMAN			55493.05					69523.195					3131258.2	2396265.5				55477.69						79653.99	206048.31	163327.58				
A0A075B6I1	IGLV4-60	LV460_HUMAN	1.875	1.625	1.125	1.0	HUMAN	1278333.1	6602983.0	820152.9	10008633.0	583118.94	147911.72	440894.2	321275.3	2895976.8	2072001.2	7818883.0	9033792.0	369472.53	366375.5	390902.62	351070.2	6284654.5	982769.94	8260843.5	11821200.0	320292.22	595736.94	2020184.0	6722177.0	13287846.0	4932050.5		207274.28	103060.41	477440.2
A0A075B6I9	IGLV7-46	LV746_HUMAN	0.0	0.25	0.5	0.5	HUMAN			169919.48					122692.67				116283.75	5629953.0	5128061.5	125511.945														275628.97	
A0A075B6J9	IGLV2-18	LV218_HUMAN	0.0	0.0	0.25	0.0	HUMAN													2264.0361	8454.0																
A0A075B6K2	IGLV3-12	LV312_HUMAN	0.875	1.0	0.25	0.3333333333333333	HUMAN	1138680.8	1887401.2	3300895.0	2905501.0				201403.0	950890.94	1970501.0	1427926.8	1355144.6	5987.578	4891.1606			874172.6	2490605.8	2019357.8	2318697.8				1419007.4	3026933.8	1825306.5			107084.25	
A0A075B6R9;A0A0C4DH68	IGKV2-24;IGKV2D-24	KV224_HUMAN;KVD24_HUMAN	0.0	0.25	0.625	0.16666666666666666	HUMAN					60776.574							129943.56	1308475.5	2174334.0	71093.99											138573.7				
A0A075B6S9;P0DSN7	IGKV1-37;IGKV1D-37	KV137_HUMAN;KVD37_HUMAN	1.0	0.875	0.0	0.16666666666666666	HUMAN	245976.72	277298.88	285542.06	474316.0					132199.05	460394.84	248775.0						61821.95	193425.45	324263.84	289218.4			127810.7	339720.28	276681.53	247553.28			78094.75	
A0A075B7B8	IGHV3OR16-12	A0A075B7B8_HUMAN	0.625	1.0	0.25	0.3333333333333333	HUMAN		398505.5	105999.44	87070.66				72007.34		346638.75	341026.53	311003.0	2119365.0	1903181.1	84392.39			345162.97		216223.89			202601.78	562698.56	526621.2	60271.945				
A0A075B7D0	IGHV1OR15-1	A0A075B7D0_HUMAN	0.0	0.25	0.375	0.0	HUMAN						124084.59							3530531.5	6408978.0					145830.3						456134.28					
A0A087WSY4	IGHV4-30-2	HV432_HUMAN	0.0	0.0	0.75	0.3333333333333333	HUMAN						129266.055		254960.86					1216342.1	514080.97	113216.51						185406.06									
A0A087WSY6	IGKV3D-15	KVD15_HUMAN	0.125	0.125	0.375	0.0	HUMAN					439784.7								7898999.5	6620024.5				133782.55							238155.89					
A0A087WW87;P01614;A0A075B6P5;P01615	IGKV2-28;IGKV2-40;IGKV2D-28;IGKV2D-40	KV228_HUMAN;KV240_HUMAN;KVD28_HUMAN;KVD40_HUMAN	0.125	0.75	0.625	0.5	HUMAN			211125.02	142575.75	298490.9						264087.38	241781.11	6633830.5	6145930.5	91561.92	107969.13	163103.12				77407.58				216597.55	240307.1	167787.56		90601.08	
A0A087WXM9	MEIKIN	MEIKN_HUMAN	0.125	0.0	0.25	0.16666666666666666	HUMAN								26724746.0		4973609.5				7820203.5							673325.9									
A0A0A0MRZ8;P04433	IGKV3-11;IGKV3D-11	KV311_HUMAN;KVD11_HUMAN	1.0	1.125	1.25	1.0	HUMAN	59049.215	114863.12	191648.03	162982.06	231801.03	59913.816	17825.16	30241.346	64946.875	85806.41	110769.46	96804.984	3616181.0	3371465.5	64084.285	26527.6	65590.086	111147.09	127288.4	89960.29	24213.777	16307.653	86116.875	85731.34	243658.23	172643.36	34116.13		62186.562	27002.969
A0A0A0MS15	IGHV3-49	HV349_HUMAN	0.625	0.75	0.875	0.16666666666666666	HUMAN	27100.725	19375.979	64401.973	85732.63	53255.164					34390.08		32802.082	543971.2	1055105.0				31442.762	42260.74				22892.682		66416.17	43954.93			34465.98	
A0A0A0MT36;A0A0C4DH26	IGKV6D-21;IGKV6D-41	KVD21_HUMAN;KVD41_HUMAN	0.0	0.0	0.25	0.0	HUMAN													108006.055	71047.78																
A0A0A0MT89	IGKJ1	KJ01_HUMAN	0.0	0.0	0.25	0.0	HUMAN													256601.56	235030.89																
A0A0A0MT96	IGKJ3	A0A0A0MT96_HUMAN	0.0	0.0	0.25	0.0	HUMAN													744998.1	732949.25																
A0A0A6YWG4	Ighv5-12-4	A0A0A6YWG4_MOUSE	0.5	0.25	0.125	0.0	MOUSE		1108891.2		665314.6	528734.8				433677.9	611137.1														572321.44		279542.72				
A0A0B4J1H7;A0A0B4J1H8	Igkv1-133;Igkv1-135	A0A0B4J1H7_MOUSE;A0A0B4J1H8_MOUSE	0.0	0.0	0.25	0.0	MOUSE													300596.3	504061.72																
A0A0B4J1I0;A0A140T8M0	Igkv1-110;Igkv1-117	A0A0B4J1I0_MOUSE;A0A140T8M0_MOUSE	0.25	0.25	0.125	0.0	MOUSE		541853.94	836637.44			139077.38					669802.7												251160.92							
A0A0B4J1I5	Igkv4-70	A0A0B4J1I5_MOUSE	1.0	1.0	1.0	1.0	MOUSE	3889287.0	4649377.0	12869581.0	11705348.0	1783475.0	1355621.8	1045958.1	715715.75	3145041.5	3613547.8	2807868.0	4183107.0	1594128.5	529522.5	1311557.1	338140.44	2598707.0	2104825.5	6101526.0	3633222.0	843441.8	659225.2	3653289.0	2724054.5	7539077.5	1152534.4	3069667.2	595053.5	801554.75	1043667.75
A0A0B4J1J6;A0A075B5T6	Ighv10-1;Ighv10-3	A0A075B5T6_MOUSE;A0A0B4J1J6_MOUSE	2.875	2.375	0.875	0.5	MOUSE	5673823.0	10109950.0	1665920.5	4688841.0	317503.06	372984.9			4415330.5	8475307.0	4801382.5	5795331.0	3613292.5	3162359.2	160614.11	103338.195	1831713.9	3794260.5	814112.6	608972.25		194785.67	3706780.5	5662328.0	2582610.5	1227557.8				103506.96
A0A0B4J1V0	IGHV3-15	HV315_HUMAN	1.75	2.0	2.0	1.5	HUMAN	517818180.0	1267964000.0	1111706400.0	1253166100.0	98581.31	1803419800.0	571499500.0	1327603800.0	421824700.0	969823600.0	414857700.0	805604540.0	1438858100.0	1821958500.0	1466212600.0	1032656260.0	87717.95	315409730.0	572463800.0	639774140.0	55386.03	2190023700.0	80785.984	1050784700.0	923701760.0	370058780.0	1715945200.0	1874077400.0	1806736300.0	648954300.0
A0A0B4J1V2	IGHV2-26	HV226_HUMAN	0.0	0.125	0.25	0.0	HUMAN													324112.0	1373623.4												213620.95				
A0A0B4J1X5	IGHV3-74	HV374_HUMAN	0.625	0.625	0.5	0.16666666666666666	HUMAN			295036.25						78223.28	154633.77	264062.16	103003.93	3057332.2	5448802.0	148288.11		86351.03	184519.11					91876.36		211015.9	101129.53				
A0A0B4J1Y9	IGHV3-72	HV372_HUMAN	0.0	0.0	0.25	0.0	HUMAN													9438.309	9734.391																
A0A0B4J2B5	IGHV3OR16-9	A0A0B4J2B5_HUMAN	1.125	1.375	1.375	1.0	HUMAN	76070.375			47879.18	250133.08	206728.19	80027.85		69426.695	57340.977	369967.8	58277.51	10689677.0	7316669.0	584917.94	122016.734	248102.98	195901.17	535437.9	209652.83	364688.56	99083.68	85738.92	352845.12	826221.2	629038.25	127351.31	88853.28	46087.08	54801.43
A0A0B4J2D5;P0DPI2	GATD3	GAL3A_HUMAN	1.0	0.5	0.625	0.8333333333333334	HUMAN	10061.049	24834.598	17427.062	21457.527		24828.236	9312.262	22006.502	20318.281	6891.598	6300.9165				14878.231	7389.582	9879.1	12346.129			9979.803	19075.26	10693.272	14411.882		3603.4614	16484.389	4709.4453		9977.305
A0A0B4J2D9;P0DP09	IGKV1-13;IGKV1D-13	KV113_HUMAN;KVD13_HUMAN	2.0	2.0	1.75	1.8333333333333333	HUMAN	12515460.0	30291544.0	29602776.0	19006288.0	4101171.8	2386707.0	2001124.5	2769326.2	11107710.0	25906188.0	14276298.0	11103284.0	1218755.5	1596217.4	3372854.5	2185008.5	6625449.5	19006934.0	27918176.0	26804684.0	2533865.0	1910441.5	12624966.0	26756252.0	37112944.0	21306046.0	5715828.5	4383089.0	3491224.5	4167844.0
A0A0C4DH24	IGKV6-21	KV621_HUMAN	0.0	0.0	0.25	0.0	HUMAN													1086431.9	1659335.6																
A0A0C4DH25	IGKV3D-20	KVD20_HUMAN	0.5	0.75	0.375	0.0	HUMAN		44466.285		78872.97		48173.12					135053.22	51672.645	2568789.2	2573514.8			30815.08	126455.46	87165.28					67242.48	94390.305	160929.88				
A0A0C4DH29	IGHV1-3	HV103_HUMAN	0.0	0.0	0.125	0.0	HUMAN													90387.586																	
A0A0C4DH31	IGHV1-18	HV118_HUMAN	0.25	0.125	0.5	0.0	HUMAN	6319.9233										4429.7812		603715.9	786710.3										6146.4644						
A0A0C4DH34	IGHV4-28	HV428_HUMAN	0.0	0.0	0.875	0.3333333333333333	HUMAN													3810971.0	3948564.2	42952.41	27230.896											128065.25			
A0A0C4DH35	IGHV3-35	HV335_HUMAN	0.0	0.0	0.25	0.0	HUMAN													208474.23	278409.62																
A0A0C4DH38	IGHV5-51	HV551_HUMAN	0.125	0.375	1.25	0.0	HUMAN													976662.56	1160436.0				26424.752	59175.914	234151.17						60109.1				
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61	HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN	0.25	0.875	1.375	1.1666666666666667	HUMAN			156556.34			163987.19	219021.45	168150.9			53944.19	38199.094	9752717.0	7464936.0	124258.586	200264.72	47532.582		207674.5	160313.36		66341.305		87242.43	237729.66	264256.12	192106.75		220336.11	105922.76
A0A0C4DH67	IGKV1-8	KV108_HUMAN	1.0	1.0	1.875	1.1666666666666667	HUMAN	68311680.0	70356410.0	212413630.0	115671820.0	80154696.0	103519200.0	23305388.0	20699410.0	48483560.0	60036830.0	52866220.0	33091120.0	39369090.0	37706920.0	62917136.0	33431736.0	31944428.0	29699638.0	168957550.0	131607300.0	45545480.0	48418700.0	48028850.0	101841560.0	228674460.0	82115900.0	109212400.0	34773970.0	86098110.0	124111736.0
A0A0C4DH72	IGKV1-6	KV106_HUMAN	1.0	0.875	0.375	0.5	HUMAN	4081053.8	4157834.2	6268892.5	4567653.0		704567.06	22666326.0	1524308.1	2753080.0	6039516.0	4595533.5	4161795.0	3829389.8	3363402.5			1413022.4	4355429.5	10148110.0	6314457.5			2664934.0	6676823.5		4312729.0				2289704.2
A0A0G2JFN8;A0A140T8M4	Igkv8-19	A0A0G2JFN8_MOUSE;A0A140T8M4_MOUSE	0.375	1.0	0.375	0.0	MOUSE			186521.12	137008.38					38731.688		84173.39	65635.75	56214.875	510186.06			27965.807		58406.31	99394.77				23190.098	53267.266	75814.36	31327.406			
A0A0G2JRQ6	gene	A0A0G2JRQ6_HUMAN	2.75	2.5	2.5	2.1666666666666665	HUMAN	143399580.0	113064270.0	410996830.0	227002770.0	30842612.0	37812290.0	46940524.0	24477042.0	96619110.0	103798040.0	33114542.0	165230960.0	26871948.0	26811836.0	35735570.0	17815124.0	101616300.0	172743420.0	197847490.0	188977500.0	27141972.0	30440154.0	121335420.0	154759680.0	235451920.0	102998664.0	62676572.0	25755644.0	35902696.0	28255790.0
A0A0J9YX35	IGHV3-64D	HV64D_HUMAN	0.0	0.0	0.5	0.0	HUMAN													238133.6	244516.22																
A0A0J9YY99	gene	A0A0J9YY99_HUMAN	2.375	3.125	3.875	2.0	HUMAN	1956027.4	4413374.5	10577559.0	3940891.0	501682.97	834738.25	198876.66	204925.12	1157006.8	1490844.9	1543654.1	1527590.4	13666717.0	12099196.0	138475.92	121843.195	582950.44	1082642.4	5539266.5	4610526.0	61431.883	296470.75	1191337.1	3052794.8	7766703.5	311877.66	357882.28	167340.72	428717.2	190127.03
A0A0U1RRL7	MMP24OS	MMPOS_HUMAN	0.0	0.5	0.5	0.3333333333333333	HUMAN			6696.7935	5016.861	8396.219	6433.0796	3663.8875							7496.35					1444.6157	3268.9968							5180.2354			8105.0186
A0A140T8M1	Igkv10-96	A0A140T8M1_MOUSE	0.875	0.75	0.0	0.0	MOUSE	214376.05	351054.2	371753.9	700954.25					150025.56	275759.44	343569.9	140775.34						229024.4					177336.8	170433.27	450855.25	205400.61				
A0A140T8N3	Igkv13-84	A0A140T8N3_MOUSE	1.375	1.875	1.375	1.8333333333333333	MOUSE	56991484.0	114915780.0	148146980.0	164584830.0	46860820.0	40593544.0	33697000.0	32847516.0	30277318.0	75819070.0	103097000.0	85761640.0	25297942.0	38843124.0	25074232.0	24406156.0	32174726.0	69382940.0	81461224.0	72841620.0	41729456.0	31131266.0	33166630.0	100598660.0	90133710.0	107237610.0	36308700.0	34018830.0	33516856.0	33574388.0
A0A140T8N9	Igkv6-32	A0A140T8N9_MOUSE	0.375	0.75	0.0	0.0	MOUSE		71603.875	69897.7	31770.457						34695.26	75117.09	47952.336												75975.15	42512.727	66136.83				
A0A140T8P2	Igkv6-20	A0A140T8P2_MOUSE	0.375	0.0	0.0	0.0	MOUSE	205241.44	75657.36																						130158.586						
A0A140T8P4	Igkv3-9	A0A140T8P4_MOUSE	1.0	0.875	1.75	2.0	MOUSE	26428.832	64129.285	42808.258	50781.746	39065.824	19651.494	16070.452	14222.964	28786.488	46752.57	64435.43	51073.227	10504.956	13371.152	19684.19	12632.813	12571.528	20095.004		6896.002	9356.621	13143.133	19477.416	58361.86	28091.389	21438.207	18016.191	2814.8823	32406.094	12900.581
A0A140T8Q3	Igkv6-17	A0A140T8Q3_MOUSE	1.0	1.0	0.0	0.0	MOUSE	38376.07	24771.72	77118.04	46541.68					9929.27	13912.643	16032.207	24232.889					14699.255	35901.06	31482.764	18908.836			14613.352	16770.727	30014.154	34214.46				
A0A7P0TAN4	LOC122539214	A0A7P0TAN4_HUMAN	0.25	0.0	0.875	0.6666666666666666	HUMAN					1097515.8		12877.027						16331.459	221699.36		10711.854	4042.5146							12828.542			18174.012	937710.6	31091.97	
A0A804HLA8	GNG5B	GBG5B_HUMAN	0.0	0.25	0.0	0.0	HUMAN																			80033.02	81772.11										
A0AVF1	IFT56	IFT56_HUMAN	0.25	0.875	0.75	0.8333333333333334	HUMAN			11344.965		25037.07		12175.946	2025.0363	3830.8186	4304.321			6045.0337	8299.771					9579.566	3566.8442						6495.3076	3172.2236	4804.007	11967.957	9920.419
A0AVT1	UBA6	UBA6_HUMAN	5.625	6.25	2.625	2.5	HUMAN	140154.34	464398.47	549483.06	707620.9	39851.195	138016.14	69706.445	149822.0	172864.78	486970.8	391700.9	330514.12	275063.88	524302.4			371930.28	514295.38	179706.33	128779.89			209498.45	469682.03	354693.38	381534.6	316268.8	123999.664	316534.56	9645.026
A0FGR8	ESYT2	ESYT2_HUMAN	14.5	17.625	19.75	18.666666666666668	HUMAN	2767099.0	3050721.8	3766009.2	4145781.2	6717982.0	11129707.0	10161221.0	7398725.0	1222133.4	2769367.5	3810407.2	1704346.8	10899567.0	7138571.5	2336067.8	787120.4	1329471.0	2336164.0	4834439.0	5073622.5	2072024.9	930980.75	1015918.94	2480854.0	2161083.8	2014910.6	6511367.0	5072298.0	10203962.0	4839561.5
A0JNW5	BLTP3B	BLT3B_HUMAN	3.75	4.375	3.0	4.666666666666667	HUMAN	77005.484	164809.55	309214.75	233180.2	214113.64	107059.3	272495.3	267308.97	42801.156	53122.53	130717.5	67720.98	102567.11	14140.952	4647.609		8636.221	70733.95	100629.06	25743.24	54720.363	716.9478	1085.604	51919.26	62621.684	9794.793	64977.883	100681.75	201885.53	277146.3
A0M8Q6	IGLC7	IGLC7_HUMAN	0.25	0.625	0.625	0.3333333333333333	HUMAN					99399.234			101182.34			92184.33		2494513.2	2245204.2			55742.496	92242.516	88036.49	57679.39					304917.3	147632.02			41993.887	
A0MZ66	SHTN1	SHOT1_HUMAN	3.25	4.375	3.375	1.5	HUMAN		3619.5828	3458074.5	54089.35	4588485.5	9593.163	36625.906	9448.62	20100.188	33997.664	10755.226	19436.533	4386706.0	2400517.2		5955.5723	873747.94	58278.574	145693.83	211980.78	5449.5737	58072.723	39517.062	75744.33	11351.652	12061.036	51204.18	16138.604	31203.828	7604.5786
A0PJW6	TMEM223	TM223_HUMAN	0.75	0.75	0.75	0.6666666666666666	HUMAN		31025.904			19218.102	23450.586	78739.4	73712.37		27548.494	34626.816	21673.355	127069.18	86028.695	61658.902			2385.8337	61117.223	6695.4614				17114.28	3705.88					26500.887
A1A4S6	ARHGAP10	RHG10_HUMAN	4.0	5.125	8.75	9.5	HUMAN	43250.54	92719.1	241249.97	191193.64	927223.25	547596.0	1767796.4	1904944.1	91104.04	83704.984	298404.06	60309.312	902383.1	1585449.5	161869.31	118148.555	192616.53	493009.7	844420.75	731921.1	219222.8	354835.4	175977.69	583115.1	286862.56		1722710.0	1055089.5	2149314.8	1270722.6
A1L020	MEX3A	MEX3A_HUMAN	0.375	0.375	3.25	3.0	HUMAN	2847.0552	3015.8982	3680.021		69363.766	95671.016	68885.25	69745.48		4788.3506	35337.96		130017.64	95921.41		2007.1652											30760.5	39393.92	117909.01	40138.055
A1L0T0	ILVBL	HACL2_HUMAN	5.125	4.5	4.75	3.8333333333333335	HUMAN	142202.98	243589.98	412541.84	858443.1	1469507.6	684595.75	1577681.4	242231.19	151167.95	2163573.8	356209.12	144614.31	1651312.4	2457355.0	85069.52	41550.047	105808.14	749490.06	467076.5	517920.25	12356.664	53722.215	651316.25	818712.5	293803.47	129142.22	903151.4	686794.06	1526924.5	104553.83
A1L190	SYCE3	SYCE3_HUMAN	0.0	0.0	0.125	0.16666666666666666	HUMAN						360843.25	753534.5																							
A1L390	PLEKHG3	PKHG3_HUMAN	17.625	15.375	12.75	18.166666666666668	HUMAN		37305.895	498803.34	184437.84	1153024.1	1073091.4	4532205.0	4452824.0	166688.33	297577.53	182201.81	121228.25	2220554.5	2417353.8	1209009.5	863599.6	15217779.0	29578420.0	90527900.0	77477640.0	2263710.5	1549119.5	4166733.2	7840853.5	45802.293	315152.53	1495564.6	1469833.0	6134295.5	4809769.0
A1XBS5	CIBAR1	CBAR1_HUMAN	7.25	7.625	5.125	5.166666666666667	HUMAN	3040152.2	4833188.5	7728852.5	8185096.0	2349957.8	1590866.8	2430786.0	379357.53	896346.0	2564211.5	3323131.0	4347030.0	399785.8	336723.78	93291.78	908172.6	1138320.5	743787.9	277402.16	113905.01	1198531.0	23519.16	167030.66	1080755.5	2327240.8	2058885.0	2483969.5	227461.11	467796.2	1538982.8
A2AJT9	BCLAF3	BCLA3_HUMAN	0.375	0.25	3.125	2.8333333333333335	HUMAN					1447157.9	580473.25	1257327.6	1239377.0	91680.62				878683.75	1021157.4					183500.61	41544.223		161665.19	6200.1904				1092052.1	690845.75	881384.2	777527.75
A2I7N1	SERPINA3-5	SPA35_BOVIN	1.25	1.25	1.375	1.1666666666666667	BOVIN	73381.0		209493.66	121114.2	1000572.06	132221.66	79226.36	241349.36	54407.168	321850.7	218810.66	129129.81	256293.22		218011.19	91471.79	158272.14	304755.2	113537.914	165002.34	266228.2	284756.44	147305.89	221260.83	297161.7	202949.12	102928.8	214931.11	90421.56	144796.42
A2NJV5;A0A075B6S2	IGKV2-29;IGKV2D-29	KV229_HUMAN;KVD29_HUMAN	0.75	0.75	0.875	0.8333333333333334	HUMAN	266536.0	72733.33	397085.47	46227.984				32118.865				60137.676	3337943.0	3513529.0	79729.0	54083.62	31563.756		83876.516			34651.996	15695.267	97099.72	133160.12	45702.996	60786.12	56145.156	119929.26	36843.76
A2RRP1	NBAS	NBAS_HUMAN	9.375	14.5	16.125	19.0	HUMAN	160913.67	1180504.1	1241903.1	588880.9	2151143.5	1307515.0	2744698.0	5924128.0	678609.75	593423.8	264311.3	590827.4	4386383.5	2912641.8	192963.31	10707.964	800686.44	1745297.8	3615596.2	4491806.0	67528.36	118291.45	185162.67	431203.12	774868.1	187577.3	1928540.9	1392054.8	4577324.5	3627885.0
A2RUS2	DENND3	DEND3_HUMAN	0.25	0.5	2.0	1.8333333333333333	HUMAN		1310.054	8402.084	2633.999	42131.984	9709.229	12700.256	26384.625					15601.508	14551.141							2916.2302			4110.045	2355.3599		15497.652	14812.457	7678.838	6671.3945
A2VDJ0	TMEM131L	T131L_HUMAN	0.25	0.0	0.75	1.0	HUMAN					2768.2244	15285.595	6080.556	7845.218		16498.791			10158.453	9964.191			2961.953										3291.4067	1498.8572	2093.2925	4220.3315
A3KMH1	VWA8	VWA8_HUMAN	20.75	26.125	11.625	9.666666666666666	HUMAN	2987659.2	6632003.5	12621906.0	3206446.2	7286948.0	393901.6	4681520.5	3772241.2	614149.1	6973955.0	7017166.5	4802031.5	771196.4	5204624.5		9800.958	564212.75	819441.44	5532693.5	932030.8	39825.008	8386.668	286701.94	1431735.6	2570339.0	5529549.5	1142098.4	574214.7	1746461.4	460904.53
A3KN83	SBNO1	SBNO1_HUMAN	0.875	1.25	2.875	2.8333333333333335	HUMAN		30902.008		41161.555	76723.08	38025.65	58075.633	89099.945		5573.9097	18714.06		81962.59	270995.22	16584.422	25878.578	4813.7324		31695.23	35769.05	21839.172	1163.0054		29251.74	6893.0347	8168.4565	20829.238	60913.47	83940.734	56166.133
