Protein_Group	Genes	Protein_Names	IgG_dox-_Avg_Peptide_Count	IgG_dox+_Avg_Peptide_Count	AURKA_dox-_Avg_Peptide_Count	AURKA_dox+_Avg_Peptide_Count	Species	Intensity_IgG_dox-_BR1_TR1	Intensity_IgG_dox-_BR1_TR2	Intensity_IgG_dox+_BR1_TR1	Intensity_IgG_dox+_BR1_TR2	Intensity_AURKA_dox-_BR1_TR1	Intensity_AURKA_dox-_BR1_TR2	Intensity_AURKA_dox+_BR1_TR1	Intensity_AURKA_dox+_BR1_TR2	Intensity_IgG_dox-_BR2_TR1	Intensity_IgG_dox-_BR2_TR2	Intensity_IgG_dox+_BR2_TR1	Intensity_IgG_dox+_BR2_TR2	Intensity_AURKA_dox-_BR2_TR1	Intensity_AURKA_dox-_BR2_TR2	Intensity_AURKA_dox+_BR2_TR1	Intensity_AURKA_dox+_BR2_TR2	Intensity_IgG_dox-_BR3_TR1	Intensity_IgG_dox-_BR3_TR2	Intensity_IgG_dox+_BR3_TR1	Intensity_IgG_dox+_BR3_TR2	Intensity_AURKA_dox-_BR3_TR1	Intensity_AURKA_dox-_BR3_TR2	Intensity_IgG_dox-_BR4_TR1	Intensity_IgG_dox-_BR4_TR2	Intensity_IgG_dox+_BR4_TR1	Intensity_IgG_dox+_BR4_TR2	Intensity_AURKA_dox-_BR4_TR1	Intensity_AURKA_dox-_BR4_TR2	Intensity_AURKA_dox+_BR4_TR1	Intensity_AURKA_dox+_BR4_TR2
Q9Y2C4	EXOG	EXOG_HUMAN	1.875	1.875	3.25	2.1666666666666665	HUMAN	25745.959	84657.01	133514.9	74258.61	18982.6	20554.445	63850.566	27043.754	92679.28	48488.047			69810.93	27856.709			18765.701	98084.58	112387.41	126055.05	35473.727	178812.81	27455.166	36892.938	93344.14		198821.9	78050.3	48692.93	72467.98
Q9Y2D4	EXOC6B	EXC6B_HUMAN	1.875	1.375	1.75	1.6666666666666667	HUMAN	54304.832	14704.781	21390.309	34209.227	33679.867	32464.855	13009.69	43522.438	10905.209	17100.99	1683.5973	12633.646	123466.39	110615.945	5781.614		2258.4226	13979.181	14193.841	19124.309			27469.217	17985.316	15972.701		107455.41	5268.215	28801.574	20271.96
Q9Y2D5	PALM2AKAP2	PLAK2_HUMAN	22.75	19.75	32.25	30.0	HUMAN	369082.2	1076937.8	1163492.0	2089630.8	17975036.0	15306355.0	16043681.0	16783032.0	1989959.9	3793779.8	849834.25	1085552.2	18285968.0	17042852.0	10642495.0	8373308.0	39934780.0	70931050.0	326907420.0	251939340.0	21778124.0	14503259.0	12345864.0	21223378.0	1414185.5	815964.56	25338828.0	13204591.0	20646334.0	12058793.0
Q9Y2D8	SSX2IP	ADIP_HUMAN	7.125	8.0	5.125	5.333333333333333	HUMAN	43897.79	113116.99	444922.7	68622.914	201357.67	36669.605	665741.06	338772.22	284473.62	395811.1	239292.05	351133.34	87326.71	454068.06		14847.489	361151.25	826336.06	812469.25	372990.25	22117.54	145153.6	128514.07	541558.56	363775.38	424405.0	67585.52	120020.766	461052.38	323722.22
Q9Y2E4	DIP2C	DIP2C_HUMAN	0.375	0.5	0.375	0.8333333333333334	HUMAN		95438.41			158450.64		69413.84	92727.1	193022.0	108154.3		82445.46							29243.418	105359.43							192837.5	286426.72	113105.07	266117.94
Q9Y2F5	ICE1	ICE1_HUMAN	0.75	1.0	28.0	24.833333333333332	HUMAN	59376.58		74753.78		12133378.0	9452633.0	7671500.5	9305950.0	107817.14	67745.89		94229.91	8768846.0	10974128.0	1642551.5	460409.38			11306.158	366985.5	2300208.5	1034623.5		661205.1			7430950.0	5050656.0	10939214.0	5611635.5
Q9Y2G5	POFUT2	OFUT2_HUMAN	0.125	0.375	0.125	0.3333333333333333	HUMAN				4710.767	9405.435		8890.445											2750.4001	5925.55							5702.8467			3664.4937	
Q9Y2G8	DNAJC16	DJC16_HUMAN	5.75	5.5	8.75	8.666666666666666	HUMAN	389437.34	290283.25	561329.3	413195.56	876296.8	946428.3	1495747.5	1333942.0	209689.12	173796.0	213429.78	99401.99	838945.1	1200496.6	184718.17	152214.53	229543.61	606179.0	608930.9	612025.3	191895.53	228127.17	164030.34	405371.53	377649.44	373120.16	1408840.4	1012871.9	1725132.5	683589.7
Q9Y2H1	STK38L	ST38L_HUMAN	0.375	0.25	0.375	0.3333333333333333	HUMAN			4089.5645				1854.6401		3516.639		1504.7292		5443.307	5213.2554			1252.8124							892.1814			2264.723		1866.6301	
Q9Y2H2	INPP5F	SAC2_HUMAN	5.25	5.75	7.875	7.666666666666667	HUMAN	23365.979	91569.09	136746.4	217037.88	322622.6	194180.48	272308.88	316430.03	17225.46	72659.984	67630.61	27860.625	4694988.5	448716.7	10241.734	16836.621	86700.9	129262.31	253112.69	168861.67	39501.133	17674.133	72036.75	163444.69	48238.56	70993.02	118115.79	157597.73	407478.4	146159.77
Q9Y2H5	PLEKHA6	PKHA6_HUMAN	9.375	8.75	28.125	29.166666666666668	HUMAN	44049.05	250215.2	313753.6	368357.4	3901593.5	2305726.0	4581987.0	4671452.0	235096.44	569357.06	286453.16	74941.71	3734528.8	3265263.5	1017017.0	836818.1	651296.3	1415724.1	1422297.2	5133013.5	1534654.4	1181494.4	120265.33	654244.44	215740.38	188556.28	4374150.5	2947371.8	5830736.5	3565501.0
Q9Y2H6	FNDC3A	FND3A_HUMAN	6.125	6.375	7.5	8.666666666666666	HUMAN	223567.16	897750.4	576576.1	534339.3	1028882.9	520637.38	1380054.4	1689455.5	167001.42	462169.4	198626.34	364881.34	867404.2	947734.4	222032.53	105678.39	145780.4	748445.0	782038.7	590021.06	60107.08	8495.824	231251.05	289788.56	696169.2	80783.76	1271565.2	633837.5	1371953.2	528253.0
Q9Y2I2	NTNG1	NTNG1_HUMAN	0.75	0.5	0.375	0.0	HUMAN		74952.66				14101.43											153540.48	202095.7	174223.1	294710.44	56689.906						28578.139			
Q9Y2I7	PIKFYVE	FYV1_HUMAN	1.625	1.625	2.25	2.6666666666666665	HUMAN	16723.926	247265.25	34042.35	8568.277	82405.59	2286.5825	180987.88	4803.753	5615.195	6453.5825	3443.3684	3583.317	54982.07	250964.17				87449.02	27160.533	98013.54		7978.461	9995.941	2657.3474	10477.41	1479.6707	165483.23	7191.571	121511.59	11769.088
Q9Y2I8	WDR37	WDR37_HUMAN	3.625	3.625	4.625	3.6666666666666665	HUMAN	4749513.0	10208893.0	10685593.0	159964.31	21626738.0	15506837.0	169457.84	11921783.0	9003081.0	94495.09	103534.375	105819.61	206027.16	236331.19	46345.355	8894.681	51383.32	111507.22	160146.88	116187.03	21002.889	7432716.0	29764.795	61202.188	155676.16	52940.453	279276.47	13679563.0	186613.55	139164.94
Q9Y2J2	EPB41L3	E41L3_HUMAN	8.625	8.625	12.25	10.833333333333334	HUMAN	83122.02	440523.66	325839.06	300786.4	791876.75	548619.2	841058.56	834860.94	193964.94	374331.75	129428.21	130906.586	954259.6	1262323.1	170410.42	52508.613	513743.7	512578.12	1098616.8	1000721.3	509110.62	166352.94	284357.2	370642.56	286015.38	144716.4	671523.6	569340.25	880672.6	661829.44
Q9Y2J4	AMOTL2	AMOL2_HUMAN	7.5	10.25	5.125	6.0	HUMAN	186593.45	388009.06	1123740.2	565587.44	464234.12	306863.22	490108.47	434436.28	201250.31	262968.5	390145.3	266964.94	316762.2	272798.0	7859.2935	23257.025	189002.1	309072.62	811258.56	318153.5			205997.52	257830.48	319553.12	160868.38	134060.81	33292.758	163156.42	120460.266
Q9Y2K1	ZBTB1	ZBTB1_HUMAN	2.375	4.25	4.375	5.5	HUMAN		208980.95	410776.2	496232.78	124616.39	97615.29	298606.47	141925.73	75824.71	157338.33	229353.02	77134.414	895194.2	435374.2	24235.904	5168.2935	16750.55	80037.2	51094.55	182509.39	3324.7334		27180.85	190570.95	230865.25	106656.44	239911.5	188084.23	910353.4	639737.5
Q9Y2K2	SIK3	SIK3_HUMAN	2.25	3.125	2.5	3.0	HUMAN	15240.445	38174.97	158210.22	79063.94	98639.14	48523.695	119449.49	99141.414	38035.58	45328.418	40968.91	56414.953	132085.78	69630.055		3474.4917	1502.5782	8237.529	7025.869	46638.223	3100.7537	2986.5825	32081.016	11299.272	2769.2844	8280.8955	24700.488	53065.094	126855.27	51501.945
Q9Y2K5	R3HDM2	R3HD2_HUMAN	0.375	0.625	0.75	0.6666666666666666	HUMAN		1384.802	1602.6019	2054.5874	1156.1981	2131.687	2020.7529			1255.4369		1649.2958	3696.9023	2914.9946	966.0269			941.2244	1010.46686	980.55676		838.8676					1784.9124		2468.7017	1844.6663
Q9Y2K7	KDM2A	KDM2A_HUMAN	5.25	2.0	5.625	3.5	HUMAN		65657.625	56808.61		236775.06	282312.62	61475.59	81387.29	422745.88	808869.94	2422.216	16277.563	620085.56	769042.44			57805.88	70778.7	184076.19	96165.42	38836.367	16429.893	58387.387	110912.625			219925.61	21364.117	207234.81	130429.016
Q9Y2L1	DIS3	RRP44_HUMAN	15.0	17.125	16.875	15.5	HUMAN	2068961.2	4357443.0	5712861.5	6164631.0	5091757.5	3742726.5	5596043.5	4939642.0	1781369.9	3650469.8	3176425.8	3590062.0	6906034.5	6394253.5	1701875.8	888773.5	1003824.75	3812306.8	3442559.0	3210070.2	1706252.8	1243765.9	1316382.6	3392404.5	2700974.0	2926984.8	5277945.5	3614904.5	7338144.5	4430895.5
Q9Y2L5	TRAPPC8	TPPC8_HUMAN	2.625	4.0	3.75	3.5	HUMAN	7215.368	755266.06	83210.54	976537.9	261090.66	515898.78	814081.5	667478.0	129835.4	914247.4	57250.305	28312.783	317542.56	304899.2			206969.84	263489.47	454345.22	520431.03			241507.27	37761.33	41208.992	43457.332	849083.1	37056.527	345116.25	297900.16
Q9Y2L9	LRCH1	LRCH1_HUMAN	6.5	8.25	6.125	7.833333333333333	HUMAN	1477399.2	3354866.2	5451116.5	4484013.5	2318251.0	1358598.2	4869094.0	4432235.0	1602368.8	2521271.0	3330763.0	2040889.8	2813024.0	2797716.0	818492.2	1065247.6	1614570.2	3938886.8	5359940.5	5634542.5	916538.9	766007.06	1285394.4	3595125.0	3824028.2	2144182.5	1667024.1	1397592.1	5410860.0	3558980.0
Q9Y2P8	RCL1	RCL1_HUMAN	9.0	7.75	18.375	19.166666666666668	HUMAN	269425.78	1408266.1	1709789.0	2233396.5	34919604.0	23466212.0	64072816.0	53916880.0	6492445.0	12115432.0	1424616.4	1507304.5	29634250.0	32501536.0	7162764.0	4315710.0	791582.3	2830117.8	3253848.0	3665269.2	10454391.0	7893473.5	1104499.0	3921586.5	2563091.5	1058734.1	46346920.0	30669940.0	49751560.0	31147236.0
Q9Y2Q3	GSTK1	GSTK1_HUMAN	2.25	2.125	3.375	2.5	HUMAN	123961.79	173334.58	140719.78	255761.45	301057.75	264232.38	185395.36	213900.64	180900.25	273450.94	11294.802	187942.22	24519660.0	22251972.0	4037650.5		93927.46	3897932.5	107518.22	76709.055	12750.648	212885.81	83553.945	153762.84	91225.375	243050.02	390630.88	89208.67	307987.3	263567.75
Q9Y2Q5	LAMTOR2	LTOR2_HUMAN	0.5	0.625	0.625	0.6666666666666666	HUMAN	27447.668	21631.865	58286.188	62823.645			24528.451	86939.94					186047.52	351423.06				61234.7	75783.875	62784.195		32569.723	11608.402		33925.777				88524.99	24689.023
Q9Y2Q9	MRPS28	RT28_HUMAN	3.5	3.25	7.75	7.5	HUMAN	72193.625	1233987.9	1317371.4	570597.6	4095001.8	2955583.8	5452733.5	4114315.0	337501.62	1224299.0	59506.55	407596.7	4838621.5	4702731.0	3126108.5	2472403.5	922584.56	1527144.0	2032603.0	1648859.1	3972037.0	2699762.0	55911.016	1236943.0	863149.94	705121.44	6893400.0	4866185.5	6461361.5	6025096.5
Q9Y2R0	COA3	COA3_HUMAN	0.5	1.0	2.25	2.0	HUMAN			591511.4	2231.373	629108.75	21646.686	355018.56	338214.3	116938.9	2858.0142	100673.77		1062009.5	712550.3	242137.5	2047.854	91200.375	191349.45	304825.9	131044.03	295797.56				2444.5806		690367.2	186480.05	578969.25	86996.62
Q9Y2R4	DDX52	DDX52_HUMAN	5.75	6.125	12.75	12.333333333333334	HUMAN	146281.81	346056.3	734539.75	416849.5	6117667.0	5753201.0	11159754.0	13447654.0	1957945.8	3357340.2	367146.56	764745.44	7832475.5	9796142.0	1406342.1	979899.5	476145.8	965346.25	1375979.4	1607932.5	2570272.5	1556244.0	407812.34	883356.6	654172.75	368096.3	11125871.0	7046792.5	12353001.0	8485431.0
Q9Y2R5	MRPS17	RT17_HUMAN	1.625	1.75	2.875	2.8333333333333335	HUMAN	93699.445	414678.88	975610.1	348359.34	1859954.2	1549514.5	2621572.8	1794090.1	101916.57	416548.88	328744.66	199043.84	2075241.4	2680742.5	763696.75	615800.5	232388.5	657074.9	765736.0	777735.6	1124963.4	578966.94	247435.16	197364.19	433152.7	97946.99	2436355.0	1738329.5	6749508.0	1774528.8
Q9Y2R9	MRPS7	RT07_HUMAN	8.625	10.25	15.25	15.166666666666666	HUMAN	462484.7	1477277.6	2482938.2	2008891.6	5375433.5	4376553.5	7041998.5	6112819.0	972837.8	1745761.4	1309430.2	731114.25	5927468.0	6947201.0	2469226.8	1799618.0	765491.6	2085054.8	3240626.8	3409992.2	2098093.2	2042839.9	961065.5	1769324.8	1100493.8	934728.06	9664751.0	7247165.0	11186950.0	6390412.5
Q9Y2S2	CRYL1	CRYL1_HUMAN	0.0	0.25	3.0	3.0	HUMAN					6875.497	219926.34	706910.3	204720.34					135558.73	478984.3	286521.78	125514.29			273953.84	9071.861	487647.38	523063.84					1381363.6	969972.6	1046242.4	410643.03
Q9Y2S6	TMA7	TMA7_HUMAN	3.125	3.5	3.75	2.6666666666666665	HUMAN	487106.72	899167.44	139441.1	24163.154	146411.9	77348.555	666134.7	685741.4	100864.36	243291.62	74518.125	82823.63	178256.62	226105.22	156401.23	29876.184	101903.94	244490.88	603353.9	333041.84	1198427.9	935254.5	165535.12	149321.78	1463713.0	1108145.0	3600932.8	2133391.0	151976.6	216966.47
