Protein_Group	Genes	KMS-11_CM-3264_vs_KMS-11_DMSO_logFC	KMS-11_CM-3264_vs_KMS-11_DMSO_pval	Removed?	Contaminant?
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	4.08178434915064	1.40372025546349e-06	No	No
C9J069	AJM1	5.26827241646215	0.00758145230644	No	No
O95876	WDPCP	3.14482868805155	0.0012284042007975	No	No
P01780	IGHV3-7	2.49427298264215	0.0030592682486563	No	No
P04278	SHBG	3.09967360629623	0.0025510398682926	No	No
P07451	CA3	5.24575502006272	9.31301550670826e-05	No	No
P0DTL5	TMEM276	3.50800870321067	0.0007947793866474	No	No
P36959	GMPR	1.70612085574297	0.0042965652591409	No	No
P49716	CEBPD	2.50005336148977	0.0004346763113138	No	No
P57679	EVC	1.79992737042588	0.0044220936926672	No	No
Q00722	PLCB2	2.5326542700438	0.0013919706812782	No	No
Q13588	GRAP	2.42319070780287	3.40570054161095e-05	No	No
Q14524	SCN5A	1.82817410963608	0.0011516722531247	No	No
Q68CR1	SEL1L3	2.75050779604905	0.0011164588008624	No	No
Q8IYM9	TRIM22	3.76655093984283	0.0018426603540772	No	No
Q8WWZ8	OIT3	5.67595007730976	4.88061792518373e-13	No	No
Q96F81	DISP1	1.72844266907108	0.0098199259671135	No	No
Q96FA3	PELI1	1.92216748793483	0.0046454656257847	No	No
Q9UF83	gene	3.11414256939083	0.0005983861985606	No	No
Q9UGM3	DMBT1	4.2756163984209	0.0033738560663503	No	No
Q9Y446	PKP3	3.20296883547039	0.0067957297110678	No	No
A2RRD8	ZNF320	-2.44197908227778	0.0058522839471427	No	No
F5H4A9	C3orf80	-1.91867240703998	0.0071620403294425	No	No
O14559	ARHGAP33	-4.84659495782807	0.0012805195363134	No	No
O60548	FOXD2	-3.52315087228669	0.0002422623921017	No	No
P03973	SLPI	-2.30367175086516	7.94151955001006e-10	No	No
P09455	RBP1	-4.2101936892816	6.8263832597305e-09	No	No
P13682	ZNF35	-1.78604439410829	0.0030706307786032	No	No
P43355	MAGEA1	-4.34833639270334	0.0011547890953536	No	No
P52895	AKR1C2	-3.64197419250158	1.1338623177932e-09	No	No
Q01973	ROR1	-2.45109432461545	0.0003411364608713	No	No
Q06828	FMOD	-5.86189760012654	2.3953815747411e-05	No	No
Q08495	DMTN	-2.0156661935926	1.83425733785956e-05	No	No
Q13470	TNK1	-2.55273079990488	0.0048310322839897	No	No
Q15434	RBMS2	-1.70202352945337	0.0019039659705548	No	No
Q6UXP7	FAM151B	-4.48026415812786	0.0070899634587871	No	No
Q6ZMB5	TMEM184A	-1.93117263557482	4.36025286839641e-05	No	No
Q70EL1	USP54	-2.28490990310838	0.0047476518315119	No	No
Q86VR8	FJX1	-3.61061317124575	7.9889403733912e-07	No	No
Q86WI3	NLRC5	-4.2075663323569	0.006584251606034	No	No
Q8IV04	TBC1D10C	-4.01324437367271	0.0096958041475291	No	No
Q8N554	ZNF276	-2.02652073558583	1.41841356787565e-05	No	No
Q8N7C3	TRIML2	-6.02809371901422	1.72256854784216e-21	No	No
Q8WV99	ZFAND2B	-4.42147785431939	0.0081796308533828	No	No
Q8WXU2	DNAAF4	-2.18353227756774	0.004485917735178	No	No
Q96CK0	ZNF653	-3.8644077411481	5.71973510138208e-05	No	No
Q96JP5	ZFP91	-2.61211954858499	5.16506076195105e-07	No	No
Q96MT3	PRICKLE1	-6.8496306348155	7.10057238690093e-05	No	No
Q9BU19	ZNF692	-3.05913625238539	0.0095316749864679	No	No
Q9BV29	CCDC32	-3.36692159465031	0.0003163920844365	No	No
Q9H1K6	TLNRD1	-3.52170258071553	0.0022278956361292	No	No
Q9P241	ATP10D	-2.38112441475717	0.0077931003650513	No	No
Q9ULL8	SHROOM4	-3.03916559402582	0.0070073991033545	No	No
Q9UPU9	SAMD4A	-2.65208179043398	0.0009333599685863	No	No
Q9Y3R0	GRIP1	-2.09014987063861	0.0070906696956739	No	No
