Protein_Group	Genes	TRM_day15_vs_MoMacs_day15_logFC	TRM_day15_vs_MoMacs_day15_pval	Removed?	Contaminant?
P54818	Galc	3.71073888856582	0.0092238875891576	No	No
P56395	Cyb5a	2.61730428063607	0.0088107124632404	No	No
P56565	S100a1	6.95327380481423	6.430333417069589e-12	No	No
P57759	Erp29	4.3066347331481	0.001175084398331	No	No
P57780	Actn4	2.99109936172056	3.55147865899975e-05	No	No
P60766	Cdc42	2.76979416252865	0.0078360758003426	No	No
P61965	Wdr5	4.12154095651919	0.0083311553392793	No	No
P61982	Ywhag	2.20836306756607	0.0009142355407034	No	No
P62259	Ywhae	2.37006399703957	0.0052715249544666	No	No
P62488	Polr2g	2.66458080627947	0.0051310528917135	No	No
P62743	Ap2s1	2.96684485095738	0.003228342182096	No	No
P62878	Rbx1	6.48231339871404	4.03632063438099e-08	No	No
P63101	Ywhaz	2.21981044296442	0.0049784277040991	No	No
P63328	Ppp3ca	3.10621632631533	0.004857705247117	No	No
P70124	Serpinb5	5.04532887136132	0.0085919262583342	No	No
P70158	Smpdl3a	3.31094048187128	0.0005918358189737	No	No
P70195	Psmb7	2.6754129560695	0.0024589735334801	No	No
P70261	Pald1	4.95225875285677	5.20071103624763e-05	No	No
P70388	Rad50	8.13437537282474	3.61492372018648e-10	No	No
P70429	Evl	3.82132145798931	0.0097195182912916	No	No
P82343	Renbp	2.86509743670323	3.44018788110755e-05	No	No
P84091	Ap2m1	2.33149249600684	0.0012699617965392	No	No
P85094	Isoc2a	4.26670926072564	0.0046445728643132	No	No
P97384	Anxa11	7.02043983271081	3.26200739221031e-06	No	No
P97390	Vps45	3.51900272321156	0.0083643831076805	No	No
P97797	Sirpa	3.29969974575661	0.0002953534436151	No	No
P97821	Ctsc	3.14042155775286	1.9747727135013e-06	No	No
Q01730	Rsu1	8.86621138742522	1.5872707025001e-07	No	No
Q01768	Nme2	2.06717244853007	0.0016730988248737	No	No
Q01853	Vcp	2.24968892523914	0.00572936982052	No	No
Q05793	Hspg2	5.20907960694528	9.12643539090615e-05	No	No
Q06138	Cab39	2.62784262771658	0.003614620664098	No	No
Q06318	Scgb1a1	5.15795461855931	0.0002596949832503	No	No
Q11136	Pepd	2.16475051861116	0.0020361089382669	No	No
Q3TCN2	Plbd2	6.03735643752257	5.45392435322152e-06	No	No
Q3TMH2	Scrn3	2.69389165699601	0.0096003934121293	No	No
Q3U2P1	Sec24a	5.46911863729936	0.0007167001004547	No	No
Q3UEB3	Puf60	4.94200037887647	0.0013822562226552	No	No
Q3UGR5	Hdhd2	6.67623463471237	2.45392076455105e-06	No	No
Q3UMW8	Cln5	3.63876580793669	0.0038390218471439	No	No
Q3UPH1	Prrc1	4.2325513680951	0.0015532669249631	No	No
