"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0019985","GO:0019985",27,"GO:2001032",0.917363607472516,25,"translesion synthesis","regulation of double-strand break repair via nonhomologous end joining",0.858390243902439,0.388333333333333,0.555
"GO:0090175","GO:0090175",10,"GO:0030856",0.917363607472516,53,"regulation of establishment of planar polarity","regulation of epithelial cell differentiation",0.887268292682927,0.3706,0.575
"GO:0019941","GO:0019941",26,"GO:0019941",0.917363607472516,650,"modification-dependent protein catabolic process","modification-dependent protein catabolic process",0.859983739837398,0.294666666666667,0
"GO:0045930","GO:0045930",28,"GO:0045930",0.915145005186716,248,"negative regulation of mitotic cell cycle","negative regulation of mitotic cell cycle",0.918113821138211,0.4895,0
"GO:0008016","GO:0008016",13,"GO:1903522",0.915145005186716,208,"regulation of heart contraction","regulation of blood circulation",0.913325203252032,0.468333333333333,0.984
"GO:0035567","GO:0035567",29,"GO:0035567",0.915145005186716,68,"non-canonical Wnt signaling pathway","non-canonical Wnt signaling pathway",0.922308943089431,0.461,0
"GO:0043542","GO:0043542",30,"GO:0043542",0.915145005186716,284,"endothelial cell migration","endothelial cell migration",0.943829268292683,0.435333333333333,0
"GO:0045663","GO:0045663",23,"GO:0060538",0.915145005186716,43,"positive regulation of myoblast differentiation","skeletal muscle organ development",0.871211382113821,0.419,0.663
"GO:0002009","GO:0002009",10,"GO:0030856",0.915145005186716,516,"morphogenesis of an epithelium","regulation of epithelial cell differentiation",0.918715447154472,0.3518,0.693
"GO:2000278","GO:2000278",27,"GO:2001032",0.915145005186716,117,"regulation of DNA biosynthetic process","regulation of double-strand break repair via nonhomologous end joining",0.824747967479675,0.321333333333333,0.662
"GO:0043666","GO:0043666",21,"GO:0010923",0.90548380210554,47,"regulation of phosphoprotein phosphatase activity","negative regulation of phosphatase activity",0.792813008130081,0.253666666666667,0.922
"GO:0097435","GO:0097435",31,"GO:0097435",0.904059719252256,845,"supramolecular fiber organization","supramolecular fiber organization",0.945967479674797,0.6165,0
"GO:0099518","GO:0099518",18,"GO:0019896",0.903088944686438,72,"vesicle cytoskeletal trafficking","axonal transport of mitochondrion",0.923170731707317,0.33,0.739
"GO:0034968","GO:0034968",22,"GO:0018105",0.894348139122227,33,"histone lysine methylation","peptidyl-serine phosphorylation",0.875691056910569,0.44075,0.635
"GO:0045109","GO:0045109",31,"GO:0097435",0.888116741162415,73,"intermediate filament organization","supramolecular fiber organization",0.945894308943089,0.6165,0.767
"GO:0006414","GO:0006414",25,"GO:0072344",0.888116741162415,70,"translational elongation","rescue of stalled ribosome",0.869991869918699,0.5285,0.943
"GO:0030099","GO:0030099",6,"GO:0030182",0.888116741162415,430,"myeloid cell differentiation","neuron differentiation",0.918569105691057,0.490166666666667,0.531
"GO:0050769","GO:0050769",6,"GO:0030182",0.888116741162415,242,"positive regulation of neurogenesis","neuron differentiation",0.837146341463415,0.454666666666667,0.699
"GO:0010631","GO:0010631",30,"GO:0043542",0.888116741162415,372,"epithelial cell migration","endothelial cell migration",0.942837398373984,0.429666666666667,0.976
