Protein_Group	Genes	WM793_vs_FMC29_logFC	WM793_vs_FMC29_pval	Removed?	Contaminant?
O75084	FZD7	2.4334258767609	1.15566755455698e-15	No	No
O75159	SOCS5	2.88567722893351	9.37366781777933e-05	No	No
O75330	HMMR	4.83934600372731	0.0001515045510842	No	No
O75509	TNFRSF21	8.17268537319214	7.04263249447011e-20	No	No
O75529	TAF5L	3.47052735552596	0.0073573499594233	No	No
O75553	DAB1	3.03060271501333	0.0004500825040098	No	No
O75578	ITGA10	3.22579710048968	0.0088466344664365	No	No
O75691	UTP20	2.7908542119061	0.0001822978720328	No	No
O75718	CRTAP	2.67023458035856	6.12384463797281e-10	No	No
O75891	ALDH1L1	5.53462316640058	9.32635223618874e-15	No	No
O75897	SULT1C4	2.54552557399801	9.8057995501851e-06	No	No
O75899	GABBR2	3.99925750843409	4.83960432964817e-12	No	No
O75911	DHRS3	3.74142640834664	0.0001098060352704	No	No
O75923	DYSF	4.53148305094317	7.865281725695109e-11	No	No
O75936	BBOX1	4.91647832961471	3.6093957954544795e-11	No	No
O75973	C1QL1	6.80295312709254	5.47639422836173e-11	No	No
O76054	SEC14L2	3.2004973616094	7.30787169470034e-21	No	No
O76061	STC2	4.74170196581515	7.6162500062975e-14	No	No
O76083	PDE9A	2.8349880915134	2.28639661909818e-09	No	No
O76095	JTB	2.6663955740605	2.4722600181006196e-11	No	No
O94760	DDAH1	4.75397398810179	6.96878149601926e-14	No	No
O94808	GFPT2	2.89974150510807	0.0031875181871852	No	No
O94813	SLIT2	3.52810294640453	1.64814674557525e-10	No	No
O94823	ATP10B	5.36728508488425	5.39173571597875e-07	No	No
O94886	TMEM63A	3.32013672590778	3.64679006926115e-15	No	No
O94921	CDK14	2.87786588801474	2.89278665610898e-13	No	No
O94991	SLITRK5	10.2067509422007	3.2707483637347e-22	No	No
O95045	UPP2	3.61552026054262	5.8534713947067e-11	No	No
O95185	UNC5C	3.12991452935574	4.47062051644803e-10	No	No
O95279	KCNK5	8.78077977898975	9.95292088797834e-25	No	No
O95292	VAPB	3.43405538899912	2.0089526250144302e-17	No	No
O95302	FKBP9	5.27079396545544	2.30421492214294e-11	No	No
O95342	ABCB11	6.30050212154729	2.51816433449369e-05	No	No
O95361	TRIM16	3.31797988339834	2.56800673364156e-14	No	No
O95393	BMP10	2.40758778441589	1.52322257493144e-11	No	No
O95460	MATN4	3.75809555502275	0.0006542276841456	No	No
O95479	H6PD	3.70066967735831	1.36024077368783e-06	No	No
O95490	ADGRL2	4.47707142096233	1.77307359990226e-20	No	No
O95498	VNN2	3.85608717011813	1.3723160007187398e-12	No	No
O95755	RAB36	2.41203418355763	4.63101708284384e-10	No	No
O95793	STAU1	2.512351414191	4.86737287038019e-13	No	No
O95857	TSPAN13	9.6906262994673	2.7594404858431604e-25	No	No
O95859	TSPAN12	8.38351403284995	1.3943285107187e-27	No	No
O95870	ABHD16A	2.52874922599643	0.0067519237373554	No	No
O95954	FTCD	7.98707924351427	8.881606940398051e-23	No	No
P00488	F13A1	2.4587741759629	2.97048722794471e-07	No	No
P00533	EGFR	4.34305303392246	1.03628011460531e-27	No	No
P00736	C1R	4.09817638928625	1.07709935001785e-07	No	No
P00973	OAS1	2.77615547947521	0.0002938135415785	No	No
