Protein_Group	Genes	WM793_vs_FMC29_logFC	WM793_vs_FMC29_pval	Removed?	Contaminant?
Q14050	COL9A3	2.59712908356578	1.82987685859908e-05	No	No
Q14112	NID2	4.93072026703501	9.17881185039045e-10	No	No
Q14114	LRP8	3.54944769907458	1.80132312746123e-22	No	No
Q14123	PDE1C	6.62013073491368	1.79829771488963e-23	No	No
Q14126	DSG2	5.13738339798532	1.34071472846072e-24	No	No
Q14137	BOP1	3.42950553089292	1.84607429627991e-05	No	No
Q14142	TRIM14	2.67090247177183	7.42813013081467e-10	No	No
Q14146	URB2	4.70010166975111	5.04174257322864e-06	No	No
Q14392	LRRC32	3.8947257521294	1.35907312556492e-08	No	No
Q14439	GPR176	4.21893357128748	4.1095526747437197e-13	No	No
Q14517	FAT1	2.48108548648998	6.09643604235582e-17	No	No
Q14563	SEMA3A	3.57891947437151	2.55450862828067e-05	No	No
Q14571	ITPR2	2.64778813715969	0.0006477641600931	No	No
Q14596	NBR1	3.16094230692547	1.6534108372600102e-15	No	No
Q14690	PDCD11	3.80096244417093	0.0001504802298092	No	No
Q14691	GINS1	3.66222587260069	0.0001166320371291	No	No
Q14692	BMS1	2.87280103901478	0.0006572692315218	No	No
Q14739	LBR	3.80386321338079	5.82222016431042e-11	No	No
Q14790	CASP8	2.35903695571757	1.1036756082401501e-10	No	No
Q14993	COL19A1	7.24056369686655	6.05340794982073e-18	No	No
Q14CB8	ARHGAP19	3.68991036264918	0.0016282400040592	No	No
Q15004	PCLAF	3.6700027275284	2.16228442160626e-10	No	No
Q15043	SLC39A14	2.92734302620943	9.893476438216021e-20	No	No
Q15053	KIAA0040	3.45160665105159	2.24556858382446e-19	No	No
Q15113	PCOLCE	3.22766986796045	2.02301969398392e-13	No	No
Q15165	PON2	2.49853065768429	3.38605712949087e-12	No	No
Q15198	PDGFRL	3.08544817260055	9.34012158106974e-16	No	No
Q15269	PWP2	2.84281566192717	1.5278596757687002e-10	No	No
Q15389	ANGPT1	2.62352703987114	0.0036572573083996	No	No
Q15392	DHCR24	2.8797924414344	1.64078262295211e-10	No	No
Q15427	SF3B4	2.63046021697578	5.68858662299298e-14	No	No
Q15517	CDSN	3.47620159534122	0.0058601013765715	No	No
Q15526	SURF1	6.04815330369011	1.28148176285591e-06	No	No
Q15582	TGFBI	7.15166465010719	1.5608736359451302e-19	No	No
Q15646	OASL	4.61992149449689	9.56629708948008e-09	No	No
Q15758	SLC1A5	2.87684555042203	6.898946691317361e-20	No	No
Q15760	GPR19	3.25323792362246	1.59326630889552e-13	No	No
Q15772	SPEG	2.50301237073005	0.0048833545831823	No	No
Q16222	UAP1	2.62750393968803	4.83729491388206e-19	No	No
Q16288	NTRK3	4.63881531027444	7.97810443979738e-18	No	No
Q16363	LAMA4	3.39913530200994	1.4456593931613e-07	No	No
Q16549	PCSK7	4.88685667164007	1.39548130083516e-17	No	No
Q16553	LY6E	3.37200631042214	9.252442047760999e-13	No	No
Q16658	FSCN1	3.18838463189678	1.77746388918153e-21	No	No
Q16819	MEP1A	4.11334706834916	1.34955845688778e-12	No	No
Q16850	CYP51A1	2.71483167024716	4.24354380109056e-07	No	No
Q17RY6	LY6K	4.54564915919116	1.87151928151052e-07	No	No
Q2M2H8	MGAM2	2.62479129484556	3.49102551980795e-05	No	No
Q2M3D2	EXOC3L2	7.98530303897445	7.008938013188301e-15	No	No
Q2M3G4	SHROOM1	2.97805278880718	0.0051343736538509	No	No
Q2T9K0	TMEM44	2.5941289977569	3.89472002761088e-07	No	No
Q2TB18	ASTE1	6.2751628248391	7.79692666465197e-10	No	No
Q30154	HLA-DRB5	9.99973698215681	6.26941051847931e-27	No	No
Q30201	HFE	3.04467230109643	9.93405139462185e-12	No	No
Q32P28	P3H1	3.64395668791963	2.4045584649091497e-12	No	No
Q38SD2	LRRK1	2.52504469908889	0.0005597364462571	No	No
Q3B726	POLR1F	5.67681116877859	3.63750677503719e-15	No	No
Q3KP66	INAVA	7.23578540161537	2.5589020049827997e-19	No	No
Q3MIP1	ITPRIPL2	3.15728162632911	5.37596481787728e-08	No	No
Q3SXP7	SHISAL1	6.60205227881339	4.5733250436758e-23	No	No
Q494U1	PLEKHN1	5.68586010473727	1.17232752015654e-18	No	No
Q4G0A6	MINDY4	6.43537447560712	9.17892535000716e-16	No	No
Q52LW3	ARHGAP29	4.39779914044799	3.0566694502549e-13	No	No
Q53EP0	FNDC3B	4.26823816629767	7.66743102181547e-07	No	No
Q53EU6	GPAT3	4.42037581890859	1.1229067382123298e-11	No	No
Q53H47	SETMAR	3.04529918856593	0.000149734460514	No	No
Q587I9	SFT2D3	2.96693642481464	3.01524083492897e-19	No	No
Q5BJF2	TMEM97	3.08980366611402	1.18227076056942e-16	No	No
Q5BJH7	YIF1B	3.50040711207718	0.0002475424366932	No	No
Q5EG05	CARD16	2.40966376117221	1.39636222133481e-16	No	No
Q5GH76	XKR4	9.24529360007318	1.13266245669627e-12	No	No
Q5H9U9	DDX60L	4.88843861966956	1.18309871783653e-06	No	No
Q5JRA6	MIA3	2.75592925435589	0.0012359653471744	No	No
Q5JTC6	AMER1	2.99892814654279	0.0018122557895995	No	No
Q5JTD7	LRRC73	3.68279281932515	1.57160964393819e-07	No	No
Q5JTH9	RRP12	3.30157736917399	1.32921947090641e-05	No	No
Q5JYT7	KIAA1755	3.38875540199629	1.38545033334751e-08	No	No
Q5NDL2	EOGT	5.43024359177189	3.55266929920257e-08	No	No
Q5SQ80;Q5TYW2;Q5VUR7	ANKRD20A1;ANKRD20A2P;ANKRD20A3P	5.24689403241272	8.96175672306171e-07	No	No
Q5SRI9	MANEA	4.66248112334467	4.65737566777517e-07	No	No
Q5T280	SPOUT1	2.62383754538493	0.0054501409370509	No	No
Q5T5P2	KIAA1217	6.76192315797996	2.02436628272602e-10	No	No
Q5T7P8	SYT6	8.00955570142842	1.05363631386545e-13	No	No
Q5T9C9	PIP5KL1	2.72346524439004	1.58447484554772e-05	No	No
Q5TAT6	COL13A1	9.17197672308881	6.77326553449095e-31	No	No
Q5TB30	DEPDC1	2.46640464033961	0.003794185127885	No	No
Q5TF39	MFSD4B	3.0042862583431	7.58597812918716e-12	No	No
Q5U3C3	TMEM164	5.60249931571861	6.47178855800191e-08	No	No
Q5UAW9	GPR157	2.50565020049656	2.06854304430703e-08	No	No
Q5VUB5	FAM171A1	4.71207712264007	9.202038004020871e-20	No	No
Q5VXT5	SYPL2	2.60735821117553	0.0004277817844153	No	No
Q5VZI3	TMEM268	3.02826420082863	3.87489252331404e-07	No	No
Q5VZY2	PLPP4	2.49496142703759	0.0003592056931769	No	No
Q5W0Z9	ZDHHC20	2.40487786767729	4.8786188884157104e-20	No	No
Q5XXA6	ANO1	4.51505468570208	8.16422431654588e-13	No	No
Q63HM2	PCNX4	3.10278635824549	0.0006063797989502	No	No
Q658P3	STEAP3	4.6255400875067	5.84843179321134e-19	No	No
Q66K66	TMEM198	2.67762090384174	8.0427589788372e-11	No	No
Q68CQ7	GLT8D1	4.07756179228202	7.13951138426426e-15	No	No
Q68CZ2	TNS3	2.64191037508931	2.3836718942303503e-19	No	No
Q68D85	NCR3LG1	3.07740982907043	1.55540480106451e-14	No	No
Q69YZ2	TMEM200B	2.4124940104859	2.9849235208717897e-12	No	No
Q6AI12	ANKRD40	2.61166980034487	3.95806654515782e-12	No	No
Q6DKI1	RPL7L1	3.97188282679658	5.61731053457377e-05	No	No
Q6IAN0	DHRS7B	2.82484580059002	5.557755800010219e-12	No	No
Q6MZQ0	PRR5L	2.70147901564528	0.0041690688478814	No	No
Q6NUQ4	TMEM214	7.10321923883863	1.84437225389019e-08	No	No
Q6NVV3	NIPAL1	4.30269199606646	6.8675486788343705e-25	No	No
Q6NZ63	STEAP1B	3.74655209620338	7.60489345533755e-16	No	No
Q6P179	ERAP2	7.67652911034871	1.4378533913962802e-17	No	No
Q6P1A2	LPCAT3	2.63212989787935	5.78336183026876e-06	No	No
Q6P499	NIPAL3	2.56290528541935	1.97505471375237e-05	No	No
Q6P4E1	GOLM2	5.67985249451115	3.35590974392327e-18	No	No
Q6P5R6	RPL22L1	3.28231550874391	9.40742076738859e-17	No	No
Q6P9G4	TMEM154	4.13131407938136	5.50896095294132e-14	No	No
Q6PCD5	RFWD3	2.69194163576798	0.0006406441677077	No	No
Q6PI25	CNIH2	2.43389105286102	4.8761814425912e-09	No	No
Q6PI48	DARS2	3.78099281072016	1.32656408369557e-07	No	No
Q6PIW4	FIGNL1	2.47250911768253	3.32236696575169e-06	No	No
Q6PKX4	DOK6	3.76542544417024	3.3907826022453103e-10	No	No
Q6RFH5	WDR74	2.52773278928069	1.16998189154333e-08	No	No
Q6T4R5	NHS	8.2042372015091	8.95150428787561e-21	No	No
Q6TCH7	PAQR3	4.64271356164492	2.06162723996106e-14	No	No
Q6UVY6	MOXD1	2.39529719478652	2.71714470515584e-08	No	No
Q6UW02	CYP20A1	2.86897269584012	3.2131889572917895e-11	No	No
Q6UW56	ATRAID	3.30446936276185	1.14372312011188e-14	No	No
Q6UW63	POGLUT2	5.83213509044604	6.61882196584929e-08	No	No
Q6UWB1	IL27RA	4.73139137478285	2.15715364433085e-13	No	No
Q6UWH4	GASK1B	5.22750129618603	5.31984249345425e-05	No	No
Q6UWI4	SHISA2	8.71054329729273	1.42910617737421e-16	No	No
Q6UWL2	SUSD1	3.3874551998764	9.64757092720813e-13	No	No
Q6UX53	TMT1B	4.98635636521012	2.18652427470865e-05	No	No
Q6UXD5	SEZ6L2	5.13817088234039	6.88534742614815e-17	No	No
Q6UXH8	CCBE1	9.18828534122915	4.75178691258259e-17	No	No
Q6UXM1	LRIG3	2.9662005026156	6.0845344528525e-19	No	No
Q6UXY1	BAIAP2L2	5.81717949816223	3.1683414878211297e-12	No	No
Q6UY14	ADAMTSL4	3.0834763767236	2.54048002004494e-10	No	No
Q6V0I7	FAT4	5.06007627545008	2.59654990869489e-16	No	No
Q6X4W1	NSMF	4.65468266739541	2.06352935722438e-07	No	No
Q6ZMJ2	SCARA5	3.25759621756956	1.16898200130011e-08	No	No
Q6ZMP0	THSD4	4.16363302689428	5.4380868988826097e-11	No	No
Q6ZMZ0	RNF19B	2.35440588377498	8.32459414663422e-07	No	No
Q6ZMZ3	SYNE3	5.12702719976679	1.19700245027896e-08	No	No
Q6ZN16	MAP3K15	5.94684056976847	6.556969615463351e-14	No	No
Q6ZNA5	FRRS1	2.50356164108899	8.07196122356851e-13	No	No
Q6ZNB7	AGMO	4.36538819513837	1.55661642948516e-15	No	No
Q6ZQW0	IDO2	4.07656908976267	1.85819131499074e-14	No	No
Q6ZV89	SH2D5	5.50128371429524	6.08070771416305e-07	No	No
Q6ZWE6	PLEKHM3	3.36525677683092	0.0003070763872229	No	No
Q70EK8	USP53	4.20508408732763	1.1306332402860999e-12	No	No
Q70YC5	ZNF365	6.72598114369977	1.32763188138872e-09	No	No
Q71F23	CENPU	6.86679089949169	3.06168835641739e-10	No	No
Q71RC9	SMIM5	8.32609837337341	3.1789869277246803e-17	No	No
Q76N89	HECW1	2.51645564595668	0.0026694565820078	No	No
Q7L0X0	TRIL	5.94093383510682	4.08826542902319e-12	No	No
Q7L5N7	LPCAT2	3.36399050570976	7.80696163413246e-11	No	No
Q7L9B9	EEPD1	3.76771386929735	8.90674288556662e-12	No	No
Q7RTT9	SLC29A4	3.70309764654051	2.26159927136818e-13	No	No
Q7RTV2	GSTA5	6.52879492548174	8.1115843948986e-12	No	No
Q7RTY0	SLC16A13	3.1669876285434	6.64604063177381e-07	No	No
Q7RTY1	SLC16A9	9.80465854845639	1.9687388121147302e-35	No	No
Q7Z2H8	SLC36A1	2.87307184130229	1.19472774910511e-08	No	No
Q7Z304	MAMDC2	3.08567124062352	6.0917627627434e-11	No	No
Q7Z3C6	ATG9A	2.73288388972017	6.648105658203801e-16	No	No
Q7Z4F1	LRP10	3.80391367833122	7.85893628099963e-17	No	No
Q7Z4H8	POGLUT3	3.47081755764515	2.7922429625376603e-15	No	No
Q7Z5H3	ARHGAP22	6.31559607508392	4.66267725089938e-07	No	No
Q7Z5N4	SDK1	3.96317199735099	1.04167417106197e-19	No	No
Q7Z698	SPRED2	4.72178451151102	2.04908517224857e-21	No	No
Q7Z699	SPRED1	4.78255505414916	2.2438256841743297e-22	No	No
Q7Z6J6	FRMD5	3.69213842297923	2.27325752983017e-16	No	No
Q7Z6M3	MILR1	3.77456874918028	4.92882802136062e-18	No	No
Q7Z7G0	ABI3BP	2.48745668158494	6.85289978606041e-05	No	No
Q7Z7M9	GALNT5	2.70001347595366	0.0019349546695345	No	No
Q86SF2	GALNT7	4.52410379582241	3.46634614773049e-17	No	No
Q86SJ2	AMIGO2	5.95629199245441	9.1062758902833e-20	No	No
Q86SQ9	DHDDS	2.71671473891472	0.0071101680853869	No	No
Q86TL2	STIMATE	3.17028930466514	0.0008560817653586	No	No
Q86UD0	SAPCD2	5.15225386377793	2.54720151387258e-07	No	No
Q86UF1	TSPAN33	3.46042764802595	4.87217013654413e-15	No	No
Q86UU0	BCL9L	2.72098581634547	0.0017104226105469	No	No
Q86UW9	DTX2	2.92360974696509	8.850004382373129e-18	No	No
Q86UX2	ITIH5	7.18281829042049	4.69980108588623e-15	No	No
Q86VP1	TAX1BP1	4.08808488992932	1.09689298934814e-20	No	No
Q86VR8	FJX1	2.48764443189351	0.0010899188016912	No	No
Q86VY9	TMEM200A	7.70277078439839	2.7795322550887e-18	No	No
Q86VZ5	SGMS1	3.00203598834923	0.0001644427833012	No	No
Q86WI1	PKHD1L1	4.76725494534787	1.181046116589e-15	No	No
Q86WV6	STING1	4.58609309160023	5.48725791677451e-14	No	No
Q86X52	CHSY1	2.62785435753186	2.51919264904302e-09	No	No
Q86XI2	NCAPG2	5.03452347776513	2.18278731594012e-08	No	No
Q86Y01	DTX1	7.17423738381684	2.07923027913733e-17	No	No
Q86Z23	C1QL4	5.88011103605747	2.35640045645185e-06	No	No
Q8IUC8	GALNT13	2.65804114442877	2.19039649612379e-18	No	No
Q8IVD9	NUDCD3	2.88130847040629	2.4129630397996e-14	No	No
Q8IVF2	AHNAK2	6.02713704072593	5.73569241481241e-17	No	No
Q8IVF5	TIAM2	4.29336583717419	1.9400564139278802e-23	No	No
Q8IVG5	SAMD9L	3.47261237591885	2.9100008911351e-06	No	No
Q8IVL6	P3H3	4.5795320260953	2.96846204326869e-09	No	No
Q8IW52	SLITRK4	5.37384569528689	1.5792510510865301e-19	No	No
Q8IWA0	WDR75	3.47357863628998	5.36462146434375e-10	No	No
Q8IWB1	ITPRIP	5.3949454872386	4.41787428633199e-12	No	No
Q8IWU2	LMTK2	3.23933801732591	2.12744852590202e-07	No	No
Q8IWV2	CNTN4	3.92043945950483	3.0447582735245604e-09	No	No
Q8IXL6	FAM20C	3.18444097323971	7.87344720153397e-12	No	No
Q8IXU6	SLC35F2	3.10752927908736	7.007932158952311e-20	No	No
Q8IY50	SLC35F3	5.51189656307683	1.68405089311409e-16	No	No
Q8IYS1	PM20D2	4.60504382288593	3.90311012787532e-10	No	No
Q8IZ81	ELMOD2	3.37537162938662	1.06378494750807e-06	No	No
Q8IZK6	MCOLN2	6.8589636245109	1.97177116688175e-14	No	No
Q8IZM9	SLC38A6	3.99755190526999	0.000176605516492	No	No
Q8IZP9	ADGRG2	4.28534907168729	3.31838190176574e-17	No	No
Q8IZU8	DSEL	5.73283532493664	6.1562829284435805e-09	No	No
Q8N0W4	NLGN4X	3.20950064795058	4.1318189004657e-10	No	No
Q8N126	CADM3	3.38613067498172	2.5946423616948103e-15	No	No
Q8N131	TMEM123	3.62042382066149	6.83584686402163e-13	No	No
Q8N135	LGI4	6.49057211887597	1.7423844171985302e-15	No	No
Q8N158	GPC2	3.16243935349648	0.0038786992574824	No	No
Q8N1Q1	CA13	3.43345924625968	8.07641951114689e-10	No	No
Q8N257	H2BC26	3.41134255634881	2.44092383823773e-13	No	No
Q8N3F9	GPR137C	2.59184301621592	1.97933866779088e-07	No	No
Q8N3V7	SYNPO	3.9017979246927	3.56769311152747e-06	No	No
Q8N441	FGFRL1	5.94617980231338	2.1585959503242702e-19	No	No
Q8N474	SFRP1	6.94903034133785	5.60156284697938e-16	No	No
Q8N4S9	MARVELD2	5.16626815471576	2.85549011846481e-07	No	No
Q8N4X5	AFAP1L2	8.29184860616486	7.01630260091663e-13	No	No
Q8N556	AFAP1	5.04376015277091	2.77996705742109e-20	No	No
Q8N5I2	ARRDC1	2.37166931388737	1.51926026808158e-13	No	No
Q8N682	DRAM1	3.42507370726305	1.38250644612987e-16	No	No
Q8N699	MYCT1	3.08316144789822	2.46048330776289e-10	No	No
Q8N6G5	CSGALNACT2	2.901151798057	0.000105917378037	No	No
Q8N6P7	IL22RA1	3.39681252180475	5.459410063769879e-13	No	No
Q8N6Y2	LRRC17	4.66757948226173	9.02829318329881e-16	No	No
Q8N884	CGAS	5.25662289429758	2.88791025060069e-20	No	No
Q8N8D7	NKAIN3	5.56134460980699	6.98770728945754e-15	No	No
Q8N8N0	RNF152	7.98139933956546	1.8848558459695e-29	No	No
Q8N8Z6	DCBLD1	4.56953294889828	2.2872701246253e-16	No	No
Q8NA29	MFSD2A	4.40281770167873	5.44334054414852e-17	No	No
Q8NB16	MLKL	2.58860257920664	4.12848234512755e-13	No	No
Q8NBJ7	SUMF2	3.97012006958351	1.8442474584901098e-11	No	No
Q8NBM4	UBAC2	3.00139588151807	0.0002097284162183	No	No
Q8NBP0	TTC13	5.19787332875247	1.12275730416816e-07	No	No
Q8NBT3	TMEM145	2.82848340381314	8.56717250930341e-07	No	No
Q8NBW4	SLC38A9	2.35939565034879	1.08894804084912e-11	No	No
Q8NC54	KCT2	2.37108637473693	9.069954248934732e-15	No	No
Q8NC67	NETO2	4.86308178447186	6.4970071894919e-09	No	No
Q8NCC5	SLC37A3	3.80659206633795	3.64891028387314e-13	No	No
Q8NCG7	DAGLB	3.66184454346008	1.5655870172509001e-21	No	No
Q8NCH0	CHST14	3.31070935678594	2.4334918727065e-14	No	No
Q8NDV7	TNRC6A	3.69332867894687	8.04021152430479e-05	No	No
Q8NEW0	SLC30A7	2.8512151774219	1.38421802986138e-16	No	No
Q8NFB2	TMEM185A	2.72269547281788	2.16019910741568e-16	No	No
Q8NFL0	B3GNT7	7.06137719950888	3.0276168344457803e-20	No	No
Q8NFT2	STEAP2	2.35989428971239	2.2291433255223797e-12	No	No
Q8NFZ8	CADM4	5.03617201479011	1.4895933526250802e-20	No	No
Q8NG06	TRIM58	6.5029692035829	6.387853009516401e-26	No	No
Q8NHU3	SGMS2	2.91715689230058	9.932984912357049e-11	No	No
Q8NI17	IL31RA	4.04881875391222	4.47535767390976e-14	No	No
Q8NI99	ANGPTL6	6.07691430339225	3.71272762544971e-11	No	No
Q8TAD7	OCC1	2.53233441094179	5.50134324016852e-09	No	No
Q8TAE6	PPP1R14C	6.15674450725966	8.423832469592369e-30	No	No
Q8TB73	NDNF	3.75228975939747	0.0015575090311857	No	No
Q8TC26	TMEM163	10.8324801660735	9.940026360664459e-40	No	No
Q8TC41	RNF217	3.32217858806627	2.22104738371752e-05	No	No
Q8TCG2	PI4K2B	3.64777960754751	1.32421146350554e-19	No	No
Q8TCT1	PHOSPHO1	3.14781148960752	2.55903783379187e-05	No	No
Q8TCT6	SPPL3	4.43717299027025	5.04138264121446e-07	No	No
Q8TCT8	SPPL2A	2.52949914103407	1.45797753278293e-13	No	No
Q8TCU6	PREX1	4.33743339244542	1.04472398580545e-18	No	No
Q8TDC3	BRSK1	4.53377704385441	4.97416821005777e-06	No	No
Q8TDW5	SYTL5	7.22526553035727	2.95896484085043e-10	No	No
Q8TDW7	FAT3	5.97110070349887	6.20416675856371e-11	No	No
Q8TE58	ADAMTS15	2.43216730425309	0.0093951297565216	No	No
Q8TE82	SH3TC1	3.53474135771169	0.0001186096753335	No	No
Q8TED4	SLC37A2	7.80039163921143	1.9467256488419e-18	No	No
Q8TER0	SNED1	2.57321506298572	4.71733083530339e-05	No	No
Q8TF17	SH3TC2	2.72666686978647	1.56489851303415e-13	No	No
Q8TF64	GIPC3	2.99641283575996	6.098544249042471e-17	No	No
Q8TF66	LRRC15	8.08146185666623	5.28690709094289e-21	No	No
Q8WUB2	FAM216A	6.40780681897096	1.76640517073898e-09	No	No
Q8WUD6	CHPT1	3.38494042769175	4.04609863318724e-11	No	No
Q8WUJ3	CEMIP	5.39950568920771	1.89987024488585e-09	No	No
Q8WUM9	SLC20A1	4.17282909452278	3.99662431975098e-26	No	No
Q8WUY1	THEM6	3.28030835967897	2.44339127129366e-06	No	No
Q8WV15	TMEM255B	6.499151886654	1.82178413980493e-24	No	No
Q8WV83	SLC35F5	2.74421138198474	1.19298370956061e-14	No	No
Q8WVE6	TMEM171	4.1071342626427	3.69449355125286e-08	No	No
Q8WVN6	SECTM1	8.54713663221817	7.84423079598092e-21	No	No
Q8WVP5	TNFAIP8L1	2.93842245129076	2.11824438462097e-11	No	No
Q8WVX9	FAR1	3.83791631316391	4.17610561535698e-08	No	No
Q8WW12	PCNP	2.47041061087445	2.57254501146525e-14	No	No
Q8WWQ8	STAB2	3.14258107523546	3.85907423308031e-07	No	No
Q8WXD5	GEMIN6	2.40445520161189	1.60201229374351e-09	No	No
Q8WXE1	ATRIP	3.86089152928557	1.46274803456101e-05	No	No
Q8WXE9	STON2	4.22408501819827	3.6048532589819e-05	No	No
Q8WXS3	BAALC	5.14382316328906	2.2509240188043797e-18	No	No
Q8WXW3	PIBF1	5.14096246602642	0.0056013059336263	No	No
Q8WYP3	RIN2	5.10820849820787	0.0004019218766852	No	No
Q8WZ75	ROBO4	7.51005809791789	1.45121174625903e-16	No	No
Q8WZA1	POMGNT1	2.45819442871847	0.0010375074200797	No	No
Q92185	ST8SIA1	4.41435945060131	5.83550774502782e-05	No	No
Q92478	CLEC2B	3.36814606795982	4.51979664976769e-15	No	No
Q92520	FAM3C	2.59162012623896	9.765948004058331e-15	No	No
Q92544	TM9SF4	6.44200553919434	1.55443418375111e-18	No	No
Q92545	TMEM131	6.50600481332231	1.4907546266486e-09	No	No
Q92597	NDRG1	2.65210124443509	6.5455607098785894e-18	No	No
Q92626	PXDN	3.0541445096023	1.39245019398873e-05	No	No
Q92633	LPAR1	4.14642763385552	2.364894873821e-05	No	No
Q92686	NRGN	4.4846805568455	1.29104495701681e-14	No	No
Q92819	HAS2	2.93601690232973	9.43400385923643e-07	No	No
Q92824	PCSK5	3.89161530476382	1.14689612497929e-06	No	No
Q92913	FGF13	4.99238963357641	7.00986559615317e-17	No	No
Q92935	EXTL1	3.08215778319221	1.30616605108364e-08	No	No
Q92979	EMG1	2.86617888620162	7.50564735857894e-13	No	No
Q93063	EXT2	6.83928201722918	7.08916608836287e-11	No	No
Q93099	HGD	5.09962996049604	4.99438137846953e-13	No	No
Q969F2	NKD2	6.46846711624463	2.41889154485402e-14	No	No
Q969H8	MYDGF	3.70103271983131	2.44031108398488e-16	No	No
Q969I6	SLC38A4	4.61982797867471	2.7543776189461602e-09	No	No
Q969K7	TMEM54	3.01141764607242	5.6598819462511e-13	No	No
Q969W9	PMEPA1	6.53647550403349	1.4774242301744402e-23	No	No
Q969Z4	RELT	3.0505163389874	2.0789006238062e-13	No	No
Q96A25	TMEM106A	2.96910344247673	3.16328606327987e-06	No	No
Q96A29	SLC35C1	2.59358713824179	7.78128424137955e-05	No	No
Q96A37	RNF166	3.07885639451592	1.96834107736774e-05	No	No
Q96A54	ADIPOR1	3.51156204797638	6.89765862233147e-21	No	No
Q96AD5	PNPLA2	2.51731249114922	0.0053581269264896	No	No
Q96AG4	LRRC59	2.99501256479539	3.1956721843009404e-15	No	No
Q96AH8	RAB7B	8.07085973986516	1.3374695387779399e-18	No	No
Q96AP7	ESAM	4.87103678757993	9.4338342812632e-06	No	No
Q96AQ6	PBXIP1	2.63761359442128	3.58600170105782e-05	No	No
Q96AT1	KIAA1143	2.665109172415	0.0019151180062706	No	No
Q96AW1	VOPP1	4.34322239141761	2.0742985615236099e-16	No	No
Q96AY3	FKBP10	2.70534754268619	4.08857605437301e-11	No	No
Q96B67	ARRDC3	4.35258923961535	3.8525609808608003e-22	No	No
Q96BY9	SARAF	3.22922609027499	1.30362592597641e-08	No	No
Q96C74	ROPN1L	5.32682538063142	4.66270859076432e-08	No	No
Q96CG3	TIFA	4.89790437827086	9.74924266064362e-06	No	No
Q96CG8	CTHRC1	6.02668824795413	2.29019009473738e-11	No	No
Q96CH1	GPR146	4.14362971688127	2.43821725699408e-08	No	No
Q96CN9	GCC1	4.14926821720129	0.0001332650121078	No	No
Q96CW9	NTNG2	3.63286291961493	3.96513583991014e-18	No	No
Q96D15	RCN3	4.35415456193566	1.15733360913107e-20	No	No
Q96D21	RASD2	4.35134157767487	7.14331406348871e-11	No	No
Q96DD7	SHISA4	2.59591343759524	2.95669213247974e-13	No	No
Q96DR4	STARD4	2.98294514173595	1.0174540821066001e-10	No	No
Q96E22	NUS1	3.42327247598354	1.10361860372846e-07	No	No
Q96EE4	CCDC126	3.02171475200248	7.57588535685073e-16	No	No
Q96EN8	MOCOS	5.60429821494359	2.54751467378308e-15	No	No
Q96ER3	SAAL1	3.66949157860613	1.7101115470129098e-11	No	No
Q96EU7	C1GALT1C1	5.18695727931081	1.29620179208495e-07	No	No
Q96FQ6	S100A16	2.58040367780587	6.50779516425156e-18	No	No
Q96FX8	PERP	2.52546166819537	3.08119034968446e-08	No	No
Q96G23	CERS2	2.86022794688252	5.22683283355231e-14	No	No
Q96G27	WBP1	2.35960230137992	0.001236344006741	No	No
Q96G30	MRAP2	2.46904087446531	1.07984087198637e-07	No	No
Q96GQ5	RUSF1	3.09888928980133	0.002751404747648	No	No
Q96GR4	ZDHHC12	3.75126708823546	1.08861342461772e-13	No	No
Q96GU1	PAGE5	14.5317532980969	9.7382208840233e-43	No	No
Q96H55	MYO19	2.57870069606032	0.0062769079453874	No	No
Q96HE7	ERO1A	2.71655387438921	1.0150672082485802e-09	No	No
Q96HR9	REEP6	4.26065174079527	1.53776047672336e-14	No	No
Q96HV5	TMEM41A	3.25251783232547	1.5119445624495802e-14	No	No
Q96IF1	AJUBA	2.99382194456158	1.00938510513905e-05	No	No
Q96IK5	GMCL1	4.62389064964356	4.47038825356596e-13	No	No
Q96J92	WNK4	5.94178615539064	2.41133286548484e-27	No	No
Q96JB8	MPP4	7.13209096829624	6.2238619126089406e-09	No	No
Q96JQ0	DCHS1	3.26432483012068	4.84165831572426e-07	No	No
Q96JQ2	CLMN	5.38478711009947	2.07763039224656e-15	No	No
Q96JT2	SLC45A3	4.9384619980017	1.53466247951691e-24	No	No
Q96JY6	PDLIM2	2.73158693808791	4.29581039308118e-12	No	No
Q96JZ2	HSH2D	9.83010509539092	2.31974762133798e-37	No	No
Q96K12	FAR2	3.69971836535648	1.82590062949296e-05	No	No
Q96KA5	CLPTM1L	3.00619833315688	1.91175986099386e-07	No	No
Q96KC8	DNAJC1	3.01955595100265	4.60487278425221e-10	No	No
Q96KG7	MEGF10	6.60322816768337	2.44432039444909e-16	No	No
Q96KN1	LRATD2	4.81730775738194	1.3728025636291002e-21	No	No
Q96LT7	C9orf72	2.68946440444259	0.00107078420055	No	No
Q96MC5	BMERB1	2.64450528412561	4.56144807870264e-09	No	No
Q96MC6	MFSD14A	2.61735197482827	3.31960839889721e-13	No	No
Q96ME1	FBXL18	2.96525656119437	1.22296864363601e-20	No	No
Q96MK3	FAM20A	2.86099457620113	1.97140900227446e-09	No	No
Q96MX0	CMTM3	2.65660171364158	5.55260918874792e-15	No	No
Q96N76	UROC1	3.70326192335698	7.42371350749946e-12	No	No
Q96NS1	YPEL4	3.36224693787091	3.12913052930633e-06	No	No
Q96NT5	SLC46A1	2.97580855309561	6.420292712849869e-12	No	No
