Protein_Group	Genes	SK-Mel-147_vs_HIM-ST_logFC	SK-Mel-147_vs_HIM-ST_pval	Removed?	Contaminant?
Q14114	LRP8	4.13522786198806	2.23398722173345e-24	No	No
Q14123	PDE1C	5.43523029902412	5.0050729354806305e-21	No	No
Q14393	GAS6	2.59298317138564	4.89814127286997e-12	No	No
Q14439	GPR176	3.64340145090569	1.4528858354489199e-11	No	No
Q14493	SLBP	6.05652716334837	1.13941047018617e-05	No	No
Q14511	NEDD9	4.76551237813851	8.94664187987133e-06	No	No
Q14574	DSC3	3.66607395103047	4.26586366227024e-05	No	No
Q14761	PTPRCAP	3.07377841480122	3.55884351069146e-10	No	No
Q14CS0	UBXN2B	3.48066271329956	2.61062189319641e-08	No	No
Q14D04	VEPH1	5.15741834735859	1.48631038555571e-16	No	No
Q15004	PCLAF	5.62053299984192	6.48494354042517e-15	No	No
Q15053	KIAA0040	3.22370896234345	1.4972844243997299e-18	No	No
Q15366	PCBP2	4.5854209873055	6.79327739421816e-30	No	No
Q15375	EPHA7	5.7430462854584	5.6207825568210604e-14	No	No
Q15399	TLR1	6.49969223742742	0.0002615824427093	No	No
Q15427	SF3B4	4.40745231828295	5.1174643891904303e-20	No	No
Q15434	RBMS2	6.42725964522886	3.4712006476816894e-11	No	No
Q15459	SF3A1	3.63325925023507	8.38869306678801e-20	No	No
Q15464	SHB	2.91896815317912	2.24836915597289e-17	No	No
Q15517	CDSN	4.73052210004547	0.0003465844953891	No	No
Q15637	SF1	3.06008380048725	1.71088210593246e-18	No	No
Q15642	TRIP10	4.86083615199446	4.01150048711642e-20	No	No
Q15650	TRIP4	2.89347850363103	2.59224097814786e-18	No	No
Q15773	MLF2	4.78288803404764	1.29677843860414e-26	No	No
Q15785	TOMM34	3.79130985635105	1.2563653850434401e-21	No	No
Q15828	CST6	4.0510379017479	7.75622860502408e-05	No	No
Q15834	CCDC85B	2.71887843449375	1.55433247232709e-10	No	No
Q16254	E2F4	3.09405051848803	8.930037713083e-05	No	No
Q16342	PDCD2	2.73028722394962	6.075059690563749e-12	No	No
Q16378	PRR4	3.60704715656207	9.38481146737844e-06	No	No
Q16581	C3AR1	4.51178291679888	1.4711793751995101e-15	No	No
Q16653	MOG	4.21258414549624	7.00983628639185e-07	No	No
Q16719	KYNU	2.83370215848555	1.8871289617042602e-14	No	No
Q16819	MEP1A	6.27064169931344	2.31498051251855e-17	No	No
Q16878	CDO1	4.36643169928821	1.98699739392867e-07	No	No
Q17RB0	RTL8B	4.55298934670701	1.6691006758893e-14	No	No
Q17RS7	GEN1	4.07561716185244	1.27085131642481e-10	No	No
Q17RY0	CPEB4	4.37456917200744	8.46554628079615e-06	No	No
Q17RY6	LY6K	4.94518352448522	3.80735698141031e-08	No	No
Q19T08	ECSCR	11.2781525806544	1.6666808638508798e-42	No	No
Q24JP5	TMEM132A	4.88090946048094	1.62259660898435e-19	No	No
Q29980	MICB	4.59397758718918	3.6441448526197404e-20	No	No
Q29983	MICA	5.03981551388068	3.4196304869214703e-25	No	No
Q2M3D2	EXOC3L2	3.74402700960966	2.00585818111246e-07	No	No
Q2MJR0	SPRED3	2.85791241676449	8.07803556025466e-08	No	No
Q2NKX8	ERCC6L	2.59779025243679	7.19623477269313e-13	No	No
Q2TB18	ASTE1	3.1773279330944	0.0001014306675729	No	No
Q30154	HLA-DRB5	7.61219467223864	1.6958839690064102e-23	No	No
Q494U1	PLEKHN1	5.17738630372861	1.54088468194337e-17	No	No
Q49AM3	TTC31	4.65823033910106	4.17581156901307e-08	No	No
Q4VXU2	PABPC1L	6.95556771956025	7.45969838251854e-35	No	No
Q504Q3	PAN2	8.19727124634862	2.02957865974469e-30	No	No
Q52LW3	ARHGAP29	2.6963860477017	2.00558041323711e-08	No	No
Q53EU6	GPAT3	4.4914457995816	7.67902731203257e-12	No	No
Q53EZ4	CEP55	3.07734315463816	2.91227490532187e-20	No	No
Q53GA4	PHLDA2	3.80820363832615	1.3411582530113101e-25	No	No
Q53GL0	PLEKHO1	5.15343309604193	0.0044530061011646	No	No
Q53GS7	GLE1	5.8423918254288	1.5918983508740698e-11	No	No
Q53LP3	SOWAHC	3.86585739329894	1.88322466189863e-13	No	No
Q53SF7	COBLL1	2.98489647667617	1.55754175125378e-19	No	No
Q58A45	PAN3	7.97473628745358	7.069398562810819e-33	No	No
Q58EX7	PLEKHG4	3.18463720978966	0.0003371663055538	No	No
Q58FF6	HSP90AB4P	4.81078247194133	5.40063247279513e-14	No	No
Q5BVD1	TTMP	5.45739976941777	2.34410377709874e-06	No	No
Q5D862	FLG2	2.98592419337046	0.0023898009258544	No	No
Q5HYK7	SH3D19	3.03950391370251	3.71036429931896e-18	No	No
Q5JPI3	C3orf38	2.72655386098504	1.2618239258587799e-12	No	No
Q5JS37	NHLRC3	2.94958493113225	7.682837534025161e-10	No	No
Q5JSZ5	PRRC2B	3.67187552617614	8.91926015515676e-13	No	No
Q5JTC6	AMER1	3.92710749689967	0.0001007661590074	No	No
Q5JUQ0	FAM78A	4.01073908834432	3.31481820775008e-14	No	No
Q5JY77	GPRASP1	8.04087748115428	2.17890627698582e-12	No	No
Q5SQ80;Q5TYW2;Q5VUR7	ANKRD20A1;ANKRD20A2P;ANKRD20A3P	6.66084424471135	1.02519627982539e-08	No	No
Q5T0N5	FNBP1L	4.22107835762872	2.9603197728332e-26	No	No
Q5T6S3	PHF19	4.75720547368176	1.45353336782508e-13	No	No
Q5T750	KPLCE	3.91078688271535	0.0010581876888779	No	No
Q5TAT6	COL13A1	10.6647234289505	7.98385206206047e-33	No	No
Q5TB30	DEPDC1	2.75007063956058	0.001481717327019	No	No
Q5TBA9	FRY	3.09351193070964	0.0001238313132792	No	No
Q5TCY1	TTBK1	2.96652313777925	1.15599694999256e-06	No	No
Q5TCZ1	SH3PXD2A	3.57501201917058	1.13401732706349e-25	No	No
Q5U5Q3	MEX3C	4.23967371387247	4.21231135950912e-06	No	No
Q5VST6	ABHD17B	4.13781760642172	1.39333518783584e-21	No	No
Q5VUB5	FAM171A1	5.61374143124892	6.53444521617266e-22	No	No
Q5VVQ6	YOD1	3.06517499191458	2.22698767736499e-17	No	No
Q5VZY2	PLPP4	2.60746838724417	0.000217826863478	No	No
Q5XG87	TENT4A	5.27597240195936	4.0329652155051e-08	No	No
Q5XXA6	ANO1	4.74442752498748	2.37596636271721e-13	No	No
Q63HM2	PCNX4	3.80597266304182	5.47273450107743e-05	No	No
Q658P3	STEAP3	4.86395021706869	1.4416324935225702e-19	No	No
Q659C4	LARP1B	7.21349396809382	1.60985528940781e-10	No	No
Q68D85	NCR3LG1	3.26239375705464	3.3970546868903705e-15	No	No
Q68EM7	ARHGAP17	3.03601108335702	9.1985271113452e-24	No	No
Q69YL0	NCBP2AS2	3.038057398912	4.66322621193633e-07	No	No
Q6AI12	ANKRD40	4.2994545592935	9.48874740611049e-18	No	No
Q6BCY4	CYB5R2	4.23552384938958	1.31500074422714e-12	No	No
Q6N022	TENM4	4.86123231417833	1.7910278804297798e-12	No	No
Q6NW40	RGMB	6.91615277876182	2.81326913006172e-17	No	No
Q6P158	DHX57	3.70415321156661	4.73410076567198e-19	No	No
Q6P3X3	TTC27	2.81124744671972	3.36528049842706e-06	No	No
Q6P499	NIPAL3	5.19862505329594	2.6794515306053797e-11	No	No
Q6P4E1	GOLM2	2.6749180492871	5.89218623085036e-10	No	No
Q6P9G4	TMEM154	5.52515895241713	2.52866179536648e-17	No	No
Q6PCD5	RFWD3	3.81992598633687	7.46388398139396e-06	No	No
Q6PKG0	LARP1	3.76467321086035	4.31787685060395e-24	No	No
Q6PKX4	DOK6	7.80716793505271	3.24758437631411e-18	No	No
Q6RFH5	WDR74	2.89575749999405	6.66873027357508e-10	No	No
Q6SJ93	FAM111B	7.02327526130911	2.93330932933393e-07	No	No
Q6T4R5	NHS	4.57233367870696	6.72801212196114e-14	No	No
Q6UWI4	SHISA2	4.27236032864829	4.6982329346955e-09	No	No
Q6UWP8	SBSN	4.15897132017417	0.0001856767106751	No	No
Q6UX15	LAYN	7.6016650351016	3.34029134968085e-32	No	No
Q6V0I7	FAT4	4.86372696692432	7.466966045612939e-16	No	No
Q6XE24	RBMS3	4.19365473093529	3.72594942552278e-17	No	No
Q6XZF7	DNMBP	5.70168519286099	1.46509239884643e-26	No	No
Q6ZMP0	THSD4	2.62951415996641	6.36566353549493e-07	No	No
Q6ZN04	MEX3B	4.72272011619412	2.55988837199463e-08	No	No
Q6ZN16	MAP3K15	5.4588631183692	5.65503661280018e-13	No	No
Q6ZQW0	IDO2	4.35598193761292	3.3054696237965104e-15	No	No
Q6ZTN6	ANKRD13D	3.05989937585174	9.1473011797669e-22	No	No
Q6ZUT6	CCDC9B	4.89954215642693	2.2190857852640602e-23	No	No
Q70EK8	USP53	2.83810389345175	8.36939828734414e-09	No	No
Q70EL1	USP54	3.08032872213255	6.36990952787731e-05	No	No
Q71H61	ILDR2	9.5345638314377	6.01054305729193e-20	No	No
Q71RC2	LARP4	7.10386345179844	4.25561930765008e-25	No	No
Q71RC9	SMIM5	7.56460670586332	4.21432674463643e-16	No	No
Q7L1T6	CYB5R4	2.8940022010092	8.90608066461209e-13	No	No
Q7L2K0	TEDC2	4.14720703800303	1.6768684448547901e-09	No	No
Q7L985	LINGO2	2.9276366626077	9.18786558414482e-05	No	No
Q7RTV0	PHF5A	3.40209217401424	7.34401538494488e-17	No	No
Q7RTV2	GSTA5	5.98594277791213	6.21694243948189e-11	No	No
Q7Z2W4	ZC3HAV1	3.63760247955754	1.50183976187133e-26	No	No
Q7Z304	MAMDC2	3.19517421901137	2.7112239277666596e-11	No	No
Q7Z3B1	NEGR1	5.63921922349401	1.52978112611986e-26	No	No
Q7Z417	NUFIP2	4.41647821417471	4.7405277306281595e-11	No	No
Q7Z553	MDGA2	5.12643041209784	2.56857521760239e-14	No	No
Q7Z5H3	ARHGAP22	2.74864886350086	0.0091225449991956	No	No
Q7Z5N4	SDK1	3.40791099534402	6.8379010429826494e-18	No	No
Q7Z698	SPRED2	3.57398434945938	4.9501012767596496e-18	No	No
Q7Z699	SPRED1	2.7001148831378	1.65730152350832e-15	No	No
Q7Z6I6	ARHGAP30	5.72497461481585	1.01577506772123e-09	No	No
Q7Z6J0	SH3RF1	3.73050651869674	5.821905466102361e-14	No	No
Q7Z6J6	FRMD5	4.67213954235713	3.62341940557569e-19	No	No
Q7Z6M3	MILR1	5.38305621614597	2.31110712371934e-22	No	No
Q7Z739	YTHDF3	4.55510696721815	4.20834287041013e-26	No	No
Q7Z7A3	CTU1	2.74409458471181	6.919796993809e-19	No	No
Q86SJ2	AMIGO2	8.47848190877759	3.92573877268419e-24	No	No
Q86SX3	TEDC1	4.98328625364498	4.37377525697257e-13	No	No
Q86U90	YRDC	3.9990624198184	5.91335081495952e-22	No	No
Q86UA6	RPAIN	3.00334800175804	1.17181031434099e-08	No	No
Q86UD0	SAPCD2	8.27821471768508	1.152457988963e-11	No	No
Q86UN3	RTN4RL2	6.95216930992419	7.739334382360011e-17	No	No
Q86US8	SMG6	3.20194145040777	1.15212221813325e-12	No	No
Q86UW6	N4BP2	6.43658834764265	8.07925984107925e-07	No	No
Q86UW9	DTX2	2.82426582214358	2.2751679294275302e-17	No	No
Q86V88	MDP1	3.72165611996394	1.61160711750515e-13	No	No
Q86VZ2	WDR5B	8.90644486319398	2.1242908952318e-08	No	No
Q86W33	TPRA1	2.83474885166056	0.0015889423510358	No	No
Q86WI1	PKHD1L1	5.03078283549083	2.81773253707186e-16	No	No
Q86WQ0	NR2C2AP	3.18342617591407	6.401075103988281e-15	No	No
Q86X55	CARM1	3.09046591814283	5.81769359347846e-25	No	No
Q86XN8	MEX3D	5.32394494526886	1.34866001822675e-16	No	No
Q86YQ8	CPNE8	3.80751399349929	1.3401457397812001e-18	No	No
Q86YV5	PRAG1	4.50325653611999	6.43464935971744e-13	No	No
Q8IV33	KIAA0825	4.20950483848261	4.69851494710546e-10	No	No
Q8IVH8	MAP4K3	2.93140591725767	1.30446891191502e-23	No	No
Q8IW75	SERPINA12	4.47005790218474	0.0001374778083513	No	No
Q8IWW6	ARHGAP12	3.04278162188946	1.93264077285282e-18	No	No
Q8IWZ8	SUGP1	8.43138936837054	7.6163616338513e-19	No	No
Q8IY50	SLC35F3	7.11961126341141	1.4964084409153999e-19	No	No
Q8IYB1	MB21D2	3.94658872536738	2.34796365178723e-16	No	No
Q8IYJ0	PIANP	4.31556909214228	2.57025400494539e-18	No	No
Q8IYS1	PM20D2	3.26483702920252	3.85448425036023e-07	No	No
Q8IZC4	RTKN2	6.13608327638493	6.7844790577091895e-18	No	No
Q8IZH2	XRN1	2.66062796374899	6.85969568469739e-22	No	No
Q8IZU9	KIRREL3	7.78704772615497	8.14066340456403e-14	No	No
Q8N0W4	NLGN4X	5.33206082654305	1.6411475545597001e-15	No	No
Q8N114	SHISA5	2.7384688090493	3.2796625312463702e-09	No	No
Q8N128	FAM177A1	3.05474780285409	4.3722466100285396e-12	No	No
Q8N131	TMEM123	3.34260955848515	4.80675418898004e-12	No	No
Q8N139	ABCA6	4.1795238704484	3.16774769437776e-11	No	No
Q8N158	GPC2	6.51665818737653	4.12277058092698e-07	No	No
Q8N257	H2BC26	5.94679834811403	8.45978221555019e-20	No	No
Q8N2G4	LYPD1	4.51801796272427	3.08199326747563e-22	No	No
Q8N2G6	ZCCHC24	3.58706631703696	1.32078520915709e-10	No	No
Q8N3F8	MICALL1	2.68216870246674	3.92606515763288e-24	No	No
Q8N3J3	HROB	4.56901219284475	0.0009271108649071	No	No
Q8N441	FGFRL1	8.27525294037502	1.82914718006691e-23	No	No
Q8N474	SFRP1	10.5838766244243	5.13433748766727e-21	No	No
Q8N4B1	PHETA1	3.46099172493648	5.4643173155590105e-09	No	No
Q8N4T4	ARHGEF39	3.05107429754425	5.25741486198865e-16	No	No
Q8N5C1	CALHM5	4.06472806612361	2.4081253692452802e-14	No	No
Q8N5U6	RNF10	4.12514823429417	3.61699409293766e-05	No	No
Q8N684	CPSF7	5.28673030702246	5.12666030348766e-26	No	No
Q8N699	MYCT1	5.0006226253509	1.6729448742207402e-15	No	No
Q8N6I1	EID2	2.6849202902726	1.79396291128914e-07	No	No
Q8N6S4	ANKRD13C	3.11371869861319	2.8822342775967097e-11	No	No
Q8N8Z6	DCBLD1	3.67176756256722	7.02159581840506e-14	No	No
Q8NBT0	POC1A	3.81665042016166	1.11003539289696e-07	No	No
Q8NC24	RELL2	3.22309382755035	7.10034868344429e-05	No	No
Q8NC67	NETO2	4.24237719454712	9.6024859427699e-08	No	No
Q8NCS7	SLC44A5	6.45418581056994	1.5755774200304501e-09	No	No
Q8ND25	ZNRF1	4.9261142610985	1.75349418921004e-15	No	No
Q8NDV7	TNRC6A	6.07367191656845	2.40306123676049e-08	No	No
Q8NFH4	NUP37	3.09346330791702	1.46394616485987e-20	No	No
Q8NFJ5	GPRC5A	5.37249764321515	3.25083705955617e-24	No	No
Q8NFP4	MDGA1	7.17423659327959	1.89465079547574e-11	No	No
Q8NG06	TRIM58	6.50720546477041	6.26812431236393e-26	No	No
Q8NG27	PJA1	3.3549816553189	5.54553969475913e-05	No	No
Q8NHG7	SVIP	3.08708807307195	3.44363188878371e-22	No	No
Q8NI17	IL31RA	7.74623836337507	9.23005551962509e-22	No	No
Q8NI99	ANGPTL6	7.3176530926896	4.20044327433116e-13	No	No
Q8TAD7	OCC1	4.76122852126537	1.5191570088206801e-15	No	No
Q8TAI7	RHEBL1	5.47940407882751	5.6341112177097594e-18	No	No
Q8TAS1	UHMK1	8.12806203824684	8.577496064261e-09	No	No
Q8TAT2	FGFBP3	6.32094604228725	5.9646736528863e-11	No	No
Q8TCT1	PHOSPHO1	5.01499225064356	8.12411418245093e-09	No	No
Q8TCU6	PREX1	3.39208992495327	8.30915340244826e-16	No	No
Q8TDM6	DLG5	2.72401841949137	4.9106240625515396e-18	No	No
Q8TEA1	NSUN6	3.96769276898895	1.2035626593854e-20	No	No
Q8TEC5	SH3RF2	3.79026268607398	2.29885861853106e-07	No	No
Q8TEJ3	SH3RF3	3.72190444347086	3.27881589478529e-16	No	No
Q8TEW6	DOK4	2.6996391352267	0.0018929581561258	No	No
Q8TF17	SH3TC2	3.13547714701868	4.300306321952441e-15	No	No
Q8TF66	LRRC15	11.6708931662063	1.3872937683865601e-25	No	No
Q8TF72	SHROOM3	3.05056089139089	1.41657562728211e-11	No	No
Q8TF74	WIPF2	5.45535802130947	9.121806751262621e-20	No	No
Q8WTR4	GDPD5	3.07046522998463	1.20697415384503e-11	No	No
Q8WTS1	ABHD5	2.57747554914698	6.64795796874206e-11	No	No
Q8WTU0	DDI1	3.07504043905824	7.31117094976618e-13	No	No
Q8WUF5	PPP1R13L	5.39252489928825	6.5353200056124e-08	No	No
Q8WUM9	SLC20A1	2.6367152737025	2.0904966482043e-20	No	No
Q8WUX1	SLC38A5	2.92877370479708	6.67558554148526e-12	No	No
Q8WUX2	CHAC2	2.83518028467544	7.07324475600827e-17	No	No
Q8WUY9	DEPDC1B	4.41348573624813	3.60408250074168e-22	No	No
Q8WV24	PHLDA1	3.44290880717579	5.23880787958812e-21	No	No
Q8WV41	SNX33	5.16329281585156	1.33359990771299e-18	No	No
Q8WV99	ZFAND2B	4.04901454443918	2.02708744502771e-19	No	No
Q8WVP5	TNFAIP8L1	5.20247637227491	8.89440009774824e-18	No	No
Q8WVV4	POF1B	3.48492164232427	0.0048062277879377	No	No
Q8WWM7	ATXN2L	5.24485150276785	2.95696137133478e-28	No	No
Q8WWN8	ARAP3	2.7389769643647	9.658913077767651e-15	No	No
Q8WXE9	STON2	6.93847013129175	7.222806238344131e-09	No	No
Q8WYP3	RIN2	8.73228312944356	1.54556107339121e-07	No	No
Q8WZ73	RFFL	3.71143091905929	6.4381120602768204e-09	No	No
Q8WZ75	ROBO4	7.64026904827637	9.13128390968486e-17	No	No
Q92478	CLEC2B	2.68330717862069	1.45105243172792e-12	No	No
Q92503	SEC14L1	2.99939521686355	4.85404230571722e-05	No	No
Q92615	LARP4B	5.62629506985154	3.9922077304183496e-22	No	No
Q92692	NECTIN2	2.67745096779255	5.51830487270464e-21	No	No
Q92879	CELF1	3.32676580462114	1.4989443328190299e-18	No	No
Q92913	FGF13	6.48022995058608	5.2491594600341304e-20	No	No
Q92995	USP13	3.56309503968628	2.6582684850415e-26	No	No
Q93062	RBPMS	2.60451670400523	1.38230235378142e-06	No	No
Q93075	TATDN2	11.5954379027283	5.2769705538001806e-15	No	No
Q93099	HGD	4.35250482135498	2.3042646143971e-11	No	No
Q969W9	PMEPA1	3.9191358139147	2.58763050078085e-17	No	No
Q969X6	UTP4	2.92656327904726	2.98254754703937e-17	No	No
Q96A37	RNF166	7.19270315568065	8.90934088135816e-13	No	No
Q96AH0	NABP1	2.74247532229099	9.3938249806779e-12	No	No
Q96AP0	ACD	5.68244661729789	3.13858521256391e-08	No	No
Q96AP7	ESAM	5.15451139939596	3.95107107799628e-06	No	No
Q96B67	ARRDC3	3.5178430227668	1.5788658257400301e-19	No	No
Q96B70	LENG9	4.69726448481706	1.0612402670927101e-15	No	No
Q96B97	SH3KBP1	3.07767981252109	4.87416118115393e-22	No	No
Q96BD0	SLCO4A1	3.44122263653641	4.630195629382821e-15	No	No
Q96C90	PPP1R14B	2.97159725443085	4.50031309630053e-18	No	No
Q96C92	ENTR1	2.68933762956019	6.52887712333526e-17	No	No
Q96CG8	CTHRC1	2.65784635359403	8.11995129849414e-05	No	No
Q96D09	GPRASP2	7.54520627950292	5.05838370443698e-13	No	No
Q96DC9	OTUB2	4.94132204136966	4.7725829548416095e-11	No	No
Q96DD7	SHISA4	3.10895647874599	2.8757589771777904e-15	No	No
Q96DE0	NUDT16	2.73119745131973	1.37873055144701e-14	No	No
Q96DF8	ESS2	6.04758574910404	3.35318747789628e-05	No	No
Q96DR4	STARD4	2.58502876992187	2.37938604809271e-09	No	No
Q96DR8	MUCL1	4.49578748251786	1.9785269466387901e-10	No	No
Q96EF6	FBXO17	3.47339528380964	1.51913933016392e-18	No	No
Q96EX2	RNFT2	3.18919975588427	0.0012401291764629	No	No
Q96F07	CYFIP2	3.0067618836051	1.26075024716129e-16	No	No
Q96F46	IL17RA	2.64167011150115	1.2954635742193e-20	No	No
Q96FG2	ELMOD3	4.63365402944163	4.84011281837624e-05	No	No
Q96FN4	CPNE2	3.07173445552118	1.29697507745052e-20	No	No
Q96FX8	PERP	5.49375569649327	3.04935933967662e-16	No	No
Q96GS6	ABHD17A	2.59718116811296	2.1007919542435e-15	No	No
Q96GU1	PAGE5	9.94150459950945	7.503852822139e-38	No	No
Q96IF1	AJUBA	6.23794645164859	4.747230379733399e-12	No	No
Q96IU2	ZBED3	3.59372891449762	9.02711054801269e-05	No	No
Q96IZ0	PAWR	5.19557004979968	2.8813413528281697e-11	No	No
Q96J02	ITCH	3.7019704155054	3.44798026133471e-27	No	No
Q96K80	ZC3H10	12.1675108513425	2.83980298044489e-27	No	No
Q96KC2	ARL5B	4.98611961695249	3.26167179806787e-27	No	No
Q96KG7	MEGF10	4.55596783607429	3.301204549362e-12	No	No
Q96KN1	LRATD2	2.7387191587314	7.317869701363111e-15	No	No
Q96MK2	RIPOR3	7.79780951951245	6.90266041563052e-05	No	No
Q96MM7	HS6ST2	8.53515793476143	1.0095798257654999e-19	No	No
Q96MT3	PRICKLE1	8.25094532810808	9.309461945114881e-09	No	No
Q96MX0	CMTM3	4.4966886661054	3.0270484475403402e-21	No	No
Q96N06	SPATA33	3.25383488527068	2.14367899917259e-12	No	No
Q96N76	UROC1	3.35320477275136	7.60712478410345e-11	No	No
Q96NS1	YPEL4	4.62111810878467	9.4776153441963e-09	No	No
Q96NU7	AMDHD1	3.53228987381678	1.7621930934746501e-09	No	No
Q96P63	SERPINB12	4.57234499187697	4.08185690192547e-07	No	No
Q96PD2	DCBLD2	4.63843588017469	5.44687960655738e-26	No	No
Q96PL5	ERMAP	3.90224231001022	1.27388193364531e-12	No	No
Q96PX9	PLEKHG4B	7.03226885387347	5.61105786220957e-24	No	No
Q96PY5	FMNL2	3.30934926616675	9.145242122965939e-18	No	No
Q96Q83	ALKBH3	3.38464921822533	1.05310177787995e-19	No	No
Q96QD5	DEPDC7	2.64635099217947	1.45495074796439e-14	No	No
Q96QZ0	PANX3	4.57474424322691	2.4100254511847104e-09	No	No
Q96QZ7	MAGI1	3.33839591059899	2.1350142622357302e-20	No	No
Q96RF0	SNX18	3.4578172305343	3.88888372613333e-18	No	No
Q96RI0	F2RL3	5.09928890387805	2.6112448174737798e-18	No	No
Q96RS0	TGS1	2.96550497986298	1.91398534995477e-13	No	No
Q96RU3	FNBP1	4.43420333486537	1.02462106929765e-29	No	No
Q96ST8	CEP89	2.62948773907128	1.82246389441841e-05	No	No
Q96T21	SECISBP2	4.74380060184439	1.7237548789074e-08	No	No
Q99490	AGAP2	4.79726943718264	4.4447401608972194e-11	No	No
Q99618	CDCA3	3.69775834729857	2.10542421424072e-16	No	No
Q99683	MAP3K5	2.65763817272007	3.36199743205303e-09	No	No
Q99700	ATXN2	5.42085412974732	2.2483138493949e-29	No	No
Q99715	COL12A1	2.60937154287464	8.21642407426244e-08	No	No
Q99717	SMAD5	2.61749104643243	1.1838949137314399e-18	No	No
Q99741	CDC6	2.91662207032426	0.0009557140864667	No	No
Q99952	PTPN18	3.45092959884727	1.77664746878914e-13	No	No
Q99959	PKP2	8.06603400682426	5.18400374058279e-13	No	No
Q99961	SH3GL1	4.9399441166022	3.97000020418992e-27	No	No
Q99962	SH3GL2	4.99459608326458	2.68552897077243e-27	No	No
Q99963	SH3GL3	8.89692918662554	1.8931619974081202e-25	No	No
Q9BPX5	ARPC5L	3.74371795880408	3.4009669598855104e-25	No	No
Q9BPZ3	PAIP2	6.4152902047548	5.97249687200303e-24	No	No
Q9BQ51	PDCD1LG2	6.55098085020824	2.1746426483739702e-20	No	No
Q9BQC3	DPH2	2.86371605148858	0.0097134545978537	No	No
Q9BQL6	FERMT1	8.591480531973	2.8777901652381402e-25	No	No
Q9BQS7	HEPH	8.01357979537909	7.56010197072551e-18	No	No
Q9BRP1	PDCD2L	3.35259282356445	3.2182828781249102e-19	No	No
Q9BRP8	PYM1	2.70908367896445	4.34052073630849e-10	No	No
Q9BRQ3	NUDT22	3.44080731835038	4.29594307668293e-07	No	No
Q9BSJ6	PIMREG	4.15088081354665	1.57966438579068e-07	No	No
Q9BSW2	CRACR2A	3.69546736199601	3.31217492410989e-07	No	No
Q9BTM9	URM1	2.612588852647	1.21598059628549e-13	No	No
Q9BTV7	CABLES2	3.43504460030191	5.70454306973516e-06	No	No
Q9BUJ2	HNRNPUL1	3.16018940712946	1.49505637602181e-14	No	No
Q9BUT9	MCRIP2	5.22478442678409	3.93665246572627e-09	No	No
Q9BV68	RNF126	3.12773181038607	1.1499030496858102e-15	No	No
Q9BVC6	TMEM109	2.72402423371507	1.4143230935485201e-15	No	No
Q9BWD3	RTL8A	3.22197073669704	9.04021999098683e-14	No	No
Q9BWF3	RBM4	2.60679630934655	6.086289641627141e-19	No	No
Q9BX40	LSM14B	4.31493705956857	4.36355043389102e-17	No	No
Q9BX97	PLVAP	4.30005685377732	1.35760744277474e-13	No	No
Q9BXJ0	C1QTNF5	4.64261933466529	3.4621467028625497e-18	No	No
Q9BYB0	SHANK3	2.59721425457681	3.38654961532301e-07	No	No
Q9BYG0	B3GNT5	2.68251035102746	7.38716147262359e-08	No	No
Q9BYG5	PARD6B	2.81079398419626	3.44570958161165e-10	No	No
Q9BYJ9	YTHDF1	5.35515923477714	1.7823411751722402e-23	No	No
Q9BYT3	STK33	3.64577304702544	2.7554650313773998e-17	No	No
Q9BZ76	CNTNAP3	5.04814447103868	2.10013861639841e-07	No	No
Q9BZD6	PRRG4	6.84761951772139	9.549649293362381e-23	No	No
Q9BZM4	ULBP3	7.31942523554159	4.77983651329988e-23	No	No
Q9BZM5	ULBP2	8.65689603767032	1.55747914200798e-25	No	No
Q9BZR6	RTN4R	4.22101691674728	2.0628082013605703e-09	No	No
Q9C0B9	ZCCHC2	3.89983627597126	3.86987876796278e-07	No	No
Q9C0H5	ARHGAP39	3.2793569306996	1.13281843911915e-15	No	No
Q9GZP0	PDGFD	6.08322005082436	5.389618667167541e-23	No	No
Q9GZV5	WWTR1	4.28872144827386	6.93457229400071e-19	No	No
Q9GZY6	LAT2	4.74162451052448	1.8003249664698302e-14	No	No
Q9GZZ8	LACRT	2.64944097823826	0.0009307592940319	No	No
Q9H000	MKRN2	7.01022007821719	2.9539152621327597e-30	No	No
Q9H013	ADAM19	2.99517654782569	1.49255993147021e-10	No	No
Q9H074	PAIP1	3.57311516399093	9.15513596799341e-22	No	No
Q9H0J9	PARP12	2.71454460567801	1.6162760230731199e-16	No	No
Q9H0M0	WWP1	2.70950716998613	2.4276481846282902e-14	No	No
Q9H190	SDCBP2	2.80755978229755	2.1631368014414402e-14	No	No
Q9H1U4	MEGF9	3.3025848791621	2.3620872470945498e-18	No	No
Q9H227	GBA3	3.63872620094814	6.83426661920658e-06	No	No
Q9H2H9	SLC38A1	3.00126621111115	9.85237551820697e-17	No	No
Q9H2J4	PDCL3	2.68863393773209	2.06158456851152e-07	No	No
Q9H2K2	TNKS2	3.50789029573068	2.7816869407163e-05	No	No
Q9H2U1	DHX36	2.9247491754956	4.97051759465921e-22	No	No
Q9H361	PABPC3	7.13054932907739	1.7446523470861299e-34	No	No
Q9H3F6	KCTD10	3.36488210224935	3.02157267670558e-20	No	No
Q9H3L0	MMADHC	3.8968860623693	1.4426124689758001e-11	No	No
Q9H3M7	TXNIP	2.73001145977744	6.186476130486319e-18	No	No
Q9H3R2	MUC13	6.06570639575663	2.52091945788233e-19	No	No
