Protein_Group	Genes	SK-Mel-147_vs_HIM-ST_logFC	SK-Mel-147_vs_HIM-ST_pval	Removed?	Contaminant?
O75533	SF3B1	2.86438187530408	2.7224793499548402e-15	No	No
O75578	ITGA10	3.29795164923851	0.0075860216121338	No	No
O75581	LRP6	3.54201597380176	5.1448208837662604e-17	No	No
O75635	SERPINB7	4.72147031423942	6.47706622559406e-09	No	No
O75791	GRAP2	3.50835788232095	7.69685276663318e-13	No	No
O75808	CAPN15	5.51791909947065	5.593138467746449e-13	No	No
O75815	BCAR3	3.31648677915014	4.0156808130400404e-17	No	No
O75891	ALDH1L1	4.8772519840445	2.36477796845279e-13	No	No
O75896	TUSC2	2.81795923273788	5.66401217139021e-17	No	No
O75936	BBOX1	5.2764170728585	6.80648753534987e-12	No	No
O75940	SMNDC1	4.15223035919648	0.0020967638641739	No	No
O76083	PDE9A	4.15989484765571	3.06679551160803e-13	No	No
O94856	NFASC	2.92319156349564	2.40922229816535e-12	No	No
O94868	FCHSD2	5.07346990147234	3.63060099038025e-20	No	No
O94889	KLHL18	10.0601995325313	8.85382296710793e-26	No	No
O94906	PRPF6	2.89277865831701	0.000503411744077	No	No
O94929	ABLIM3	4.15287529969558	0.0001816453362365	No	No
O95045	UPP2	3.59646849610949	6.61077832729787e-11	No	No
O95067	CCNB2	3.73595103891782	1.16712422530285e-17	No	No
O95147	DUSP14	2.95223759089474	2.1450792872813302e-14	No	No
O95190	OAZ2	4.22017591783113	6.41174478578638e-15	No	No
O95229	ZWINT	3.21003195115355	1.35752049395346e-12	No	No
O95271	TNKS	3.97700882489089	5.260121137229071e-15	No	No
O95273	CCNDBP1	5.72026958475029	6.6797048195003e-16	No	No
O95342	ABCB11	7.68000284972909	1.18711461371635e-06	No	No
O95429	BAG4	3.22124962996811	3.7237390139270996e-13	No	No
O95445	APOM	2.85052769029925	1.65036412427018e-13	No	No
O95460	MATN4	3.42237869461705	0.0016255468106946	No	No
O95498	VNN2	5.68062822302717	5.97395620981927e-17	No	No
O95551	TDP2	3.64210794130771	2.49104979184901e-21	No	No
O95954	FTCD	8.74226398180512	6.626475990013351e-24	No	No
O96013	PAK4	2.98201253277097	1.4374265590671699e-22	No	No
P00374	DHFR	2.71112429721215	2.03551090066991e-19	No	No
P00451	F8	2.69292595627025	1.36182365060895e-06	No	No
P00533	EGFR	3.56691541180085	3.190944391452e-25	No	No
P01011	SERPINA3	3.04304250035954	0.0018799022288384	No	No
P01040	CSTA	4.70424209458801	8.85936564112551e-07	No	No
P01130	LDLR	5.91112443775638	4.169891654843611e-25	No	No
P01135	TGFA	7.57600495743658	2.12340917534989e-21	No	No
P01583	IL1A	9.58624808801705	4.5460919892993204e-17	No	No
P01584	IL1B	5.24738249645915	3.5687512932040295e-11	No	No
P01591	JCHAIN	4.77150951914446	4.2468346962929405e-20	No	No
P01706;P01709	IGLV2-11;IGLV2-8	2.96243160144531	3.4796972029422203e-15	No	No
P01833	PIGR	4.01585491855808	2.8018318156894e-05	No	No
P01834	IGKC	5.72493232765003	7.34296436923497e-07	No	No
P01857	IGHG1	4.96437150092996	2.13421069475268e-07	No	No
P01859	IGHG2	3.51264570013882	4.25105780619163e-06	No	No
P01876	IGHA1	4.90148743150156	1.89196004928197e-09	No	No
P01893	HLA-H	11.8179265975725	2.83922710720981e-28	No	No
P01903	HLA-DRA	7.7002612165346	1.2384814984219001e-18	No	No
P01909	HLA-DQA1	6.35079428725502	1.57317664590599e-13	No	No
P01911	HLA-DRB1	7.90189448590379	1.17051080999307e-25	No	No
P01920	HLA-DQB1	5.3270411278065	3.2731050087854403e-15	No	No
P02461	COL3A1	3.24192306832674	0.000614774092826	No	No
P02679	FGG	3.91628990254231	6.8329128061702e-05	No	No
P02786	TFRC	3.73987057599173	4.20355693153398e-18	No	No
P02795	MT2A	3.63256786622247	1.01086088148105e-07	No	No
P03973	SLPI	3.63218851612934	0.0009165097037309	No	No
P04114	APOB	5.24131589746387	2.80178280758474e-19	No	No
P04150	NR3C1	3.54357680806008	3.20195571447914e-10	No	No
P04156	PRNP	4.0148192847751	6.58724589061192e-23	No	No
P04180	LCAT	3.30960312573356	8.977363506776909e-12	No	No
P04233	CD74	3.26271606095039	1.4418457632239502e-14	No	No
P04440	HLA-DPB1	6.67513617366353	1.47190309597565e-18	No	No
P04818	TYMS	2.76004203393671	4.1142792548545005e-15	No	No
P05109	S100A8	5.17566811507795	6.37068970376299e-09	No	No
P05120	SERPINB2	4.575149421821	1.6675879233739101e-09	No	No
P05164	MPO	5.2786211148236	1.86868485592577e-11	No	No
P06702	S100A9	4.97085697929318	2.4126464072861402e-09	No	No
P07305	H1-0	5.68572681525785	5.42147380934655e-09	No	No
P07306	ASGR1	7.19774025603776	1.19260107490179e-13	No	No
P07333	CSF1R	3.89526688761107	5.7144111443391094e-12	No	No
P07359	GP1BA	3.63414679248984	1.0594426142355599e-12	No	No
P08138	NGFR	5.03908823689078	1.53327743328983e-18	No	No
P08174	CD55	4.01607505299431	7.69017582965405e-25	No	No
P08253	MMP2	3.17545163390103	1.46790740527199e-10	No	No
P08514	ITGA2B	3.69108986280512	2.58059123105617e-16	No	No
P08567	PLEK	2.62716828265978	2.0522151725774399e-13	No	No
P08572	COL4A2	2.87699672240638	1.9040588990632103e-09	No	No
P08579	SNRPB2	4.96843741259638	5.77069563900836e-17	No	No
P08582	MELTF	2.69687996279255	1.98654418331461e-23	No	No
P08631	HCK	2.8626437212871	3.95560055578161e-12	No	No
P09455	RBP1	7.13572261193783	9.58195823261578e-26	No	No
P09496	CLTA	3.06767708250123	1.88135442474627e-14	No	No
P09497	CLTB	5.2608150477857	2.1558791597560802e-21	No	No
P09661	SNRPA1	4.48995409545886	2.44666118953462e-21	No	No
P09769	FGR	4.28516917205134	1.21199916207929e-10	No	No
P0DOY2;P0DOY3	IGLC2;IGLC3	3.36868705463037	2.5119167060364e-08	No	No
P10155	RO60	2.79852970617831	3.99353730524255e-24	No	No
P10412	H1-4	9.50828982895479	7.24285798549786e-19	No	No
P10586	PTPRF	2.84108528645245	2.8975545393311502e-21	No	No
P11215	ITGAM	4.21357434000557	1.79390811667226e-18	No	No
P11387	TOP1	2.86877796701211	3.24215883774422e-06	No	No
P12271	RLBP1	6.55533939242027	1.91309701565892e-13	No	No
P12273	PIP	4.05298591319777	2.03508981721797e-08	No	No
P13224	GP1BB	3.55768229764765	1.0028681463813099e-13	No	No
P13612	ITGA4	2.59361945425894	1.16962187526438e-12	No	No
P13762	HLA-DRB4	7.30196943867065	6.82908750034564e-05	No	No
P14635	CCNB1	4.76187355778053	2.1716515257748399e-16	No	No
P15018	LIF	6.3700066142041	2.5679737318264697e-22	No	No
P15151	PVR	5.52853643678777	2.84445741386612e-26	No	No
P15328	FOLR1	9.07429986151912	3.3697812865166004e-32	No	No
P15407	FOSL1	5.90913224259392	2.55100828446645e-16	No	No
P15514	AREG	3.49533767974091	8.48040355600185e-05	No	No
P15692	VEGFA	6.72449186536152	2.8953043841311203e-10	No	No
P15941	MUC1	3.37571810768451	8.84432963693461e-08	No	No
P16104	H2AX	5.341540623719	4.93823838944631e-17	No	No
P16150	SPN	5.51846064079396	1.94691877892931e-07	No	No
P16333	NCK1	3.61601186777485	1.3435683557510498e-26	No	No
P16401	H1-5	7.36540002301189	7.35204279684456e-13	No	No
P16871	IL7R	4.05470887233329	9.69601261377032e-13	No	No
P16989	YBX3	3.69017471919871	7.228042579018049e-22	No	No
P17301	ITGA2	4.02974045526776	2.18193391983877e-21	No	No
P17302	GJA1	7.31094002005695	3.68614610463004e-16	No	No
P17568	NDUFB7	2.7437175088886	0.0084325583992615	No	No
P17677	GAP43	7.5872906919269	5.226634073286129e-16	No	No
P17693	HLA-G	2.7452258059492	1.32827203195127e-13	No	No
P17707	AMD1	4.63425327306065	0.0013361150767988	No	No
P18827	SDC1	6.05449348190207	1.86693245391105e-26	No	No
P19022	CDH2	3.38656484527565	2.7771026017456097e-18	No	No
P19256	CD58	3.11199476280352	2.63328224459302e-22	No	No
P19440	GGT1	4.01941841850282	1.34173247151474e-13	No	No
P19801	AOC1	12.6427026754263	1.95239543937659e-29	No	No
P19883	FST	4.38899106911374	2.74790703858838e-11	No	No
P20036	HLA-DPA1	9.08569115434321	2.66837356501164e-26	No	No
P20138	CD33	15.7713439572706	4.47322153229927e-41	No	No
P20273	CD22	9.02725525114887	8.19120388509568e-16	No	No
P20749	BCL3	3.07529758972859	0.0058478729432807	No	No
P20827	EFNA1	3.72647830853818	2.07752699713612e-08	No	No
P20908	COL5A1	2.65913368768171	3.48486446585606e-06	No	No
P20963	CD247	4.59190746308959	8.77093753825434e-16	No	No
P21453	S1PR1	9.31526084904922	1.00259188418293e-21	No	No
P21583	KITLG	3.26807949016199	1.92803058921161e-06	No	No
