Protein_Group	Genes	HIM-ST_vs_FMC29_logFC	HIM-ST_vs_FMC29_pval	Removed?	Contaminant?
O95696	BRD1	2.44831492647153	8.40359877489029e-05	No	No
O95707	POP4	1.8788941950325	0.0003617323176827	No	No
O95786	RIGI	2.36323270595753	6.69932500452151e-13	No	No
O95793	STAU1	1.76052127653718	1.8748086864851e-09	No	No
O95858	TSPAN15	2.75207869620819	4.78603511966671e-13	No	No
O95864	FADS2	2.85876435545818	1.06472637503756e-10	No	No
O95870	ABHD16A	2.67928504325502	0.0043705301459766	No	No
O95967	EFEMP2	2.7337685698585	1.60929993382318e-06	No	No
P00505	GOT2	2.03329607524864	2.46321519695848e-08	No	No
P00533	EGFR	1.85045011244831	3.5787383249689704e-17	No	No
P00736	C1R	3.33598519102658	3.78659702596598e-06	No	No
P00749	PLAU	4.8454941929896	9.03871251822832e-12	No	No
P00918	CA2	3.86999586864244	9.56650555557276e-07	No	No
P00966	ASS1	6.73529428904268	3.96575332852835e-15	No	No
P00973	OAS1	5.1053937980929	2.22054467675638e-08	No	No
P01130	LDLR	1.83510022885815	2.24526967703448e-11	No	No
P01903	HLA-DRA	3.98519023705716	3.0668668137001e-11	No	No
P02452	COL1A1	3.70185658552128	1.8252269450324198e-11	No	No
P02751	FN1	2.13699841431917	4.250025319352e-07	No	No
P04181	OAT	2.18988071951901	2.40058250981203e-05	No	No
P04216	THY1	3.84050472063333	2.2059490668913e-13	No	No
P04440	HLA-DPB1	2.70316143194287	7.709247000002151e-09	No	No
P04637	TP53	6.26099350489742	1.81913158032345e-21	No	No
P05091	ALDH2	2.36731673621578	7.17633391173547e-06	No	No
P05121	SERPINE1	5.88430876785345	5.93748942013485e-10	No	No
P05161	ISG15	2.77070214231884	8.29017319447618e-10	No	No
P05186	ALPL	2.14642805022022	0.0049184507656598	No	No
P05231	IL6	3.126008664207	0.0002099392068312	No	No
P06576	ATP5F1B	2.08625011178958	2.64064881543223e-08	No	No
P07550	ADRB2	3.59896421391005	1.1393215676520099e-18	No	No
P07711	CTSL	1.78919682515273	0.0004240947867916	No	No
P07910	HNRNPC	2.54412994833072	2.0079807196153098e-11	No	No
P07942	LAMB1	1.9419477463544	1.27754872390576e-05	No	No
P07996	THBS1	4.82429991047155	4.618881776794101e-16	No	No
P08123	COL1A2	2.01828106369879	3.49723861821379e-05	No	No
P08138	NGFR	2.6471803263697	2.5906551429600297e-11	No	No
P08243	ASNS	4.57675163923414	3.35912700480325e-12	No	No
P08603	CFH	5.60392177971832	3.4776418869245804e-17	No	No
P08887	IL6R	2.75658877944521	3.63830018202023e-08	No	No
P09496	CLTA	1.9910575929671	6.14175404882648e-10	No	No
P09601	HMOX1	2.50063863085681	0.0014655747494722	No	No
P09619	PDGFRB	2.46136994547091	1.83152994812873e-12	No	No
P09622	DLD	2.76323426304075	1.05918625088568e-06	No	No
P09758	TACSTD2	6.42774922753711	1.8950809400984e-20	No	No
P09871	C1S	1.94214273350895	0.0014098816704407	No	No
P09874	PARP1	2.1828962867124	8.76533540755266e-10	No	No
P09913	IFIT2	2.32038862756885	5.88960585992065e-09	No	No
P09914	IFIT1	3.70347962364701	5.5682617584130995e-12	No	No
P10109	FDX1	1.85372465037401	1.56597416602431e-08	No	No
P10515	DLAT	2.04462675233522	1.52471376068271e-06	No	No
P10586	PTPRF	1.9665547486635	7.89456619020577e-17	No	No
P10606	COX5B	2.269808395364	2.76579664413724e-08	No	No
P10646	TFPI	2.82931862922073	1.01696775916469e-06	No	No
P10909	CLU	3.39097440666105	1.224760741841e-05	No	No
P11047	LAMC1	1.83937932838546	3.84279622048276e-05	No	No
P11177	PDHB	2.10803370817728	1.63513341679736e-06	No	No
P11310	ACADM	2.5226416463441	1.11531140766861e-08	No	No
P11388	TOP2A	2.83038552406973	4.01288433884411e-07	No	No
P11498	PC	4.00496753405722	4.73745879727263e-05	No	No
P12034	FGF5	6.41141520150065	2.4206229527613897e-12	No	No
P12277	CKB	5.66446308028751	2.50888105346127e-13	No	No
P12956	XRCC6	1.80118805908435	1.7268591547273e-12	No	No
P13051	UNG	3.01419726885165	0.0045734056439056	No	No
P13073	COX4I1	1.85397501286174	0.0003483928228596	No	No
P13498	CYBA	4.0165869524246	1.57048671478145e-05	No	No
P13611	VCAN	2.44712720670509	1.86815334067987e-07	No	No
P13612	ITGA4	2.40010377824505	7.66781437887506e-12	No	No
P13674	P4HA1	1.92329255187375	1.53988741321532e-10	No	No
P13747	HLA-E	1.95795244098808	2.4806628843897503e-09	No	No
P13762	HLA-DRB4	11.2234014993923	6.97393363633852e-08	No	No
P13995	MTHFD2	4.16799512347677	3.10998430910283e-05	No	No
P14543	NID1	1.98964279738611	9.03944521377412e-05	No	No
P14625	HSP90B1	2.22068131922227	5.6409381654720404e-14	No	No
P15144	ANPEP	3.16467024608662	8.4476628466724e-11	No	No
P15692	VEGFA	3.73445687772671	1.59281310011407e-05	No	No
P16112	ACAN	6.02865444130591	2.71179791755411e-18	No	No
P16144	ITGB4	1.81404160341677	7.78684378397022e-05	No	No
P16219	ACADS	3.45645370872151	0.0001142551642451	No	No
P16234	PDGFRA	1.84982852959887	2.09722422908282e-05	No	No
P17661	DES	5.96592400014953	6.09793490969673e-22	No	No
P17676	CEBPB	3.7772206192958	4.39228892136636e-05	No	No
P18754	RCC1	2.07595072807882	8.51006327194881e-09	No	No
P18858	LIG1	2.92887389683797	0.0039646796363846	No	No
P18859	ATP5PF	3.59927933764061	3.20846676647192e-06	No	No
P18887	XRCC1	1.81382135583232	9.94820370132543e-05	No	No
P19022	CDH2	1.95432103446289	4.63529948851565e-12	No	No
P19525	EIF2AK2	2.51003588811555	2.74303730817673e-17	No	No
P19823	ITIH2	3.3335736073826	3.94587688038816e-08	No	No
P19883	FST	2.32854299437621	6.78764769839361e-06	No	No
P20036	HLA-DPA1	7.87962411717807	1.65870216331698e-24	No	No
P20290	BTF3	1.92077475394744	3.7943573612715e-08	No	No
P20337	RAB3B	3.62553357434069	2.7094120314785798e-12	No	No
P20591	MX1	4.94271204898273	2.79018361400904e-15	No	No
P20592	MX2	4.71503849508683	3.71675561310645e-18	No	No
P20645	M6PR	2.00504371824038	1.21001599022e-08	No	No
P20700	LMNB1	1.81574957842106	1.2118068349896599e-13	No	No
P20908	COL5A1	3.92687941533456	2.45239510773428e-09	No	No
P21810	BGN	8.26474422697607	3.80292440127215e-26	No	No
P22033	MMUT	2.45644330288377	0.0004740603798214	No	No
P22083	FUT4	2.4809453464656	0.0098077958654776	No	No
P22455	FGFR4	4.75737394098292	2.68539142649223e-09	No	No
