term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__SIROLIMUS,0.3491056599658546,0.9427550955784064,0.8475810411720411,24.70%,FGFR1;RHEB;EML4,DGIdb_Drug_Targets_2024__SIROLIMUS
DGIdb_Drug_Targets_2024__MT 3724,0.2381485412919913,0.9405556220014104,0.8477978202013258,72.45%,RPLP1;RPSA;RPS19;RPLP0;RPL18;RPS3A;RPS3;RPS14;RPL7A;RPS16;RPL29;RPS20;RPS23;RPL35A;RPL5;RPL6;RPL23A;RPS18;RPL3;RPS28;RPL31;RPL11;RPS9;RPL4;RPS2;RPL12;RPL17;RPS25;RPS4X;RPL7;RPL27A;RPL22;RPS15A;RPL15;RPS21;RPL13;RPL19;RPL34;RPL10A;RPS13;RPL27;RPL23;RPS8;RPS7;RPL14;RPS11;RPL35;RPS10,DGIdb_Drug_Targets_2024__MT 3724
DGIdb_Drug_Targets_2024__AMOXICILLIN,0.411214838459579,0.9396043759567858,0.8489732391083499,2.19%,HLA-C,DGIdb_Drug_Targets_2024__AMOXICILLIN
DGIdb_Drug_Targets_2024__GDC 0973,-0.3488478211270819,-0.9390659794853078,0.976687089467462,65.18%,MAP2K4;KRAS;MAP2K1;MAP2K2;MAP2K3,DGIdb_Drug_Targets_2024__GDC 0973
DGIdb_Drug_Targets_2024__CLOZAPINE,0.2767447489167138,0.9363007386201392,0.8502795639227222,55.93%,FASN;HLA-C;MTHFR;NTRK2;ITIH3;SRC;PIK3CG;PRKAB2;ABCC1;RABEP1;HLA-B;NT5E;GCG,DGIdb_Drug_Targets_2024__CLOZAPINE
DGIdb_Drug_Targets_2024__GEFITINIB,0.2654565805924633,0.9302202540491334,0.8558582554460339,49.98%,LYN;CRKL;MAPK14;RELA;SLK;IRAK4;HCK;FLT4;CAMK2G;SIRT2;MINK1;YES1;MAP4K4;FRK;AXL,DGIdb_Drug_Targets_2024__GEFITINIB
DGIdb_Drug_Targets_2024__OXALIPLATIN,0.3083652511303493,0.9279165849936096,0.8591558005191797,57.00%,GNA13;FGFR2;MTHFR;BAX;IGF2BP2;ABCC1;ATP7A;DPYD,DGIdb_Drug_Targets_2024__OXALIPLATIN
DGIdb_Drug_Targets_2024__TEMSIROLIMUS,0.3879037244568185,0.9257032055698704,0.858933520509095,4.10%,CTNNB1,DGIdb_Drug_Targets_2024__TEMSIROLIMUS
DGIdb_Drug_Targets_2024__DISULFIRAM,0.3488757809441952,0.9159878190964572,0.8652403049120588,27.01%,HSD17B10;MTHFR;HSP90AA1,DGIdb_Drug_Targets_2024__DISULFIRAM
DGIdb_Drug_Targets_2024__TRIFLUOPERAZINE,-0.3190324052943861,-0.912707998378086,0.9878742127557042,68.16%,APOB;CBX1;CAMK2B;AKT1;ATXN2;MAPK1,DGIdb_Drug_Targets_2024__TRIFLUOPERAZINE
DGIdb_Drug_Targets_2024__DORAMAPIMOD,0.3103072830708034,0.9106969581766412,0.8705818395991435,46.47%,LYN;MAPK14;PDGFRB;NTRK2;FLT4;YES1;MAP4K4,DGIdb_Drug_Targets_2024__DORAMAPIMOD
DGIdb_Drug_Targets_2024__NICOTINE,0.3111989790871337,0.899290756670861,0.8799144919829889,33.04%,EPB41;NRXN1;TGFB1;BAX,DGIdb_Drug_Targets_2024__NICOTINE
DGIdb_Drug_Targets_2024__PI 88,0.3976777162807436,0.8992264065628037,0.8795921087297571,48.70%,FGFR1;FGFR2;FLT4;HPSE,DGIdb_Drug_Targets_2024__PI 88
DGIdb_Drug_Targets_2024__GABAPENTIN,0.39180902319791,0.8942802944117083,0.8821407423448105,24.23%,COMT;ENO2,DGIdb_Drug_Targets_2024__GABAPENTIN
DGIdb_Drug_Targets_2024__LUSUTROMBOPAG,0.3948063387850248,0.8921463837046629,0.8816071966560247,57.38%,PROC;PROS1;F2;F5,DGIdb_Drug_Targets_2024__LUSUTROMBOPAG
DGIdb_Drug_Targets_2024__ARSENIC TRIOXIDE,0.3231688772406791,0.8916496052649336,0.8816773016276993,45.26%,FGFR1;IKBKB;TXNRD1;MAPK1;SERPINE1;TXNRD2,DGIdb_Drug_Targets_2024__ARSENIC TRIOXIDE
DGIdb_Drug_Targets_2024__CEP 11981,-0.3372119552817704,-0.8869129808255954,1.0,66.34%,EGFR;GSK3B;AKT1;JAK2;FLT4,DGIdb_Drug_Targets_2024__CEP 11981
DGIdb_Drug_Targets_2024__DESIPRAMINE,0.3361033600021302,0.8833699621392712,0.88674089194911,50.39%,COMT;CES1;EPHX1;ARSA;AKT1,DGIdb_Drug_Targets_2024__DESIPRAMINE
DGIdb_Drug_Targets_2024__BGJ398,0.3123077717677072,0.8804513752951341,0.8876437958155423,19.53%,FGFR1;FGFR3;FGFR2;PIK3R1,DGIdb_Drug_Targets_2024__BGJ398
DGIdb_Drug_Targets_2024__FULVESTRANT,0.3810778925485343,0.8724506533095565,0.8936706051649976,44.83%,FGFR2;EML4;EPHX2,DGIdb_Drug_Targets_2024__FULVESTRANT
DGIdb_Drug_Targets_2024__PREDNISONE,0.3035651195537113,0.8695094328939019,0.8953821494650437,18.55%,HSD17B10;PTPRC;TG,DGIdb_Drug_Targets_2024__PREDNISONE
DGIdb_Drug_Targets_2024__GEMCITABINE,0.2532674774786232,0.8653427661807797,0.8975573916982483,25.21%,HLA-C;MTHFD1;ACSS2;DOCK8;FGFR3;MTHFR;XYLT2,DGIdb_Drug_Targets_2024__GEMCITABINE
DGIdb_Drug_Targets_2024__AT9283,0.3788686708319337,0.865137338407257,0.8975100071261207,57.70%,JAK3;YES1;JAK2;RPS6KA3,DGIdb_Drug_Targets_2024__AT9283
DGIdb_Drug_Targets_2024__ISOPROTERENOL,0.3380255349827581,0.8631089289642899,0.8983108148564447,0.41%,HSPA4,DGIdb_Drug_Targets_2024__ISOPROTERENOL
DGIdb_Drug_Targets_2024__ALISERTIB,0.2703553224409248,0.86213004696893,0.8984062260376653,27.78%,FGFR1;SLK;BTK;FGFR3;PTK2;NTRK2;PRKACA,DGIdb_Drug_Targets_2024__ALISERTIB
DGIdb_Drug_Targets_2024__FLUDARABINE,-0.3305954825462012,-0.8596238946396076,1.0,67.00%,MPO;SLC29A1;DCK;PIK3CG;BAX,DGIdb_Drug_Targets_2024__FLUDARABINE
DGIdb_Drug_Targets_2024__CABOZANTINIB,0.3827986300455856,0.8538233876807787,0.9060110984301382,4.10%,CTNNB1,DGIdb_Drug_Targets_2024__CABOZANTINIB
DGIdb_Drug_Targets_2024__PEGINTERFERON ALFA 2A,-0.2545662100456621,-0.8446922003126703,0.9878943751287071,74.61%,EGFR;IFNAR1;HLA-A;SLC29A1;IL18;HLA-B;NT5C2;CALR,DGIdb_Drug_Targets_2024__PEGINTERFERON ALFA 2A
DGIdb_Drug_Targets_2024__LAMIVUDINE,0.2956745569301316,0.8418867230934255,0.9159332193151736,66.70%,NME1;ABCC4;CMPK1;ABCC1;HLA-B;DCK;PGK1;PCYT2;NT5C,DGIdb_Drug_Targets_2024__LAMIVUDINE
DGIdb_Drug_Targets_2024__DACTOLISIB,0.2713286775761622,0.8342703638846022,0.9233555424930562,72.24%,FGFR3;PIK3R1;MAP4K2;PIK3CG;JAK2;CSF1R;PIK3CB;PIK3R6;MAP4K5;MTOR;PIK3R4;LIMK1;KRAS,DGIdb_Drug_Targets_2024__DACTOLISIB
DGIdb_Drug_Targets_2024__PIMOZIDE,-0.3189596167008898,-0.8290238847515453,1.0,68.16%,CBX1;MTOR;IDH1;ATXN2;MAPK1,DGIdb_Drug_Targets_2024__PIMOZIDE
DGIdb_Drug_Targets_2024__SOTRASTAURIN,0.2283217228072071,0.8262974008967034,0.9290835745758624,16.70%,PRKG1;PRKCB;PRKCQ;PRKCD;SLK;PDGFRB;PRKCA;TAOK1,DGIdb_Drug_Targets_2024__SOTRASTAURIN
DGIdb_Drug_Targets_2024__GSK2126458,0.2959152883637356,0.8218444368170842,0.929317851298152,69.33%,PIK3R1;EML4;AKT2;PIK3CG;AKT1;PIK3CB;PIK3R6;MAP2K1;PIK3R4,DGIdb_Drug_Targets_2024__GSK2126458
DGIdb_Drug_Targets_2024__METHADONE,-0.25,-0.8171828972848874,1.0,75.07%,BDNF;LEP;ACHE;CDH2;POR;ALDH5A1;TXNRD2;NTRK2,DGIdb_Drug_Targets_2024__METHADONE
DGIdb_Drug_Targets_2024__TRIAMCINOLONE,0.296223204169728,0.8162063719302807,0.9310864579697596,49.57%,LPL;G6PD;TGFB1;NFKB1;ANXA1,DGIdb_Drug_Targets_2024__TRIAMCINOLONE
DGIdb_Drug_Targets_2024__PKI 587,0.3073059360730594,0.8067584557311298,0.9322569448713371,69.33%,PIK3R1;PIK3CG;PIK3CB;PIK3R6;PIK3C3;CRTC2;MTOR;PIK3R4,DGIdb_Drug_Targets_2024__PKI 587
DGIdb_Drug_Targets_2024__CAPECITABINE,0.2785540055052017,0.8021422661646497,0.935050177567814,0.02%,FAT1,DGIdb_Drug_Targets_2024__CAPECITABINE
DGIdb_Drug_Targets_2024__VASOPRESSIN,0.3196539042871427,0.8018412190158326,0.9350985910355116,54.08%,MAPK14;SERPINE1;THBS4;HSPB1,DGIdb_Drug_Targets_2024__VASOPRESSIN
DGIdb_Drug_Targets_2024__BYL719,0.2940662292772051,0.8008027397115143,0.9342779569864416,69.33%,PI4KA;PIK3R1;PIK3CG;PIK3CB;PIK3R6;PIK3C3;MTOR;PIK3R4,DGIdb_Drug_Targets_2024__BYL719
DGIdb_Drug_Targets_2024__OCTREOTIDE,0.3585584198222171,0.7997127220363552,0.9355614633619714,52.99%,TG;IGFBP1;PIK3CG;PIK3CB,DGIdb_Drug_Targets_2024__OCTREOTIDE
DGIdb_Drug_Targets_2024__SF1126,0.2933369978084753,0.7985916466361743,0.9356738132704556,69.33%,PIK3R1;PIK3CG;PRKDC;PIK3CB;PIK3R6;PIK3C3;MTOR;PIK3R4,DGIdb_Drug_Targets_2024__SF1126
DGIdb_Drug_Targets_2024__EPINEPHRINE,0.2971457517027752,0.7907538469953606,0.9399480742921444,12.26%,HSD17B10;CAST,DGIdb_Drug_Targets_2024__EPINEPHRINE
DGIdb_Drug_Targets_2024__TALAZOPARIB,0.3273697492650425,0.7906385521026179,0.9397083369818726,21.44%,IDH2;PSMD4,DGIdb_Drug_Targets_2024__TALAZOPARIB
DGIdb_Drug_Targets_2024__PI 103,0.3315837517115472,0.7903175950252893,0.9397977831257288,66.89%,PIK3R1;PIK3CG;PIK3CB;PIK3R6;PIK3C3;MTOR,DGIdb_Drug_Targets_2024__PI 103
DGIdb_Drug_Targets_2024__EPTIFIBATIDE,-0.3032169746748802,-0.7868883825124071,1.0,69.74%,FGB;FGG;FGA;ITGB3;ITGA2B,DGIdb_Drug_Targets_2024__EPTIFIBATIDE
DGIdb_Drug_Targets_2024__PALBOCICLIB,0.2611165458747981,0.783360443325998,0.942497906142868,29.26%,ROCK2;TAOK1;PRKAA1;MAP4K2,DGIdb_Drug_Targets_2024__PALBOCICLIB
DGIdb_Drug_Targets_2024__OLANZAPINE,-0.2087711283691183,-0.7819315037126366,1.0,79.19%,BDNF;TBC1D1;ADRA2A;TPMT;GAA;GCG;RABEP1;PRKAB2;GSTM3;MTHFR,DGIdb_Drug_Targets_2024__OLANZAPINE
DGIdb_Drug_Targets_2024__FENRETINIDE,-0.2424657534246575,-0.7778405248017584,1.0,75.82%,CBX1;ALDH1A1;RBP4;MTOR;IDH1;NFKB1;ATXN2;ENO2,DGIdb_Drug_Targets_2024__FENRETINIDE
DGIdb_Drug_Targets_2024__DOXEPIN,0.3066330868492327,0.774384685324258,0.945501794875625,50.39%,COMT;CES1;EPHX1;AKT1,DGIdb_Drug_Targets_2024__DOXEPIN
DGIdb_Drug_Targets_2024__CYCLOPHOSPHAMIDE,0.2468998367451881,0.7682871914441727,0.9476650481504072,41.45%,CTNNB1;CPT1A;BAX;CBR1;ITGAL;SOD2,DGIdb_Drug_Targets_2024__CYCLOPHOSPHAMIDE
DGIdb_Drug_Targets_2024__FLUOROURACIL,0.2145871285211625,0.7650200400737007,0.9501587740123688,47.01%,CSPG4;KLC1;ABCC4;PDGFRB;FGFR2;MTHFR;COLEC10;CBR1;GNAS;IGF2BP2;ABCC1;HSPA5;TYMP,DGIdb_Drug_Targets_2024__FLUOROURACIL
DGIdb_Drug_Targets_2024__PX 866,0.2912095244079572,0.7641875723712899,0.9488769437696007,69.33%,PIK3R1;PIK3CG;PIK3CB;PIK3R6;PIK3C3;MTOR;PIK3R4,DGIdb_Drug_Targets_2024__PX 866
DGIdb_Drug_Targets_2024__OPIOIDS,0.2694804337426476,0.7630765436649521,0.9492247882430191,24.00%,PDE3A;TAOK3;EXOC4,DGIdb_Drug_Targets_2024__OPIOIDS
