term,ES,NES,fdr,Gene %,Genes,description
GO:0120039,0.5452390811165567,1.84071605162716,0.1680597139517717,39.26%,PPP1R12A;NCKAP1;SNX2;DNM2;WASF1;CTTN;TNIK;DBNL;NCKAP1L;TAOK3;SNX1;NRXN1;PLXNB1;PKN1;EPB41L3;PPP1R12C;MINK1;MAP1S;MAP4K4;MYO9B,GO_Biological_Process_2025__Plasma Membrane Bounded Cell Projection Morphogenesis (GO:0120039)
GO:0051873,-0.6622830089426618,-1.8371977852414232,0.3520396791984915,33.90%,CFHR2;CFHR1;CFHR5;PF4;GAPDH;DCD,GO_Biological_Process_2025__Killing by Host of Symbiont Cells (GO:0051873)
GO:0036465,0.6135037595986299,1.835500279413624,0.1710258723010436,28.97%,AP2B1;AP3D1;AP2M1;GIT1;CANX;STON2;SNCA;AP2S1;PIP5K1C;AP3S1;RAB5A,GO_Biological_Process_2025__Synaptic Vesicle Recycling (GO:0036465)
GO:0045116,0.6620014046744922,1.825449691645704,0.1640695035102634,19.75%,COPS4;COPS5;COPS6;COPS7A;NAE1;GPS1;UBA3;COPS3,GO_Biological_Process_2025__Protein Neddylation (GO:0045116)
GO:1990776,0.8117265655590912,1.8245805689066537,0.1603131492389035,8.90%,ROCK2;ROCK1;PRKCD;RELA,GO_Biological_Process_2025__Response to Angiotensin (GO:1990776)
GO:0010875,-0.5856353591160222,-1.8194695762481696,0.3530491119703868,41.57%,ADIPOQ;APOA1;APOE;PLTP;CES1;PON1;NFKB1,GO_Biological_Process_2025__Positive Regulation of Cholesterol Efflux (GO:0010875)
GO:0007264,0.465624740882702,1.8170499043848105,0.1684906362952378,19.01%,ROCK2;ARHGAP6;CYFIP1;WAS;NUCB2;CELSR1;NCKAP1;ROCK1;GRAP2;DOK3;GNA13;BRK1;RAP2B;RAP1A;RAB18;WASF1;DOK2;DBNL;G3BP2;PRKCSH;BCR;RHOA;ARHGEF7;DOK1;VAV1;ARHGAP4;RRAS;RALA;ARHGEF1,GO_Biological_Process_2025__Small GTPase-mediated Signal Transduction (GO:0007264)
GO:0007266,0.5749271058290044,1.812452642457986,0.1719482334535892,19.01%,ROCK2;ARHGAP6;WAS;CELSR1;ROCK1;GNA13;RHOA;ARHGEF7;ARHGAP4;ARHGEF1,GO_Biological_Process_2025__Rho Protein Signal Transduction (GO:0007266)
GO:0070301,0.679608302660424,1.808566055628096,0.1738051965630719,18.36%,PPIF;PRKCD;RELA;FYN;HDAC6;MAP3K5,GO_Biological_Process_2025__Cellular Response to Hydrogen Peroxide (GO:0070301)
GO:0007193,0.6909094574403412,1.791220915078585,0.198851692197243,25.24%,GNAI2;AKAP12;APP;PRKCA;GNAI3;FLNA,GO_Biological_Process_2025__Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193)
GO:0019682,-0.6807783328950828,-1.7902201548564989,0.3800892923475326,32.04%,SHPK;TKT;TPI1;RPIA;TALDO1,GO_Biological_Process_2025__Glyceraldehyde-3-Phosphate Metabolic Process (GO:0019682)
