Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Category
prerank,DGIdb_Drug_Targets_2024__QUERCETIN,0.2597575500698992,0.7990812256374735,0.7730569948186529,0.9661503889374938,1.0,8/18,38.57%,CD34;YES1;NFKB1;GALK1;PIK3CB;RELA;HSD17B10;NFKB2,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__AZACITIDINE,0.3044099274643072,0.7967239356305238,0.7429854096520763,0.9662177439030986,1.0,3/9,24.21%,HTT;CBL;MTHFR,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__TALAZOPARIB,0.3355504617935939,0.7963390826422289,0.7551515151515151,0.966419088356329,1.0,2/6,20.02%,PSMD4;PTEN,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__PI 88,0.3632702499952936,0.786414642038882,0.7762326169405815,0.9714142664572166,1.0,2/5,20.80%,FGFR2;FGFR1,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__GABAPENTIN,0.3480401880024365,0.7789621398812245,0.797011207970112,0.9681549300977498,1.0,1/5,7.08%,COMT,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__JNJ 26483327,0.3302469283238319,0.7776414914427197,0.7488372093023256,0.966900669113789,1.0,5/6,56.24%,YES1;LYN;FYN;FLT4;SRC,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__THIOGUANINE,-0.2346803263137924,-0.7664264400025246,0.824,0.9465329790744732,1.0,8/8,76.59%,HBB;GGH;IMPDH1;IDH1;NAT1;CPT1A;NT5C2;PRPS1,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__DAUNORUBICIN,0.230479185530323,0.7623615431023688,0.8240165631469979,0.9718111385386252,1.0,12/22,50.73%,HTT;MAN1B1;ABCC1;MTHFR;NRP2;RPSA;DCK;CPT1A;SOD2;IDH2;HDAC5;HDAC6,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__GDC 0973,0.2998274713425035,0.7576808735117545,0.7862950058072009,0.9735458368338596,1.0,5/8,47.87%,MAP2K3;MAP2K4;NF1;MAP2K1;MAP2K2,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__CURCUMIN,0.2331098669851485,0.7549714616155544,0.8209876543209876,0.9749213327383832,1.0,11/21,52.23%,GLS;TUBB6;CCN2;SMAD2;TUBB4A;TUBB;APP;PTGS1;TUBA4A;TUBB4B;TUBB1,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__ATEZOLIZUMAB,0.2834739874774,0.7535408455117125,0.822742474916388,0.9756764418347444,1.0,4/9,36.52%,PTEN;FGFR3;JAK3;CD274,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__DOXORUBICIN,0.2135118264156686,0.7517250314685142,0.8534136546184738,0.9757495719624468,1.0,25/35,67.53%,ABCC4;SDHB;ABCC3;PIK3CG;CLCN6;PIK3CB;RPSA;CD274;MAPK14;CPT1A;TGFB1;SOD2;NTRK2;MTHFD1;LRP1B;TGM2;FCGR2A;SRC;AKR7A2;NT5E;G6PD;TPMT;BAX;GSTM3;CASP3,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__CYCLOPHOSPHAMIDE,0.2429029109262312,0.7515095613826785,0.8303850156087409,0.9752652134572612,1.0,14/17,67.49%,CTNNB1;ABCC3;PPP2R5D;FOXO1;CPT1A;SOD2;FCGR2A;ITGAL;IRS1;RAC2;FGFR4;TPMT;BAX;MAPK3,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__DICLOFENAC,0.3180205394874864,0.7454608994883585,0.8170011806375442,0.9765183715894192,1.0,1/6,7.69%,PLA2G4A,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__PREDNISONE,0.2593158966239781,0.7434273509922923,0.816304347826087,0.9771685624729256,1.0,5/12,38.15%,PTPRC;TG;ANXA1;NFATC1;HSD17B10,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__AT 7519,0.3047288608442108,0.7421299564517657,0.8147295742232451,0.9768952918236908,1.0,2/7,16.69%,YES1;CDK3,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__METFORMIN,0.2488255036943782,0.7409766407440983,0.8294979079497908,0.9768482489826056,1.0,8/15,50.39%,MTOR;PRKAB2;PTEN;PRKAB1;MAP2K1;NBEA;PRKAA1;PRKAG1,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__PENTOXIFYLLINE,-0.2443095599393019,-0.7383878374952175,0.810126582278481,0.9417118473818904,1.0,7/7,75.62%,PCNA;PDE6D;ITGB2;VWF;PDE5A;PDE3A;PDE2A,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__HYDROCHLOROTHIAZIDE,0.2517219305830901,0.7380712261504703,0.8498942917547568,0.9762960371205728,1.0,12/14,68.18%,GRK5;LRRC15;NUCB2;USP5;PDE3A;PTGS1;PRKCA;CSK;PRKAG2;SERPINE1;ADO;VASP,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__ATORVASTATIN,0.2397146609216425,0.7234571385391408,0.8496319663512093,0.9749054326440252,1.0,9/15,58.27%,CD40LG;POR;PIK3CG;MTHFR;TGM2;HSPD1;LEPR;LIPC;ITGAM,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__CI 1040,0.2590111445197154,0.7193697866426789,0.8655737704918033,0.9769379947793126,1.0,6/11,50.99%,RPS6KA1;AKT1;ROCK1;MAP2K1;MAP2K2;PRKCA,DGIdb_Drug_Targets_2024
