term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__BYL719,0.6692455216593454,1.888672957594404,0.4814281423018615,25.80%,PIK3R1;PI4KA;MTOR;PIK3CG;PIK3R4;PTEN;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024__BYL719
DGIdb_Drug_Targets_2024__BGJ398,0.651359143374924,1.86547508233042,0.4382167091798718,25.80%,PIK3R1;MTOR;FGFR2;PIK3CG;PIK3R4;FGFR1;FGFR3;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024__BGJ398
DGIdb_Drug_Targets_2024__ACETAZOLAMIDE,-0.7349294037676848,-1.8258888294165416,0.2015811545007534,4.62%,CA3;CA1;MMP2,DGIdb_Drug_Targets_2024__ACETAZOLAMIDE
DGIdb_Drug_Targets_2024__METFORMIN HYDROCHLORIDE,0.4920936070997483,1.8046332087171228,0.4627911501538277,37.58%,NDUFA10;MT-ND5;NDUFS3;MTOR;NDUFA9;NDUFV1;NDUFA13;NDUFS2;NDUFS4;NDUFS8;NDUFA6;NDUFB3;NDUFA12;NDUFS5;NDUFA2;NDUFA11;NDUFB1;NDUFB4;NDUFA8;NDUFAB1;NDUFB8;NDUFA1;GPD2;NDUFB9;MT-ND4;NDUFAF4;NDUFS1;NDUFV3;NDUFS7;PRKAB1;NDUFV2;NDUFA5;NDUFA4;MT-ND1;NDUFS6,DGIdb_Drug_Targets_2024__METFORMIN HYDROCHLORIDE
DGIdb_Drug_Targets_2024__GEDATOLISIB,0.7132730214683494,1.8037148490291284,0.4326725529043847,27.18%,PIK3R1;MTOR;AKT1;PIK3CG;PTEN;PIK3CB;AKT1S1,DGIdb_Drug_Targets_2024__GEDATOLISIB
DGIdb_Drug_Targets_2024__BUPARLISIB,0.6818241895504791,1.784430270373275,0.4408555753247262,23.81%,PIK3R1;FGFR2;PIK3CG;PTEN;FGFR1;PIK3CB,DGIdb_Drug_Targets_2024__BUPARLISIB
DGIdb_Drug_Targets_2024__PX 866,0.6264070185550046,1.7681430147593131,0.4446836673309129,25.80%,PIK3R1;MTOR;PIK3CG;PIK3R4;PTEN;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024__PX 866
DGIdb_Drug_Targets_2024__PICTILISIB,0.618124583849825,1.7426807256254344,0.4310740089897133,23.81%,PIK3R1;JAK2;YES1;PIK3CG;PTEN;FGFR1;FGFR3;PIK3CB,DGIdb_Drug_Targets_2024__PICTILISIB
DGIdb_Drug_Targets_2024__XL147,0.6420462925081998,1.730754043402854,0.4248904351483575,25.80%,PIK3R1;PIK3CG;PIK3R4;PTEN;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024__XL147
DGIdb_Drug_Targets_2024__BAY80 6946,0.6838744194065208,1.7207886764615632,0.4172804108688585,23.81%,PIK3R1;PIK3CG;PIK3R4;PTEN;PIK3R6;PIK3CB,DGIdb_Drug_Targets_2024__BAY80 6946
DGIdb_Drug_Targets_2024__DS 7423,0.7415601004124823,1.7146231447870894,0.3687493624489429,23.81%,PIK3R1;MTOR;PIK3CG;PTEN;PIK3CB,DGIdb_Drug_Targets_2024__DS 7423
DGIdb_Drug_Targets_2024__VS 5584,0.7415601004124823,1.7146231447870894,0.3687493624489429,23.81%,PIK3R1;MTOR;PIK3CG;PTEN;PIK3CB,DGIdb_Drug_Targets_2024__VS 5584
DGIdb_Drug_Targets_2024__PF 04691502,0.7415601004124823,1.7146231447870894,0.3687493624489429,23.81%,PIK3R1;MTOR;PIK3CG;PTEN;PIK3CB,DGIdb_Drug_Targets_2024__PF 04691502
DGIdb_Drug_Targets_2024__PI 103,0.6577030520678574,1.7069192906285169,0.3721925781067694,25.80%,PIK3R1;MTOR;PIK3CG;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024__PI 103
DGIdb_Drug_Targets_2024__ETHOXZOLAMIDE,-0.6868357652647895,-1.7021298747786593,0.2577515894912685,0.49%,CA3;CA1,DGIdb_Drug_Targets_2024__ETHOXZOLAMIDE
DGIdb_Drug_Targets_2024__SULTHIAME,-0.6868357652647895,-1.7021298747786593,0.2577515894912685,0.49%,CA3;CA1,DGIdb_Drug_Targets_2024__SULTHIAME
DGIdb_Drug_Targets_2024__SF1126,0.6053823827051497,1.7020073052190927,0.3826355910038776,25.80%,PIK3R1;MTOR;PIK3CG;PIK3R4;PTEN;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024__SF1126
DGIdb_Drug_Targets_2024__RITONAVIR,0.7109237263096022,1.664325831781063,0.4135433107254839,9.60%,TOMM40;ABCC1,DGIdb_Drug_Targets_2024__RITONAVIR
DGIdb_Drug_Targets_2024__GDC 0941,0.6630205976152692,1.663642678271472,0.4093270731575681,25.80%,PIK3R1;PIK3CG;PIK3R4;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024__GDC 0941
DGIdb_Drug_Targets_2024__METHYLPHENIDATE,0.5706833665094309,1.662129268119445,0.4020186911392958,21.54%,HTT;CDH23;CORO7;FXR2;SLC6A4;ESYT2;ETFDH,DGIdb_Drug_Targets_2024__METHYLPHENIDATE
DGIdb_Drug_Targets_2024__CARFILZOMIB,0.4562020276035279,1.649843952873467,0.4322942539115909,47.38%,PSMC1;PSMB7;PSMC4;PSMD5;ADRM1;PSMD8;PSMD4;PSMF1;PSMD11;PSMC2;PSMD13;PSMD3;PSMD6;PSMA7;PSMC6;PSMD7;PSMD2;PSME4;PSMB10;PSMD9;PSMB3;PSMB1;PSMB9;PSMA4;PSMB2;PSMA3;PSMC5;PSMB8;PSMB4;PSMB5;PSMD14;PSMD1;PSMA6;PSMC3;PSMA5;PSMA1;PSMA2,DGIdb_Drug_Targets_2024__CARFILZOMIB
DGIdb_Drug_Targets_2024__ERDAFITINIB,0.7448303936529042,1.647875569720671,0.4211429583893877,22.58%,FGFR2;PTEN;FGFR1;FGFR3,DGIdb_Drug_Targets_2024__ERDAFITINIB
DGIdb_Drug_Targets_2024__AZD 1080,0.6326742868128166,1.6016513565352726,0.4468879833490428,33.36%,MINK1;CAMK2G;MARK2;GSK3A;PRKD2;GSK3B,DGIdb_Drug_Targets_2024__AZD 1080
DGIdb_Drug_Targets_2024__PKI 587,0.5988787241991005,1.589520017834841,0.439141490395814,25.80%,PIK3R1;MTOR;PIK3CG;PIK3R4;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024__PKI 587
DGIdb_Drug_Targets_2024__PONATINIB,0.5467436582396525,1.587335963467163,0.4283928533233068,22.58%,EML4;BCR;FGFR2;YES1;FGFR1;PDGFRA;PDGFRB;FGFR3,DGIdb_Drug_Targets_2024__PONATINIB
DGIdb_Drug_Targets_2024__BEZ235,0.5918723945371901,1.586502796872875,0.4277730609625246,25.80%,PIK3R1;MTOR;PIK3CG;PIK3R4;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024__BEZ235
DGIdb_Drug_Targets_2024__SIMVASTATIN,-0.3755615898395139,-1.5820599457781752,0.2825600762857935,43.74%,MMP2;ABCB1;PLTP;ICMT;PON1;RHOA;THBD;IDH1;TPM3;APOA5;THBS1;LIPC;LEPR,DGIdb_Drug_Targets_2024__SIMVASTATIN
DGIdb_Drug_Targets_2024__LESTAURTINIB,0.7221587507928838,1.578384223122314,0.4356363662761332,4.70%,MTOR;HTT;JAK2,DGIdb_Drug_Targets_2024__LESTAURTINIB
DGIdb_Drug_Targets_2024__ZSTK474,0.6765890072031983,1.5740091252764234,0.4406412973159166,23.81%,JAK2;PIK3CG;PTEN;PIK3CB,DGIdb_Drug_Targets_2024__ZSTK474
DGIdb_Drug_Targets_2024__NINTEDANIB,0.5825966671307726,1.5605840259610375,0.4536483394617374,22.58%,FGFR2;AKT1;FGFR1;PDGFRA;PDGFRB;FGFR3,DGIdb_Drug_Targets_2024__NINTEDANIB
DGIdb_Drug_Targets_2024__LEUCOVORIN,0.5234375114492283,1.5548520571241518,0.4525700936117326,31.31%,ABCC4;RALBP1;FGFR2;ABCC1;CSPG4;DPYD;PDGFRB;UMPS;KLC1;SHMT1,DGIdb_Drug_Targets_2024__LEUCOVORIN
