term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0042102,0.8162256,1.376505,2.135277,VCAM1;TFRC;EBI3;IL18;HMGB1;IGF1;LILRB2;SLC7A1;PPP3CA;CD40LG;PTPRC;CCL5;LEP;NCK2;RPS3;NCKAP1L;JAK2;CD46;IL6ST;HLA-DRB3;HLA-DPA1;NCK1;CD276,Positive Regulation of T Cell Proliferation (GO:0042102)
GO:0050778,0.8162256,1.376505,2.135277,CD74;CPT1A;TGFB2;ITGAM;CD81;KARS1;RIOK3;ITGB2;PTPRJ;IFI35;NMI;C8A;PSMA7;C8G;PTPRC;DDRGK1;CCL5;CD226;STX4;CD46;IL6ST;HLA-DRB3;HLA-DPA1,Positive Regulation of Immune Response (GO:0050778)
GO:0006487,0.8162256,1.376505,2.135277,ST6GAL1;B4GALT1;RPN2;ENTPD5;ALG5;RPN1;GFPT1;PMM2;MAGT1;DDOST;TMEM165;UBE2J1;DPM1;KRTCAP2;FUT8;DAD1;MGAT5;MGAT4B;PGM3;STT3A;STT3B;ST3GAL1;UGGT1,Protein N-linked Glycosylation (GO:0006487)
GO:0050679,0.8162256,1.288435,1.99223,NOTCH2;NRP1;ECM1;NRP2;PDCD6;FLT4;ITGB3;CLSTN1;PDGFB;HMGB2;EMC10;MIA3;LAMC1;RTN4;THBS4;TGM1;MYDGF;AKT1;STAT5A;EGF;GDF2;PRKCA;LAMB1;IGF1;BMP5;NME1;PDCL3;SFRP1;PLXNB3;CDH13;CDH15;SCG2;FGFR2,Positive Regulation of Epithelial Cell Proliferation (GO:0050679)
GO:0007188,0.8162256,1.323162,2.04212,APP;GNAZ;RAMP3;GNAI3;ADCY6;GNAI1;GNAI2;AKAP12;GNA13;C1QTNF1;ADGRG2;ADGRE5;PRKAR2B;TBXA2R;PRKAR2A;ADGRG6;PRKACB;WASF2;PRKCA;ADGRD1;PRKAR1A;GNAQ;ADGRF5;GNAS;RAPGEF2;ADGRL4;ADGRL2;PF4,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)
GO:1903557,0.8162256,1.323162,2.04212,APP;HSPB1;LPL;LY96;PTPRJ;HMGB1;CLU;THBS1;PPP1R9B;PLCG2;LBP;JAK2;ARFGEF2;TGFB1;SYK;NDUFA2;STAT3;PTPN11;AZU1;HLA-E;MAVS;FCGR2A;PTPRC;FRMD8;OAS3;ARHGEF2;S100A9;PF4,Positive Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)
GO:0048584,0.8162256,1.421125,2.15389,APP;TGFB2;PCNA;ACTL6A;ILK;BRCC3;C8A;UCHL5;PSMA7;BABAM1;BABAM2;MAVS;C8G;TRIM28;RUVBL2;RUVBL1;RPS3;HLA-DRB3;HLA-DPA1,Positive Regulation of Response to Stimulus (GO:0048584)
GO:0051924,0.8162256,1.421125,2.15389,CAMK2B;CD84;TRPC6;EPB41;EGF;F2R;CAMK2A;STC1;IL16;SRI;ATP2B1;LILRB2;MYLK;STIM1;TMX1;CCL5;HRC;CTNNB1;CAMK2G,Regulation of Calcium Ion Transport (GO:0051924)
GO:0006116,0.8162256,2.093118,3.166265,MDH1;MDH2;GPD2;GOT2;GPD1L;SLC25A11;SLC25A13,NADH Oxidation (GO:0006116)
GO:0048675,0.8162256,2.093118,3.166265,CYFIP1;NRP1;NRP2;PPP3CB;USP9X;MAP1B;SEMA3F,Axon Extension (GO:0048675)
GO:0035458,0.8162256,2.093118,3.166265,NDUFA13;IFITM2;PNPT1;STAT1;CAMK2A;UBE2K;IFNAR1,Cellular Response to Interferon-Beta (GO:0035458)
GO:0071451,0.8162256,2.093118,3.166265,PRDX2;CCS;PRDX1;PARK7;SOD2;SOD3;SOD1,Cellular Response to Superoxide (GO:0071451)
GO:0050982,0.8162256,2.093118,3.166265,TTR;JUP;CDH2;PECAM1;CTNNB1;PKD1;PTK2,Detection of Mechanical Stimulus (GO:0050982)
GO:0090557,0.8162256,2.093118,3.166265,TJP1;RAB1A;RAP2B;RAB1B;RAPGEF2;F11R;TJP2,Establishment of Endothelial Intestinal Barrier (GO:0090557)
GO:0002768,0.8162256,2.093118,3.166265,LYN;FGR;PIGR;KIT;LILRB2;FCAR;VAV1,Immune Response-Regulating Cell Surface Receptor Signaling Pathway (GO:0002768)
GO:0008631,0.8162256,2.093118,3.166265,STK24;DIABLO;PDCD10;PRKCD;GSKIP;UACA;MAP3K5,Intrinsic Apoptotic Signaling Pathway in Response to Oxidative Stress (GO:0008631)
GO:0042953,0.8162256,2.093118,3.166265,SAR1A;PRKCB;SAR1B;SURF4;MIA3;PREB;CD36,Lipoprotein Transport (GO:0042953)
GO:0043414,0.8162256,2.093118,3.166265,PCMT1;BHMT;PRMT2;PRMT1;ETF1;FAM98A;GSPT1,Macromolecule Methylation (GO:0043414)
GO:0007095,0.8162256,2.093118,3.166265,BABAM1;BABAM2;TAOK3;TAOK1;CDK1;BRCC3;CDK5RAP3,Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095)
GO:1904063,0.8162256,2.093118,3.166265,CAMK2D;CAB39;BIN1;STK39;PPIF;EPX;MMP9,Negative Regulation of Cation Transmembrane Transport (GO:1904063)
GO:0090051,0.8162256,2.093118,3.166265,NOTCH1;MMRN1;PDCD10;TBXA2R;MMRN2;THBS1;RHOA,Negative Regulation of Cell Migration Involved in Sprouting Angiogenesis (GO:0090051)
GO:0032413,0.8162256,2.093118,3.166265,CAMK2D;CAB39;STK39;PCSK9;GOPC;EPX;MMP9,Negative Regulation of Ion Transmembrane Transporter Activity (GO:0032413)
GO:0031115,0.8162256,2.093118,3.166265,CDH5;TBCD;MAPRE1;TUBB4A;EML2;METAP2;SNCA,Negative Regulation of Microtubule Polymerization (GO:0031115)
GO:0042119,0.8162256,2.093118,3.166265,FCER1G;SYK;CCL5;PRKCD;CTSG;DNASE1;FCAR,Neutrophil Activation (GO:0042119)
GO:0002283,0.8162256,2.093118,3.166265,VAMP8;FCER1G;VAMP7;STXBP3;SYK;STXBP2;DNASE1,Neutrophil Activation Involved in Immune Response (GO:0002283)
GO:0048709,0.8162256,2.093118,3.166265,EIF2B5;SLC8A3;EIF2B4;EIF2B3;EIF2B2;PTPRZ1;EIF2B1,Oligodendrocyte Differentiation (GO:0048709)
GO:0090382,0.8162256,2.093118,3.166265,RAB32;SRPX;RAB31;RAB14;RAB34;RAB38;RAB7A,Phagosome Maturation (GO:0090382)
GO:0006656,0.8162256,2.093118,3.166265,CHKB;SLC44A1;SLC44A2;LPCAT3;APOA2;APOA1;LCAT,Phosphatidylcholine Biosynthetic Process (GO:0006656)
GO:0002726,0.8162256,2.093118,3.166265,CD81;IL1R1;TRAF6;IL18;HLA-A;MAP3K7;CD55,Positive Regulation of T Cell Cytokine Production (GO:0002726)
GO:0046641,0.8162256,2.093118,3.166265,CD81;EBI3;IL18;HLA-A;JAK2;CD55;HLA-E,Positive Regulation of Alpha-Beta T Cell Proliferation (GO:0046641)
GO:0070886,0.8162256,2.093118,3.166265,PPP3CA;PTBP1;PPP3CB;PPP3R1;CIB1;IGF1;SLC9A1,Positive Regulation of calcineurin-NFAT Signaling Cascade (GO:0070886)
GO:0106058,0.8162256,2.093118,3.166265,PPP3CA;PTBP1;PPP3CB;PPP3R1;CIB1;IGF1;SLC9A1,Positive Regulation of Calcineurin-Mediated Signaling (GO:0106058)
GO:0010714,0.8162256,2.093118,3.166265,PRDX5;TGFB1;RGCC;F2R;SUCO;VIM;VSIR,Positive Regulation of Collagen Metabolic Process (GO:0010714)
GO:2000243,0.8162256,2.093118,3.166265,C1QBP;CIB1;TAC3;INHBA;LHFPL2;PLCB1;SIRT2,Positive Regulation of Reproductive Process (GO:2000243)
